k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.3362883118924269,0.2863058603811454,0.4423316567528716,0.40480467443403173,0.3332525165999488,0.45529612829492017,0.39073966580223923,0.25904147682762446,0.30900940508114033,0.39369881269529466,0.3509081495116517,0.3854572917050862,0.3223082412757894,0.29430161355491735,0.3634215292805401,0.3322772655890262,0.3828383907577927,0.3579030871175439,0.3830580001581078,0.3531128234889696,0.26142277829381744,0.3229671181388552,0.3470975921890459,0.4235904915881349,0.40583758306107187,0.48665718437038896,0.3734159142823492,0.22461646695187565,0.3281196513620962,0.29580432134547474,0.36735488454038767,0.42011722373202176,0.3387308681333684,0.324091774922995,0.30981385033411724,0.28531643295917364,0.2329649530432989,0.31844324425273546,0.4468741727445161,0.26839250851149166,0.2681306700407392,0.27259036370306167,0.2869762890174465,0.31903437286542724,0.2919845744740155,0.39856827321821153,0.33304182771016455,0.31188806696251836,0.4015128520335499,0.3658522369479394,0.28574667940791904,0.24309816652202448,0.30109914531777515,0.3115063049797467,0.26695739764556126,0.2977660083285475,0.27630859125122514,0.303923375117118,0.26279286819042136,0.23698643527006807,0.3942272724808652,0.2843454596459918,0.4525455228649114,0.4223296924794034,0.268288677591541,0.35801659699457966,0.27578149363843196,0.4494535770473131,0.4859004800135143,0.4476039782715009,0.3493504870515302,0.25988238407071695,0.2640100425113259,0.31780893282450956,0.34264764244596674,0.25373404122771076,0.33087376286714293,0.31764138773872586,0.2621982154345666,0.33501485962893984,0.26581462058740124,0.25241064480453157,0.37662698323536975,0.3839773208830002,0.39098724794968803,0.27022674635155886,0.28347342710551254,0.3843336647633664,0.37290977067503217,0.26911944768829776,0.26291664259830894,0.3253954919594802,0.490011076096625,0.37708560566883437,0.28881865722817623,0.37761612908500425,0.4563937446693974,0.37865136233262436,0.3743722700279966,0.2904156664729703
3,0.23546174898478744,0.31948877452074964,0.24387696521433305,0.2685905909738247,0.3966179810953572,0.3721001443562576,0.430718633624011,0.3038693078705693,0.28884590998093934,0.35821548691332394,0.27484244110960077,0.24000557730630262,0.29790670979570305,0.27258378832153496,0.29692748407676467,0.30916684718987064,0.245041640453664,0.22662518726628345,0.35665845705035176,0.2998575435605212,0.2509066731156493,0.2563906344572172,0.17913131553484996,0.31895738179719413,0.21722322641288316,0.220279556786935,0.23278111316192013,0.23800299275977999,0.28459831595501706,0.3192714477698274,0.19083382637185325,0.37020019390867354,0.2379503846687664,0.3365459015790395,0.19475129173517935,0.19860819449898898,0.2603861847905451,0.32027904860010536,0.3276622928306675,0.25309792605137726,0.16634923259814255,0.27613990321298565,0.2550964072968239,0.2154232920108784,0.26544332131942183,0.1566637671133846,0.26046972939695945,0.28897227381760027,0.29093282968251055,0.3497355575409021,0.18621239974698045,0.22421485341368402,0.33187093824267777,0.26243844227849034,0.271927395381199,0.18738915964529662,0.3095495904028265,0.2333538577652549,0.2097399391876334,0.26565204355679417,0.33331103853638133,0.29274617707842787,0.2715736508598002,0.22568724982996047,0.20149277404903787,0.2808759825280349,0.21033031982392392,0.2791328389326929,0.201316690728093,0.28602141640346346,0.3399732678896258,0.4107520612288641,0.2647456068483252,0.2486044080024286,0.2822304593734545,0.3595524476661638,0.3046740790206319,0.34940313564938197,0.16921845962818755,0.31236266164619053,0.2127942076640726,0.38044324384871775,0.41112158490723594,0.2676240554670695,0.25910823968462626,0.39673963530799594,0.2603867938993578,0.1786994643580927,0.34112331887177505,0.33262126188885843,0.2609785944205306,0.28006641574312596,0.18716770750022316,0.2417588298577389,0.2113090072418391,0.41722634878407494,0.21559801765462894,0.20870472875010782,0.33188655880373774,0.24187182618588687
4,0.15826683703350553,0.2190367233206088,0.21461675249978984,0.31877331489886884,0.2206223402939237,0.24898768305397284,0.2777421735572538,0.23260637406495605,0.15947630635459475,0.19304981009282424,0.305141201269587,0.22367800277497174,0.24010059929673988,0.2415851177798798,0.19010022189167386,0.14494710145425382,0.2809671794533153,0.20207038620341056,0.3171150457790533,0.31467289889122274,0.13994564536415255,0.25239375393466323,0.24573574905181683,0.19985864501269185,0.2010264535365361,0.26256482836740175,0.2624848773242023,0.16091996656753743,0.17004761993397144,0.25635329690425623,0.18011284079189005,0.3166691291226562,0.17282946585604947,0.1796120038427088,0.2839680758496445,0.14943535539128638,0.2578286784452367,0.1930035829438474,0.3127069924232352,0.16862972377684537,0.18393945456904537,0.3657098998701783,0.2084549951817839,0.14614001752770833,0.2223550764219051,0.23613125204312035,0.1777668360289874,0.1366928017419346,0.2634767521005522,0.2080614386523938,0.29161693160060487,0.28741932182349644,0.3279201234085549,0.18520379530028797,0.14364206954949094,0.2189148628347795,0.2726849318525701,0.15584402577080636,0.24452871725348863,0.42652771963003966,0.18214905526260916,0.17104987884335954,0.38527490951034166,0.1938127655355401,0.19266221720818094,0.2585174274900759,0.24693972424297478,0.24137904144351952,0.2850362300880753,0.2102808204939316,0.2695265398231874,0.34869308846329644,0.1924833139920567,0.2823861849889039,0.3341498391305996,0.19996010552261312,0.20890053055686364,0.18095177033597443,0.16106543493702502,0.21667000828886357,0.2071427849559243,0.12441559432209959,0.18668370916359178,0.2292714515171534,0.29387959722920143,0.3377759487061853,0.40749451639874973,0.251803302339487,0.3654213289719283,0.21106308794910705,0.22087792357787894,0.22418545233104736,0.16636239540359432,0.18755682509878163,0.10844279187395017,0.26659533779471634,0.20598675638406383,0.32005010429182845,0.27934450074382666,0.20688709749048723
5,0.131933480092018,0.19106190584304805,0.16878139507880957,0.2694531803859973,0.2420450672803261,0.2971946600670202,0.09936584585868663,0.21163747085383688,0.19250591397943312,0.1389433969591039,0.17677495952610628,0.23110752576870414,0.11370403732991247,0.13871732820357152,0.22324043763687962,0.28248292891208565,0.10116707402083724,0.17909644244888256,0.18271762836812017,0.21320429905508054,0.24635005956334782,0.17917426736390163,0.25921793983905633,0.23931498077381896,0.2619989608208035,0.4006549660597927,0.18893004864503538,0.14071544099455557,0.22548151516169368,0.1988353344722944,0.2588310756159784,0.216624348918665,0.21976623360376413,0.17988352625704923,0.16500037848779864,0.24455986157241366,0.28960906230022476,0.18861123244907496,0.20244008814037995,0.17415240244268676,0.13153707824363386,0.2817279223163753,0.26782663839836585,0.2019918237152558,0.21604164028977874,0.11433098065387953,0.21833071062187792,0.16726727268787522,0.22081430706792993,0.19517830447238865,0.2433720274324237,0.304287538842271,0.23006364383331535,0.09800505771174844,0.2003291343916635,0.24261776918017214,0.23795452099557474,0.19226197890066798,0.23969082848483714,0.30310707554602495,0.1133815063932202,0.2823177117156796,0.20812588619128225,0.11486710992117022,0.16010679516451282,0.199880074222043,0.15089521508209292,0.2009776657226623,0.2703885594147581,0.1663813168647827,0.20422112249943553,0.2817873056351572,0.21880430950918017,0.11971018901599728,0.13027439724726347,0.09681711677479499,0.24318447675918248,0.29494685144013905,0.14608284955098144,0.18198863289470624,0.15800103050632214,0.18488672697730762,0.25588169918349907,0.21691217500406246,0.1509241119226074,0.19452831376433455,0.13622528781357002,0.2968349604867697,0.15067711272742929,0.21414007451848205,0.16667450692534597,0.14092852949685053,0.20045408238362095,0.14052552227574427,0.1410725797162411,0.2933764768258804,0.27930158418708073,0.2280597845701126,0.21023724790100956,0.19389310687936473
6,0.16392717489160458,0.16365894199008768,0.136309417101522,0.11178197227602893,0.11939926210636892,0.22179829421769137,0.14244026571552487,0.21059568438280385,0.11733509465682246,0.14528668938484274,0.06773741406597084,0.2694867895733543,0.1606532905150937,0.137585699466166,0.06945831984957351,0.21831434447936476,0.13124671613513345,0.10370182903741737,0.13105385532840874,0.12432707681185279,0.11784194428043726,0.1799520363820935,0.2667191811018228,0.14198117306846786,0.1325664106686062,0.22575038938158903,0.15712078377319583,0.2188778012495184,0.13806665140857843,0.1705462043226515,0.11749846983324497,0.07856209075503495,0.1585746062499973,0.1742205380554231,0.21716990519441914,0.24452950656030897,0.11831649241345082,0.13639597888017246,0.19047041695376232,0.10182049459192977,0.18016266279429416,0.2234591495096579,0.1338994149851554,0.1112672793822524,0.22485871888336983,0.2794895117588711,0.20765909087571705,0.22805445229026233,0.1807741410931576,0.22410019846064444,0.14923547714012053,0.12324301634859436,0.16388603279756853,0.14470666470491872,0.22988732930562678,0.21626632101051096,0.15310650995414476,0.2155417941271136,0.12256468016607619,0.16282306613114822,0.15556988733410176,0.14958268873527814,0.22756723161956338,0.22930945679340126,0.26524943727271444,0.06958489963594394,0.15959650705747436,0.08301750211741032,0.18173086238188907,0.11697623796112938,0.20676916079518454,0.10066099706893505,0.14248206362940674,0.20937117517609444,0.20451305028493622,0.14648382323063008,0.14848242521036914,0.16559219344433695,0.19329066776646703,0.1580812612408642,0.18905462663031403,0.19168847215411822,0.12965041575182745,0.07459039288410568,0.18644511892886462,0.33342276408934,0.11419429092009298,0.16602602298461344,0.17751972672044913,0.1423638351486169,0.19986185175614962,0.11734090826107535,0.13260343793896817,0.18615261676422068,0.20311583002029665,0.2310723330313449,0.17415357858758862,0.07044357123144074,0.11054490775523385,0.13188018221561165
7,0.24011226039444306,0.16077284393846475,0.12397722233417152,0.10514861088719951,0.1478302531605309,0.1699632886257061,0.19803540712211992,0.03211423608742703,0.21787785894886602,0.0989767868205833,0.14162729108663308,0.12370283120024295,0.2052116732799576,0.11067988507973925,0.1629960717505523,0.07878636966204366,0.18757884418657356,0.14134140306819304,0.15050792336893004,0.1818104184422128,0.17186830988915058,0.13687962793434877,0.16842964691224616,0.14967785771218833,0.17306159519240838,0.06566212449474895,0.16772562916598616,0.10062478559506172,0.12842954756754793,0.17040207402088053,0.12721888374168489,0.1101886795080051,0.10684631454668819,0.1329921719039765,0.12189235313850721,0.12454201989904967,0.16189930003601538,0.13694453065603895,0.0701388955384914,0.11106395889038245,0.1994282657644174,0.08591190719822961,0.11437528445109357,0.14668536295599838,0.08107863044266828,0.1829695525365872,0.1861355202756635,0.20123185337498473,0.08500655187647699,0.14882776385373797,0.20245970666008972,0.16154902997083864,0.10692590446378847,0.058783301633786145,0.18514273515644736,0.14055683354344556,0.1258988904374168,0.2758356437120757,0.11907737413640518,0.06200911863835379,0.180625241441155,0.18003497189650036,0.12701838806186388,0.188684252757999,0.051988372610216216,0.15030230256241772,0.12103255912619998,0.2378015310185121,0.10640484973380121,0.191072460726873,0.13775829675045492,0.16231843751968705,0.1468050607809826,0.18614110738566847,0.1319022884287942,0.08519563693605536,0.1328449151440032,0.15053354016631076,0.13431248297056242,0.19338358936036115,0.14180398597677618,0.1342293064964154,0.09597715625986653,0.1658452655119717,0.1438512631391456,0.18844999465287715,0.1832987452074195,0.11330416119279102,0.12476530593140195,0.13437792418070638,0.07784865122807327,0.11752850937220882,0.16094919410909725,0.22396745605328677,0.17974076179873694,0.20736549400348603,0.14784299719296923,0.1810299216748953,0.13503602721039903,0.09754716160151916
8,0.11640881056142699,0.09404464489401615,0.08117505883379539,0.09451731267656727,0.07223686458909961,0.13638991298022662,0.11688125689705858,0.10192123752241156,0.15527968144378362,0.12284839627578625,0.09880495228336533,0.06992626993443696,0.0924194462099337,0.14389660028818657,0.12154683294604363,0.04719158042729116,0.09403980512345111,0.182787590234038,0.12166482431710257,0.10479560855767922,0.06465239658621369,0.18340546329455737,0.11220468438283415,0.15113753698189114,0.08445644261840551,0.11779894224228138,0.07775356189591204,0.0993581727797147,0.11621147139727189,0.042824510222823575,0.10433198285568435,0.1374408551675732,0.0707215456394732,0.1640865672179193,0.04588084655336666,0.05135866959279367,0.08805669244856063,0.14157938918613738,0.14908968175050424,0.05141845251840682,0.14621209777196598,0.15235419674052025,0.13249246749074584,0.17273925296606552,0.3095014534175534,0.11151153777454853,0.14824249198588413,0.14831260169022004,0.09083368569306427,0.0770813538888,0.17008145892950582,0.1352925915759547,0.06247484133926412,0.08857801792222747,0.10236789616293479,0.14025013232790468,0.10918004225097577,0.07172711800396331,0.11983599877389328,0.10580662475905911,0.12209955215904283,0.17118425509734175,0.13199731195844117,0.10227492238989233,0.11570312718019204,0.15641185818058384,0.09905733212273737,0.06332881575855864,0.12408693896589601,0.09763436424880012,0.14802764769570204,0.09764750187173182,0.07418948691411342,0.24334979227344888,0.16715841200303555,0.07807675284603799,0.19802445775041333,0.13613907633294903,0.14505205542061772,0.1236834812553923,0.10572470602408496,0.04561933388453737,0.15449717978750865,0.14667197360855422,0.1249724508042524,0.08493291956750981,0.1676804119717596,0.12286826826288993,0.04318636803827236,0.12679199868070185,0.09617934232875835,0.10523557405035866,0.06761423007454548,0.32207134345723654,0.12809091500207903,0.09813631393155875,0.16808924128120062,0.09805942238838333,0.13382072690286462,0.06581892946274198
9,0.15850297750652736,0.11618689277468497,0.054472018354738416,0.12154006483753782,0.06596584880419815,0.06254041650760589,0.10978669097303484,0.10296681438327021,0.10725411056912537,0.05698459902631242,0.09094401847013023,0.08241465804653414,0.11300426758497828,0.06195903673741604,0.0736100379805521,0.08339766012209426,0.1651486430226008,0.16755284765944678,0.06496937156581051,0.12062568390494971,0.1263080116747013,0.09706293607836919,0.12558640228463774,0.07527040771917576,0.157436205784384,0.08179279480924978,0.07075847392871232,0.11368558762500564,0.06987096264334203,0.10454480555340606,0.09990380295505569,0.1197732812656076,0.039588685818022884,0.07577998066911701,0.12729863775389605,0.10070646163314556,0.1084841249452092,0.03830988150015746,0.10213750623762069,0.06598553039225258,0.07650126280382563,0.09341642713976617,0.08916425423545232,0.11704969164470952,0.11322024310527312,0.08723313161398066,0.1106016614361428,0.08157386547343115,0.11215310434156728,0.12970573313488687,0.061078351574707423,0.09654895025171317,0.19187456257743718,0.11922232430611435,0.1315249500168078,0.07523618090769046,0.13349999754994324,0.07005001463439514,0.05802839270495119,0.09860560326086043,0.16010828350700168,0.0763993619022239,0.0825347841196673,0.17319919334673461,0.06359428612103701,0.09977882638162544,0.13121799912336762,0.10998913570916002,0.09640907322959147,0.09613667489688354,0.03572726085629713,0.13921210423884028,0.09972743300576548,0.08460114125049822,0.07642612907940965,0.10687942215138141,0.09230849059572421,0.10788772784968204,0.10355006566070662,0.028946807983707856,0.033988140668140876,0.13752407421234336,0.09114567435067933,0.2032720100957639,0.0836478103355982,0.10183621465698084,0.055461775099466704,0.17376439380559633,0.11743551390513968,0.1091518670601151,0.12240702167483158,0.05221775946236801,0.12845641800819607,0.13772393455749332,0.09606928674272774,0.0705123705575253,0.14275459521499345,0.08652761094015005,0.0752831854147461,0.07206211567976528
10,0.10461669530394035,0.12225586390410925,0.07876357700808495,0.13998472182999538,0.08779717154886607,0.10775092149855281,0.08217818265861726,0.02053449270044072,0.13051708309082605,0.06838901419551119,0.04578244676883925,0.08264301829760162,0.10890281330939106,0.05024003150336859,0.06121411571248597,0.07523546648796803,0.1438413796865219,0.1188575482202433,0.028285422545353378,0.053671490346033024,0.044420681204689116,0.07796924503721003,0.031506799651812134,0.09773927911819291,0.0666778986383425,0.07871036394840752,0.039465195655240204,0.04783594998380303,0.04391438969278916,0.09743535610382409,0.03296067383841211,0.10242160848275528,0.07089265807722905,0.033892264402886396,0.077193148851317,0.03301455118509822,0.07074211072909747,0.05185767242935646,0.032707665858641544,0.07266644102679709,0.053366716830038685,0.05403446287042002,0.09286626921068175,0.08167967987350944,0.09456323935307126,0.12017232079970236,0.09244715983229318,0.0550884714021761,0.1004567183595429,0.06611932435121443,0.12001843416379115,0.05047796606971111,0.12317057292670985,0.10553944393168463,0.08238053340659368,0.04670273760411281,0.11388562795315393,0.1437152271857347,0.07918994814184821,0.06298077966988957,0.13581275077143723,0.028131261849667855,0.0650582954933292,0.053289873928150266,0.10483640661411453,0.06841473237548573,0.12152216472613547,0.06631071182723652,0.05259802186408108,0.017016377356262713,0.08507539337319442,0.08218208508667407,0.051673833832836746,0.09785829808895335,0.07545235843541764,0.11870134835696794,0.12178594446701452,0.07067407467916559,0.05336713529324133,0.020770654900199026,0.0888223640743967,0.09799565425374335,0.18774181806244677,0.07933229934413466,0.10850071013306528,0.15671530702154235,0.11117253557276668,0.09577437608213846,0.07457806816964518,0.1168464153516992,0.1258970075122317,0.04522026522938144,0.03555153816342105,0.07413850041551207,0.05858086319422201,0.0671972737855287,0.0855010182476017,0.06392310098341852,0.1187554310754545,0.07609239093270914
11,0.10062910233619343,0.07046675857473361,0.1593672025213127,0.07996993374973083,0.1261568529834155,0.09288176713265112,0.1278012418899544,0.14450742855115611,0.1192618446832685,0.049257857524554916,0.06134628562118888,0.08131277783860019,0.07151569845820327,0.07754696853117898,0.06270667948922315,0.07674402944330083,0.0749004262799966,0.0631181673997942,0.0530109513124819,0.09474072853811671,0.09632277541757961,0.06836961784842144,0.07393834078719463,0.039739590104908906,0.04830268112095926,0.08909397713687839,0.07316081495858334,0.11952007572749401,0.12329122410307108,0.10664583105951936,0.04364450012992099,0.06736922692179637,0.07853939412792954,0.0675233857768251,0.07582955954442228,0.03410662211320947,0.08340999786510972,0.16026871678490723,0.08453775996820834,0.05682250434160596,0.13205034956100647,0.05031466830044268,0.09428775007631013,0.1419851253995526,0.11356078236150174,0.08477302112801022,0.04626203993528383,0.0705692766910207,0.06559094953980232,0.05948550366650357,0.09875203009674033,0.05482587887939816,0.031180799134221893,0.05077884557763418,0.05913916483313214,0.015881365801778347,0.05329887160840652,0.050224605251774135,0.03485503254662803,0.05191174715199792,0.00048465231237049267,0.058178490783469816,0.0723508470335783,0.03515935003091275,0.03415687723196276,0.0726200380121349,0.042099396660431276,0.0883872637694944,0.11793076957499737,0.04935072774565674,0.10964654445058608,0.07796680013993929,0.036508107034572634,0.07552547529216896,0.05712323392077118,0.10389554695604936,0.062262953448648184,0.07128359436478976,0.07845933222942958,0.04361212341669657,0.0872565196779313,0.03943503533367143,0.08803113392507195,0.04873739192596649,0.07551411780161121,0.05801159617500101,0.0600570861119179,0.048403438839907276,0.12264049772812646,0.0379976635185853,0.08098405615339532,0.05835328624935343,0.06193810243077158,0.06432212063366871,0.03219643218712237,0.08754600649182764,0.10791435661329168,0.08478591204058133,0.0600479056479134,0.08517040937365972
