k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.28744696266850284,0.3306061472564036,0.40734607899856673,0.4055802242411836,0.25300990957914543,0.314797685646724,0.3742797193769859,0.41431755987644536,0.33085247325942324,0.3888171751597718,0.29659066954007784,0.36838265319222746,0.3899786607177316,0.45014678156689,0.3190810679272007,0.42456923993627815,0.3914846165216762,0.473554428620931,0.31323533693824135,0.24638971403942844,0.26581243563542306,0.38339459879080884,0.4439537186827296,0.2660207748892568,0.33199965647762714,0.2898129613344705,0.21015976045649154,0.31718481488477346,0.3388282134761093,0.3103256192781557,0.2805105111470809,0.330514649274937,0.2949831835282908,0.39923662187879727,0.27292242852036674,0.30050169246170166,0.3591707546237262,0.4072556272562309,0.35866614336519353,0.2652205902447847,0.3545834997712841,0.38347892186625443,0.2532320149832521,0.34903663573729815,0.3278490750224983,0.2812889198406875,0.3217282038448599,0.4155536168209771,0.26604281254508994,0.29054506911834654,0.34803964492736117,0.34813436387420144,0.3195259435592409,0.35074030715462173,0.2860247762506003,0.42016394041253957,0.41337881609266025,0.37362055748678824,0.3711699898700428,0.32359134652749943,0.3779039126713313,0.3041260932148923,0.26217034626895785,0.36487411474280296,0.3276281217437172,0.37657290255244796,0.2728932872372177,0.32778055475976003,0.307820234775081,0.3399401932799327,0.25872513373208716,0.361614289880556,0.26536201459740993,0.4600298191951855,0.3812671766940675,0.29245660432983717,0.3627524732484432,0.3547305799780288,0.3492955123691296,0.285685874963943,0.47390389583424175,0.2379362202317914,0.39739684892213534,0.3201339489743654,0.40204261249363016,0.4085541610755349,0.40145119946104346,0.32662927214385057,0.41671931135928586,0.312547986060841,0.35437875619996323,0.47038093811666937,0.38032711977950123,0.32951492615603767,0.26571541967368245,0.441880257649697,0.31705145197250695,0.3103821147859033,0.2965199693866775,0.31813730045568095
3,0.3807614876126425,0.3031352402637452,0.23195440313858312,0.299757024728764,0.21575064044197267,0.30024561856380844,0.20243020048638183,0.3582126592060998,0.24509911633327103,0.20689730760535874,0.25025974280459884,0.22976897645339167,0.21894443982796202,0.2556050152874881,0.23226216936438887,0.21970352392461712,0.18433113419056518,0.2670078680836804,0.32495175999512377,0.2728243559057212,0.26417315930751795,0.2516441289050384,0.27969621136809975,0.20164685214866407,0.2934238582469386,0.27830934837144555,0.25064724340801203,0.20954403688683831,0.29764429606136933,0.28222398011885846,0.2452292281980663,0.20876506006700118,0.2400891193349386,0.31032288191573787,0.23173761055132908,0.31329011021319164,0.29398854860802204,0.29535807960572213,0.2960435325730967,0.27920761579289644,0.25734134819777166,0.29807119705505425,0.32807806975245435,0.3307763541168033,0.2733969191197341,0.24782362805372254,0.18247010117686652,0.22524735765332987,0.24452634623669622,0.19936504785350673,0.31433823166246055,0.19099696548518574,0.19718536476669912,0.25165534909791026,0.30853166675481364,0.28751512413638464,0.32277152596845965,0.2503217611225781,0.39756951108516947,0.27828549735136276,0.1818127491503806,0.29773811394333133,0.2873595777586634,0.25408207481322426,0.30371193163004395,0.3578697828132216,0.32266703913341366,0.4052242204958436,0.21446027001781465,0.2093488749494703,0.28732889806575673,0.3895692220945074,0.1633113279473123,0.3707050645050774,0.3370776409255479,0.23352338460750377,0.21114611519030058,0.3025506374169953,0.24580371520384225,0.1729402982086875,0.33594529039631615,0.2879106530130028,0.24466705344539996,0.2702856290070032,0.3029813159710304,0.259043368184139,0.25782115795917876,0.28155017753504136,0.36257856863543025,0.24092303872592202,0.32486532296035764,0.19442759164197776,0.21318561791101942,0.41680485387144367,0.27562481445161346,0.3095245304014821,0.16438040271455334,0.2639569412992519,0.26503150380044915,0.34922945167294794
4,0.25355556848812894,0.20285994558120057,0.25781757048878207,0.2482133905481656,0.20297373520032924,0.34033842198975084,0.17308574430233692,0.16650234477180353,0.16576593441127213,0.15496261333156963,0.30800969158967845,0.1521108806052951,0.23107773371331275,0.2763225511866315,0.2296386567628217,0.3013847515327551,0.2723559871841954,0.2731878160162666,0.2823626355090133,0.2757437436139146,0.13466911962839184,0.3018521856904804,0.20391732050919126,0.22678832931924015,0.2219223852221805,0.2127015082074324,0.1885550671630965,0.3387991671937821,0.27757463192635945,0.2350151881199265,0.2192550716580467,0.18339487168085444,0.20571261217853143,0.13952956117914816,0.23716700929761142,0.17273294157149272,0.19353212029015376,0.30813179018042147,0.16863122649689372,0.18527229723579602,0.2723780094118529,0.18341397986500652,0.2421193818971954,0.32683213259879357,0.3064786111955092,0.21517171041963912,0.20769099576989408,0.17241883744570424,0.23293376716330938,0.24107569937714057,0.21852916629429076,0.3310047534746995,0.24052926495807214,0.170823242297985,0.3462936477371595,0.2482582708515369,0.1824994230597965,0.3164392013734322,0.3277534488797042,0.3274913871234383,0.28682687207811414,0.25797287204301866,0.20487836192487224,0.2911784723183799,0.11089860805474272,0.23666385488611247,0.3436410991413378,0.13028960526336142,0.21814426177556162,0.22289348991642888,0.188885185411099,0.1407440226115239,0.30665007273608047,0.22632305167133443,0.2925693959156224,0.23639715211952939,0.19267582922325266,0.21089046173865766,0.32638767665198687,0.19708894374834973,0.14513217844874587,0.22258872656702433,0.2505888511227709,0.22433994067229646,0.23838662974829283,0.2475225258154033,0.15127736563718786,0.20047472398528388,0.20243218513521893,0.3649006452537152,0.1627999644672099,0.2548129692577295,0.32307926627300754,0.1923300389762047,0.2559233946748226,0.2400774570644495,0.2260281693345929,0.31218909023899993,0.14173620597821163,0.24482592721466334
5,0.2040255664119341,0.12653364770860426,0.1435210572124226,0.11178520637990358,0.18434461436637672,0.16419557537248786,0.1687934830460267,0.24134902935534114,0.1694015462184268,0.275449183669184,0.1441563006758817,0.10602982372874142,0.12816825756882744,0.23015048282585265,0.15154140347497908,0.23272880631339482,0.12868767666494735,0.21064384608345965,0.1825628638716268,0.16648651436307949,0.276955772397637,0.20265266056784775,0.15005842951654824,0.14833538863947704,0.22434023911874879,0.13667692364951123,0.281821403971815,0.1917257913332775,0.18380168908425604,0.13602450213609407,0.2728990485853051,0.20262896282019427,0.23292077280287676,0.10111850699597963,0.1704373689445809,0.22529834244932478,0.12454470364338677,0.12982381826305922,0.15883962755048847,0.23765201194577457,0.16267568792064196,0.22583887384691204,0.26111682389342505,0.16232113106458018,0.24237672355681794,0.16603889721471343,0.33650649512457553,0.11067915408777879,0.2366167637409382,0.20679611714252544,0.2177358525869773,0.20320701657318263,0.14100992362816633,0.3070453665938025,0.07246177346836913,0.28620079842911383,0.2468387932549272,0.17751518398415278,0.18721296504514323,0.22545994081329435,0.1948211123853537,0.27467355981340247,0.18385418652415353,0.231179144554704,0.12742435179202433,0.16734921297988753,0.21747594600317804,0.19600386052229385,0.12236298228304998,0.13831673489300988,0.16043935549744576,0.30251778997446654,0.15160117226235592,0.1329820798458649,0.1587799337190392,0.1274426490605715,0.08769814314026853,0.35187936097966366,0.26355839594621433,0.12892277270663316,0.18490605573566132,0.17622160317765562,0.20115982646591835,0.14485716656065561,0.2878072253983817,0.21786117511529263,0.21264128221098683,0.20877890863791715,0.18169145930101177,0.189702212200956,0.19528962156587337,0.1628857027046801,0.15875575605245906,0.25469446106417476,0.11212445500478307,0.24656956030506433,0.1345183429500142,0.25911774921093705,0.1738229625359462,0.27095692971196716
6,0.14047955241022514,0.09091090181646794,0.2971162753579005,0.2791892482985338,0.2437353616444921,0.2344428562259186,0.13453437708553462,0.21521515291285342,0.11588308951686471,0.19788756315800676,0.15879118477810367,0.22305086034755772,0.16327041301614886,0.2459647296929438,0.1628783530431689,0.07782982446470099,0.31944419138631125,0.13342400684346556,0.11788747151548556,0.17025312431721357,0.18869896823675925,0.2344349015575924,0.15246317376491125,0.15662792109279294,0.21352512829847303,0.24090313245241796,0.3307595844707628,0.21181492632089327,0.20593268236152995,0.18356203245441188,0.14025257897078902,0.0890533115633485,0.07649751314459319,0.14244110153863537,0.27372715039846873,0.19140754552552736,0.12822585300844813,0.08087343169661676,0.06598727775109997,0.150015558507262,0.15597406781663375,0.08601906265039883,0.23496971727191812,0.2386752919940877,0.21026128278974893,0.10721664581335177,0.14190224225674136,0.08026457771345924,0.1642737113883888,0.17544018551026153,0.2473953303263437,0.1416513803753286,0.19754627617063414,0.13596967053168402,0.15559950295108155,0.1509755926263167,0.09712097972709843,0.15657101691270758,0.19016075823310608,0.24013033211398538,0.11274365559798111,0.23093372132261758,0.15803039223783344,0.12001387324867724,0.1705693927517365,0.16098962955021034,0.20577525145758746,0.1718205972110184,0.11284898587900499,0.1360681564206891,0.15788197389173797,0.3069331995631247,0.29486353499310336,0.17767638194486413,0.16567996689267694,0.10403111729545733,0.21730756137825147,0.20865943938760723,0.051435849575457104,0.22050144642300046,0.21929659844831717,0.18261166471935564,0.09460017398099374,0.10937986904997715,0.14869856792569214,0.09303163832172989,0.0927043616065023,0.1565084275199256,0.19592926718168852,0.10551756581095423,0.19322211147298868,0.08702050814752793,0.11470806832003633,0.11651494354130154,0.12720756097378483,0.13581092405378942,0.21434398209028144,0.20686953692749288,0.08372042833356047,0.16511276186970159
7,0.20510628541497372,0.11013024621881373,0.13038816971557077,0.16648163726216553,0.15530096088416778,0.14477532809383348,0.12620915071339883,0.13879066221430209,0.13360715704304726,0.13240107545124669,0.09320362422104467,0.09924202643382485,0.12180994149360125,0.1559011887715983,0.1787927954094387,0.12682451550794166,0.094568902723703,0.1290018773213888,0.06646148887818276,0.1619865129913,0.13857925835621454,0.10974475776485443,0.14740895387563951,0.0790572199506332,0.1407354182223547,0.18147095977166483,0.11789531623623806,0.1050550799060001,0.09069481642729543,0.17098002130382828,0.14069013825968768,0.08825888388149628,0.16737451564592315,0.08187791610704998,0.1548245557409828,0.1904388624794489,0.18014574118532828,0.11002531685922912,0.17754360487527976,0.11800631933912764,0.18931144503800684,0.2028174906604442,0.1397964410113005,0.1211273449538593,0.22800673901717733,0.13739887913496684,0.13299792350752326,0.20822168094674037,0.12673411766143317,0.053430194142333076,0.10127309269303941,0.1405602935297261,0.16764391983744487,0.11237431537085374,0.12891291362297141,0.11458503822424859,0.26955888221780155,0.1242202154000327,0.0838209368386923,0.15497845487890616,0.1496254881556635,0.14835088437159943,0.15114510860361713,0.13364253687742345,0.14705390585731998,0.1053442108172562,0.18006263117051802,0.20283574104996632,0.14904477409711592,0.19673300034306374,0.23644334837844977,0.12129523125013408,0.19704311029908117,0.11203106289812959,0.1350144493063652,0.09590912952147834,0.10543695330202685,0.1591007270838392,0.09294286098085286,0.10663101084749371,0.1875172404061186,0.19770914850814914,0.1352631011479748,0.09381715945717994,0.1472496090791655,0.08191341380927092,0.11986370587381734,0.14433360639390413,0.11549044364596112,0.08877855927753675,0.09725877911016473,0.11115288707448934,0.137756312437538,0.10091666224824347,0.08916582402084011,0.10225836660482074,0.12643186999899492,0.20147321446655292,0.14061834073303814,0.12181238107409453
8,0.12156164418303922,0.12451761308811282,0.1068469710166407,0.1233121825737884,0.18497609198200948,0.12061769490200192,0.06823760091457126,0.22681844747846386,0.0905471177370274,0.10004675174864491,0.23032326503408634,0.13274873761906336,0.06547232239643891,0.20227634686274448,0.08505306949474889,0.08610002041831766,0.06885850417383149,0.24231767160007855,0.12289964932001196,0.1135749271401928,0.1097081508640822,0.07287582376779261,0.09735980712467979,0.07888946541104153,0.18715683724647053,0.15828834034380002,0.10419459133078679,0.07724125713587282,0.11926964443828558,0.12846391600051354,0.07398016001079621,0.14598908353903872,0.1448653325652452,0.1658926482242496,0.05853161390587891,0.08080217206475038,0.17435512652991836,0.13994522704731271,0.16929186822846393,0.070628587503555,0.03441368173127124,0.1804881373347591,0.1204150291612115,0.1365346018857,0.08588570136075618,0.204760015214481,0.050615003970093664,0.10247496645790177,0.16885976765748167,0.09539520177898098,0.2522051073301269,0.034843472549412224,0.11060519976072958,0.06901572332235684,0.07264647992128143,0.057153724921488014,0.14481521745487358,0.15656851377714048,0.0910190198392139,0.10597086389070626,0.12793613639884666,0.15298185199479536,0.14955188079475323,0.10382288345070834,0.1292738634711984,0.12322858368113782,0.059950564355544134,0.08600946386405822,0.0805417033692501,0.21259015213211768,0.13146312746246552,0.05217838518280138,0.15035078627105325,0.12236645664460805,0.1454758751590215,0.11237683241081603,0.11229408849515815,0.23092797816006916,0.09070592325173443,0.1118617287954991,0.1429639058480056,0.1519785520916465,0.11090980876303863,0.11020566042468344,0.1147691606583085,0.1041489899872996,0.0841756003968605,0.09074986334632018,0.09882843916434003,0.11547502557679279,0.03928755117054705,0.1621948289916425,0.17273622296335883,0.11322658172888761,0.09070399180387756,0.14727227047313574,0.09165168384182293,0.12072163006962866,0.09075294200959372,0.15785079977666577
9,0.059629272561299795,0.09597491110206713,0.03298857666780314,0.11267419727335465,0.10813649225056288,0.08899126017483727,0.12873860033070128,0.1373322829097321,0.18403786597265026,0.035207561070288995,0.13550206148684618,0.07670892693695386,0.12833173339166015,0.09146301507424343,0.07852911999181394,0.05542039955361794,0.045619276683978915,0.11609198441917229,0.08156775764078089,0.13463036751952284,0.07762605080722851,0.09906995990314776,0.08616604867566158,0.09981493687026721,0.0694303211979791,0.19542449572483095,0.06871763346122178,0.0872323971050048,0.12273475951650731,0.07176558352547235,0.06874250524558284,0.046349624371512854,0.07621105334083778,0.08204872539660596,0.1436960136565978,0.16977410676491328,0.07711766290305888,0.1333209461768593,0.14968940205631076,0.0764794548908907,0.08840418113628268,0.09236976268626956,0.17820132318479315,0.09874286308718444,0.09258670665363306,0.05673425584375724,0.08241527565904572,0.09612618532871653,0.07180692443515685,0.03706425981682565,0.04455329376220246,0.07513429340784922,0.1304197884678846,0.09490523711621096,0.04076044915906318,0.08355356905227951,0.09787606913321045,0.08670177439351695,0.1299460979762629,0.06469940467500435,0.09285637385911677,0.09828478491296777,0.09956382899439059,0.1399888480662299,0.12121586971895071,0.09652357509259074,0.1300601043059249,0.09393528008535851,0.18670005664031575,0.08342729751704991,0.053870739540357204,0.06325420202014537,0.10486016298283296,0.0827531631456031,0.06833661320228768,0.10111941283574105,0.0459746657306771,0.09111363844837189,0.0480720984030647,0.08432488050940856,0.050759754164235726,0.08545237038987313,0.11921353738971363,0.1118635377432669,0.14740240565533952,0.05915138270892939,0.12213166832422162,0.05857114478083031,0.11806563135033565,0.0656095273023532,0.13296928507719186,0.04880322275528226,0.11286675621689635,0.11556541319748037,0.15947973647355346,0.05957456372879566,0.07135132948988293,0.13539958996267237,0.10978915492565489,0.13257879143869067
10,0.07507044066239688,0.045436334967223435,0.07413775055688859,0.10633004617788144,0.14814587841130222,0.06362936534841468,0.06136496824246496,0.0759642533216347,0.10882823013400583,0.06897240493369367,0.034171754059593384,0.05598255280640524,0.0615487610892666,0.09263594909181899,0.10079961708671936,0.04245097711570012,0.09705337881844628,0.09816354967475327,0.03710244424993403,0.03211374762456515,0.042623286121332205,0.05264517950978331,0.06700090525633928,0.061187298109973975,0.07826247079543358,0.08149959795589096,0.03116716876103498,0.09773776418972968,0.09908954241970158,0.1647457325969553,0.09471051146942283,0.05294512995973938,0.11748688951989278,0.05414532252193488,0.04658266568586544,0.06346969751507442,0.08489021782403322,0.06565269061528939,0.09032834754033636,0.07176803487358885,0.23422513079275337,0.09226379917790534,0.09770743527518527,0.059737552394025284,0.021855427805303862,0.06868604108308712,0.11177633255555308,0.05132817661986799,0.04445577079599289,0.10228913723307642,0.08287337632881131,0.032268257726621175,0.049869589061856956,0.07149006468428165,0.1304774313497662,0.09681634786872517,0.08220436752388882,0.048478687543712484,0.05911477028798984,0.03990948614030776,0.05398442408891879,0.09991664339610395,0.02459561118503928,0.07611840631101457,0.13220529741749804,0.06944032272850931,0.03354247586385534,0.03617247151521236,0.043429196662817804,0.05266749735606291,0.10367430520020376,0.15410699523661603,0.06929861747653088,0.07502134360509166,0.13339990631668375,0.10256887256516262,0.014471605956746625,0.09024776321683842,0.0985259591674732,0.07144471880499415,0.02919551476416765,0.03813705039288762,0.11724917367645743,0.08240250901502766,0.06102661386187974,0.14920920756355638,0.10635236890612881,0.06713511989202325,0.03862563250219714,0.11276923920756504,0.12966446371505386,0.05071685509469215,0.050567452001802904,0.09587144421525001,0.09548656643446846,0.0949493550823326,0.044681466664726666,0.05967480599214653,0.10903258240243963,0.04319461998987795
11,0.04632870545342438,0.07579571309822919,0.07492162122271862,0.052478151556070884,0.01224101010419787,0.05065972417589404,0.042267610405850364,0.030071113061073573,0.05170709086568964,0.08357229474131628,0.03140783323292751,0.07705552136543647,0.046588450106007984,0.020670756766894838,0.06518908617027314,0.05538877652893853,0.06351245555859275,0.06821692569689675,0.10990858269783788,0.05127819246891374,0.059530356419356945,0.0565792064262457,0.06344732176607304,0.04658513751577781,0.0716708385651798,0.13144913332967512,0.06226939792893965,0.06195550154806578,0.03589624164227423,0.05302673556437015,0.036908162705891034,0.10333612106278145,0.08118035899823106,0.08245852031107609,0.08370700465377295,0.12060106784460883,0.14718327087496214,0.07061757947810798,0.03630964068693504,0.030773680414283633,0.04330067242361435,0.053573664111359776,0.06634174304939211,0.03806031386532971,0.03397376607978664,0.05255283259316268,0.07315269288687332,0.07306284536933638,0.022559778487555082,0.11558965078548056,0.0943084507299955,0.09131428914960965,0.030877183824141285,0.1232345493791645,0.05581128411779135,0.08379595424106595,0.13135871728167314,0.0589328690846771,0.11772800194549499,0.08305428073735832,0.0570756131565745,0.0405489476317894,0.061819241894675914,0.07515442263804673,0.07726062212212359,0.02949647465790095,0.15314880418902732,0.0792904369734917,0.05387332295284614,0.11531670350562806,0.05068856929951965,0.023728053459927123,0.07360374857940755,0.0654382982688847,0.1356231695658648,0.0454824707713406,0.07165620385322907,0.06046937874168523,0.06549155488694652,0.04508927917750816,0.11735732838736757,0.017493815381079747,0.057505735505697875,0.026142081239824866,0.054988309373187605,0.1237042098479143,0.10097087465011967,0.08049277758882517,0.0796469470595439,0.07098510186699464,0.046183348941167546,0.060579586252426376,0.08702645434768119,0.12238913163569898,0.05901301352925037,0.10552917936708306,0.07485668707426141,0.09592163188132868,0.11874096239499149,0.12732555238207077
