k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.3159842901330954,0.3805226281866159,0.35680260559786386,0.2747916301465622,0.2910422624453329,0.30110502003233314,0.3102760117046339,0.2833633392706235,0.3328130526565233,0.3466434838871036,0.27798347791220046,0.23896562296710583,0.2585077705610001,0.2933027910224847,0.24195826061859793,0.4484224021579966,0.39605095332078677,0.3385794578242045,0.2868003694076777,0.3780668269284908,0.32235188165302026,0.2569359938644728,0.43454074193309045,0.3139430068420562,0.3425295062993732,0.4490279540315165,0.27757521923953454,0.289453553434167,0.351107052715644,0.2733241355106425,0.35552217722132473,0.22719662881381192,0.3421642878404365,0.36947255577908344,0.4579330082200561,0.25580757062366316,0.3887191054467749,0.43128694657140404,0.3551287514273701,0.3971567763092103,0.38161146789011,0.4664332141150592,0.2743221054080688,0.4300191929552867,0.4018011024587739,0.44831420008074546,0.3681200050813915,0.25955437323848024,0.4425608979220774,0.32777492475874004,0.2723951461203335,0.38786182377900585,0.42205812148724653,0.3635270086331346,0.3559712594692267,0.32665850116324413,0.37893262266925914,0.4370703946739352,0.4166766574914237,0.37167046418639016,0.3512499831357293,0.29042414912133246,0.3754797584650449,0.4772272243915816,0.270902546297824,0.35233680262712597,0.37610558748043454,0.2909922030345447,0.38809224459302705,0.4732564013240449,0.4124687357696405,0.26915698649816566,0.2275167412636368,0.31720878808188013,0.24884391730965244,0.2928935347716143,0.3186742172414611,0.4071917285667692,0.33505537784353434,0.2762769088690508,0.3180888068830719,0.4663103680860845,0.27389200141531733,0.3183301281380555,0.3272886185411623,0.40796694682198076,0.3464255774468532,0.3653398297087467,0.3937215524673747,0.3564244303746069,0.26788312052837493,0.27147600675374994,0.3267259870153977,0.26471625326485415,0.22070750289741015,0.31860094906234326,0.3718206509801597,0.4324783306811896,0.35001223583245006,0.3031162538846095
3,0.3093076378546842,0.24626599435862684,0.2452141584133813,0.2935560002066668,0.24823897129050249,0.3038101187770497,0.2613503250103217,0.2466061501482517,0.22315053990001382,0.21387845527227717,0.2739053896871777,0.23096467444039565,0.21908688250439323,0.2126243095621156,0.36150870980246685,0.3427339888150786,0.23938213422303217,0.27970146011063013,0.2569242313102338,0.15864652344504926,0.21064716630073088,0.2966115732864157,0.29552327086485664,0.3467344300622158,0.23149933543964918,0.389488681377161,0.2975368736944844,0.2818347670612069,0.2249858889592874,0.382290844071142,0.3162357125943987,0.30932546213853956,0.22235358815123507,0.3343905500661766,0.2851670026671376,0.17057184550451637,0.42180356237606786,0.3436296679817237,0.2946152628277319,0.27564461264279616,0.36914225252023897,0.4290957109705854,0.2840795495567785,0.33839035667134126,0.30023668427848615,0.367749472471846,0.233710445145566,0.23814206051922487,0.3303124545579239,0.25908372968419674,0.3333561253679451,0.29591625068067445,0.29975602091612435,0.2851510994275825,0.36157952015559247,0.2356078802746071,0.2907787946680079,0.38942449246101896,0.2980274265975608,0.2954035478701526,0.2954901005480906,0.2484857342682557,0.2764603534146491,0.23470712461579296,0.29396218070831875,0.43058367778298495,0.22627951357962156,0.3350775133884276,0.29525146658454626,0.3364851662653647,0.3084763198767233,0.25260183442859535,0.4200185258033058,0.2421969813680711,0.17567058419235237,0.2923913759937583,0.32806863122195473,0.351812416501861,0.33357257384841954,0.2638908806411256,0.26836225300074756,0.4179807210600823,0.2695070375206223,0.3400806607315592,0.22817261772707564,0.2298695439095485,0.19942658150570947,0.3032697185106997,0.23181153127418047,0.2034480459980536,0.2756896766749816,0.17737769387652702,0.3487261099579051,0.23604768960414158,0.26919212443283874,0.2032904648027869,0.2779769246912508,0.2447168792550829,0.2625921995380798,0.27690249761529023
4,0.3216983143841652,0.13008241921310493,0.19130847499765352,0.21257646976770556,0.27876264752729996,0.14346152617741625,0.19068524529072406,0.3056911662893964,0.11631147890944932,0.3180347798526606,0.23740533620911936,0.20688041364330984,0.2359977572777277,0.3289375605415944,0.21077544755671118,0.3103348292631384,0.28515807463665493,0.3412209374804676,0.1990045597954973,0.38615431473400463,0.20254057658356317,0.24808723732061677,0.17654624435076038,0.2867827556540211,0.16832949876213438,0.20353011153325784,0.18359264388655422,0.22101311645767868,0.19471636237989354,0.3106222151611957,0.33059576335517704,0.23915980972983242,0.2707090589832678,0.15633715026018757,0.27341668649832174,0.30530746679481585,0.2646542854492786,0.20363812912864776,0.2792130095823263,0.2927380492243511,0.3142095846011427,0.21418660198167083,0.24255922039967265,0.2956226164756759,0.21093784146409422,0.4441201350345783,0.385938627712306,0.27698688616041434,0.19732343733879665,0.16511120326417478,0.2956596881076938,0.36064387742861437,0.22703181972857256,0.2494975739244073,0.29288854972407996,0.17064855936684953,0.29408208571665356,0.16938237717265686,0.34862133493263076,0.30571139516109636,0.1888510119542927,0.295879204601467,0.2679824585523137,0.2090013819518735,0.3345897254385761,0.21459444841842074,0.2545314526437471,0.3603136660107118,0.4851538681556405,0.257861070208367,0.3469215631219686,0.29365930106913624,0.2554619121010481,0.3389237210540438,0.19661229576304462,0.2881099697807824,0.2315862957265381,0.193024278918555,0.17877796799814594,0.21019655578975827,0.47575087591426085,0.1976271048048438,0.3235058217818961,0.25859024005018516,0.3556554135130375,0.23506278751036558,0.3515606981951117,0.25682164325632983,0.22941165298325356,0.17105282900666835,0.1929601779173531,0.26031543587230305,0.23242688472459216,0.25132912286931236,0.15579392341210296,0.3057313013833158,0.19072308628631907,0.3336333901427003,0.14977218983760543,0.3406977014391287
5,0.19266328861813686,0.12013363062328214,0.20009809408051377,0.31770338991744895,0.2363852820616812,0.29631803072954255,0.2126912953223281,0.2524020465331047,0.22656018387188914,0.23154402902283744,0.2153212248872569,0.1983072223648592,0.26397182199032626,0.2388595926586231,0.2282047606085037,0.19738229144396802,0.1464919049771799,0.17966933309512034,0.2680912047372985,0.2091626875915057,0.2096375372901344,0.3131285429405427,0.18329962929274096,0.17357353653137653,0.39663549662692754,0.24943608073901397,0.3379916778307568,0.2703753433982743,0.19667760002367907,0.14306297952380448,0.27484089455277416,0.24137342338744983,0.19756956299565775,0.2582633961685918,0.29251958338183526,0.18426558999522713,0.18453839174511466,0.2356463377175564,0.2505136561687298,0.18072109694841648,0.16867363770250482,0.18128800528878863,0.14528669962068036,0.1845295780367716,0.3096988734932117,0.25833317322233595,0.3324720996340566,0.14184255895831321,0.3083992232360625,0.26136902263108763,0.2857313686428088,0.2547767770394457,0.252879280451988,0.2266216878312211,0.4273598256374248,0.1899776000205622,0.13783446028241653,0.15016937274234998,0.2403115499061902,0.28289407249686305,0.16781792540438845,0.17145294089465962,0.28366388042453106,0.1877077540905443,0.27031537076713463,0.17732940776393813,0.19353679941987134,0.17364753257847043,0.2022381360584597,0.3331366773216269,0.2314804043215068,0.2782190304056169,0.15033447594275284,0.16020987027498473,0.2669241709971208,0.21788096258009498,0.2301018478783769,0.19716577467374213,0.2387355528731288,0.15545815788937045,0.24152495892321468,0.31608410235152634,0.13056339606556377,0.2165275949237871,0.19887081776561621,0.24042744018423168,0.22624150766414952,0.13913295731792136,0.1479271199730285,0.3112747928786528,0.11163153510048018,0.21566868016519664,0.2506623726819813,0.1802724465697706,0.39332823532872396,0.18860400115423875,0.14550458555060197,0.17881259401972016,0.16353898912619863,0.21780047104969497
6,0.257431884120131,0.26384179591525336,0.22949283800104198,0.1472431781355134,0.15209053534759004,0.19920888616238142,0.19751373668779287,0.15298366780093647,0.12775434155397525,0.15963064747511763,0.23887006954779993,0.13495700701383562,0.183444491416894,0.1807145808368773,0.19090011890423614,0.14734676870340374,0.1822451329584016,0.2736849986432554,0.1764049006871557,0.15269868887881766,0.18279466072379041,0.18929758742554847,0.19949865393470995,0.20820436877139714,0.1390288639485679,0.21301377066407967,0.25221697313145747,0.26889781448405664,0.1696010793472369,0.23193280257564064,0.24889929365813013,0.13011482306826178,0.08045943241032372,0.18426029633081092,0.19946278606951628,0.15597849567061373,0.2678950676648244,0.17360315096559947,0.2450249748862378,0.1709383389483662,0.1649937191521168,0.18920450612977474,0.20393393162360773,0.17755953759903664,0.21222623886658015,0.1491324515450636,0.17426822641768663,0.22532571484150105,0.1677952143322089,0.20061807742769383,0.20197720909930583,0.21655106445745798,0.20163378375041002,0.08847768300535802,0.1158387610893798,0.14686626392309693,0.11053499051161075,0.30705298759372557,0.22438480829003293,0.167021529422817,0.17451330537379983,0.216227366294437,0.13236075945203074,0.2240743124219548,0.1647180933588306,0.15357562118341606,0.1446151662875672,0.17000250508242615,0.19560422204833045,0.18746478323469468,0.23705065264635644,0.2379996872807154,0.2533781455751705,0.24657894514339757,0.163864200594102,0.16029484973397,0.16693202187481815,0.1946000931404847,0.18647927841540746,0.22368822840962616,0.22176228019350797,0.20217061171810857,0.20486352644478495,0.20542124662216588,0.195479385856977,0.16744003443676397,0.12816243180551412,0.1878919478513783,0.3191192516518504,0.17128434771806905,0.2346187934662824,0.21519614843268325,0.22107860143557845,0.2558597069558386,0.18781744614263934,0.21733784277765894,0.23881364501513863,0.10507214650614449,0.13843997982541634,0.12788913680508945
7,0.17407523866022168,0.20483367677200287,0.08993648858154557,0.1726097798535165,0.12087653142004695,0.34355589697352784,0.1985911802231206,0.13174882074582867,0.08624844068985987,0.19701431825107518,0.16468791772376595,0.13439884832849536,0.11194549432786949,0.23642102996925302,0.16166706316291835,0.17286644443404608,0.10293289856909449,0.2049163702031046,0.17801990511401283,0.09749106856153023,0.1749676385950667,0.15564084335422956,0.11818164488622301,0.17895419997513962,0.20175900980910344,0.13477650031957567,0.2353468973665358,0.13469336985189018,0.27966975476704437,0.11663394547430594,0.15451605532868767,0.07716252952617719,0.22313080165197652,0.1691301642121928,0.1856109573755425,0.2272721145533806,0.11310309767753401,0.19143401861629888,0.209485947383225,0.13773807949236855,0.14011764969044072,0.21979067241131067,0.20652288224367404,0.10122193803583224,0.16583301495276231,0.15957592013543448,0.2002971889076931,0.1298018801004973,0.2333842295691415,0.151762793746119,0.31181043310403334,0.264227784035513,0.11893262159129753,0.21088201740409618,0.1835324465443544,0.2577700134069736,0.16847054655631577,0.22814376901195427,0.10897963396973454,0.11512678706317953,0.15646527537978933,0.14922665431972726,0.2833073020363146,0.10931529623164865,0.14439955434598029,0.1181032201041099,0.22488139714515837,0.18585225818347273,0.12613921310440357,0.08133868171933484,0.13192533921891014,0.2474012360708121,0.25869440079448935,0.16219500738220427,0.30005497535250936,0.1594764101642745,0.18301668222953715,0.0900779525400946,0.1807544256684651,0.18657945620052946,0.3220067376423578,0.1527842184261638,0.16060649625531032,0.18823825174694236,0.16655595019201935,0.13859602867593535,0.1318620356554021,0.24448092603045757,0.12086264434614113,0.11867882509363248,0.15568650951879082,0.18960129583496982,0.23263948153490094,0.1544693080137518,0.2235842408200433,0.13258416802658002,0.32529117319393874,0.21582073111576128,0.1709477983685604,0.22581417476169896
8,0.07707208414383387,0.25474558388779656,0.16742316235264054,0.06494379745987733,0.11966194660412394,0.0979220330709652,0.14261535328582675,0.2658432319905575,0.06635805417977853,0.0511313640202975,0.173757079885275,0.17632782714241318,0.11573422634334007,0.19292013925526574,0.07281809006805467,0.201118057879212,0.10998265041184996,0.07549236030192996,0.10241047617171062,0.0691197971171813,0.1981899429939944,0.1636776538797754,0.12467187794705609,0.11104054219115106,0.13853877007126314,0.10193503300599999,0.12024804189145771,0.10173911154970061,0.06318659594754156,0.25354358175392,0.12011024166375689,0.09792370303599196,0.07491866452432039,0.225433005372923,0.0868580645472386,0.13263000117417278,0.0500580574778377,0.21751857624375137,0.12023678017441142,0.1664667912811848,0.11318000462487066,0.17325270899658657,0.0792938730043774,0.22373682564633585,0.13034974496738422,0.2799884173793108,0.18727898605777005,0.12911315728153483,0.10706075283216343,0.21338421235155414,0.13906613877042467,0.18320502609499195,0.11213516859578143,0.15304705331017765,0.20393432883687979,0.09753142748453947,0.1709629163447987,0.09318078910973959,0.1776848734238618,0.10848066192334066,0.14759722583587576,0.08562142573622294,0.21146259473355777,0.27497148301168517,0.10771356811132549,0.11791317800187173,0.18381385764463648,0.17625481836124207,0.09587245134869421,0.10117844306537754,0.12480238940956162,0.13130878681826896,0.08360108636573571,0.08101734481653489,0.17137719585381206,0.12491035269874795,0.10404944528275728,0.12855002664301807,0.08635409864927646,0.13511239738151926,0.09383581721076978,0.12620285925936398,0.09298678604694738,0.20467312416863526,0.10093940816526353,0.24901631921677825,0.1433185086182382,0.16638532116004934,0.10147311184123614,0.18810184298225419,0.147433441046033,0.16241936735754714,0.18613566179596852,0.1898502314441639,0.09116915442411372,0.12315227653039884,0.1585977191293032,0.20253800812291645,0.130742784918144,0.2706346675167467
9,0.13817801366495053,0.1687880878274602,0.09673146113981745,0.22439815484409725,0.13434016395270015,0.13502310833413556,0.23771494863846793,0.21470422809024092,0.21056946013271532,0.13371456843516227,0.06923637932280668,0.09179838933293832,0.1352519772123067,0.14395388168596757,0.10220219542755571,0.17413815537998084,0.2067862472210794,0.08401509614471026,0.13988184637437817,0.06563014886109902,0.09158867921390801,0.08570868141842952,0.141389587223136,0.09203844390529803,0.06752476808857444,0.06754449383674582,0.12758759917497275,0.21214537857033144,0.11046586801466918,0.23319532676657262,0.18304808567133013,0.1067084557000163,0.14522994798770694,0.13081266643601658,0.04616540653206436,0.10422053244078333,0.158221984790737,0.09152264432281232,0.1069633488681998,0.1665696276496602,0.13199637270801318,0.1371806510184106,0.14065174898232852,0.14156752699980368,0.1106995268674093,0.10271696506694938,0.26518501639053244,0.11136277947173134,0.12599533184285655,0.22987478786085835,0.10796433178118542,0.08378920387981081,0.12178869534250147,0.1409170582163266,0.14916488306831988,0.08696040549148171,0.10096683218889485,0.1428034135128502,0.10516753149955871,0.12641318513750344,0.11659931448110233,0.17802785107944558,0.17193710286446018,0.1598677608134278,0.15638968856423663,0.13252969314708002,0.16236596211737309,0.14228687929824352,0.07954750665587407,0.23189912145067437,0.10295083542628947,0.1269674326855113,0.06112969882569763,0.07775577434850495,0.1202486348334289,0.13840309132806955,0.21203187271502044,0.11363369577308047,0.09853526487637476,0.03812917274377359,0.09002173991728651,0.2509126925538131,0.1163950199701686,0.22691468006229193,0.1726066933492686,0.1506443237958045,0.17547724184605457,0.1229946951480646,0.19576939886083233,0.12396772700170544,0.058999235388796645,0.11056761198044257,0.14261962931086275,0.20111983937940642,0.07811028284363158,0.12323945049541046,0.11889886403259442,0.11515031046385654,0.08473683969390355,0.29286920957908846
10,0.19549629908228588,0.0822317773244628,0.20633512730764114,0.07729231475659198,0.17608715431249883,0.03819690058672054,0.06416812265490829,0.14401088630489367,0.06445219562916799,0.1356023063049525,0.1530414718755897,0.18867279500725032,0.06264154737105432,0.06844462592601247,0.03892590777451305,0.07136511443192423,0.12747295800162295,0.1290887591695784,0.1404096469978215,0.07914776839573945,0.11846517844338655,0.13781702571940235,0.07747505570661328,0.10991960070674306,0.16915719198154427,0.1776233554302754,0.22616994263587842,0.23070592097474873,0.15298820581559314,0.07629000620254578,0.09590034879971454,0.0711838146327684,0.09843080420823414,0.13209675885343264,0.19387282893632463,0.1713749595459252,0.10241010945298068,0.059203558859093286,0.10239202334671571,0.07407712644635939,0.060247819290092264,0.18993470793572848,0.11443967193253368,0.08743711215309491,0.06790286429483411,0.03557279743489089,0.05992973340272367,0.1279894996645229,0.11960619383736354,0.03641860072864689,0.07988744245637486,0.12381158185750518,0.14266341449737613,0.0721231724927231,0.17858156001481118,0.15453725320124334,0.06001433159010072,0.09414733758900473,0.1582655400818725,0.108730244329105,0.07848267714180002,0.08290073425334965,0.14224312180213072,0.15220647048374297,0.10901668161987715,0.11760425428065135,0.1352082564702703,0.029845696277744083,0.17789071448924443,0.24143660005776713,0.14386995790989954,0.08964114950786695,0.08379895556886818,0.19186534690974194,0.06877739821164358,0.11755863708138509,0.07474201808491343,0.0760679251140618,0.08197613579376395,0.059315641316290746,0.10563902359695615,0.1768598051080873,0.12191164642896002,0.04335714944959246,0.08029193875256257,0.20877826025380403,0.07407843222998212,0.08999292214499294,0.20520465582053982,0.17372062996578908,0.11782640581318632,0.15246752468732777,0.1092018503999086,0.1160123156424514,0.15030143076938884,0.13984656438965792,0.09983092988470849,0.08160281180488377,0.1291650175653689,0.0400851910143708
11,0.0623259604823318,0.057970047035545536,0.0858861231834902,0.17340920672953392,0.07065020458915677,0.07066370869226268,0.10040421576746106,0.15387465829378733,0.11278181467097281,0.04712681291111204,0.17985822019486042,0.09790338843261087,0.10550027830463299,0.09140200573686474,0.1019398904589523,0.22850489534820184,0.14982146488049186,0.07081756149460094,0.15732465925499645,0.12116821886599799,0.09429981174319985,0.12645070269659708,0.1491934460752966,0.1088722849476007,0.09026425587546577,0.15914509546885186,0.144600146005113,0.05935490192340953,0.0999085340433079,0.02989160668752361,0.09641023764778756,0.06261972277641009,0.12282695644576458,0.09101499549412606,0.059787763482678835,0.04599728276081,0.15162697734286756,0.2150085276845729,0.08671817387912062,0.049765504219792145,0.09620224879833045,0.07417563818800366,0.1579369863992866,0.17150713217082902,0.09273671332004113,0.057300478261129495,0.05352633968553333,0.03545511090985365,0.13341179917510088,0.03809812330478696,0.0829392048291358,0.06288535094155445,0.1570784717596404,0.07846184256003103,0.08868708574093653,0.12873155398287395,0.10738044191678497,0.10262537716829911,0.06300644315573617,0.08607435496740506,0.12796134744963628,0.08387092211925906,0.1394502215853971,0.07912414100480825,0.05709446608423874,0.10949835290038423,0.056774521430798475,0.23858186967829248,0.0848091366888733,0.04713812067600809,0.0958586815446491,0.1312180478055029,0.07523823988336509,0.04498410041958978,0.07544412008716833,0.08489185219048456,0.08866293606038439,0.063524494145339,0.0688132388407508,0.07681710797261787,0.19932693803964896,0.057345551769824255,0.0900667484809764,0.13428365166669126,0.10507076484969297,0.06416857565320433,0.0703154650988872,0.15002303941933415,0.05793142657163047,0.14082998313903594,0.05743032692590394,0.07436356131039984,0.07034509278724871,0.09859302411356108,0.12999825027812983,0.14052166431620478,0.11186645938111145,0.07845228440147989,0.09133708894015402,0.06526899051563562
