k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.08479137163338969,0.013303941202994649,0.07571998278944427,0.10244066026787069,0.1041921639706181,0.12812859204535335,0.054557977153989135,0.08847965384782078,0.12490907815037205,0.1237887426402302,0.015224853985378123,0.05484346687084431,0.05736206294909579,0.10210157626147293,0.11204419566920405,0.11472542686889978,0.002097129236403622,0.12405911893391487,0.12204979728332743,0.07732890806441899,0.00015118019469281818,0.11645790700536927,0.10137207393505956,0.1080479019100436,0.10949956762784192,0.1320921484419298,0.1253000160796184,0.08992121872931297,0.07715511595109092,0.09635638557552381,0.07075601234929749,0.1295182387202904,0.05773035149719845,0.08500809738243217,0.11064092009673122,0.11910067427277955,0.06397559218610523,0.10872030699762784,0.10084526853314643,0.05724952877706509,0.08886881275735312,0.050060776733585055,0.06581748912372597,0.10918722654360531,0.09445123052350973,0.13176286866902512,0.1095602047683557,0.11083218397747535,0.10888700432136686,0.12888578116763513,0.11559407437747013,0.09940266712398477,0.027913261111996532,0.11480672596671418,0.08907456251693532,0.07053777327347877,0.05450456841108932,0.04784683569800742,0.07710971443208094,0.04290842404341966,0.11721440800496274,0.11727343376232031,0.1267129073434244,0.10737112708840876,0.06485507500863327,0.04203239287068798,0.03150890293382018,0.12393727972731021,0.12022613314378872,0.1097394168495967,0.12695437154737232,0.09344126962862065,0.033192153196865304,0.03789014317456897,0.000997293653278497,0.05104058622930052,0.057341283548459576,0.08783054896070724,0.1075955367935423,0.014440506557519953,0.11041129354869283,0.0886197001874465,0.11890984501404395,0.12999146720519103,0.05850716503205035,0.05667983457740876,0.09481897428181314,0.1201557132832519,0.07532570875810438,0.05423272277266318,0.02477070556231234,0.1081923407761546,0.13267602405154663,0.0037104490897917897,0.09868170654076525,0.10573467626769595,0.12380872049296206,0.10601004142745042,0.07389194562969816,0.04861171616195552
3,0.04383675908652489,0.11387268511978899,0.10921935349011146,0.08489156684749188,0.125118887653116,0.059956527893966646,0.11037929229499018,0.09888869218559936,0.02034201965006792,0.060999698034008426,0.08956591552119476,0.013570962421694227,0.027508709252694205,0.08524037519662331,0.07184140931158312,0.0603491577185708,0.07206679275098458,0.045773032524217355,0.09920238945431199,0.0942038181362731,0.09321865055363396,0.07118619471566823,0.08765602552773946,0.09127780073596453,0.04208611008064307,0.09138120006414727,0.044573467826196284,0.10879404263639966,0.0835893801720424,0.11190670098802669,0.11853382331309549,0.10388207436720837,0.027619414033274767,0.0966836671192185,0.0005029287568946439,0.044831775926122266,0.050701248827072276,0.10733228763773794,0.06004589449116515,0.11446059385150799,0.01458788995400255,0.10311206766521576,0.10548749439663918,0.04497537192483725,0.12296458845481217,0.013088733736811159,0.0154081102056315,0.10938998482860278,0.01836242459538666,0.0728569639337797,0.07494518329697517,0.05549446166430495,0.1200461706453149,0.03712895726059652,0.007876629405045132,0.09164736159726578,0.09545876643039762,0.09100256566498087,0.05864729039593004,0.05664078430213623,0.10902323115986337,0.07323902695752048,0.07511802939289802,0.11423865914132704,0.03962151202622469,0.0348685882663992,0.06255024601439521,0.07102564600398448,0.08517944027941932,0.10423539868839228,0.11337721256815601,0.12078064179765131,0.11328749128242781,0.1087185426927645,0.09553272410703265,0.04904621417706578,0.0019262423762357594,0.12407270946892827,0.022043745076173932,0.10539704996793862,0.04704743393047556,0.07872776270814284,0.09604778548986159,0.09239226410071948,0.09368585642627772,0.0922681450757237,0.030233137666929116,0.050957876519529044,0.1208254230202624,0.03395818456890573,0.1267359712511927,0.03254535700560929,0.09286854535857092,0.010158676920040521,0.11777102500417216,0.12109195728911307,0.09587589131260141,0.11930390031858026,0.051907467473826074,0.017172735305891446
4,0.060174259523888135,0.08072093777387879,0.013462829430456555,0.010529408391663081,0.012020745812900385,0.07451248438749035,0.08347374631768897,0.0625021939718432,0.09512620716196743,0.010054699916883153,0.07934122721619591,0.05670726596961623,0.10528057335937636,0.031156804157478055,0.05984689168047666,0.0656373455141727,0.10569849481905355,0.09440632932054047,0.10061595797919824,0.11827366865108915,0.02608976181418847,0.05450902362778576,0.0023305548169202106,0.09427676314502,0.10039755505929532,0.07474860858451476,0.02763178683236575,0.039990036745860394,0.07169474907306889,0.09976950309186997,0.018080806473416353,0.11933250435815917,0.09994343290375075,0.0359866753672551,0.0780327381790247,0.0819857659083644,0.11257506333195402,0.0043104353148483154,0.07530238298423471,0.009377687591400286,0.05331868065480423,0.11837068282102194,0.01986996463252494,0.0021862559961423333,0.07862621006664272,0.0909589528798311,0.06543546640586836,0.06662810872633396,0.08787310488595297,0.06658709026687894,0.10132186851386663,0.09149504926715807,0.022970900807155692,0.07920962300395028,0.060962080083767564,0.09086868024261727,0.09795304762065529,0.029939138014232702,0.07299507359510082,0.11450556803487462,0.10432400559730573,0.0018338182331804065,0.0916182458396015,0.08141177882267844,0.03490430275145283,0.0291612332731713,0.10186336476574803,0.08640641758763268,0.09068725108290376,0.09475762440737107,0.011095780307164918,0.10791695706180048,0.022657785962969412,0.016276857806297035,0.08390281889974185,0.10542297574945103,0.002258547910930747,0.04958962463796393,0.08531805106422852,0.11283954396543086,0.036321140073779734,0.016984098016164004,0.09934169782182195,0.058490014342643004,0.046476776115755514,0.08979444760192529,0.08016339385226355,0.06967188628160721,0.09651798193870426,0.12005558759115048,0.0076993570812899925,0.04203301408490831,0.024982743012184408,0.041485604736912735,0.021803159870192934,0.06872672070652264,0.07480893989732249,0.06155560406428123,0.09077421873929756,0.09666985041470694
5,0.02553997444057865,0.07678839906752113,0.046238795859847415,0.0646387451977404,0.03911197443327523,0.10849288852935046,0.07912576365582341,0.017752727234044585,0.0978397134035482,0.04974172042273291,0.04103521227676464,0.027701590915633068,0.03751011583275263,0.01973471101457422,0.06942215540484986,0.03698226041730995,0.052690709385804585,0.014772136491124604,0.006499824905214141,0.080594665638593,0.03529471489395607,0.02098763283023497,0.06621356403332279,0.07699830233874327,0.09995651834116902,0.09158937224219571,0.01331529530070888,0.03873130353258922,0.09255536800122077,0.04456195712758776,0.03873426425657994,0.1178765984787011,0.06729083238533023,0.002649105620785852,0.07280904645235749,0.0004080673214653663,0.05038578985596655,0.015544624732620665,0.06725056551462218,0.05273531814305275,0.007887905687428032,0.08245382101732598,0.08046320554416281,0.045171082863477915,0.030688719604310744,0.02674315734404223,0.08508139379651045,0.07753750267497092,0.08839854250734218,0.07244744651041453,0.018653309223141637,0.05450878712571744,0.05485370938834386,0.04881962002890053,0.03949574544458699,0.013067838388084285,0.0043330713900549545,0.09133710093464545,0.06827338216118706,0.02816103362826236,0.04327576033663638,0.04802692050799964,0.001171232858561272,0.0787254502563657,0.030550361172945767,0.021327899056397273,0.008053606424657495,0.06244492379048397,0.031181324087941747,0.054789507282699004,0.051626655013121525,0.09406896559388513,0.03902156504662596,0.03837634012255131,0.041038336119589375,0.06481445514373323,0.03244524196888196,0.10407557395167918,0.09231715999402049,0.05785627668424323,0.037048525886035036,0.08374841847218123,0.03241451023230649,0.09532991188699541,0.01953721916432094,0.04350681744820234,0.04441807139507173,0.03267570848193466,0.07277460939451166,0.003948905974742872,0.00626360533713885,0.02249730887617432,0.11116361123031152,0.056676773477666476,0.09217442036832635,0.10613497028039758,0.07202752541708791,0.0396548080383108,0.007111825736970168,0.013998061360808514
6,0.07868817487237728,0.018429710182555903,0.03946326182328799,0.010625548866455434,0.05645250590997904,0.01186612872231571,0.025832661477342603,0.04601127547224826,0.043105402054222336,0.015601635990191792,0.05789226977133484,0.022940572064748824,0.010346055340712285,0.08813306585982292,0.02531860579776811,0.049188535594936786,0.09966829696150648,0.02051812646261622,0.008967911313868121,0.022570004699575458,0.02203003849153995,0.07271631414932292,0.03816145291413217,0.07844977896415625,0.03462221334217813,0.03316804431625536,0.0527882159685065,0.0220528827993898,0.044670323740578236,0.049028985576836964,0.05211018115153504,0.0038192509606590763,0.004403294005687647,0.058551889863323284,0.03817376578376103,0.08932604287765261,0.006455786476719488,0.026487561812185617,0.08214199309360576,0.034086614296186105,0.03959897507649113,0.03872602872159456,0.03498100792174512,0.020305435116147935,0.06487793435033072,0.03421839081661153,0.021469056616490095,0.01311663216525287,0.014048006396133655,0.09484829829555076,0.025742537734634155,0.09001598701812824,0.058002152974175186,0.10821659258470935,0.06709966648100014,0.03437063397610776,0.025760206913307132,0.10104458010600689,0.07438688128628682,0.06025578631013705,0.0016032038814578209,0.05626256984179112,0.0493757794730115,0.03974761032942145,0.05633010251060841,0.03309748940843235,0.08418135617345762,0.013554780776771552,0.02842912344423955,0.03117867130764565,0.06439976199397499,0.046791480540814986,0.042300895753224196,0.05740503682622927,0.005430542129442495,0.042029035711502544,0.02436203233354009,0.003197743982570944,0.022186267146151295,0.030316533351399846,0.022256678879276973,0.06757949251010358,0.001824686246596735,0.004979763451147784,0.004085562887669064,0.07936552622267565,0.0032611436355895473,0.0441346472099904,0.06259519311023211,0.036998194610692106,0.06646272408774634,0.04266182784739862,0.018651745598273498,0.010643032057917085,0.028788160278601843,0.08433563706736674,0.06915420730243219,0.06605103539924227,0.0707841246587814,0.05754840043629325
7,0.002049540150882212,0.03048127862837169,0.013631674285250667,0.04143144907201057,0.018514665524946586,0.027252896801092497,0.08317601304560755,0.04592809625626025,0.06520422214187546,0.07993035500419879,0.07395877568419548,0.04762603026312319,0.06747991450442245,0.06586841972941102,0.0393695345310735,0.043611301546901085,0.08484763344363302,0.001387358200051203,0.03523766883410431,0.0012013189084360831,0.005973548253220329,0.010737414196663936,0.0340557974064903,0.10021758985943843,0.04296264337955684,0.059321555449344754,0.07650441841838317,0.03681803171723999,0.014815061163051133,0.01081645088055265,0.01191253435916223,0.025148606630362197,0.02823100291553697,0.02951028095416605,0.014751659522167254,0.019965607704807375,0.03130403498515226,0.01511429380357808,0.03416612769737705,0.07310465718212564,0.1067518722591178,0.038689164798867,0.04669557594457868,0.05962472308334138,0.03063098875051433,0.08054680748162318,0.0920102418327194,0.032985201493778676,0.004058969150353642,0.06825371537807573,0.07883146441383015,0.03782819840578734,0.04298518689021298,0.013632615847419371,0.05260047393078052,0.0020291665753088828,0.03813311457602159,0.09353981151781587,0.04616957924005953,0.010898649209772432,0.060200733119701186,0.0753411668008131,0.038406699559947535,0.0008461597124198861,0.002588056992983423,0.09421265966270004,0.05301807030342097,0.004150675213777044,0.03836644495434549,0.0071861752423123815,0.07284608828471051,0.0024898443487471056,0.03179251024024485,0.019324438556334533,0.07440101517500253,0.03418358023084707,0.013352446643501492,0.005768654088152747,0.02281476619907817,0.047459127211074106,0.06363246205187818,0.02711355201955168,0.07484180012089853,0.0322551131637482,0.0731737941317306,0.038971412038031464,0.023658877843949724,0.042019597276249265,0.026429566890684722,0.04393341378604157,0.048049620111166966,0.028913213371905083,0.007462897281096975,0.04974546288577081,0.037436060912112185,0.07512532677468353,0.05632396162589723,0.06525924560785007,0.09222106719062702,0.06908887396445618
8,0.03877540641923195,0.015117288453147387,0.06079897588075321,0.017733189183573014,0.021902435816302385,0.026978200574128197,0.05361721310864356,0.05103076561119846,0.008666194339922911,0.0037237410928399606,0.017758893554180602,0.00631549990046662,0.059755805313416344,0.01446082328902129,0.045937989446298316,0.008368201488479748,0.0296694236202856,0.04209241833690466,0.025035678277378043,0.026760429652049347,0.000628050072519093,0.00901302966855319,0.05450966235632637,0.05238084653744357,0.03881637049991196,0.0741459539774609,0.06766928209420622,0.030162007271827745,0.04419049628976743,0.03140385759627533,0.05903846518721906,0.03285396557665579,0.006885960376861039,0.02543545863544834,0.04998912129183526,0.003376775149588729,0.022946203223721262,0.025335868108109255,0.0010059661645886175,0.02097093825216395,0.03060648638058211,0.007520024431197647,0.06550698625284765,0.031110088993740154,0.059154207327539135,0.0046275534671320895,0.03787333779128289,0.009486979430297221,0.027242992714716446,0.00045449650735449043,0.0817345063977778,0.038813480504073156,0.06447496871525983,0.06521670491765275,0.0755498480741128,0.045897164240880084,0.0005477687865985126,0.06305165330210286,0.04649790689196652,0.016072298012790837,0.02637438246437035,0.0150322261938107,0.022709028549909818,0.057012642168002114,0.05050096380683895,0.0007911197978575923,0.03610426384666833,0.04137604033402051,0.03761509690021504,0.0012897390913105544,0.008655924073210891,0.006143124644038156,0.049245396534341554,0.03406702848253859,0.05689967856095665,0.009566330952868074,0.03955608916198837,0.014419669300934579,0.006450831465425966,0.07609987369770355,0.016025200412023516,0.021988906654583057,0.02053962738267201,0.08775058440518257,0.016533486191255872,0.0320573607544164,0.034284769312936225,0.020590879114543978,0.045120756587594374,0.007293682616645036,0.0685456058009913,0.044886185495209494,0.023962515830557612,0.008766896841539557,0.04737440238700612,0.0542570478562141,0.005343890836602416,0.05637013305795113,0.026969798451898813,0.06290917067206711
9,0.0019420389565590612,0.0170941475722316,0.0021576839611986143,0.002262380815971715,0.02209348992976705,0.022802186542307756,0.05327329214324528,0.03500285555206023,0.022323532490782547,0.044216042028021166,0.02498129206083599,0.06456665484051825,0.019275283757913125,0.03394026463296372,0.03319867901055168,0.023239115471628977,0.0063053111159513675,0.0525800817992778,0.02997187187549942,0.002768315242645175,0.06879284537925684,0.03925928209399744,0.0031976084265736004,0.015086400491053517,0.033276881347785406,0.050278918929811234,0.013194922738396841,0.01379838075143705,0.0439810650232389,0.051017555325971395,0.00289306262078895,0.011437531371308068,0.005759186803291266,0.027527340597198927,0.0010286020874492319,0.06438437213758438,0.024583907354973095,0.008151311494802943,0.03129932020118037,0.0351733766184497,0.055845828080576934,0.05067067256474267,0.008262677338672697,0.06674966563583212,0.01597952297474109,0.005028192964074668,0.047604171714635685,0.04745772767131344,0.012042420944771592,0.041531226776520574,0.02892198984064291,0.08098464855691145,0.03389140711304092,0.030179835579127928,0.016613528693355084,0.02122316497907835,0.04839478554709403,0.035251030279612974,0.03479489318431539,0.006501342314703756,0.06733248722230627,0.023749793461163557,0.01254136801951758,0.032561939542370716,0.02356743147036447,0.01589924532855891,0.06620721922956543,0.07153070202871406,0.004001670317452161,0.07275738620318485,0.0036796730510710862,0.0053012173066557255,0.033159809746814234,0.038026350801828646,0.001946850353626628,0.011222321121148016,0.03475308537984281,0.004957988165457755,0.022265735707499346,0.04619091823364285,0.006818772344539176,0.015626339551597132,0.014542842624969854,0.022862711227421756,0.0518788209610648,0.015421234453079774,0.032059737544439526,0.019599946356312348,0.09176012725845445,0.07310452855880065,0.013325497768903627,0.02608084387506475,0.052839434636512306,0.038228004025106815,0.007022604515919489,0.06813198921855447,0.015523118495857802,0.026532914195509807,0.027809379344766086,0.018310916048322176
10,0.011754963763996193,0.04146657693379961,0.01632609265586636,0.00209704641347358,0.04719126573917552,0.045813432920015024,0.022570666237916065,0.02938858106684568,0.025286237929742245,0.04235712877317671,0.023680021582685937,0.027483335648995647,0.049716509747110074,0.024708857045102284,0.008987456437798191,0.018714076390614592,0.039023398531430095,0.01002574946412195,0.001043826563407152,0.03899872210228536,0.033875902531443375,0.01084626349562856,0.005702492772390821,0.015298538418474436,0.003978056857606882,0.014159645811664165,0.02189759959183013,0.01980589800984399,0.009690384199356972,0.0719148231468342,0.011408873695810243,0.002082635560868157,0.0029609199770744,0.012196656999283573,0.02108780520110906,0.039398251504005416,0.0383275566074649,0.013146728270912428,0.041978455286670366,0.028052200609136768,0.0017323378554024438,0.0527880945580336,0.0031829988653390984,0.036709157700650016,0.057837286884247205,0.008772633680750125,0.028377712460291304,0.015506232886127541,0.0014195244103868965,0.004396797902153499,0.02275046295685497,0.03305659270057282,0.003751655761455336,0.03052897199493651,0.02391635183122033,0.037002559507371774,0.013180554756248353,0.034055099431881244,0.06872770694420945,0.0329280830908201,0.016787384093553487,0.012402685397743585,0.0004030394069449439,0.043945846448013276,0.020534531767964312,0.007537367217337915,0.09689794484676977,0.03382242071149821,0.009592157359414044,0.010504347155167362,0.06307039326179938,0.021761521093031116,0.005116921584157108,0.061507015483333594,0.004284982984164215,0.026574420965482418,0.041982255933634624,0.029753227262988444,0.010017258247314836,0.018941956681578137,0.016159906315107803,0.00907705678898224,0.05331128411431936,0.007904632764829889,0.035709082495790134,0.004577195311274179,0.026161457549697092,0.021196024692340346,0.02205506208956351,0.03560196844277587,0.033532038675713124,0.000443187848901877,0.026421254673224717,0.021076852119581185,0.013988079698417921,0.02582136318622573,0.027527268296045695,0.02310120539972435,0.0549516538146026,0.01827674554594097
11,0.007424898712267092,0.03078419127974799,0.060918898858845175,0.030024349370912695,0.005319410245905515,0.021061846962740938,0.05102773246812739,0.008017624949773455,0.025171082806142248,0.008823626998350959,0.023213275371401138,0.016165482562741834,0.01457612894078017,0.01006817821617205,0.01663540495951718,0.043903612236240966,0.0012762989694983518,0.01646839352386674,0.045882254166385986,0.00021051387411227807,0.05269032790957999,0.03799063880460127,0.011113269712669155,0.000664851083152479,0.023861509453409147,0.007144413587759468,0.034137201388106275,0.05336386875900152,0.010812454155675319,0.0015923262205067568,0.026108509173798145,0.01906930893634448,0.04388479843767881,0.026959578993924885,0.06953310989364694,0.008913993445708729,0.022842424400677783,0.017398292695981907,0.024795232372747694,0.004404190161284405,0.04182629969969226,0.010840069794597007,0.0815148241413449,0.046382900461935495,0.014801545042192499,0.05629235994337972,0.006320819991577048,0.008681854084626989,0.014143918846190692,0.042474244277186685,0.009262695917675062,0.02108588838934289,0.010126698152497352,0.022763133639250643,0.03256443723490021,0.017165553569443964,0.012017550561690751,0.004921446611989122,0.0026019416859386912,0.0409911774688132,0.0015965099481866085,0.0028403832643701943,0.00953414021748869,0.0008471707681760865,0.021798019078233727,0.024592934285219678,0.014745112827492926,0.03205891838173261,0.002744938637580019,0.012200666127514942,0.01313928193610174,1.2559488351909787e-05,0.03828798101027776,0.04270616443911465,0.002906985328748779,0.026010510581008506,0.0032850935454834806,0.046918146634513394,0.007557570892659876,0.03332712792394099,0.07412359780479263,0.04029775458495263,0.05889525004620079,0.005423235297746909,0.05880318832252435,0.01728122563615904,0.020862087440439298,0.008237698042433295,0.007305627977559875,0.020305848322650463,0.014334977465382162,0.021492529583169773,0.03620436822615902,0.02854255461648192,0.010192754453114919,0.024141695753329265,0.00024697896955450105,0.07587287720780221,0.040344950670939905,0.0236427093697322
