k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.06585362592144506,0.08598840638016889,0.13223468047330367,0.13082797198362175,0.01765893709877732,0.055115857625473164,0.12626011970369902,0.1212324906631576,0.11534156582559138,0.10943328296546156,0.12448353929937934,0.08893571774695394,0.059171943084830564,0.11444588332961433,0.11553669954911128,0.11475488860989524,0.0752914456893916,0.12890350161813954,0.09146043067951272,0.053040345595928906,0.028810521354436097,0.08343502003059103,0.11253183067170877,0.03269211505219584,0.1256393213690608,0.056865819594664566,0.10876067348797486,0.015578557798598944,0.11530531721035962,0.01900721820591071,0.01842718239554468,0.11268086726109036,0.09551898368625941,0.11980911099692555,0.018424779648731182,0.06094809331575789,0.09534585703179224,0.1165194340767974,0.10048910394783375,0.11192914323116285,0.1146413806450759,0.08150639592246482,0.1254670368291905,0.014230728737276085,0.09885554355453359,0.07962050427139729,0.0528643780420346,0.03970914419474231,0.04443507214540765,0.07363820472215242,0.12357132513250184,0.030588761624860905,0.021704266769942665,0.019032900249322,0.07853475988972436,0.10189563900079937,0.04102080429378971,0.10168799127321446,0.12869667374647967,0.014903154348104852,0.04397812751915864,0.09839039518527047,0.08761749754894212,0.10173219696100885,0.11788328494683746,0.13052847151132105,0.11189378469478518,0.06636928780017061,0.11585526573585449,0.1146891460466251,0.10394086809948312,0.10078056511534203,0.0021158187594580713,0.10920804936988994,0.04594244445973697,0.12277666858512118,0.062000396376314965,0.09936657656830235,0.11360431397917779,0.051648468813806275,0.11804211220571528,0.11880358454861435,0.12022627833980945,0.047203526768808166,0.1309697893347251,0.10592749744797166,0.07046535179468769,0.07992246705749595,0.12460468952640753,0.10170948910868699,0.12802647192966563,0.1260043054095015,0.08253441040959983,0.11516902935359571,0.12230176723518536,0.11619917696224252,0.016036468295853215,0.02937319428321071,0.0708466578845942,0.09233777968621812
3,0.05362799276617719,0.04390833041585812,0.022745824339198584,0.09703025913964873,0.038443142601355534,0.002555947318291646,0.08823947479401502,0.05857945973328113,0.07475504055106597,0.10079686755200375,0.011255081060878053,0.10554190269654397,0.09216178927961523,0.08501382616275707,0.04828535990886365,0.09390890407154628,0.10876868897400988,0.11101892180353924,0.06304318233654242,0.0870895886248968,0.08658946268602793,0.0364364990712939,0.0744243899532717,0.03000774444659382,0.10832568593559444,0.015219261112607047,0.06495574731537393,0.03818270612977996,0.09076342291380737,0.03602097033124696,0.04368338354770021,0.10813963191648782,0.05186614862968483,0.05914896697331168,0.07235748974003003,0.11824057975782187,0.11304884724783279,0.0963801795724385,0.010816491736752656,0.11109114902498457,0.043524387461780625,0.0797584253420632,0.0934206126206303,0.021704143139345072,0.037111469772874855,0.08325865042827042,0.09144862874036103,0.043149611612339156,0.11983967672013851,0.11708806434992519,0.11693474999379846,0.058473073966056874,0.033356465017885195,0.00018391417590782333,0.11299520721830572,0.09903503685407489,0.07064414135167414,0.04398174770539767,0.05063028860709887,0.06660338783037661,0.06279340046700857,0.04498450250360961,0.11780628088298888,0.0033006996530956234,0.0374567556949377,0.0869319288269724,0.051463097981767056,0.0295377787037788,0.11241246912474946,0.02815505576890512,0.00549224609584828,0.11865509612945165,0.10135541704209189,0.022257889147860394,0.06541249878140008,0.08822461111706514,0.046523886424898436,0.10815173782724155,0.0664848923256331,0.09383582543359476,0.01813858743463842,0.07896158491834997,0.0004965680439645292,0.07177780667570337,0.08636989394468532,0.04461300602646903,0.013150142688453062,0.0048778858238328615,0.11010423196693209,0.10229057029169442,0.0676044932895939,0.058197791379047695,0.03522897993685792,0.1049931265915347,0.05114837989266846,0.007282313398089102,0.039269944432486714,0.08167393823592911,0.017862360338701477,0.12824701343994027
4,0.07866793728121738,0.07932610244089291,0.035002532637046904,0.040237965235781756,0.09504931192323929,0.029450882873312573,0.046525224338612226,0.07679891081545528,0.08428500497375269,0.04460017155069754,0.02246531199080362,0.0354661381847034,0.01664170822597605,0.05027250060184693,0.0932872068070423,0.07214663441357609,0.096771625165638,0.08232588843989863,0.11089602732396375,0.029443712224144575,0.08830513935845538,0.08880971559413164,0.025158582809757857,0.09458124290933845,0.005019938593214146,0.010428926755253518,0.023367773333281494,0.08466613960811076,0.10969212898996153,0.01590535170790114,0.047248292432915395,0.008005125305651756,0.014210623742975215,0.0514981297251598,0.08981985587641092,0.06592805046395675,0.048012733390641216,0.06696402572245015,0.0353490176709958,0.06659859221439084,0.0036177591511858953,0.026972244525778025,0.08316627302882255,0.10550660329657187,0.04756261936519651,0.030492474354712445,0.06813239109725074,0.05587341524225753,0.04909156384887624,0.008192105127579508,0.10041299915058552,0.05001653606154652,0.042157281385222706,5.3936894245792955e-05,0.03986697451051846,0.06439532658896938,0.0016165254035586663,0.044653086271355974,0.11546394732129373,0.12252266330861629,0.0411028784035857,0.0171108441512903,0.03232636279847126,0.005715170435198341,0.031631440070509845,0.022208495141002524,0.09829165673843264,0.07128258030965988,0.05672371567125199,0.08122910702812858,0.03622044811980868,0.0024695336032413417,0.03797945004806133,0.02383324589124812,0.003570985598817994,0.04280656293385088,0.1058869412793372,0.10179938141812815,0.10572046173796616,0.03683058791340407,0.0009680518873467214,0.04102673274871038,0.0705208842981118,0.09500686044102936,0.06887211385175089,0.04980230603465893,0.003798887432188869,0.059440403097980765,0.003586168620233199,0.10638692133537381,0.07492035966927252,0.03230358265289246,0.037790155736767306,0.0046632100159822165,0.039476349147737816,0.020806530138781296,0.06590108861144532,0.039233283649802386,0.07957872123091245,0.09680182618552594
5,0.04200529356977992,0.04447946054040457,0.06560363063412311,0.06739151624337414,0.013406352783208453,0.025277053689837264,0.007663164657261773,0.07659664814462668,0.04896725080445363,0.03590097465204441,0.039125205897636156,0.043425399619115915,0.034015200876175475,0.050725924694078064,0.06232901855228623,0.0038895256114653,0.006835293967062367,0.042906953893319735,0.08218308289633161,0.02859183726798442,0.08801056309716937,0.061678159527636583,0.013877742144038058,0.08208480895645173,0.08668292379996022,0.005332701767726017,0.008857004703092253,0.06088144115676883,0.07316002207348815,0.06412427892275402,0.09222869178398165,0.024801032306457693,0.051629876072001896,0.018121999210168105,0.018327478601402436,0.04896609639246427,0.0026452234802328556,0.007961719565277359,0.03325332696510004,0.013217056137409894,0.09346943460723785,0.10295365743125354,0.1012507097707995,0.030337870359912228,0.09488529775051609,0.05652647847221309,0.04807729714209216,0.06084358237017727,0.04480161441452751,0.019028314589850853,0.0028650398841239266,0.0069798373131103875,0.02219800909664739,0.0957981855183007,0.06579524135876957,0.0619281044795016,0.06963390766614416,0.03219420220874106,0.025361486681010417,0.06196847383135018,0.10062608727060449,0.033767861359653054,0.026427064331603148,0.06069459043785812,0.07565154181577209,0.00023877232536062554,0.0674874617729777,0.03134426746305015,0.035091377274183475,0.0381326248163192,0.012275884989583874,0.10050611806359794,0.013782812379647208,0.014537441059075909,9.339575565037173e-06,0.032641779636905566,0.055027219079080966,0.016400766849391735,0.06914752153320931,0.05649168105186017,0.058702313618027774,0.04385137037184782,0.07308483762276492,0.0815028282724247,0.09294152381677354,0.017979430472600463,0.09766084272868608,0.08686893761263743,0.07279883902199699,0.03811292856725197,0.058037256245133076,0.04450540789563892,0.1048434807483628,0.054521247513229454,0.0865241654635461,0.07402613740314237,0.023197773227688886,0.0778124317583232,0.07687904408196097,0.09436529556287222
6,0.0335552672031556,0.03807563035163278,0.042198549986131706,0.010921792099739008,0.06876180861461026,0.046557752219630585,0.025759065469336456,0.013446902552932391,0.043465819329594244,0.05302074542911388,0.07019214325334783,0.07826118123881658,0.033688006022631334,0.07031782022968688,0.07184082380586969,0.07088345655163092,0.042837489394274564,0.07812829895161086,0.0867624168952352,0.04224129433806248,0.039177983567518546,0.016141128894760215,0.034552909758020126,0.013070867700803651,0.004910474237000834,0.07022044045590443,0.026750206046173258,0.003030244079358896,0.002197749381851799,0.00076850377729204,0.08346677692499632,0.050235185995999576,0.03221706363068991,0.03332554205149357,0.07821109069915853,0.05732787257057148,0.0371466050838634,0.07084557178788979,0.011522582906119475,0.044922833728777214,0.09665672800067734,0.014840766270056774,0.0693478317519888,0.08031181352284711,0.1115232431771254,0.029357781780277356,0.02215966289322105,0.056875733563482064,0.07136788861018442,0.06801339838795642,0.03760867965927485,0.05471948887231505,0.005188924048225713,0.055045891743334324,0.03558902867539178,0.016809744078675498,0.028385961653927053,0.0732195591125013,0.016309609953576776,0.017667709851723057,0.04867710293263679,0.036572882711564614,0.023303741494450456,0.018883386513412148,0.0032591308725184454,0.010704966483192316,0.03517908430116912,0.014019570687001132,0.03918546206616716,0.02662414997907278,0.026126760867122067,0.09634241798770025,0.0828939309501738,0.07866574851556915,0.052459064673614955,0.06910062912668963,0.02463884105316798,0.008744589237300565,0.015132616036733298,0.006525209776254981,0.0011735877895945046,0.03890975766274231,0.03360664943643035,0.051691612545740034,0.0007436579513857289,0.030912138391770053,0.0060021264515653094,0.06085689199112651,0.05083750472627227,0.009534649696519792,0.04700246850435416,0.025063548178831746,0.010376999754729999,0.04187935724042685,0.019375966285079482,0.0540072401452486,0.030101946977194607,0.01836476483778325,0.050936532501953874,0.07141349940309875
7,0.008080706625508888,0.06712029617157043,0.0016310601601237096,0.05422773258244139,0.0064488363443387375,0.010775185859410202,0.008807264960565608,0.029439428008072546,0.04839046078179997,0.012800193376069177,0.06181221101398694,0.0034675593153129236,0.04336220033950536,0.08769383260203956,0.06099776518350698,0.07555343109734591,0.024736479611787016,0.039401217737953534,0.006335844566889265,0.04487617836765151,0.022902638629553107,0.014484934911593791,0.0665215190613303,0.018176080349528834,0.04882629958982432,0.05412833869616948,0.06008922398264689,0.016234263852958883,0.04495896632094243,0.021815006269693682,0.026682793436271987,0.00473392184350338,0.030594956479121332,0.02838251975279059,0.003203020302335491,0.027886658741656245,0.0662020534278801,0.018465301569947398,0.020473801211212256,0.06207329646236011,0.09171641095208606,0.004286039694400806,0.056719628241279046,0.003103440102466548,0.0788173181858326,0.042059965535818464,0.0516450048509703,0.055488199312111366,0.002090915976708574,0.03357636570034031,0.056519843428860295,0.06503583805667407,0.04335921825100736,0.0682653490085673,0.06441419539251982,0.02151247789874547,0.06410677262571063,0.003949845758433046,0.029306089984146605,0.010453691443599505,0.08032728801127692,0.0020217953287022805,0.020914114160986833,0.07399284811688506,0.06214738561973365,0.007212498024973063,0.08460744017903456,0.08886062099029321,0.009416178697943006,0.016080113018287753,0.01470964537855493,0.0316106711653036,0.014197696157769807,0.016680015774610896,0.05105075324897694,0.028347463075309665,0.046845572246499226,0.009463298420843813,0.05156537277433207,0.001554286340380906,0.01641239440062131,0.01792531878265881,0.04549883239887624,0.039624558804819285,0.006944921616081401,0.007401582842040982,6.987084712523073e-05,0.013112734259591252,0.05893598356382687,0.02568335026529292,0.045376755301694355,0.031047161997486777,0.03470595969739154,0.052439238076157385,0.07706034324056346,0.021062218912177882,0.06909796997545718,0.06135538244002836,0.009179110595676832,0.02138425176497903
8,0.09015473616147317,0.06611515111099411,0.024930487007283758,0.018002442432562354,0.007888314987145373,0.022103117779219222,0.0046054054778480735,0.025652088754933453,0.04332136850094846,0.015799693854746916,0.05970608099823209,0.08590736970202584,0.03046961121532972,0.02854323069196711,0.014139688373121281,0.059659842003704944,0.05378766932617843,0.06506652160106696,0.004467996381108036,0.04881831845769616,0.028258858566210854,0.0167663263505637,0.012671959184233805,0.020245334664277526,0.014575721022180632,0.05375232433666288,0.03489104990368952,0.03380813396550017,0.013543012236717472,0.04002186858454916,0.01575340780525329,0.068259193550337,0.015747689003699855,0.006416748972848135,0.013003351153486248,0.032872743365272156,0.0571881328074417,0.05282002765330966,0.009951383862036214,0.057229228025428305,0.026046160163867807,0.03152784374210249,0.01776068123111002,0.03416252040163072,0.04882622405682839,0.09152157559327728,0.027848294280277422,0.01128899202998214,0.019898065030196865,0.0038980081412413603,0.010449808138358191,0.038876023000554025,0.051008551760802434,0.007101292030799206,0.04435779903140338,0.02724745619696485,0.008165385286514365,0.013011830972492658,0.020057335953994865,0.008995312616259493,0.019079872822351504,0.03126373397736579,0.009234971829107014,0.06367035958434997,0.039286016290335624,0.026223768379511125,0.008974359592623077,0.024903981210686335,0.0027825934669590824,0.002455744181304148,0.07215537226903593,0.03723602530322842,0.05416781574209023,0.012837673406835087,0.03049626316084951,0.001911739429927839,0.004719188587995887,0.05518621796835081,0.014712702557025004,0.008869935492864078,0.030121701113847904,0.03459162267863261,0.02402068210807412,0.014967586325479482,0.056240008006093356,0.013676052604549918,0.0005034572139410165,0.007244089570337953,0.006060238624725323,0.06730510990662948,0.0020199137759130126,0.019318664228600985,0.07277426762354203,0.017798741171084292,0.020129421875534043,0.020168241537562942,0.007474479200670986,0.029323287716911756,0.032071518213787925,0.023683143111978583
9,0.011249158739393736,0.02307214515757043,0.02098595398047859,0.005437720776198834,0.0377097850494911,0.040981108467733285,0.016778663446756187,0.02186804387884622,0.00024561771747261263,0.014430523081103971,0.018117937412353693,0.05661029097586222,0.06830080842221337,0.020612040109974444,0.00314554915072196,0.008456454390421558,0.0019194804795730214,0.07000747740886183,0.03580536247772531,0.04437605799781093,0.07639002255397245,0.05003164503408748,0.0809454180285108,0.05415135413597111,0.004506350575990914,0.04027435542506656,0.03577336287230283,0.014849026043161934,0.03164542296685795,0.04523386543603006,0.006014688016481556,0.007118881910506303,0.021394847712666448,0.030614269836756816,0.013300043390594762,0.007469687466567787,0.007606314740974951,0.018383800877106823,0.01574682386504095,0.05632611440062463,0.021891171539578022,0.046274709370552725,0.014125753706458855,0.022781982600074302,0.030007411017783994,0.039263535921591236,0.012028331499394723,0.01769934987715692,0.0048594621277485706,0.010608106367128348,0.000988468493944572,0.04579031938783583,0.014434172435557363,0.014193088028765441,0.027349012078115964,0.01281544442288926,0.009668006105392812,0.028676316873617547,0.013460700433535117,0.008068466768379967,0.0668253731923732,0.024779263319207434,0.04070948656540477,0.03159797181447105,0.017089618163219272,0.017690427676485043,0.009615115367123589,0.004523054285346106,0.01962845042823376,0.005695327658372135,0.06611814072839883,0.04465163622306209,0.045604042446278775,0.038023340834064,0.03740871665606721,0.005550572854049085,0.016697328474387624,0.03482273045342607,0.025904933148135523,0.04153375302353632,0.02235835977518498,0.029719150150572082,0.005504746772058533,0.05207781925458775,0.06538456690350644,0.030266720687404935,0.008232065211604883,0.053475046087592376,0.06849659517224523,0.030794766370855473,0.014622741128792804,0.016935710862452547,0.015075561671222357,0.04643964639970616,0.03299102419991953,0.009842871771786055,0.042148388039417894,0.011535221594097034,0.04666824398885855,0.02735636279621792
10,0.00584030706786845,0.0048137662944898185,0.01745264334825676,0.03980614887077723,0.000330970404875508,0.034197774606261847,0.035735584058108893,0.020301958573302997,0.05511799795475261,0.038048929785275465,0.0013549360791277332,0.030709298479892233,0.04515342700563563,0.012784871754245614,0.007924748048722813,0.007079432690063725,0.020446321540955686,0.0034709232633434173,0.04419384581850559,0.0307640444194833,0.016649724680460887,0.03634761845585391,0.01700966153493559,0.016018806588371765,0.03341845923698078,0.05519615515937987,0.03785063588847057,0.020390951726160608,0.007785633435054201,0.017823646882679872,0.04058302514698624,0.001972288021798274,0.05124443023742439,0.006438789474859374,0.040065500743912436,0.010073594241567618,0.03365592966574456,0.0031380645008010077,0.012038997326647122,0.014010702758090257,0.01369804193453908,0.007188555517574552,0.010031439666014857,0.002134452416042071,0.006545423666593164,0.0399175100877468,0.02534426490145608,0.04646347334003324,0.021477143361525022,0.02912107531612998,0.04150096658827768,0.008806806353542113,0.00639406910984916,0.010967137190236051,0.017596077066535362,0.0033976031063380208,0.038538412968686334,0.034304984148742695,0.033935909770773556,0.001034508449057725,0.016319410237369214,0.015823072838545088,0.00417808642652065,0.013720462987926507,0.040763064822023104,0.033714527353707543,0.026400603173882264,0.04542170137853074,0.021347943107153128,0.004209931134415368,0.0071583625244453775,0.01261550208171705,0.027282613406463707,0.04288199226651321,0.0027749512635892315,0.007096932741167544,0.0011329269186268198,0.05789827297960065,0.025236263124587682,0.005988553384048356,0.036547557648819506,0.020423700639035633,0.03202200562034002,0.0037635107875175766,0.06177792518260562,0.002472468555901053,0.04214015125048809,0.029823800767854486,0.003923060015323304,0.001914008053670535,0.020132769090073346,0.02264596704620933,0.027023012251023354,0.02864234289061053,0.016280440326481294,0.047641416934577074,0.019018514120639846,0.02075287280534932,0.07661403310170173,0.027800604995306358
11,0.014787053728619784,0.006065612369490214,0.03715686600451819,0.010519607889370924,0.023346156621582667,0.01039434233885872,0.03595663174918258,0.01524745368307312,0.01450402179113755,0.01286558060156294,0.014019386992018337,0.01792205561971201,0.020125293453531423,0.053608015703242945,0.02593201564758936,0.033871808279735655,0.037927994757328665,0.027141481707237652,0.002580958930421262,0.03229205861784548,0.01290709456344663,0.02945841853219895,0.03534537380791705,0.05126820591648812,0.045129657520155686,0.023623849949799866,0.006613782977466759,0.02821465384457593,0.01906229605038165,0.015107550746182252,0.0037675817997223915,0.0025191732116395804,0.001207784463414574,0.003048316336223128,0.00338584588522145,0.04502645449058912,0.03192689920281601,0.037791384395316804,0.018571913073209684,0.01437962805177273,0.032252468988259744,0.014150514842283496,0.011613850900308975,0.00560432633582994,0.04348571885582837,0.017478932846522605,0.012258078879250983,0.0005241437166443597,0.017788152445661842,0.06875058136211118,0.027454623527659705,0.03203182811941263,0.0002548246102278273,0.07439336812084164,0.016686595323447295,0.05640169783103123,0.009701666645211965,0.037503328648206075,0.005523157172239862,0.028676803562800918,0.027965044083246182,0.005662869142679522,0.011077946656555454,0.04056339622650221,0.007598054539418864,0.022064484305446608,0.014823799716393304,0.021597657305920254,0.028507410377043907,0.021830583805244635,0.02849494302806954,0.02579162054113937,0.03912477657699781,0.01006033531276726,0.028970447365184088,0.028781945151536703,0.013923029459635333,0.04548223566346554,0.0022493784716108023,0.04059700948507604,0.021079292206118178,0.012079440777606046,0.029172970035175494,0.0098091170864823,0.05047551403548191,0.0079827205528826,0.007169466241506134,0.03681003283277104,0.032322020402695856,0.037899993700517706,0.022627012645584754,0.0245099129207694,0.045233868236859195,0.014498540369671575,0.039065932580927554,0.04638774902504876,0.00835143885037104,0.014912771639253641,0.013561734137910147,0.018300276276254107
