k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.09334829079736269,0.07094373091285186,0.06772431823065528,0.09970487185147454,0.06019661868224077,0.0983040951933678,0.11482235588640954,0.07106251191963717,0.09989845869396058,0.014410385002862791,0.0847844094782678,0.05154100901572932,0.035015780519073836,0.12675226682571714,0.10888299563385652,0.12155482236688549,0.08018668045492132,0.06472664293724165,0.015824067168820094,0.005484309650996194,0.1018964251832883,0.08140834599549931,0.11397842842299946,0.09335930523088107,0.11168074268096011,0.1026622657419816,0.09755692346290382,0.07034586689395966,0.10208341090658732,0.04890521182305818,0.12246077387954507,0.09165791672848057,0.11387824052156859,0.12980977342314312,0.1256800589911874,0.003959816228083363,0.04611627475006713,0.10786192020758616,0.12166164650875655,0.10965032009697813,0.05464157828366746,0.12808542973433445,0.10517921125183116,0.09991877240514868,0.12200769071951383,0.12754089891076714,0.08496339626119294,0.12690886212737948,0.08551923001671592,0.03036696539286718,0.05239895149243254,0.12830149730293053,0.11160413824377793,0.09520512942974246,0.11606285442383454,0.11599271482043005,0.03165950971296652,0.1221539550751011,0.11634617396917515,0.12514469356075275,0.11515014119747964,0.0007100211802852641,0.06923883191160812,0.11889513878229377,0.03150513336842413,0.12702955248750109,0.11013828726230596,0.1108799603984954,0.10038266945472438,0.1180546411121049,0.0548042346214799,0.0625105065150861,0.1091010998208779,0.1214701291521532,0.08016773622088261,0.0028089988946736755,0.09240298606090991,0.05031249668004889,0.11499713779869705,0.1284202677973804,0.08490014245802356,0.10828667020016672,0.12109828685909504,0.05255743535955949,0.007949552213203342,0.07256954544830506,0.08173231788483717,0.06726372438134512,0.12192322245120124,0.09184672194006338,0.044662966189170095,0.040068315555627954,0.09531432824061864,0.07423719063210665,0.09702050196867777,0.11350863828350706,0.011262874640566078,0.114182559165096,0.01590770841786937,0.026577278756291914
3,0.11642808097371421,0.03599210237513217,0.09695134739343722,0.07982663982583826,0.12029558777505024,0.07537234627091474,0.09881297790547944,0.006031363525887706,0.11181689527404778,0.07372267097188967,0.02626619764732316,0.044463039728842566,0.09365566056949448,0.03655510686149063,0.021592130920400993,0.11936025193778702,0.0523835240710329,0.044929022396814136,0.043180423953030664,0.07360530662107459,0.03761813470128951,0.09733421777737454,0.0465368966562834,0.05294436638556031,0.04081704500895847,0.10111719169245276,0.09949118363619222,0.106988903381594,0.07704002934164791,0.12955213324621076,0.11677026935189759,0.10043708938525264,0.10425323318883623,0.10330312170748654,0.0885453150491601,0.02728374312479706,0.08262813633220605,0.11322865940770549,0.01601050979194249,0.09237926465728694,0.10182856002936536,0.11124785045772738,0.11541376941176291,0.05069014452459546,0.1033784433624044,0.08411849287132778,0.09857061130561351,0.05017436138788936,0.12413331108134013,0.054431561432217807,0.11782530198748031,0.03713579583425622,0.04036016013197871,0.0809315021326501,0.11958644900917292,0.053596654325256454,0.07956437609827373,0.1191484145702087,0.08440406707523512,0.10651153617731314,0.014761509434038395,0.07001964192257706,0.0864282084025979,0.09008666240451854,0.03160507186938116,0.10554729982931213,0.041846816860262426,0.07018883682033884,0.03502043951913805,0.018738676858672476,0.08976766203210242,0.03348830071594654,0.104240607832109,0.06927550921048073,0.09257127820599778,0.09606369502903751,0.09081050750888463,0.033343326898511744,0.050195363885703614,0.05063685350563504,0.049963239213536945,0.0945633200558846,0.038430204162236664,0.02554013494567839,0.024089319251205277,0.06831727957001078,0.0026073285953328307,0.05990008945259355,0.06338559343193895,0.10261441503286992,0.06798354142715927,0.08517260810575651,0.08765018000092878,0.09872320445941742,0.029929703335268176,0.07234683794968313,0.127345401957247,0.11439712029753382,0.09584019448965814,0.06240300169944997
4,0.10814419589057912,0.0011581188769857753,0.08914656533918584,0.07953225103862484,0.07017593728561983,0.07843430093556711,0.05956677401643484,0.07732598613432703,0.07415433742725508,0.09938174402902752,0.03227604054528825,0.06973215054098708,0.003502358390525151,0.10784836638353176,0.00522401935479333,0.06147421662376082,0.106138384231979,0.00131302952085241,0.07010694107324834,0.01599223432407884,0.057000064492800234,0.02998532707562275,0.0032619758217017902,0.036227002273198,0.0022997027056695096,0.015890569951432704,0.07880388094663952,0.04766370323569018,0.034513139248721736,0.05533822421428408,0.004969947767309635,0.044130001844135194,0.037761263326900524,0.03161940691705893,0.08765908139537294,0.05549135263342925,0.10668920820413402,0.07540726980430788,0.08949855917944705,0.03904778772039308,0.02960877900314718,0.04926463689098372,0.013983979966938148,0.040244027269656896,0.09494412478618883,0.10385209035070428,0.057397488712145145,0.007155245190243936,0.10070160206054338,0.01872045751736645,0.04230363198192881,0.07632086919405637,0.0023638437555876246,0.09101512091776953,0.11068966832496578,0.0009886678248548775,0.02951264482187152,0.11474682966932663,0.08818672083110438,0.03974467437299822,0.0700172060894784,0.008027284671489082,0.05789894116908703,0.11048669304799515,0.08805064140538733,0.022566002138011937,0.05570784536507953,0.11391176361013063,0.12790906299668944,0.07512381032925108,0.07816973194186262,0.0941957526703454,0.026313902853496385,0.059398076341431544,0.0512004055560967,0.01869391157833676,0.07386526092548354,0.030193276918295403,0.03650770900807161,0.04548775385855415,0.1227330641563146,0.054797975927701525,0.008530313793698369,0.02597520075088855,0.014987464120997496,0.07400648758160286,0.12616185405382338,0.04046093183310312,0.09051439185067683,0.051217109497984234,0.08863240417192612,0.06330784018277609,0.061055064997065506,0.06687318866729261,0.0010653739722562006,0.054001893205208304,0.0971676908671446,0.02812210362912987,0.09066228113192489,0.04247293014004219
5,0.022525631390894557,0.01255810651581045,0.027742237803695002,0.05218541144422886,0.09402474428888585,0.019395106877891866,0.12109416977667348,0.10352334988506987,0.00017309643836543875,0.042762004785762336,0.06928492604707553,0.010898218345362823,0.08250555937941642,0.07322711722247288,0.007843679490202593,0.06294889098863235,0.03916294642590662,0.08017497332471038,0.07194407249280782,0.06316018975205903,0.0629042077613469,0.04957605046053955,0.04381051612505063,0.01238330183675597,0.08757580736090202,0.08213234675813058,0.08909597112504433,0.09659450173351129,0.020205080079468404,0.005394734796637074,0.016447017206174724,0.07238093899474679,0.02135192242110681,0.05634931542254201,0.056687531377084,0.07225468252138265,0.09655799948188692,0.014156669650132986,0.08370978402727375,0.08245971945835334,0.044194922994572464,0.08309024478022035,0.07587505774885614,0.05892083085011321,0.03863503184539588,0.03630997868360637,0.10954671918669824,0.09709771453564822,0.018986543317004584,0.01779809544789132,0.1107441914579084,0.027442942754674626,0.00399639477823191,0.0021882423002525797,0.1038584130184129,0.06905898793470004,0.015948953179770728,0.007801466222633308,0.009064595553049365,0.08640559074967594,0.06183780239287959,0.03925988144770137,0.04297930555416882,0.037521542660217996,0.06874438518541542,0.016822610613426936,0.06722165937783442,0.027028846928291994,0.03100821815060059,0.06928208854025966,0.07197404948137821,0.0691604176645429,0.04262659087677556,0.017971485940332932,0.09632730071793438,0.09741858859549918,0.10548344796443442,0.04101720485554111,0.030338008151075624,0.06042512661947011,0.08078117676798105,0.0015059379651791993,0.05846378029992423,0.02591448092814748,0.009399903830114048,0.0877902630584535,0.014472758347090345,0.08761842142279962,0.009596911663082436,0.05970511888859362,0.003200174710392495,0.008812624088317594,0.024094440048225196,0.08827970770692255,0.09256728643441295,0.013154994924971602,0.05173897865697487,0.0448189357211443,0.06842863654325028,0.0365930044455533
6,0.0926493663925066,0.05862133796218558,0.006852771743227404,0.06623223528160069,0.007297302416143625,0.005806135858165917,0.005636644958963766,0.017316451769201407,0.02362682342074418,0.021019319579948237,0.05713574146451253,0.01158127580805926,0.08872908221478332,0.007503260349975116,0.04213054567187921,0.08188373841478375,0.006240279976919699,0.08574713671870557,0.0144735134039852,0.09541251159120687,0.014379062385800362,0.003931102829545008,0.014692484201080602,0.016788435905574772,0.1087797689939772,0.029868445560120263,0.03562310309548013,0.012495212890971594,0.020852144395667876,0.018124142999296933,0.008822458230598018,0.03616897111287902,0.031113465927837647,0.01977418562847011,0.020161001581182475,0.06275363810945936,0.0219973703224767,0.007585115730526587,0.023369691335358794,0.010538356617229197,0.0036199970165622375,0.02040829258654492,0.10855698962897048,0.047090653168607666,0.04885458219868,0.05360154446865023,0.047316731816571755,0.027233051598910568,0.07311974592367246,0.03741517832231682,0.02142084342727968,0.05045226767452751,0.11253330909109235,0.06896514856111571,0.056502910757118746,0.018947714787138498,0.021384960376944706,0.03157386998278952,0.023483707822670813,0.0005537402584148143,0.002179099814906771,0.07455168877878263,0.005425304125816016,0.10571915539353716,0.04494042767429804,0.004271027874728273,0.033908629996421566,0.06331942585985362,0.08274609069417993,0.06654828145809913,0.09854709900791286,0.03889876242327227,0.07433769768367487,0.06632175802569139,0.04114318715359813,0.06572482225506364,0.007291991995934166,0.010214368115144076,0.03808668487713618,0.021806228824154228,0.029830401710263993,0.03103406712607973,0.027876049129139963,0.022010462708692807,0.07734659779719907,0.054858291352143165,0.04193402969392174,0.015092354926587281,0.0005134028667218848,0.016307603702806983,0.010961347426836965,0.0644978541525057,0.10163933648151906,0.062193116023305045,0.05320201798294741,0.06616262063810938,0.0017911836447147278,0.07611885061981578,0.004797321571715557,0.010849509456519274
7,0.004153601283563124,0.03191618524315917,0.01331615255602206,0.04862534866657836,0.004018817395108426,0.11383722402852778,0.0010347726466028995,0.05476784947488868,0.06699439647031238,0.010333349824003107,0.07625430188041685,0.05223493933553515,0.06805891060922258,0.055086445969555906,0.011024582887996376,0.023496150673664604,0.052360801850661734,0.040374193805671976,0.05849467599763955,0.0050509571475745585,0.061451810659785194,0.011425246363126501,0.02303998397493534,0.07531296561555774,0.01797044450268849,0.00570804352898488,0.09454633239342736,0.1053048566143355,0.0133622622660413,0.03402957009265262,0.047192203004414124,0.024128319185557495,0.07185908707406136,0.060537591212290146,0.010397739902927361,0.052316536643589,0.06799992398399018,0.001354063694903651,0.06087895124955499,0.05751396054358246,0.058220962184732064,0.002150077613520318,0.034990011578068886,0.023581060040569785,0.012812433134825857,0.09344308812332797,0.0581106995185912,0.03989025973620762,0.06601716640821947,0.02961684635302178,0.10239894927988895,0.029074081722843315,0.025160949659831885,0.06600472018937478,0.0019991203681898884,0.028004372148218104,0.01511166501530739,0.022430503504082377,0.005078630989826,0.05348131159864353,0.012144068149123735,0.043323557197134446,0.07298526327786786,0.03566889702747271,0.062392589448967056,0.04305803637854663,0.06527501990011134,0.05765427345717267,0.03974813130481156,0.023584156237615297,0.015326277839722124,0.054326243373425495,0.020068240360795936,0.0015025965926254436,0.034244536536550976,0.08406839410010566,0.053718980701166,0.0017346998003719416,0.07882059875927071,0.050230309331799256,0.09900705718763864,0.05989650265337408,0.07625120831484972,0.09211041828120486,0.02642212815365451,0.01623714443709401,0.049260675151683156,0.0480750388576727,0.0017261926257662041,0.0156392740598032,0.06518045658050556,0.002401090621471591,0.03881976227326717,0.039996492787757326,0.0224701821205361,0.016259653517011474,0.06633036355076453,0.09565687183924904,0.010961482190757377,0.03318381749632511
8,0.031559176471272946,0.020861102324545522,0.011988962200234071,0.0008469390886995942,0.02103737512805484,0.06744273902820513,0.08830360931767733,0.08869114383026885,0.03746218110700822,0.007586737507482205,0.007951478958917263,0.06515699381167116,0.06573775134590192,0.03576384503993363,0.008645152890172841,0.011001914851498845,0.027882177361457608,0.01795101188171952,0.06838513741555967,0.023231178169711875,0.03397345505598161,0.0181915287112258,0.03826269928300613,0.02504510908159796,0.04455459266607818,0.0406360705090074,0.04455482843269311,0.03482987388699191,0.014307089638786574,0.02835470531692394,0.048734172887326024,0.03225520508315889,0.0177681555740751,0.041517839504301726,0.03825762756015251,0.015336678315681154,0.031178926584904565,0.050681849628270825,0.007923699793793343,0.011288058796405126,0.0308252987140282,0.05610559810859711,0.029350380149171962,0.009938823719527007,0.03170379565996895,0.006504766552871855,0.013163450680849204,0.00933166670631394,0.00916855740782263,0.0013661762709543668,0.031329335648870554,0.023151046643317713,0.018386779148447732,0.019987252199973937,0.07479717468339674,0.010821565629378749,0.03819163714753239,0.05114402596566971,0.06845578304319934,0.03473767023617895,0.040341487347761024,0.017969935359105432,0.037181461091866624,0.02769777451321942,0.013331176367309072,0.07476989587983401,0.0034326015416901445,0.012721896834850616,0.03641113858356387,0.06432848789145204,0.07824422251772932,0.0712324759505171,0.03279664097203752,0.05526583598709035,0.003708743467469938,0.04112692777938781,0.01287735641138349,0.0369110273985402,0.03058987226624281,0.00042603682777050955,0.042908816684008255,0.018465894752783582,0.01972678806586864,0.061005835833687794,0.021656614846546393,0.005264294933927244,0.045963911729573786,0.03751755910061172,0.045136182003118364,0.026593699931865583,0.0449137738912824,9.021615437063146e-05,0.029517128803454903,0.0003080364302199545,0.04549269430058207,0.0080204407278274,0.06320878190715709,0.00467503681418463,0.046595813084582216,0.03089169158616291
9,0.03469710302085102,0.04415145123368887,0.028025646869838022,0.02319509552454524,0.04298100396067288,0.028128196324969004,0.05424564977814941,0.013849252458279643,0.01047064589169569,0.030285071210814307,0.0029514116753743547,0.0004317507318253033,0.004668982113653325,0.08161011837351886,0.008709138559908236,0.04507105322662623,0.10653890448158199,0.04682909339892968,0.07629350819945693,0.0019893842521241933,0.00028441501802642377,0.004610101101005792,0.06383969166007061,0.059370999780068184,0.04664803818434657,0.02538145513873108,0.06663545034357113,0.0638331858754829,0.048444052628863976,0.07243350026985285,0.016046651085912175,0.05427261793806329,0.01878249368003479,0.0158205560360246,0.006239208456529921,0.020633083362626828,0.034559480219178096,0.008208745338943918,0.04215991655029279,0.012754763338294478,0.04475219882735437,0.03437805763451378,0.012661584036252338,0.031447494723883945,0.07996905208602906,0.0002958148049911069,0.04519974003623925,0.033510760260031774,0.027656120707058543,0.06733263460123148,0.023636441947150227,0.05292467425557566,0.05988687303790821,0.03024491346049961,0.0683078091283154,0.027995281754531587,0.018179939504931422,0.045933485543372746,0.019431613848537116,0.012880021944618805,0.04146834887829362,0.07342026199277284,0.03031902797693313,0.027050499933470418,0.0549567401718119,0.04769800259292693,0.0033068708959620163,0.037590400122252954,0.07333284617991835,0.024335773656668752,0.024858552245321103,0.016724263800553876,0.017371255877444397,0.002481347381059429,0.0705871862507822,0.004393228329617721,0.051338499256040865,0.0007727807869866155,0.029832896449697652,0.03369944000784095,0.03501372982828574,0.06533311185743082,0.04186249476824341,0.08066227449326449,0.07018813392379657,0.021526510758303752,0.0453944878367146,0.05105422332029831,0.015485488641641176,0.01872983687485999,0.014877042381784819,0.01615714615753576,0.011543159611202822,0.04473415918065643,0.01912321038600749,0.004389617470411777,0.010597516365861703,0.01184024361465083,0.007288609154634362,0.007135848602481343
10,0.06478492686658781,0.035829137845672446,0.006688930591280784,0.03370789743170338,0.018183199747375242,0.018444819051159522,0.041264312607636924,0.05940888129192895,0.007935386046291126,0.0025811031019923325,0.03341311370084743,0.05159996156329057,0.013496006905114197,0.02347072720381796,0.005613570551165209,0.031196076396614106,0.02057893092279446,0.006379692442492174,0.01436006609630304,0.05517359076066844,0.07280729725128707,0.01457817407576642,0.00958394563419157,0.010086950834664057,0.09237272110680768,0.008845406007166018,0.025829505515546497,0.02511440399861173,0.028249455157481257,0.014816492250167096,0.028820807079895927,0.03779576558746994,0.01251543949618647,0.0323046016062121,0.03021918450525242,0.05590721590485084,0.010611993466002057,0.0019835547324207614,0.016134491353896663,0.01814617877117207,0.026888080178353674,0.035528189377209946,0.03804424674928954,0.00947087823708101,0.0015393586120363845,0.006501595266020427,0.040949903014929984,0.004967060646059757,0.023267896065843535,0.045667483516423524,0.05218142205331827,0.07647999175218231,0.0014139247382703168,0.03216037797240549,0.028465519474555875,0.015457642049770931,0.016297724451823342,0.06103240484106706,0.01932638895824032,0.03286377621987974,0.042887721825938835,0.016482734893025458,0.016376269053858472,0.013571371947679767,0.027949218953478225,0.028006884391938117,0.01361875207851948,0.012695005749700922,0.04011334343909634,0.06627777336671276,0.014043698991356657,0.007415954421165383,0.01008894774592159,0.048209810408889386,0.03987553692477154,0.037704145329534214,0.0055130349086547625,0.010315484612662504,0.006696706407639502,0.032839373232247906,0.06891950362140241,0.045683013741664585,0.03464242873624945,0.001749606082034727,0.01765156956574622,0.0030825241774836143,0.029803421351731335,0.019146957113489432,0.050899890354542954,0.0043330665085490605,0.039726028755971796,0.0003351312951220542,0.02443399206035135,0.053346103639915154,0.012864102620636086,0.03932122820596892,0.035059708872097806,0.007960499931105341,0.005964287304292326,0.009949058283321793
11,0.011049736958638895,0.0001741348812708543,0.013365121898388801,0.006163786769421448,0.005228792867407267,0.023512835159351236,0.02600254236942552,0.05191195771554627,0.03601803241961524,0.01631740742297677,0.07139906632235832,0.022712761810177007,0.019601459370817545,0.009250358011664517,0.00878370248359453,0.06865921010803017,0.008276812616451301,0.005504715866338078,0.05028146962300464,0.04205077090348186,0.004606714767463049,0.00627332281263851,0.010687789842940387,0.04917803635411447,0.027173213107341457,0.04998542811354473,0.05913639749008151,0.036124990413957364,0.004451868770373485,0.004638041006866073,0.011778822105553796,0.01874325378960344,0.03674512664010754,0.03914016513053467,0.04061501323160871,0.0059710868439969145,0.04718957097975188,0.01916691291517536,0.007886698171232831,0.0063801465688418935,0.016835202326373727,0.0148130291556553,0.06342055083692502,0.02234868415165167,0.007477893790420381,0.010942111995676518,0.0316687320427637,0.01733519256943772,0.02614315054228669,0.009168687959436761,0.02503241989370736,0.03155291283838002,0.050204222799809656,0.006164135250108144,0.014270693654106645,0.03696654165524774,0.0008908229873620943,0.01965212252568546,0.016164785795413014,0.04090172992549915,0.05967562370395724,0.0602331273650796,0.025677922479835955,0.00870378898532162,0.020525247874808875,0.018128824195008858,0.021937604014398426,0.0037739100466710473,0.02338301029797163,0.0033517727964944843,0.0071627955308630475,0.010342670084912936,0.0369404976365095,0.00948945195212475,0.06123551543659107,0.012394814452919761,0.004064795445535424,0.002655573787659654,0.007050873175681344,0.04743703029902971,0.020299659473582754,0.03226929810658072,0.0022782244580168143,0.013676911769474887,0.10321090813412756,0.013477982151693685,0.034510676770084375,0.055926436421147294,0.027300002070927837,0.04514293602067233,0.0437454261349578,0.0633589469762197,0.0314417510742646,0.04868512221504184,0.004880332176086244,0.011092440528649952,0.015645652175154137,0.050633066741458774,0.005104684401635778,0.04125039491572555
