k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.012270088347826011,0.013063382131033339,0.014442198527770162,0.012111342168171156,0.013390457502931222,0.01466270591680091,0.014020014030346929,0.012275890316940923,0.013659633275142177,0.01432867763073344,0.013818388168391846,0.013821167304897254,0.012456318961365115,0.006584850615867086,0.014291998707015047,0.014059451789660306,0.014221673421916523,0.014352538514709648,0.014007241016613025,0.013793060477108618,0.012309368035529393,0.008395844135497033,0.011551655341740427,0.013580860584297779,0.01458118426788794,0.014711373563871899,0.0026151962939075426,0.010697947418186098,0.012402722240607731,0.01383416915611281,0.014336974192870507,0.008946021490630847,0.012779016191122834,0.013631767878600334,0.008403895466160376,0.006698016670877962,0.007004260211347327,0.012820942624000957,0.014348910404867594,0.012357277650287466,0.012561624352854066,0.011685568628543239,0.012694969843235707,0.013985580091146354,0.008128475847437588,0.014293198250771215,0.01274734597934289,0.013933942338841073,0.014476219194966581,0.014008488142836778,0.005241548410460317,0.011935305464196619,0.012654855848295864,0.013825779065714848,0.012470924448733023,0.012400014642073545,0.013151769727984205,0.01266043623944306,0.010563078939404879,0.012401205339860328,0.01413554751421989,0.013416829711920993,0.014628758982460842,0.01444899589234682,0.009423947289747717,0.012504640811509968,0.012747374538932297,0.013889826838599385,0.0146316911134676,0.014344288626819062,0.013821051759785267,0.003475092922203653,0.011873878472352401,0.013217763591985896,0.01390189034885856,0.011912781873688844,0.01357048079257591,0.011686259737494532,0.010547585233599548,0.013185205738407958,0.009673377128172908,0.012709409963495847,0.0075709394895586354,0.014102257684697044,0.014198336064116475,0.0045819476602627154,0.012710850761105473,0.01469675773685383,0.01201964730545451,0.006873564131566196,0.010740827091908788,0.008295024648106431,0.014709850118316789,0.014227233407306208,0.010826577758239184,0.0010354028027337557,0.014514106000436497,0.010155069475362502,0.012635608288680121,0.011380584126566977
3,0.011171164599653425,0.013005259058257501,0.0047782574291024196,0.00986398645181104,0.014695979950695574,0.013351536735299742,0.01445160726534769,0.027932048469979775,0.012375193482036348,0.013297342000436661,0.010396053720387348,0.008850992256598775,0.008954306792155229,0.003876737453332873,0.010967076453435781,0.012348494994326765,0.006132279171011747,0.011317553827223464,0.009513497557615356,0.013680926862531048,0.004761547001159595,0.01322558879826214,0.010768440292909924,0.004450963385618371,0.011852849246416261,0.010016437259654452,0.01626132271125533,0.011762817819291171,0.012986344580591641,0.006994957072530823,0.0017640171414134292,0.014265450002170724,0.011677205713271677,0.011714352316332098,0.015757999953292922,0.010848682287576294,0.0038680592757411175,0.01424986154800951,0.013271686384055507,0.01337963727525943,0.00787091295622348,0.012152874686736693,0.011843252997561933,0.010076972854445813,0.004109832043677795,0.0075894202384375435,0.013525767120714856,0.01056534480928848,0.010740609698831418,0.012059490823264095,0.007245684306522195,0.01059800264961967,0.014099710364803215,0.012591872471088346,0.007676633327506559,0.008768077427869688,0.011421165690727441,0.0024648794452818666,0.00764569000723669,0.011422487353571065,0.008998295389583268,0.010021069925814143,0.009556758829485782,0.006728437866418739,0.009903545891417814,0.01196841069987361,0.0035870468652076017,0.013305279087938895,0.00970655840557339,0.013811376515459146,0.002436078273213871,0.013345536060817205,0.009653558994782683,0.011396614435601195,0.012567570714630818,0.01324207115499568,0.012485739967270206,0.013703773227561184,0.0047365693566228245,0.013082028914643122,0.011615230252939628,0.012318206578693314,0.014084733147461356,0.013068833259512233,0.011050506309412803,0.012902743152278795,0.011650957109319978,0.010716694002788796,0.013313814138799559,0.012444053125904719,0.016956399146323086,0.01138823927517067,0.009264266060491735,0.012956390239055338,0.005777803695041685,0.010762848969976861,0.0012225191354910039,0.008118165322069885,0.013517065903099874,0.013070404873388413
4,0.00430509383791413,0.0051295982750957266,0.003442499668680094,0.012597536268534179,0.0077525780877893205,0.013212519389364906,0.0014281698065739673,0.012727826603370244,0.0090244919394467,0.01219745513049525,0.011661635037846294,0.011810826841597726,0.012305840288921621,0.005791895901616207,0.010973100255021791,0.0076690118419046605,0.008949424615791624,0.010235948486391033,0.013064138363337446,0.005837890012215295,0.0016581251775652991,0.010085026613788264,0.012811611028548095,0.008704505801482645,0.005646309831696068,0.010447448959808692,0.012866942255229066,0.009579894442524647,0.010176802202179688,0.009802342514744437,0.010302650123077253,0.0070941752611921125,0.006521399898839309,0.007278927418304035,0.01302576155255639,0.009810118942078637,0.007406768057460462,0.011551204143424356,0.013717708338330538,0.009544917466795106,0.011665570381778258,0.014212459361891775,0.01146474220078842,0.009108429825285688,0.010032097755564014,0.008476980014182144,0.01125075928794552,0.008003744797844926,0.009994414849059462,0.011271993943192397,0.01318194090611525,0.014003655993615393,0.012263305391485792,0.00287070511861549,0.010494235658732403,0.007317127584168727,0.00958227007897015,0.006731577802765669,0.012051804547430028,0.013102555657099444,0.00583151370455421,0.0017097589730004168,0.014377498063244721,0.010197302002592971,0.01077792936005631,0.0047554264222665725,0.00809954876492274,0.012459380653871803,0.013105111288211319,0.007104041988943795,0.011592149229206844,0.013795305026631798,0.003194940210402449,0.011346591629584549,0.012131281929674567,0.004717324474968997,0.012454772935529497,0.008516412455948981,0.006518344811465956,0.0065927411125866284,0.011401219189432665,0.009216508784589864,0.005177789123362557,0.011646534668866997,0.01264886905226419,0.013927255209093098,0.013369347748733818,0.009180169532070102,0.011310505399135293,0.006529939754421954,0.010138822189847295,0.009360448945825193,0.0032383047531082763,0.010567636253573813,0.0029935901368745577,0.01185802132268796,0.011125141530679119,0.013995626901911156,0.013088064609845153,0.01016056806106213
5,0.0016370484724904898,0.005223126946942162,0.009650702859604789,0.010641658294679467,0.013115237412057296,0.0023811911749435383,0.00694131135208206,0.012483235349338857,0.009118252843942992,0.0025361381865736075,0.01155640072410469,0.013055807737824292,0.010041327421350308,0.010733929512225508,0.006455171898832181,0.01046679556003105,0.008050199928839163,0.011209949481510538,0.00967400176703819,0.00034741503222791327,0.013087686307974567,0.011985551102123774,0.021711118807904484,0.01137615602330666,0.009697000819369302,0.013128067156712057,0.012349718854709518,0.0033442702042352293,0.004809842872850741,0.0009201091803591639,0.007779990480733495,0.0006430411615294049,0.004637235374372106,0.011802678477767004,0.00952905997125594,0.01019011674946608,0.012602230367331504,0.005928754525671338,0.010208616792646601,0.010934349111902181,0.00884182525840849,0.016346890429505104,0.013410566002343157,0.011740435605722584,0.012609513453279715,0.006129210838412412,0.010833615615553249,0.0008828850009320911,0.00969441979498131,0.008644472613820191,0.012757662986732407,0.013386411575518491,0.012297891548863496,0.0013046665157155548,0.0038023596843605664,0.006221093805359857,0.0127852048620173,0.011279295322806917,0.011905545677824897,0.013140354550552938,0.009835010273863708,0.011798208425719443,0.011966892295348626,0.0036337222042874505,0.010487647291808934,0.0059202679989671676,0.006259164204389945,0.010908992106337282,0.005700046159429066,0.002307274927833093,0.011593135062328716,0.00770791184986696,0.01201024192728688,0.0012304464529663463,0.007044090594684003,0.0037814559554202945,0.012445155265987813,0.0006034255142072058,0.0063496988467487865,0.010843472653239553,0.010727420481357261,0.010592815303235244,0.010102928908421167,0.0049715765153607976,0.00949875557871101,0.010990695985190785,0.006363474874246294,0.012460398351420002,0.00019279351124511408,0.012466129618997015,0.008811967005714384,0.01136845177378051,0.004499696770511277,0.00900681905723964,0.010970502230865403,0.0020187112458424656,0.006779434921518687,0.012242160860968876,0.00855250261795722,0.0027884454096783265
6,0.0062255323583956315,0.010915759885178566,0.010925768920029645,0.0064688458431272165,0.0058545240102813485,0.010012390826569802,0.007948887780200267,0.01134002411819198,0.0027096372755961405,0.010937718089716702,0.003307349903273969,0.002120483858579514,0.00718150989965992,0.006026341301793508,0.0042081885930250265,0.012341862454011695,0.007343939368883212,0.005709351159328212,0.008559154828519827,0.009328240409587213,0.010023141300068603,0.006234519698871581,0.011368652007161596,0.006586304807343521,0.0069422042350800895,0.009646924369785438,0.008411660557052574,0.01058339883954455,0.009354242696510256,0.009639674757215286,0.009011421494588518,0.0055366886850000754,0.009264272667196722,0.009713759153618176,0.002482744585415326,0.0073577649097093765,0.006175283157134349,0.010244374114873936,0.0040371579515908335,0.007925599629738461,0.004214087010800303,0.008059211342505819,0.00853123260085099,0.009639002373490949,0.00869563387016717,0.013352533022311696,0.011536735310318236,0.006180085368018659,0.011529340010721654,0.016177216631445775,0.009319859882002816,0.002926030213032931,0.003100106954970077,0.01146177811897564,0.01260712451846132,0.012665110947564059,0.011159210594856646,0.008165226473974753,0.0008832050565145237,0.00031119675662787984,0.010083453775922013,0.011775562010129293,0.00419754545475207,0.012173289148004179,0.011354838644135522,0.0007014703737229337,0.009307697450083342,0.006766338518365805,0.007667809275374842,0.004863582731214325,0.008149204012681752,0.0034770082181854733,0.009051688502539736,0.011735694085050222,0.012011482162453718,0.009560094449697945,0.011740504511094232,0.0005679021677411043,0.007253425979632241,0.010166246794909097,0.006946304707193688,0.0028469943227611393,0.010621830142165401,0.006715642841886863,0.009293280684057256,0.02093876544253419,0.007811180619288528,0.010385063676199026,0.01076112032701321,0.0076976528949222215,0.011056939637937899,4.126541606272287e-05,0.0008680156123944544,0.00792768648945226,0.012032283086066865,0.004863982512935933,0.007794644603442734,0.0012793482686670812,0.00806829322328271,0.00929643954980923
7,0.012312755958795,0.01072730282629039,0.00783247897155413,0.007860053730473961,0.009291474872323537,0.008312302411748372,0.03767726847694018,0.0028470798028103865,0.0015389805655106198,0.005758201951362228,0.007157646825570293,0.003020059191634684,0.010620802636147886,0.0063037068797724485,0.011229766935016476,0.001620454112542271,0.01098941665474623,0.011292823797055374,0.009192147655493057,0.01192782715962383,0.011409431805207202,0.011125376944241427,0.0036722020682166297,0.005311870288049914,0.01011321342545171,0.0005758906940590974,0.003330219364354396,0.007427238419493453,0.007823070954016999,0.010387039434516885,0.00582032715981126,0.009389351662391127,0.002773250825884402,0.006214305423185729,0.0008447418239318494,0.00683133221416566,0.00955837079692973,0.002581646951916138,0.0038568604712406786,0.00755934030052595,0.0003613945682970302,0.0174060699772926,0.02016174650677965,0.00583784131473652,0.007753932466341762,0.00605175287596731,0.00821048060165492,0.009774551890874856,0.007732655231196181,0.010345874467055077,0.0041147034679424824,0.02150354424358818,0.0054635504251037675,0.006042343966598163,0.011292102250707018,0.006815634955528388,0.0048157128053934566,0.012139117149146799,0.0054902778526151105,0.0024813109434225454,0.005101637993902638,0.009688411504547079,0.006553159595558123,0.012527509632662213,0.0024933293920711454,0.004760860950487536,0.0025474212985843268,0.01132266231440378,0.007115274651378352,0.011929760883556755,0.005015076141387725,0.006670985357457224,0.011155976856977019,0.006764168302943095,0.004369466817172242,0.007123496224385701,0.013691689719977532,0.0021714146479037636,0.0061127746586856595,0.0056434616272776385,0.007661850722728103,0.008188788038299054,0.007846585367791665,0.01067141587899729,0.005700580249277559,0.011978662953163537,0.01147257191440635,0.0016889644265421326,0.008546987221018345,0.008033456225579508,0.001461685839309744,0.003915767805647384,0.01155347119614746,0.004444522364752641,0.0032840635276453565,0.012198980110712365,0.011846177236684265,0.010369994089898027,0.003593005797650992,0.006971207475092377
8,0.010850628928202627,0.0007191823953490717,0.0005292109646251562,0.006759311041454859,0.0029601357995192867,0.010554192606113406,0.00022022041157964203,0.004588068459226886,0.01007409528568854,0.009149251883494105,0.00930795230566649,0.007981835083497084,0.007636111570085702,0.005006987466631762,0.0028288911184683047,5.611538397566271e-05,0.009672317131399303,0.004134302631544996,0.008757424195478982,0.006741467428690081,0.0001296690478936654,0.01143742355344109,0.006728933836834912,0.009184376892557043,0.006299735968134075,0.0032951068981691405,0.001920215986170308,0.010014356142931917,0.00038659559145045284,0.002522649921179839,0.008439364854026885,0.010344061369945326,0.004759702382426801,0.005893130508561318,0.004151909280191218,0.005812101844495866,0.004610585008313581,0.010987788144108652,0.0016686870558389744,0.0024299362793271974,0.0017191551454101353,0.01184285510059622,0.004186553511966763,0.011591034119048214,0.01362027457152988,0.0052141736260188,0.011222649061246592,0.011136066846778089,0.002165060007305805,0.006252847806765495,0.015839198389202776,0.011004920775223918,0.00048576541986578015,0.00800781640695406,0.0076540669329231235,0.00471190857348076,0.009460636533188425,0.0014736594533588492,0.004926178723052278,0.00016135383332143913,0.009983974009423812,0.0113418393111579,0.005230318189675273,0.010025062435011823,0.006397545955462219,0.009963463938429291,0.0007404711936130591,0.006794080143167645,0.004134011590003039,0.0057445588742807505,0.008674332171758541,0.006815461672577964,0.01014976306701999,0.0014682685222304065,0.011558527380626751,0.0023694693563938198,0.012342378617208927,0.010838969719746808,0.009087071102292558,0.008555850205226328,0.009678156587527985,0.00197660626541352,0.00542228196916616,0.008432726132007316,0.010388479442876146,0.0013384933707371923,0.01071144528629807,0.010419305465692846,0.004191175465050394,0.007512306265342175,0.006067858671083592,0.004410205727554833,0.004516303612576116,0.012416741108058241,0.007031527625752239,0.0021516503899658805,0.007552227003943495,0.004701944901609502,0.011183654506335584,0.00602033123022312
9,0.007642733311753373,0.008603244298802892,0.0010837461106280848,0.008245076911995627,0.0055212498380021804,0.0002410173100150237,0.0037991468836817595,0.0068424622802765265,0.004387097849598523,0.0013282310583745318,0.008942898785635582,0.0005209802016174353,0.0002692783112781972,0.004471385453364389,0.0034004636723792073,0.006513925752500529,0.009325264823564982,0.008665563622137018,0.004189103260258169,0.006586402031188571,0.006217536766879184,0.001677160983427399,0.015042195801713346,0.0016873727460671901,0.011027096621682128,0.005661074960892741,0.004133821195576103,0.009348261402129313,0.007182092088878211,0.008963838738178513,0.0064127086978293755,0.004754851991026569,0.007439938591759316,0.0014258691196053878,0.008412234673274054,0.007271658249318259,0.0007101156589781887,0.003980038480296806,0.002405472046731083,0.005640714197249468,0.005954994023813054,0.006175934073610393,0.0036223980130455045,0.0005789076357904724,0.00971493457953539,0.009749657286010047,0.0030776645728872246,0.005209393960022374,0.007828004836490111,0.009711964992233688,0.006178452054669173,0.0011826035714767522,0.006256113060498799,0.009528512818399115,0.010850853985802864,0.0015539605845093056,0.00029009745787217205,0.0018167155948494787,0.0016672316670255753,0.01022346965330078,0.005609989455342291,0.005889671571179981,0.0019792377130626523,0.01109450852358362,0.008141307092647853,0.001787094170649775,0.0006834922326788562,0.0015904818165450446,0.0062907090748769556,0.003584252539407095,0.0046594836957908215,0.010703146683171808,0.008935301899219813,0.002223497144535118,0.015365192870337652,0.007818242386544407,0.00033768697514154414,0.00878123140595544,0.0010485890724456649,0.0021178675545268193,0.0033842516666219517,0.00990520922601763,0.009928490733398543,0.011378562592449239,0.005943513121472789,0.007902755478475139,0.007529772836314441,0.021944981728320368,0.002967122425770399,0.005892411330445163,0.010388050703439972,0.00019636263317565975,0.008171486027755718,0.0016932999092083394,0.008357117698275986,0.004489146130525295,0.004829651213512434,0.02879190957723077,0.006725138417440534,0.002842670307797413
10,0.009265854619840797,0.009296033634508491,0.0400586651960069,0.0011198392719585608,0.007332244652640995,0.008549322881069745,0.007508623755627902,0.006735318419419507,0.0010320746844979887,0.0011879355569543379,0.0020411812758797335,0.007074467753771543,0.0006391179049244494,0.005891037004305547,0.006282555201383934,0.0012165052832462196,0.008280191427203567,0.010954232332349515,0.01432877981126475,0.002984497888672874,0.007136965761854028,0.036523302700057145,0.0027883078424097603,0.007182318335312616,0.014928472697970402,0.013899284513179525,0.0031834069715107483,0.003925434668332239,0.004821902044583911,0.006583977154133967,0.00018496718895169226,0.007433597274574934,0.007700384317361487,0.00575686711787691,0.007031020426424353,0.00344709094296051,0.006704706350131559,0.005464946885350281,0.014515029620410323,0.006740490770661339,0.0015554415136264897,0.0052784414613883425,0.00603505257277955,0.00655394502266252,0.006212370337586587,0.008588962060053721,0.004086090029053708,0.006086900775576654,0.0071616380307540535,0.003936420266944149,0.009954322284400418,0.009309998883218432,0.008889804258011055,0.00477528105622726,0.009240192235929607,0.0017485033827302054,0.007486307212669458,0.00686680126417517,0.006094859583357867,0.002009535297826534,0.00463913904505105,0.0002489526927895759,0.005858741397320781,0.0023155018416612903,0.009601717368015222,0.015040622296267434,0.007703538777391922,0.0043367583387189,0.005533620841324919,0.0017720407603284642,0.004877384547748057,0.021863238573137732,0.010575711880473838,0.004769366617581922,0.0032764176982853273,0.010330501927316726,0.0011347138558614016,0.007554447241099135,0.0004484768048257995,0.004111688250935164,0.00025904840761115273,0.009117230672269123,0.010338223931362606,0.004482770919439976,0.009846565016453823,0.010483890653091283,0.009106028297340613,0.004053834056527841,0.006931806560754374,0.00479046141571331,0.005568757760794043,0.0069619321034935615,0.005945371154530844,0.00554320976958241,0.008683977168468231,0.005024990994200288,0.009037196217055008,0.004755165968513563,0.007446093655063014,0.0058799525657488305
11,0.007594134411004729,0.007455856007486315,0.010883929387293259,0.006688607089286567,0.00835518318136657,0.005675385991560641,0.00881885342551026,0.005478773960381506,0.01167104777374849,0.005899798531132943,0.001530234423457951,0.002031541236359947,0.0066238204200674,0.00019065877617592368,0.004831892584445049,0.007428884513593148,0.005170319780424678,0.005448936506926426,0.0029483523829692652,0.006969762886990447,0.0007998377387346545,0.002967567444859244,0.00461710064459743,0.0036641668398364434,0.00165751747712016,0.005417341294410589,0.007343743833851457,0.00908242136163364,0.008697542606380284,0.0038281779191401254,0.003449754415504257,0.006282688841855209,0.002094444933949384,0.012161612408503521,0.006432580281806391,0.007174691797794534,0.0034804615934147364,0.00847271751910671,0.008189793339652269,0.007066998702910426,0.005955319168301939,0.014340816440243563,0.006959796567180276,0.005637707174212119,0.004852729891518701,0.0060792719225824556,0.00738547633509125,0.005526500985077933,0.0007214912642137424,0.007835243416989466,0.008460273301821258,0.015647572498201787,0.0054956388131463425,5.019973022896834e-06,0.003392697275227948,0.00404059423090514,0.04049588748837733,0.005685554453505472,0.0038481384954123336,0.0046879587087573435,0.0015445278066992252,0.0007600642964614053,0.0072937490518144785,0.010665537014477193,5.264956924527081e-06,0.0041115928587015065,0.0059098008226853484,0.00963492635245969,0.004721122259681701,0.008351163339760288,0.002115711963544733,0.0008525369906540702,0.006218656011610478,0.006510765467546309,0.0071325628690350786,0.0037794539328099147,0.004566963095563835,0.0013770037585047485,0.006117533179787435,0.004664026018399301,0.00788908592438467,0.0010779415957176443,0.004840267548005747,0.0015229425711989243,0.006331117015854966,0.005172311728762856,0.002615755738066928,0.006358858748726517,0.01053121629471496,0.01209015730479324,0.0013728421159320686,0.006554158131034826,0.004509110343341827,0.004285103038993321,0.004089226030123638,0.0030231971472934153,0.009638302901120496,0.0017204598759843134,0.006866278853946762,0.003513723059997982
