k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.01059112536908158,0.014010763702367809,0.014742313860789467,0.00475974172866951,0.009615521522868566,0.012458844218709167,0.008627128766149347,0.013974499704250944,0.01117918223263207,0.013096766517681852,0.013369945246419553,0.01237087912569088,0.013329696500050836,0.014022015347284582,0.013015018317681502,0.014533863266870103,0.013975234078036206,0.014555588881571772,0.003619450645230695,0.012481012021863216,0.013330212443760352,0.01365407432399094,0.014739484377111707,0.011558024590266513,0.014248704108292216,0.01110859390494081,0.009347982710045048,0.013247162705505397,0.010493953619258093,0.012809703729408504,0.009794302816120357,0.012068428392519322,0.013709945493540874,0.014730201915868454,0.013407334069318686,0.011405350565970453,0.011461772375623867,0.013405345211975372,0.014313991807650937,0.008824097301803405,0.006877277727908257,0.012536554259340953,0.007610939376023716,0.014207364514884344,0.013124908999187992,0.013601679152522883,0.012649811154558488,0.014344707679612762,0.009590608857578023,0.009935764650305663,0.01317437186730083,0.012669688535135296,0.012898062810659472,0.013604911435311555,0.012409825869577208,0.013626734766376622,0.01421052505608139,0.007432841102318757,0.014625599635916843,0.012268526502899243,0.014093961410117992,0.011183567328662204,0.01221702482945761,0.014350183124972455,0.009225319996947975,0.013612100903480034,0.007673003367681879,0.013625061386440856,0.014070405382699509,0.011677673005653078,0.010082056987729526,0.014153077548534253,0.013138569038255053,0.014347591009630033,0.014021007510552188,0.009546046460240085,0.013808597947447819,0.00996257855427986,0.008103429168313542,0.012224640767734996,0.0148014865319948,0.005448966530743039,0.011038448192228613,0.014200059163924823,0.00010560986433690717,0.014700239435210441,0.013529076889210095,0.0010632150880519782,0.013545280904254267,0.0052857416982685645,0.005920872632598585,0.01427741288786487,0.014503895729678359,0.0030877954103736907,0.003413330037142486,0.01396484610946673,0.012290962470094449,0.012203455805576621,0.013815463249822569,0.013707096065078772
3,0.01311274430092228,0.013540892372720674,0.011646512165608889,0.011884454220650608,0.008923786856691047,0.013754375629334677,0.0023229580707130534,0.013818724137678932,0.009933897874732391,0.00912536510400064,0.011632797846519893,0.011687444754318935,0.021248148999872502,0.010104821877811806,0.02086929023095235,0.011628094968004434,0.009911139690218007,0.00400073953676431,0.011892744400259067,0.00792698323744796,0.012564756208237365,0.011565185775150377,0.012574671522587413,0.0104726133463029,0.004652572140852173,0.013072565515577624,0.011951302475525973,0.01090497690284584,0.010063504115661558,0.013024828907107128,0.010236708262151728,0.009843854810222877,0.011172816344312286,0.01352952399045476,0.00943995691540699,0.012945561293586993,0.00015299509698713312,0.0069545067624514866,0.01302346211582752,0.0115366820166394,0.012623237785104421,0.010931409261068014,0.008930316825230098,0.01304651248140717,0.010865722152696215,0.00846377982154232,0.0019472330831676495,0.01307169508036942,0.0051531810230996695,0.005359799250939538,0.012526295078301636,0.011129908998613946,0.010933237675898756,0.011024212245351338,0.005224914178656453,0.013750198295724738,0.012080174597996146,0.011186888699521103,0.013725138044170299,0.01383779363288528,0.006948265658379325,0.013516786985331531,0.007511886002750915,0.01317570634351493,0.012853074099232848,0.011900171351668081,0.014140154916138608,0.013954999275518095,0.009567771042950602,0.01008284702978138,0.013073475419910559,0.014665304531281047,0.003180261450233649,0.013973334444061052,0.012893634012897911,0.00853147668528452,0.010499807979082246,0.004259045728595416,0.008449301380534659,0.010485508845414633,0.013703804225379859,0.007071868585265243,0.012690160416365164,0.0066397324124949815,0.004416289465181822,0.01297431108384224,0.009692428369165375,0.013318961286943183,0.014416856005048988,0.00844911000214258,0.01391664111351247,0.01357473150569211,0.011501537701929502,0.014418513748946947,0.012563836901365151,0.013299709846825106,0.009151652249483281,0.009539928259030927,0.012677320502083277,0.004697595038257809
4,0.008359413673645047,0.009039408513357446,0.012499228917173175,0.013081451573762332,0.00983066957465581,0.01285944914235468,0.011352327864055427,0.010612318972324439,0.009478628847903627,0.004953610925300934,0.012137340235400619,0.008775247890142767,0.0113439099088605,0.013473113354791393,0.011773869803019754,0.013816114260206493,0.010684413015967495,0.010422237002534997,0.013101905554773419,0.011754458941907376,0.00789569596230054,0.01209986474424805,0.011118882703405563,0.009910556694104487,0.011334562125272481,0.00876535254853288,0.005223604521287117,0.012073321936213272,0.009624546453293427,0.0006398887738720514,0.01273420910962736,0.00899699446642708,0.007125373568712325,0.007234999399105388,0.010784593935833447,0.010813624091634137,0.011631954292778416,0.007113224373074701,0.003719021356143378,0.009875952593315215,0.011478988036108275,0.00949842788270148,0.0028356670995503507,0.003559127533679561,0.012468755953927118,0.011634899225468936,0.01226935688872391,0.007759047413451011,0.010697946409456862,0.00861187319790747,0.009479470673060155,0.014054151448776852,0.011777618517012183,0.009036709341111136,0.012398990865551823,0.01360856717361331,0.011155621440552179,0.01356366009061585,0.01367220404365491,0.003418759132511443,0.010001831082173205,0.005558966995269379,0.007741083841756806,0.011645586279846775,0.0005134262047249497,0.007919919560488573,0.014035666185899243,0.010357806357394212,0.011521685026698234,0.012293175789007,0.010631096004369255,0.004638235017176227,0.013317388986650261,0.011200857741320448,0.012092603245749171,0.011867131993949634,0.007904542964940012,0.011011691534956772,0.013990972924914837,0.021294704151781595,0.0011288310034821142,0.012812449809651297,0.011359652414339935,0.009080844267096266,0.008832611273629993,0.011982473795543928,0.010417768594758457,0.00915796546100422,0.011616700546316437,0.010990480115495273,0.006873695636642774,0.012917445534978842,0.011955129305818425,0.010901264395417717,0.007247861219840604,0.01006782877812554,0.00871249724304643,0.012178958963268718,0.008695783220606214,0.004694384392310569
5,0.02260328444605222,0.009925840510793732,0.009614872897999841,0.006783932326670454,0.00416672387467543,0.008282650521470836,0.008990014754715014,0.012526652645415021,0.009161002624959811,0.01150025485351109,0.006444486745471685,0.008843492055980496,0.006300735679188131,0.009539535525887693,0.00888967936599371,0.012913468840957874,0.0005847406137477976,0.011147269889401852,0.009008460825424187,0.01002873420866768,0.013199049015322598,0.010441865773221565,0.010906007932231617,0.00922099841740755,0.012151285859658034,0.009234163299031671,0.012028427199451202,0.011845214507734656,0.00557392619245734,0.006229178258713268,0.013489807507568612,0.0123005184187396,0.0019154630263912495,0.008059865046390523,0.00990332068936654,0.01314626773704743,0.009203039524382874,0.00778190318969178,0.008975024770932864,0.006688436244881697,0.009457306912468669,0.010478597907484954,0.01392519507495366,0.011567465953659664,0.005612866749047804,0.00870003010468601,0.013050801349048877,0.00781581664177271,0.007166673079652037,0.004543448425943775,0.006266189263523639,0.01273743206488919,0.010805148084086003,0.006614915588226208,0.004706340060906861,0.010791204255341687,0.011811708166030749,0.010714914940352496,0.012011787671374603,0.006084501720938386,0.009089634781168494,0.012856644452702954,0.011469702304362395,0.00842489870809163,0.007303061806731428,0.006067058848693976,0.004877799554940989,0.011793579562817815,0.007371846779474573,0.0063053353899087325,0.010052593188505507,0.006196614877829958,0.00853474412164412,0.008701377016924593,0.01022656942123697,0.008235651424267916,0.0052737202682089715,0.013812046304307324,0.009124164133227421,0.009360243279988882,0.011206734606494868,0.009865930591319485,0.011859557559375747,0.010189815143767208,0.013674348407478092,0.0017439657457352618,0.010023976420947739,0.01136789890533623,0.01176551610855621,0.009622916743760306,0.011687989558064745,0.010917803407035052,0.00014767029431486493,0.012183033703229033,0.005394311252079131,0.012498758583968235,0.008279051879033732,0.012738638599537295,0.00999441884212731,0.008595159969664402
6,0.0011083047458646158,0.004048548290449908,0.013519048736644826,0.012117425695418568,0.013000934856076233,0.00963021239409473,0.010819756893866835,0.0031788660571018656,0.009162379444962357,0.002957389353619253,0.0007791598462916841,0.009710870393481775,0.005329040964505802,0.012494622429947231,0.011080872672206334,0.0017478841883387022,0.012962115884381271,0.0008031194269943059,0.007319418816235608,0.012977645196929826,0.010962079751731465,0.012276457613595061,0.009442326625200448,0.002961661748410553,0.0022073103468218357,0.0021722088827115325,0.013681980192409996,0.01269890284413277,0.012600233505527306,0.011196530250459726,0.008135710680814688,0.002407123152160946,0.0033760602102171668,0.006233023226518199,0.00628151122173313,0.00923896723589992,0.0031327019805233638,0.007291426344951495,0.004976120519295945,0.008479255775077249,0.009175747697690459,0.006253513442756303,0.0029888530940447265,0.012004758703548002,0.0015066965594637029,0.008412573517000674,0.01127030431690386,0.003489375139325384,0.011408212102923617,0.010948323768430255,0.011069727485477028,0.0036534341985740813,0.010424298471981182,0.003946479510737929,0.009098841512753104,0.009200784361242526,0.005742698142748649,0.007033985792147427,0.011755373759191232,0.009664782447886646,0.0076594808941243325,0.00516848608235685,0.01170126425451334,0.007742146287157681,0.0021061963821278964,0.011484095154964957,0.007272744256973463,0.012165569859354849,0.002771582507007861,0.010436374374106808,0.010676488612030879,0.010036599519728994,0.013102250179982016,0.011235152859296597,0.005287336178575793,0.008187485349490237,0.010911924459352056,0.009645786387301689,0.0034577409309292893,0.010115716357843769,0.011021703687391624,0.0015422039981656255,0.008525143894043373,0.008858361548657047,0.011475737435682757,0.0062199685212633755,0.0015890345402176254,0.00969844055798292,0.01084478641329253,0.003434969473264748,0.011744664475103209,0.006309816702095183,0.010568060670950395,0.0014158925689720693,0.009402760680792023,0.004816695217811048,0.011243688485923413,0.012432603978658727,0.006588322638797821,0.0005912194477372505
7,0.011319588898413056,0.014218028616974618,0.007380626343477867,0.011441553847209898,0.0072912367448586275,0.01117604600160175,0.007099289843542732,0.008853913036290567,0.009833506551340937,0.009796601850793884,0.0065667645701507245,0.009038664664399086,0.00853143524925908,0.009174259564284255,0.007072625336645067,0.005696231171582744,0.007150496729904289,0.011128608259652522,0.006957834648005911,0.010954751813504792,0.009798463428463865,0.00546718159860381,0.00927799721921479,0.00497439678236441,0.010592943340510488,0.000552707535886262,0.003877683920001424,0.008322978970030679,0.008383616337417873,0.012105547469488892,0.010128507106562346,0.00920199558382031,0.008310812558911872,0.004812843899209194,0.006416917436199741,0.008508801179142975,0.010730050069500206,0.008069600976620697,0.011241017266892275,0.00979659274674323,0.010817310157798694,0.009674516387226974,0.010302391001645327,0.00322084626804205,0.011551406295749493,0.007819576979610207,0.003513365144938647,0.010727636539190899,0.0028034768832531434,0.006487438175946127,0.005769011977747802,0.007046948352220247,0.010130861581056194,0.0038457853496083605,0.0021112591916949454,0.00587382865970049,0.012594769156222813,0.01075146158686744,0.002877931150380049,0.010706401314277355,0.00756365215776903,0.009407312350984375,0.007394030851271313,0.004474978730886554,0.009445345526500937,0.00885898373626726,0.011117714569582403,0.012072462659998404,0.00498667515058121,0.008126569867156333,0.01056439909585945,0.008328826005942222,0.007018471789815205,0.010763492261133698,0.01003636150252743,0.007345970082865517,0.0007811871744742675,0.018785895510456178,0.005449391786902621,0.001333167207936324,0.0037515118600654433,0.011451921852411449,0.010688517456772666,0.003053341497254905,0.009362113079744083,0.007785031001693506,0.007718898983468225,0.0077346889987661175,0.008878765854627567,0.007343109828637352,0.004474625892706372,0.005625242529499797,0.0059816753630953096,5.6782143295734666e-05,0.007368808305932125,0.009620485836959652,0.002066582941160895,0.011414729526845909,0.009473708243677922,0.004564043737302173
8,0.006337623966078076,0.007875582947300595,0.005334471651223463,0.007823498099742346,0.01159639889703127,0.010615994890679412,0.008200110660226797,0.010741104836970789,0.005781555662886689,0.009668046364556935,0.0026945977657638343,0.006207067645003152,0.006053259941389548,0.004867527788033002,0.00017618286065176555,0.008674214272346428,0.00013235526536386696,0.012665662175661847,0.007660799204570237,0.0069233404396089535,0.009031444594035053,0.0017250298800911557,0.0037682128411660465,0.006969577806172201,0.01190073132935826,0.005683967228773339,0.03232890550268505,0.004943512728165582,0.0068727053124007995,0.008225304092486691,0.0034628233446866736,0.00637076486612367,0.010092688718948908,0.01177809909831891,0.008263975476476927,0.001659857493213148,0.03268251812205665,0.008817371301435511,0.010141259638049644,0.006518095353038282,0.004670208357697991,0.010926850493955502,0.0048639320538586914,0.010498913486791855,0.0037608508621227547,0.0038630325199806373,0.005741977067483625,0.00039992909699003605,0.010096296927150937,0.006950367194640636,0.00832284399902258,0.002574002296130447,0.007535251497943816,0.010599207864418203,0.005149992506119687,0.003528062549975326,0.01132391794760572,0.00417453536294572,0.005780080562862449,0.007821611711894143,0.008355168854125006,0.01058382095213843,0.008569179062430227,0.005031174024399249,0.009296555037685486,0.009009103418415161,0.0054485543938372315,0.018411556609497063,0.0077102665191459705,0.0028498007256833307,0.0032224865634303754,0.00275594845027494,0.007070925492213814,0.007417695020613218,0.006824330795543827,0.005473841767698072,0.006080766721947194,0.0035940401384137177,0.0012604354121821364,0.009564273787325609,0.00802971048449621,0.0007056150743315164,0.009242768370185738,0.009466147153998529,0.002048691679474031,0.008605886942283616,0.009117239546078192,0.008861426377796914,0.009417197581577995,0.0145446187740883,0.0031183316769469067,0.011215310982830191,0.009642581285208413,0.0005270730880596528,0.009601095604849256,0.01111813564322851,0.012182063835073819,0.006162555648904,0.007307174770901797,0.008840065084730953
9,0.0038395502429969773,0.006859630306271583,0.00422071115005768,0.0060417022134582905,0.009720640251976302,0.006571410773995904,0.01080962378283342,0.006386456465570831,0.012062720244180418,0.027843348469051576,0.008969694072710734,0.0029740235489327336,0.009483986959773445,0.00928179956270167,0.0006547564794617544,0.020007070939139036,0.008232161710194863,0.004982364095369654,0.002984877203027316,0.009695703534393356,0.0012730688823096182,0.004588116866167842,0.0025697960386959,0.005386633659253941,0.007258364968486473,0.004909124677242419,0.008985963069241591,0.0066769450562791256,0.00812421596908583,0.0071054117654642795,0.006779347994810498,0.007364145964025856,0.0026392124303985832,0.00868201846960174,0.0072255937763875,0.004762728057112912,0.009135616353732176,0.007768417446578665,0.004240500364174468,0.0027982006156847886,0.007801874539400907,0.005552903385392077,0.010805946935244129,0.005276127499216592,0.007816027686708492,0.004052628353656881,0.009317423466677806,0.010286692964131892,0.005580583944879928,0.005583248814857517,0.0024708114149304405,0.010049912791324158,0.009889025814359104,0.005166590627257734,0.001124363329188069,0.005073212568997419,0.010125002988953039,0.00377809553545912,0.01096647448757612,0.007283498131110544,0.0034728224535370764,0.013270535066084107,0.002433478925727095,0.018575535226773566,0.00960948160377659,0.003356694924825333,0.010625308320125272,0.00759006432270614,0.010696408099630218,0.004557395011282529,0.005232737496340262,0.005372152134009468,0.004012098692597804,0.0012026773709300498,0.006097729086165486,0.006608620521773564,0.0048441955259015245,0.003322948550025344,0.0062814813704165,0.007543030188096693,0.0004191648354255253,0.019574205803215245,0.007352135190719274,0.003385752672723244,0.011866341997786382,0.006965132513875047,0.005176550147165853,0.00277175946595269,0.003841531496556928,0.00753790533929204,0.007475115747727786,0.004851818342688337,0.004275033702663047,0.00039664313591648154,0.011254319825493065,0.00451133935461847,0.003865608877608454,0.010330283164881084,0.007861701022897375,0.009539798478219123
10,0.0055894992879754295,0.006598549273434659,0.007651727807786097,0.007621892937337364,0.011109838465505093,0.008071527503937408,0.007362990283101104,0.00014892219704528212,0.00755052746300335,0.0061938287650731665,0.005938471302415156,0.0015926767986008603,0.007978884000148092,0.010306992703730585,0.009778872234341634,0.004734749433778234,0.008908687460762139,0.005215312538372459,0.009338505274221448,0.003222176582910824,0.001145307749225756,0.004613679113763657,0.009297490452920203,0.005476805787935102,0.0033524593815435835,0.007678858889035613,0.002826541783126104,0.0059074126019526,0.008928214376354103,0.008284744342556688,0.007246768884493375,0.00040704750616129583,0.00503152910623386,0.005620357812546196,0.0022958730189939925,0.00344684349377709,0.006961466675912031,0.005627425236051777,0.009439822251993643,0.006216034379005664,0.0097603789898134,0.0074079363403427665,0.01003983339037107,0.003506434592959967,0.003546939632109643,0.008658974294494012,0.009237893031162795,0.004852004625701905,0.0034461459684481336,0.009972786708275446,0.00243217726629171,0.0048583996172040875,0.006993953557124771,0.002154682209045633,0.003966591661885142,0.004493343446682526,0.00928260630894294,0.002935734696710525,0.005127767292831129,0.002635954013655274,0.0018757070148978806,0.006864958251966258,0.006059825031011315,0.0002303153251569396,0.009805188549682316,0.005338436041136117,0.0003221610577212302,0.0031308184215063407,0.0028835135581181393,0.005783460867928955,0.006434426197827374,0.0011973313605789099,0.0007850973174300079,0.010161493323462917,0.0019749566448444555,0.010430403406806291,0.006653155459764887,0.0019020830183733052,0.008986228309055346,0.0055023314779701835,0.0008435664530326362,0.0015138200057645407,0.008726498605272349,0.007292590520933499,0.0046849318149312855,0.009855136865526581,0.00926824933506184,0.004851115410342924,0.007617823995934696,0.002054240271015681,0.0049297513401021145,0.002575549630235579,0.005090373683340685,0.009806002432177824,0.00920337215510288,0.007394156294522459,0.006176394219614965,0.00744782808354151,0.007823584508559989,0.0028404090994502244
11,0.005483287365153779,0.026202676596864097,0.003512484301417415,0.0033195478684114686,0.0024120886566512713,0.006776245891316712,0.002307493904262936,0.00027189619898740185,0.003537433510042459,0.005783953555778215,0.0048688188033077975,0.008062532714683893,0.006868022055069855,0.005585954645567055,0.008441521132664855,0.005734699162689712,0.002308362510671687,0.005532066857607893,0.006297385413915873,0.0038784108873271828,0.00017240381663916754,0.007254776053030442,0.003567509296870129,0.002065163940100645,0.0022399268927332863,0.010827824187349627,0.007977479516788377,0.004524586069724506,0.005981834480618203,0.004221609814972164,0.006665695291789033,0.0038402376139893366,0.0071243419380775195,0.006582158828745436,0.008188014961889832,0.007023861898541633,0.009594443514774063,0.004435455290644373,0.006753128616643787,0.0036032886031366635,0.004626498214964515,0.004310365155007328,0.007974929818854561,0.004288757157394445,0.005395472698222409,0.00891113225147437,0.007778907040109786,0.008787518502234602,0.005299406783488055,0.00671773595153481,0.010405535818870514,0.009475014299368513,0.0059257251940486935,0.005646018942714359,0.005994077940035033,0.012828730517076257,0.010065704486258719,0.005910685547260956,0.009768929730109201,0.0003900263930966645,0.004417174585362196,0.00718128799824207,0.008156111691214295,0.007026130101190988,0.007256755778217669,0.001795645630397736,0.011345123842012554,0.008567969693463882,0.0038844210210104008,0.010404900007123866,0.003038220153194696,0.0029979205212040255,0.006464002002220547,0.0012790376776547988,0.0021501113918146342,0.007436983508669368,0.014309401093432973,0.007667361781109885,0.007608870569155397,0.003267456750710841,0.007400859403964692,0.005565119011337601,0.007304674452094845,0.007260551558941539,0.0038949501990158883,0.0035441642965300044,0.004864688308983629,0.007292900161550531,0.004130747262959323,0.006755093985452222,0.006158969522775016,0.00849422396769001,0.000582763546378675,0.005978442625994224,0.00013524263127216718,0.0075050472872457245,0.008246400130402523,0.007880883575397214,0.009750787031649118,0.010561446125337173
