k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.012059695941411406,0.01450559737116716,0.01410451558541211,0.011737461640603061,0.010296948019572306,0.01344449836108392,0.013763777026091474,0.009166797132102757,0.01026115768430943,0.013735505373445417,0.012810748159276568,0.009053505046002847,0.012947812665341068,0.013107446176042838,0.010406810743771372,0.013738195002641583,0.0133255210984827,0.012990423883364468,0.01217236247534713,0.01419155647510467,0.011925801927659074,0.012343892820453315,0.013186052362017892,0.013439996228346875,0.014353097461015088,0.014395726964963933,0.01251624554411514,0.011504582750731202,0.012445531717798611,0.005050390825336884,0.012155865462816193,0.009961656205393996,0.012771871541896058,0.014256680119849766,0.013633494448725355,0.013142344960852379,0.014376098567877433,0.01377939696472073,0.012578063520377675,0.014345700258318484,0.0133278874290383,0.01495025175786334,0.011361682750958712,0.014665457843357068,0.01453815447408431,0.014615427041046,0.01325718209248374,0.004820735237386726,0.014210056987642944,0.013847776391392702,0.006900482031925019,0.0011221580593021759,0.01326750256017296,0.01358245272578245,0.008219818742345252,0.01275758245436915,0.013908766975114497,0.01438950488786495,0.014742500743873056,0.014235293799225092,0.01433652303745083,0.011723719380832547,0.01378182050918469,0.014823504818052533,0.013154658722055908,0.006518801263471399,0.01462308436460776,0.013135223271296344,0.012611842168066073,0.014646271785697955,0.013912859854810167,0.0027692170063236283,0.01078951954344012,0.010536974614473522,0.011387713460542941,0.01320571865753851,0.012793980516699388,0.014444742270414616,0.0012612368116259078,0.008242925975522421,0.007406409891253865,0.014642779741113858,0.009759407731509948,0.012809386884939135,0.01391285303155097,0.014403664622851147,0.011945764150315955,0.013540454815876773,0.01455682402948044,0.014203149289086808,0.007979638326425858,0.004077528601846361,0.010926965859092272,0.012826835841028951,0.010674950590957666,0.012777206067326047,0.01416898199360912,0.014668206550172381,0.012032914858907224,0.012301421560612057
3,0.009051900243918498,0.012106258116839701,0.006427582397557651,0.013136411367552775,0.01206956831555962,0.011397654137557688,0.01257221137685772,0.011680498213689569,0.0021202014525687693,0.006334670415765431,0.01153458951776401,0.01100896097953499,0.008162915658186637,0.012912866822585897,0.013746203739540143,0.0083180509997971,0.012115236167537843,0.012773050835972188,0.01272247658525142,0.009104790228350581,0.011714924071460929,0.005368584895595305,0.008860684087800608,0.013185967721165438,0.0028843978464134397,0.013862053325705566,0.010041085648217233,0.007550952845402727,0.009819029381878154,0.014369291403661884,0.0005466314034704798,0.01404441357719695,0.008843040808633185,0.009812754342376027,0.013511882703182891,0.0002124885801716124,0.01407944130106227,0.013795705551914571,0.0015977681447088242,0.008930260238639279,0.013343167334170835,0.014580314137528446,0.0023720097075561157,0.012507038849941107,0.009124510727046637,0.01337758176905619,0.0037920827999135265,0.012404204004562363,0.0024781330182291374,0.0102115742079819,0.009003833390023452,0.013524682994580794,0.013816476663032585,0.013299358025116358,0.009745983622347958,0.005240780815588254,0.007990929158609491,0.014690333888349786,0.010999492930365982,0.013483514112270521,0.013619661722977707,0.009813250912861015,0.00850668391803399,0.011503841248930557,0.004818745147680752,0.013722291372117256,0.0055126342364208,0.013226818400212666,0.013969460059126134,0.013308263029236034,0.013541886524238206,0.010495548143979436,0.013635321790477778,0.010096788857039024,0.008200904298332796,0.013229126322941483,0.010652419056896147,0.013918863885169344,0.011617970590137222,0.011932673408879036,0.013368656123070585,0.014075233856935902,0.009428058559725543,0.013599302578977436,0.01214916265544209,0.012847990855288796,0.010470554946499358,0.012478619335056456,0.011107831853993683,0.008130411277874491,0.012610099503772657,0.009201429979288389,0.014278501820693165,0.007326598227407371,0.013362843608581929,0.010942027398168743,0.006182764753448422,0.011468181781088223,0.012768354526679696,0.01147222260633355
4,0.011650067456217543,0.005245074134844669,0.007616251521344426,0.0032835878992248674,0.011459439841257845,0.008665424519715569,0.007114695142212985,0.013942265203939489,0.008324191276950959,0.007463471230164668,0.011997993811903997,0.009590458421764623,0.012957919455044804,0.005790595485398382,0.009310461011322399,0.012071260579244037,0.013408257801175171,0.013366587130985805,0.010592552167371014,0.014205850403778992,0.010617918000996937,0.012486366755010022,0.012260646365778107,0.011982345274308952,0.011391604790833012,0.011702308609926888,0.009999414796919272,0.00064624118906631,0.0123630892399278,0.013283166658348828,0.012697079094794077,0.012499798053266307,0.013561849599680046,0.010790349363577903,0.01090506090149832,0.010790698401203322,0.01338094720420834,0.008374982349614837,0.011514741220234749,0.012808618526547936,0.01014432383730555,0.010682293378829448,0.011798574776454521,0.013292974419616493,0.011847761357575008,0.014157056587985837,0.013276039760738084,0.011639408683609727,0.00932721149938913,0.009192020250466303,0.013388770594882731,0.011050311190023573,0.008204564479833604,0.003358151731816611,0.009584409729161223,0.008679078666009914,0.011264245504869465,0.006284511872792267,0.01384532788095643,0.013640103513673325,0.012159466924866465,0.012070290720115038,0.00743752986099909,0.011719878030734023,0.013153973672802122,0.010007362677293796,0.006497465495169942,0.010846704191125298,0.01445942227205965,0.012534852896361361,0.013760574004651251,0.0045941429725729205,0.013355167917133492,0.012536697742600515,0.010663800971778768,0.01132731119862854,0.013241838050863727,0.013267660130137537,0.010176815398142147,0.011100796118149011,0.014528460343077759,0.008265192594278856,0.013458071544546778,0.010525938000607077,0.013691302977912642,0.011687887618768964,0.0027053621729884944,0.012871974240300385,0.0005850970610709917,0.005689087801154026,0.009939962903950505,0.013375272758319338,0.011359665078302855,0.012190597666000575,0.009161356642478207,0.00890070422246806,0.010361520974388303,0.013576214886309295,0.007506293341662825,0.011015774604184493
5,0.01132348058595355,0.0030031806450874915,0.011348366009381357,0.013108304471348208,0.012086021989300644,0.012445929805824714,0.00968688537990894,0.012348324622864296,0.009216801373188461,0.010205269838846096,0.012380828476717879,0.0007252725830876362,0.012818295161901095,0.01066774874298822,0.010039348509199214,0.0010391263126891155,0.007747301266550003,0.009629955374817145,0.01358483176826809,0.01085813384606776,0.01183480922724609,0.011324046029013657,0.00951116008885455,0.010138561622867921,0.012368381058492693,0.009678328175934732,0.013717319118436913,0.013494370854041725,0.004406987154774285,0.005770782805637163,0.010492879793424958,0.012178429144439534,0.011212561401753272,0.0007973179753292398,0.013066832228383592,0.010486356141106077,0.011693659679578475,0.011738221573692767,0.012697468587186189,0.010386394999006083,0.01136890283079841,0.00376972206234125,0.003882433681472317,0.010520110470258106,0.012404820751016014,0.012895570516842411,0.006150299526824473,0.007977888886684863,0.013259404872680274,0.009080633338893255,0.012137979406614936,0.013136081298857332,0.010473326816932383,0.013079101233769978,0.014360463261993285,0.010989045888129281,0.005335908540463178,0.009320068495126928,0.010911477487388563,0.009180622998928566,0.010021283847833351,0.011579322018324472,0.012137884853355716,0.010450654770315941,0.010893590528421765,0.009814969034602019,0.010782343227367295,0.009173061409987884,0.007926898987635291,0.011764046905373877,0.009780616642699469,0.01328040068902063,0.00907043272207632,0.012053982881301554,0.008891672933896526,0.0061921060625190205,0.01178159335868216,0.011102636425999176,0.011004428207253303,0.010566703861887837,0.011976645901092191,0.013470681042387009,0.009599314771578063,0.0059588561958914335,0.012391243697809296,0.010226643947072834,0.012558183309263175,0.007319133336257309,0.011017277193983079,0.013504662335087191,0.006196743522458942,0.012787573822122408,0.01301928592258074,0.011550762863187097,0.013643810083302224,0.0020176277566148586,0.008213665266338335,0.010243642526170984,0.00870701370177265,0.005053702590588741
6,0.00931866448964674,0.012654863670933367,0.011818100850741066,0.009407866328044991,0.011047110152587511,0.009858444495837497,0.00950864661938786,0.01100701862543339,0.0015228910688683296,0.005634849516935263,0.013249113499285904,0.007630920143057222,0.01084014786974782,0.011567733805749377,0.009530310743580184,0.008720374455152655,0.011133453081702707,0.010634334170677233,0.011462559867347713,0.006951505118997664,0.008997365487746437,0.009945398132306863,0.011790810061800841,0.010573607899469655,0.00498364438670691,0.010909262208574175,0.0008731707418117192,0.012408082362280439,0.010490938243243132,0.012454805227352799,0.012108697636134275,0.007584618865556247,0.0008234868770847191,0.011107219933924044,0.012462530962152288,0.011319682508743531,0.012410356465297052,0.008121912830027004,0.012215569660464307,0.011403289704933279,0.009160501724656916,0.005199937142845518,0.009310880846257162,0.007274337785382274,0.01313536290375659,0.008636574153430011,0.009812505495585355,0.009522828958153073,0.007849932051620188,0.010097382116604544,0.011358520329157455,0.01297275849599145,0.003967277313141494,0.006412382956457742,0.008849887293528773,0.0033432341168609277,0.009784777378425208,0.0129914911558154,0.011904326967432089,0.006613592283216285,0.012513202445639358,0.011280223362331528,0.00937045251274277,0.004949821818428804,0.007215042769729344,0.007883000332626835,0.007731527533337158,0.0053314148760662886,0.009700324364506005,0.01254498355519466,0.011918884502949176,0.009238048557461898,0.01019078755430863,0.004507205237695823,0.005395678537321721,0.010165917991818632,0.010446536851921682,0.01216559894807515,0.010951303717230007,0.01192400348618019,0.008684188691012347,0.009037562983704998,0.009907491892061353,0.012951962152667064,0.0004944339723334072,0.010839039969430463,0.006918323286415099,0.010091737553147802,0.013804768985333537,0.018197537568447355,0.01119773154445439,0.005018335154635003,0.0061631500412725835,0.012582577293488079,0.011342128537936988,0.005399211947426074,0.012816441558414859,0.007431202881898484,0.00878952137756955,0.009588228329241649
7,0.011720373211036274,0.011803781454656508,0.003319984046445061,0.009135411804627739,0.008459876368556364,0.013433155412976806,0.008011719125907295,0.003950704795974952,0.005060157832274884,0.015769852287510377,0.0062093808931283755,0.004272566047144667,0.008125165219677585,0.012797615314603042,0.011537082611079651,0.010417538337537263,0.007876039136083004,0.012619152648740481,0.005058603230098765,0.008960966204487854,0.010681961328564263,0.006838083459317254,0.002859252591880364,0.0010137658256786468,0.005565551353921099,0.0016071555591722492,0.006923498453359014,0.008913006330821222,0.0020168984307132494,0.010579222618043966,0.011079906944170624,0.005759953591038029,0.013002395390763715,0.0009003254986462567,0.006093061454429453,0.005831525102456273,0.0025557792470755104,0.012677695108763251,0.006375769833462112,0.008441599886925933,0.005096028472332953,0.011883906501341973,0.002843712047795082,0.0016341190069907967,0.01097209654565456,0.007648086557485488,0.008739224529115807,0.007672299456943556,0.012081310089803938,0.008281649516804579,0.01337319438126463,0.010664102907185202,0.0031162106927076928,0.011594326225738825,0.009760712251498715,0.013422082181737287,0.008924949162978101,0.01112543996505754,0.010174940231904368,0.00186806767848916,0.007438522868255687,0.006860013144952723,0.012411785274017435,0.0075481737575379786,0.005289344435188151,0.005522807046977026,0.010122029485895176,0.0029882123007227857,0.009751595267340062,0.0028841791762202404,0.006300051810838094,0.012176560816543036,0.011395328183343389,0.001766842820964544,0.002291199575343829,0.01052871126022634,0.011606360611134965,0.007985679770462852,0.010886386173576474,0.012574754547321128,0.013266915185820391,0.010012647811374458,0.009095667038162964,0.007174027835173995,0.00980353318528446,0.005488083766436242,0.006951067202549625,0.012613586600466596,0.006896118511281888,0.00014903016345535654,0.008876700909273495,0.00935835689661905,0.009571297675115067,0.004727965753987214,0.012080137393943681,0.003786139974936528,0.010987036181248074,0.010636942256883594,0.010437744732463965,0.008348270951390738
8,0.007942784676408111,0.006328855845447791,0.01089710717442683,0.003949723970770893,0.010954344068864722,0.006756525735219423,0.007941887305840636,0.0059657561371675785,0.003937721445056965,0.0015081126703559572,0.0121351092507248,0.010269573703622525,0.00834395933981506,0.009940315406859159,0.00433214913726453,0.009001225376120657,0.008899693198768304,0.0019493000186480286,0.002675059629817055,0.005987542163403168,0.01215510006477773,0.0111768142948911,0.004099559205452755,0.00670366165107159,0.00488204006157146,0.0055691919086688964,0.003205653901132959,0.0016383040870232221,0.002979984358246677,0.01290445196295702,0.004567024339904418,0.009046300116854254,0.004551719360907541,0.01066084295833272,0.008134396977120005,0.004053343278766207,0.002100239285500915,0.012356504034274894,0.0012046657584002772,0.011379449200601206,0.007693591689334669,0.008754831776600072,0.0058310738380015735,0.006526547495621329,0.006360593894134171,0.010540697625046103,0.011476682113207971,0.00976653516627168,0.0004463058375300689,0.012262940254568117,0.0045339046313618726,0.010478218236399668,0.006423322002811859,0.011031150208789406,0.009218586017001405,0.006541016582514988,0.009356052477256334,0.00843682616981045,0.010634333774879937,0.009591945991627658,0.011066679121177722,0.007847230339791665,0.003161671997623768,0.009080153945175043,0.009972610981921572,0.004204620058043219,0.010191680769917902,0.00969357439546335,0.006418089609890312,0.008306883899105093,0.004938304594836731,0.008211901651258511,0.007228355693194502,0.0022840599149169423,0.011118093614161448,0.009646541265814813,0.004092239310174436,0.004626065442456161,0.0005868166028249137,0.006404690874313421,0.0057726692402098635,0.005819270345803471,0.002120412582046944,0.011663565435727937,0.0018991383506649744,0.01284374668281797,0.017761055498783197,0.011144904317845246,0.0023424190312158113,0.009867205918792192,0.010736917459847395,0.011073858029222271,0.007249887097160353,0.012104330946198753,0.00542839165358352,0.009371337298641888,0.012210630676221138,0.010291195342292479,0.008543767503538312,0.013276132711485974
9,0.0017532229330200436,0.006034867107031789,0.003514754029935018,0.035380691763278266,0.009667396268240543,0.011212955937860584,0.0031457765822624894,0.012338536820834436,0.010773763733529092,0.007671471839641687,0.004565021891822058,0.0012352682898112786,0.009475915507719933,0.007000875878659132,0.0029959847116371313,0.007270539473259858,0.00877580467490616,0.005649721774948961,0.0054723413758370875,0.004362567151872715,0.008482185740834213,0.006761398839042093,0.00709154650251184,0.007294526080957549,1.522112542015272e-05,0.00476765438599828,0.007778968838862215,0.012289946813662328,0.005058004829754919,0.006125636484060124,0.011964467340615268,0.00016771589114393873,0.009102452549822261,0.006144518016714852,0.0037154066772311315,0.009026986401293484,0.011240472150422173,0.007938980242844618,0.01708713188111945,0.010313210173578348,0.009660685210043369,0.004642932129043084,0.009785105093164883,0.006063215864575807,0.005821666470114855,0.003999223105671409,0.01249785685325277,0.004946874382586727,0.008826526491169776,0.005971799654446308,0.003050407497571671,0.006530361695310193,0.009341324637989153,0.006213945088130406,0.010247703267699769,0.004558074088566863,0.009619963644183157,0.0013116321242097346,0.0074487485194425496,0.010117680445267542,0.007973891474548722,0.02461339564042952,0.006623470123036159,0.011323741186790281,0.0015491322301435899,0.007731786246320421,0.006851511931079928,0.0012630693630020003,0.003673311194213342,0.013249040376259711,0.002617089568508856,0.0035314751027945533,0.0027074741185336166,0.0025283276972942956,0.009394019582327424,0.010312721938726007,0.009034008580134398,0.009698317757991761,0.0038173182061800124,0.0049628884434594935,0.00794131071459447,0.009927791863748026,0.007993145174158008,0.0036774099282651657,0.010391326892405564,0.009876147243505171,0.011614850918466176,0.006787556576268176,0.011286739443183327,0.008784959700963043,0.00795549727402425,0.0004399232982314136,0.010831736191572568,0.012478661327449115,0.003010769433899914,0.008012031188020735,0.008417822613952105,0.021978930720272797,0.00822092183682665,0.008681076000003465
10,0.011227143253269357,0.0006214154004920806,0.008943194909346407,0.005418695050557464,0.010487657259980814,0.006643827655042459,0.005738246342482911,0.010035753366516754,0.006375115239784094,0.009734117621574633,0.004811130522860307,0.003102116766252414,0.0071621701645975915,0.004054612475503696,0.001728850126930026,0.003670390171306246,0.010012886693640402,0.009486441998167505,0.010809882779123583,0.005170665904279037,0.007686855473725361,0.011181614113391716,0.004399851824383518,0.00879587997346331,0.011193062545226071,0.007905638423041823,0.011907899598997601,0.01287421659895678,0.011174956670275297,0.006284754282147729,0.00412212669730192,0.001173989107994742,0.000511527135647033,0.009501408615612727,0.009676798345546266,0.00996713476575192,0.008901992742902036,0.002020181242205866,0.019180153093552647,0.004439554908207953,0.00455892317494592,0.011577264527789781,0.009377929480575397,0.008764945260096168,0.0006904784899637618,0.0023492938660488495,0.006396653284015166,0.010772042353310621,0.005735781499414687,0.0010114800589017502,0.005319318717217686,0.009075490142850905,0.006260681117418319,0.004796690949128027,0.012364704244567568,0.01058587759223672,0.0031899142114433857,0.003910780906117468,0.009905472192459762,0.005330244136560001,0.007003548494571608,0.009710401152940832,0.010355511639493487,0.009488047837391936,0.0088116402806164,0.010213352492562548,0.009564445774428144,0.0036568902484872563,0.011481021795544166,0.012856584527075297,0.009204570640069371,0.008591117152244962,0.008727049255737406,0.005586566532269089,0.006063743712075043,0.010207700413079161,0.010086729121438466,0.005099383887087149,0.003985596132619961,0.006228421012389126,0.006593116756298751,0.01080837250622517,0.006983361666709646,0.0037636773475818123,0.006239706925600479,0.0124269730464649,0.007431775950922011,0.007961549242219049,0.011309614258345448,0.011643804625721224,0.007239866050107289,0.010428540738093968,0.002199017024756722,0.008543473020455456,0.011185408613443026,0.0008416796400101366,0.0073772077338968,0.003328056758397563,0.01026983635268793,0.006231972576638021
11,0.005868236607562024,0.008531703858056561,0.0093011812546933,0.005257814940398,0.007669592730184558,0.017872942693056965,0.009313175139564995,0.007694810548887179,0.010323521016889254,0.007657027933896782,0.01105254202376257,0.004468671760571153,0.010631644449324011,0.0012144444146655227,0.009093024915220717,0.006735605362610166,0.01122815842560157,0.009224156614157,0.004997482965816617,0.009748596555824371,0.0012447388730766756,0.008004830016448082,0.010545384015592485,0.00861463114743946,0.00974249494081869,0.010915475907071683,0.009986526139022844,0.0013739055912096454,0.005753033198721596,0.001620132854522477,0.004772834290231174,0.003127416195819601,9.216577684734335e-05,0.007675894787077891,0.0027669612066306484,0.009565533076183585,0.0019052529163001153,0.011775860158098183,0.009700646128328971,0.01813944490646893,0.004652527510921999,0.004508571002662401,0.011089624745498452,0.011269703396806682,0.00764070466023324,0.006705314202921912,0.007307386866700495,0.002247771500089457,0.00549357283035453,0.0003688421420689411,0.00458491781277634,0.009006980773769747,0.009640533055911194,0.0037757199989503464,0.006010389319278116,0.010306186590903203,0.006830344051069458,0.005517881121717765,0.0058405283808900844,0.004425468480997282,0.003928839076264137,0.006402632142659848,0.008138428478138766,0.008468409403397645,0.00786751910407655,0.006772753790143282,0.007413920311286853,0.011226858380607994,0.008493261501485657,0.004589741730758738,0.008257766530726678,0.007605516743523004,0.0009767154882334601,0.0037997432224509617,0.007107699437616067,0.005419179882580569,0.0059670824398667804,0.003030067596541808,0.0021005177216519635,0.008318085651041376,0.010236215030320382,0.0015514831160172785,0.007415387852799467,0.015779273997047715,0.00239815000105046,0.00674018510668326,0.007933260732790682,0.010639251188482683,0.0034385420623072142,0.0016558303636642815,0.001803988607445229,0.006652206337938725,0.0014635521559744104,0.008311622235790631,0.006516578733403,0.008989788904125714,0.0075475598920088025,0.005141948632102992,0.008866498695273988,0.005508351474678565
