k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,5.001926847246788,5.001926847246788,5.001926847246788,1.7471485046740751,5.001926847246788,5.001926847246788,5.001926847246788,1.713245057633796,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,0.14743689741160093,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,3.556254013206247,0.29644182275860764,5.001926847246788,5.001926847246788,5.001926847246788,4.548942787200561,1.544846175164106,2.0605524938289115,5.001926847246788,5.001926847246788,4.322550879784842,5.244595333781185,5.001926847246788,3.5248302420494113,2.670326758176554,4.197380207666715,5.001926847246788,5.001926847246788,6.2017961474549255,5.001926847246788,2.63323627647047,4.817962510438197,5.001926847246788,3.7773515512708764,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,4.436730942630463,0.14650061893679034,5.001926847246788,5.001926847246788,5.001926847246788,3.9264129878992007,5.001926847246788,5.001926847246788,1.9184051778520819,7.3090829450604025,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,3.5740329415593113,0.05742362310172311,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,4.762227110507592,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,0.8074077019155492,1.734204672395506,10.053716623655433,3.7484640256766766,5.001926847246788,4.1509241380623685,5.001926847246788,5.001926847246788,4.808079365601953,5.001926847246788,5.001926847246788,1.1312044664787568,6.956930939006697,18.682079426982227,4.823590579946924,5.001926847246788,5.001926847246788,0.7053252273500057,4.723158762221562,5.001926847246788,4.287530544479351,3.97825884553398,7.791162279479653
3,2.840282781222202,5.001926847246788,2.9657335903051623,2.1873169944350175,5.001926847246788,5.001926847246788,5.001926847246788,4.912542948616803,5.001926847246788,5.001926847246788,2.5234202781388255,3.7031042795857743,3.758812455659503,4.490965244788768,4.856466050832749,1.7872874397680771,4.298166790217624,18.319894505348675,4.069536074271761,5.001926847246788,2.7964003084745066,5.001926847246788,0.6267056911898052,4.621823474279792,1.4788377793200551,1.1793832469899925,4.874525439741266,4.076922473274685,5.001926847246788,4.277979344382613,3.11468027765849,5.001926847246788,5.001926847246788,2.4369603426479287,4.879823255049298,3.395233790713882,6.081358466066265,5.001926847246788,5.001926847246788,4.722317387938204,11.674363687598856,5.001926847246788,5.001926847246788,3.919938150808222,4.755848107159935,11.832815357041348,5.001926847246788,5.001926847246788,2.9634604955901,3.633367228310946,4.328270954650866,1.2228314407533065,5.001926847246788,9.040837373384036,4.114551631187531,3.2841924269250264,2.005583407358741,4.790170414690722,4.1237354060909475,23.239735886654433,4.1850458571658224,0.26184912268768645,3.0586195594762184,3.6862281493101676,18.216103918835902,2.6834491428540095,4.506733124629585,5.001926847246788,4.127588996687414,5.001926847246788,4.548832062415936,5.001926847246788,3.4939192436191417,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,4.607132213060209,5.001926847246788,5.001926847246788,0.4305115473490897,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,1.4641704472831716,0.9534073565998655,5.001926847246788,9.858889749144776,4.874770873395846,0.7021597355407811,3.0595840895942064,5.001926847246788,3.2374764216837244,3.986516263569613,4.64786368729023,3.4535650961507907,5.001926847246788,5.001926847246788
4,2.619270605802072,4.819294740371619,4.125454465419891,5.001926847246788,4.334345686730055,5.001926847246788,4.707536260128121,5.001926847246788,3.5201964507994443,5.99976212019732,0.8548154775033936,5.001926847246788,5.001926847246788,4.298084990886032,5.001926847246788,1.5995183567307918,3.42567100247411,2.520218540882968,5.001926847246788,3.9642480201412544,4.6236118572888305,2.722195466256523,11.966135205095505,1.7236177424754997,1.386529127552154,1.705994166269857,5.001926847246788,1.8989318675866151,0.8986915777936817,4.067145594934952,1.4016480346752482,3.7824800981981253,3.2414296121098993,1.9543420780335348,5.001926847246788,3.1119579079593542,3.8048494703056575,1.439197927504928,5.001926847246788,3.8035038331226594,5.001926847246788,5.001926847246788,9.743368665243551,3.763182862605971,3.333890368951279,1.285195931117869,3.942831484276039,3.303158241769175,2.82310394366696,0.129792716338466,5.001926847246788,5.001926847246788,5.001926847246788,4.719440507643572,0.019607157002570652,4.335892051120278,1.6654694221969173,8.251510686112397,5.001926847246788,5.001926847246788,2.404948907631951,4.683344084950598,5.001926847246788,1.400499117065039,1.770943949957485,10.1769458327794,0.8592678915274483,5.001926847246788,5.001926847246788,1.6562568140079823,1.0551691800985012,5.001926847246788,4.786760642870763,4.282225147207922,0.14297909077021398,3.2904866257752268,4.542386696946514,3.417254188015554,4.1453296296827915,4.278408599236355,0.26886461583600596,3.360316693270849,4.68880790601686,1.5001154743423935,5.001926847246788,5.001926847246788,5.001926847246788,4.080467768902932,1.6465957867815928,4.291841060887937,2.958236177816125,3.457060734748932,4.592658863809304,2.413885812173809,2.366726589393712,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,0.09230934654240297
5,16.728546652927033,3.7599693017094307,3.106314991037099,2.775082809410343,5.001926847246788,3.4823291883429404,4.458105337390951,8.973655008839891,3.6974112106680423,3.1404301984179983,0.5530025021172467,5.001926847246788,1.0575104727271354,1.3241810375224792,1.6072276708552762,4.557413968187337,3.5389958065650537,5.001926847246788,3.312608654613425,4.697816178957545,5.001926847246788,5.001926847246788,4.895156185993447,1.6067230230347764,3.9158116861076486,5.001926847246788,5.001926847246788,4.432132964871308,2.9293667392304625,2.2216515004928006,1.9740461700009453,4.672538339360071,3.7099955826506217,5.001926847246788,2.1615318893922346,3.00095104673876,5.001926847246788,14.465866523451457,1.5657235507080336,2.964533163320624,1.863300103482909,4.874433234480345,5.001926847246788,1.308373739159559,5.001926847246788,17.711739883020723,5.001926847246788,4.663978508196129,3.455938693103433,4.2484284661580665,8.646329361652615,5.001926847246788,5.001926847246788,4.524038159350573,3.8562906201668907,0.7278772441655272,5.001926847246788,2.340717739164653,5.001926847246788,9.217567594746562,0.5908936092663266,5.001926847246788,9.001384714513453,4.723730618158684,2.2214883023613337,2.9525796407936196,3.8613364307775857,3.455460608165903,4.537886082695609,4.730770678122315,4.493670745408122,3.6516513631137126,5.001926847246788,0.8562344898366021,4.797234350643078,0.23637828580455444,5.001926847246788,4.715116156286606,4.016715597126725,0.8833310201580931,0.48817375118697104,0.07401295223467486,13.911652377987163,4.502777014982326,4.307660973430541,0.9106212085235583,4.804170171576752,5.001926847246788,4.711389103912848,5.001926847246788,4.089076206524527,0.6937777013876918,4.215477827862737,3.2855437834928773,4.748421053111164,4.653047670913572,2.4591795364433002,5.001926847246788,3.4375271589711804,4.517864638250402
6,4.211171362709204,2.178077744355633,0.13682370956864975,3.992491900623108,3.9594014002595563,3.2472433132867433,0.974450531927805,1.6378913379250664,3.9819930997596305,1.3302282285148825,2.463158407950747,3.9398197615827852,2.4272401232582173,3.4997208138654186,6.397818495891648,5.001926847246788,3.6638325994278427,2.407653111413917,3.2302839466919346,5.425971045267837,3.937715181193142,4.399324409802183,3.9715138323299373,2.9294634106948987,2.2585768788118603,4.030518074506108,4.082424722511648,3.5127484973870855,2.12861727628531,1.5324465132461214,3.2810534281123953,2.2657893562630993,3.722939337077194,12.775359938027497,2.9252929352236916,2.8264960989374806,1.1743366539876638,1.466226597070611,4.463431515411609,6.480821293194757,1.9946437649113764,0.5282462999552733,0.611442523250374,2.88255735845841,4.065839537849056,5.001926847246788,0.6099560319642165,5.915486717504,1.52865655634265,2.4383916272702963,2.185555698511458,3.6786280666820605,1.7905895517310761,4.688318107563939,5.001926847246788,5.001926847246788,0.042671388384054154,2.1975448481896085,4.6902479062451485,4.619910428814383,5.001926847246788,5.001926847246788,20.54927003154961,5.001926847246788,4.005255092587805,1.122418354476633,1.097570883322808,4.000342483217307,3.124685388592492,4.327836630489848,4.368649337039385,3.9205274101745724,3.2337965355777145,2.036681442618392,5.79596297202088,0.6135266399181711,3.6350908484758273,4.322420231134348,4.338410486931614,4.773001208527985,1.7748823584843345,4.714759160076986,3.7124510190185553,2.31121902942881,9.929162432429376,4.896121399724265,8.922730048072125,2.7924553727310464,0.1667189624943246,2.901045091714993,0.505118141325803,4.748625045425273,4.783745141747991,0.6416067331295894,5.124373735606658,3.999955195923967,0.3833128274188562,3.3501165194975506,3.2207345849566282,3.4542498583304644
7,1.1029706567134445,5.001926847246788,2.620244468690192,0.05419159033420495,3.7219373635419983,4.346777703102922,4.927407845043194,1.4880782907971173,4.732532887687256,1.995034012924803,0.1415893895497229,0.977413735554828,2.997051048451252,2.348804682707602,0.8100307772774169,4.373047988551632,5.001926847246788,9.505912422521096,2.2807388952356162,9.977212497633822,1.4650718252114023,1.676875618871045,4.405753983782579,1.867577229742356,0.141776268144862,2.975927253247084,4.568854955412729,10.81076792007455,0.7465386251912856,3.931113818418752,2.795613314351784,0.5522520914683264,0.8160458023192296,2.424788459654544,4.69842840654748,0.5446187115310579,4.825456092562189,2.896207574834315,1.2576817470248307,1.308731680663139,3.8385115001143615,16.364997613244594,3.626542952831395,1.9395837906506834,2.085299707072046,4.461786819341394,3.1241701347329185,3.5557704769750336,5.088265709862813,2.3899054717099406,4.551206519415461,2.8302588053169506,4.143596257926462,3.0789458031460564,5.001926847246788,1.6597330706756703,0.9872494530453819,5.001926847246788,2.727634573453378,6.940783852690296,1.545430276018652,5.001926847246788,3.1218846443594015,6.203766442461485,4.201374566381469,2.861906241716491,5.769369424773783,0.2716044364820309,2.959979087586176,5.001926847246788,4.271188308142001,4.797164321013338,12.630805675968805,4.4453455741242225,3.216117034620244,0.812797181324024,4.852584041390258,4.590521818756011,3.5689042672608133,4.8158888359986145,4.371141127194449,3.7542276692141883,3.218643999569352,2.260459816779254,2.0593622904762565,5.001926847246788,0.867395944497618,2.0920655885860624,3.4183758646038847,3.327674501765345,4.697562787166316,0.15455082213491433,2.103708134945575,5.0976706332444115,4.91518170444204,5.001926847246788,5.001926847246788,2.6195875515858287,4.5109336619788705,3.418209112309857
8,0.1713439965966499,0.8620397259847197,1.9287845494301132,3.8345830232166573,4.200931682232874,1.9577817542111018,3.56054920551198,4.4618318024976285,2.7949949302708235,2.6648740600203307,2.3719112178746666,2.8527232040311885,3.113283182197115,2.4183855102136937,2.4142735342766257,3.733660104967897,5.001926847246788,2.1380663699639912,0.16011559501469552,5.388928113379914,0.5846518041435589,5.54542986399225,2.8858813616965886,0.025630332588569615,3.7555166409846956,2.5139957554405736,2.8462440284777233,1.1275417547464617,2.3134793905358393,3.5837813587172063,2.8568153092032875,1.6671395897027548,3.484912168145907,1.2374434683890878,1.7144637663720212,4.561795361214164,3.2469658605440914,1.7137859947716407,2.1045728128456247,1.389645411199126,2.6585941034709375,7.153381610338285,2.956058363220216,5.001926847246788,5.001926847246788,9.14401044358845,3.0231897952527547,5.001926847246788,0.37045550567991903,3.9422810582219396,4.090208826374414,1.6640427664945898,4.421831353883192,1.5469006328613846,2.3024506952571535,3.311976019576842,1.916828474701732,2.665404653868083,2.9286940387732816,0.04484713838480747,5.001926847246788,5.001926847246788,3.7751691586764915,0.43872926485700336,3.9690875334182407,0.4547049986886549,6.2258263404461,3.686632789215568,4.468635460995205,0.023328130911616007,0.026690635000895746,1.9954502521055395,4.340748424641056,0.04833156525231086,5.001926847246788,5.006581701188211,5.001926847246788,11.108468777314926,9.289589993112447,2.7834647605648777,2.005128439335202,1.1683162118544574,4.336020982422898,1.8240060036629422,0.9122413721005085,7.155374353439668,3.5251072374097046,3.2039636169804266,1.250145823405627,7.715272080792027,1.948795277570441,3.9719355949074693,3.7900229284118176,5.001926847246788,4.207782430364721,0.5861271465361577,1.0348134480418993,0.4314713514487085,5.001926847246788,2.9179383806803965
9,1.535988458125079,1.6366949948336478,6.951137727818632,8.035262788053227,2.5044936110069793,1.1743127881952296,2.65649158795309,0.5527548565354898,3.6179887240955013,2.761922145332912,3.4902662909615594,3.5064475024177617,2.845142165061376,3.1191964539965262,3.395183721757239,3.591268292279496,2.17951703933839,3.429028624742741,3.39504214376781,3.970713080595093,3.8568193197420086,3.4032871395715922,2.065805867150228,0.18282386709266607,5.001926847246788,2.9854817999559233,5.989428415533767,0.6476859205884251,3.6251616648462037,3.7649959550487067,2.4392859264625537,0.11387294057263198,2.046110624981059,0.4576362724988332,3.159841444219068,0.7689857751735376,4.522672673000729,4.511207697137574,1.9481193731166395,4.346928641465115,1.294428079997144,3.3945151670755402,1.7639341832010706,3.8907394943935136,3.1534085420308164,5.888567318287511,0.419971674907635,3.7004014396786555,3.0334145654837212,3.6906416451998796,3.917048459830786,2.6947021618045044,4.398356709634186,17.142237816986032,1.5255370275459583,0.9961958734491034,0.40573631431364277,3.7957337145852774,0.018447870503575103,3.801766521289496,0.5598120371054183,2.5776324317916544,16.299086971085995,0.37833673555171377,2.532040260341647,2.386257012663563,4.726740798301486,4.586952669214387,4.1420996083665775,3.242154955611505,2.7166608413500635,0.3627380628068897,1.8720464527513143,1.4733099119658273,0.3946709239455126,2.257750731960208,1.5610877313145206,1.5651885547997129,4.007791412844179,4.760061365400168,1.5729896172854358,1.302058099664142,1.0403380784280643,5.203057796684029,1.1089971084531078,3.449928131125212,0.8252485120486774,4.897959012666426,4.468158551318389,2.9006831676388782,4.260510908340065,3.551046352197033,3.612671710245978,0.7154411012466939,0.9934027974411892,3.501918018188638,9.471538769666509,0.8861822138835969,0.7375394320452395,2.759446098857798
10,3.28689489048537,1.7122835052852796,2.238260130052177,6.331390358431453,2.2533527976730547,4.3737330565697015,1.2631492726442373,3.371560935839156,4.54169231803098,4.540918664851815,2.462546448748202,2.1161414453855665,3.514057720808363,0.27109078576580803,4.352238009639862,3.355943084678377,2.7027148604714837,1.4545248996373825,0.03384953946201641,3.6562592069253785,3.483868076767855,2.460604547132366,3.0395408731286615,3.713682633325198,1.2140434059243912,4.036753980490694,2.4046418426580614,4.7933825422005585,2.8551028125528033,2.5160262988886357,6.022108655659619,3.987516482161065,1.9919061053976583,4.0711061507365685,1.8446885698108408,1.8908625797744913,0.48329392060459053,0.2910656479713465,1.2673673872353692,2.5613044036834642,1.9375410923701226,1.9843379010210689,3.1852421080341893,5.1434081853533735,2.1026349253401397,2.031511405912571,4.801269541124056,0.5342022147059629,4.725339753752702,7.0489632641977105,0.5439070702445221,0.0194591338012442,5.095942048586054,3.3875634615256516,0.04992401387052059,1.0530976126958151,2.8661536821181106,1.343289405717095,1.4462670272536728,4.749344115601037,3.0475301753742494,9.658023039544815,6.749008098513362,4.836414549068293,2.3461347814218234,1.5659878188830634,3.0248429438478004,2.9754691164219906,3.4403039559101556,3.6536268906376743,0.19822723192217584,4.199707141559647,3.8579297778900794,0.10934686940589078,7.695857840982074,0.7493582947782915,0.007935171720064638,3.404205960827251,4.579064859809049,2.117354291546068,4.616973817466371,1.5508131730191597,2.0166243458593103,3.1460210155760615,2.381138928772173,0.2781500536349464,1.7940916795704749,0.5959921676211515,0.30546552876980293,1.3829001687826992,4.166893462264564,3.7500019409153067,3.8864034765987334,3.1141379505151923,4.426819306125713,4.590076855622676,2.6859624501123975,3.1973437946816903,3.799923338721598,0.598714706376442
11,0.1057976597486201,2.171597303495477,0.5988889246593958,3.9605367952341357,1.9393865238413417,1.3748342789638945,0.9584660597344099,4.050065239088802,3.5551232276829703,3.6797570411379095,4.641386886300288,0.383719804720438,1.4554457515505494,7.528886204779277,1.5507406212811263,2.5769760817826697,0.08684444696409432,3.9311408363440234,3.6573243804351967,2.695677160750711,0.8653731009611834,1.9854799774492942,0.35051376753311825,0.22237040605492187,4.506558812492442,2.5733868310582153,0.9781051224395529,0.41290987905434395,3.5144995254982474,0.7579968802726276,1.8110187509264613,3.339812599507719,0.17994018397220302,3.793677230839692,2.9166564450347616,1.5602007523599752,0.4380448517834665,3.8086399622497487,3.639601994595238,1.2543523051195797,3.9286891331131564,7.920692795419673,3.301011712267726,4.215397749753401,4.012483296397496,0.5106071215740284,1.0672615485399088,2.935527367608052,2.228840642905796,1.1001848992500838,3.891887697793887,0.16836530617830103,7.211997025185684,1.1985298973731506,3.181817483416169,1.7721417819233887,1.3730696150971795,1.9088762431321546,8.436354116470685,1.0638885246774539,3.6404625076898265,4.233807608228147,1.5998673559495336,2.6661454649389595,0.5536580334293939,4.747126578226905,3.9318253906049536,0.8461838959285624,3.7561630150412673,2.9039066834709137,0.602669900217907,1.0723426380745202,2.2863794148098835,1.2773556997772557,1.9576019842782966,2.3599945490684138,3.935294298354731,0.9052336112765191,5.624083030218437,2.338052186687566,0.9054829446346195,0.9747610158985598,4.362076935056812,0.5420927496052768,17.6845372185277,3.6744446122512997,3.3093319213369736,2.0392891884124404,0.5643558588725259,1.7995839697544023,4.507868925138737,2.5120244753710472,1.996399604727218,1.4455568337573519,2.477813491197396,4.1834874717774815,7.056563205098549,0.19772556973362665,1.5170451406867413,0.07425829897757286
