k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.7936206569098028,5.001926847246788,5.001926847246788,0.13233694647642835,6.071810299458877,5.001926847246788,5.001926847246788,4.042723651435469,3.3299761394354213,5.001926847246788,5.001926847246788,3.6514702922326174,5.001926847246788,4.860008451288396,2.1833843758013707,5.001926847246788,5.001926847246788,23.45067330775533,5.001926847246788,5.001926847246788,1.1104844183915277,0.3398344724899962,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,1.6424851814425487,5.001926847246788,4.383252403350506,5.001926847246788,2.5535332918059193,5.001926847246788,5.001926847246788,5.001926847246788,13.894013463609426,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,0.7758918317731034,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,4.407573592305096,5.001926847246788,5.001926847246788,4.210449299477554,4.633237176716116,5.001926847246788,5.001926847246788,3.827015433911966,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,0.9644739380475853,5.001926847246788,5.001926847246788,5.001926847246788,4.102619925221289,5.001926847246788,5.001926847246788,0.10767152348436149,5.001926847246788,5.001926847246788,4.567007150173962,1.607879525113023,3.6344801286651967,1.6964529379496631,5.001926847246788,5.001926847246788,5.001926847246788,4.707321449862897,4.298660571718359,4.824302831065013,5.001926847246788,3.663039521140739,5.001926847246788,5.001926847246788,5.001926847246788,2.5198573602450294,5.001926847246788,5.001926847246788,5.001926847246788,3.9649620298336035,4.773547114731166,0.8598800404034908,5.001926847246788,2.4100379007850936,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788
3,2.843669846110341,1.2852868481705815,0.266062613795806,5.001926847246788,3.8702196556405277,0.7304762825248279,5.001926847246788,5.001926847246788,4.636563976016378,4.097936896741076,1.8668728636587497,4.033147266054369,3.7747045427282098,5.001926847246788,5.001926847246788,3.5169798354950865,4.230775016350122,5.001926847246788,1.0170965885111771,3.2698568664701804,8.121250337565062,3.263488579394126,2.859659030355811,5.001926847246788,4.778622309095438,5.001926847246788,2.3328400873765283,3.9708793157524775,4.021569565523947,5.001926847246788,3.368734543772584,5.001926847246788,2.8585848217109957,2.857324626037125,5.001926847246788,4.677510714126977,5.001926847246788,5.001926847246788,4.703481575159018,3.5870565839401443,5.001926847246788,5.001926847246788,3.8472682709245274,4.281567364214532,0.33694076209177926,5.001926847246788,4.525203756454021,5.001926847246788,4.5437964364562795,3.5200682083265873,3.512883594540856,17.247430683947563,5.001926847246788,5.001926847246788,3.039279406956698,4.404234072289487,3.718044086564083,5.001926847246788,2.5885751586574193,5.001926847246788,5.001926847246788,4.2597491792111075,0.1329161574546429,0.2849168088956011,4.579661564824264,5.001926847246788,4.278017581147115,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,2.3312966209434762,5.001926847246788,2.416897768513859,3.5821809772612703,5.001926847246788,3.9776569337753314,5.001926847246788,1.3861604081507135,2.253786746326922,5.001926847246788,5.001926847246788,4.160675983668882,5.001926847246788,2.793686747865835,5.001926847246788,2.3552132820290637,5.019348975277869,3.285079311512553,3.6099004736544704,5.001926847246788,3.4241865540914187,5.001926847246788,4.824021021845068,5.001926847246788,0.4331100981420848,4.203371167958385,3.9553888109719333,5.001926847246788,0.20379371605324703
4,1.6653781976560071,4.252024922483117,3.5912859360257214,3.308767695927799,0.7188249516617198,3.1703124386071693,1.465083188567121,5.001926847246788,3.344389747090225,4.343745159460403,0.004739998705455051,3.0617196906563073,5.001926847246788,4.378351212968287,2.2259942617355013,5.001926847246788,5.001926847246788,5.001926847246788,2.487842670404528,5.001926847246788,2.5353944593063575,5.001926847246788,4.622094863202062,5.001926847246788,5.001926847246788,5.001926847246788,1.5490793164659418,4.482865031388984,5.998714869566025,5.001926847246788,2.8382348319002437,6.311948285983768,5.001926847246788,3.968695114276273,2.3680929704248075,2.624033440842692,2.2042376379054325,0.45714162307099304,4.854505765180982,5.001926847246788,3.354427193220202,2.507643335345381,3.252627730803302,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,5.001926847246788,3.0191189981197657,3.5144038255674737,5.001926847246788,4.330320101305587,11.009377992183186,4.742958378443904,1.4220226385300547,3.4078259081983875,2.489254853450689,2.898467023411445,5.001926847246788,5.001926847246788,0.6992877384018383,5.001926847246788,3.8958790889867925,3.1114186125141208,5.001926847246788,3.110977759852033,0.5598762089469673,2.527087368911857,5.001926847246788,5.001926847246788,5.001926847246788,4.344198451048485,5.001926847246788,3.086149232121044,1.191486316715383,3.281243142439221,5.001926847246788,4.86109920265357,1.9818655104022818,0.9189890631406703,5.001926847246788,4.03603005940393,5.001926847246788,17.154303376380913,52.55610773550897,5.001926847246788,4.501803511138729,5.001926847246788,4.792954144187078,2.2394963098553866,0.6410346980431703,5.001926847246788,5.001926847246788,5.001926847246788,11.596126470470061,4.024313738652406,1.5945908856965714,5.001926847246788,3.798710337604478,3.8645616855863767
5,2.621901258507622,4.513074479718156,4.032022197933223,5.001926847246788,2.6226966091360167,5.264784385332578,4.839307554072577,5.001926847246788,6.089170534649612,2.558734200758281,5.001926847246788,10.327127367341262,5.001926847246788,0.01826332452184598,1.0720645436658582,23.889246966125036,6.276642616526293,0.0018665304179474873,5.001926847246788,2.8142753758878376,3.0784457946614365,1.4900363061742228,1.1857755274133308,1.5665547370113808,5.001926847246788,2.3348092175569577,5.001926847246788,5.001926847246788,4.434540906578034,4.401464959013908,3.679943319297907,5.001926847246788,2.819038993708161,4.142735743299548,5.001926847246788,0.5148007819790292,4.396206659233863,5.001926847246788,5.001926847246788,0.38788446270272114,4.852285710584482,1.0388991666107947,2.9976960954500846,3.2360489172472517,0.9021957148884505,5.001926847246788,3.7383527100844454,3.5231467392485527,5.001926847246788,3.0237347305965345,3.9474463470989836,13.82853098845429,2.28840704840806,5.001926847246788,5.001926847246788,4.83961282844123,4.381103818109891,3.103257616623577,4.365791838383355,0.31143312282777824,3.250883455816448,5.001926847246788,4.025527372275204,4.793185562273316,2.2626999744080933,2.641119763668169,0.30676913125582495,0.18043314683206013,3.5946463855220863,4.951061300345811,0.5054452044087832,5.001926847246788,2.4582650046501815,5.001926847246788,2.674074888319855,4.437633749602413,5.001926847246788,0.6215194581818428,3.481284345337078,2.0352000805614843,5.001926847246788,5.001926847246788,0.8251751953436104,10.60236347626071,5.001926847246788,4.305328511367533,2.7268013186453235,1.0097442044012586,5.702408544837051,5.001926847246788,0.645614271979575,8.29891017277551,5.001926847246788,5.001926847246788,5.001926847246788,4.5468303909099035,2.9605939240139,5.001926847246788,3.019269199542218,8.7170944767722
6,4.067729155254752,5.001926847246788,5.001926847246788,0.6669690233631815,2.6146880175278264,0.4979665255576977,0.46181343003627706,0.443463310613053,2.4287014401167637,3.921331824800597,5.001926847246788,3.2059563776354976,4.435261486792125,8.675584902580866,4.104009614464397,1.073891718858409,0.0008236847102001121,0.5492727797160031,5.001926847246788,3.763932832346363,13.368981206297896,4.735032872393913,1.6241625185617279,0.3976957034014017,3.273113150635962,3.408557038898317,4.666113720754618,1.5899075047636382,2.1712922882593473,5.001926847246788,5.001926847246788,1.217326099219295,4.530958597955513,1.4987506485919315,5.001926847246788,3.325316221722841,5.001926847246788,0.2506652263989677,5.001926847246788,5.001926847246788,3.1402513458872114,0.7587455127429568,2.435831247487194,4.102090103760474,5.001926847246788,3.6233768867509677,1.1774527318323837,2.741870886697209,4.278147119865418,2.6530103615823144,0.07338749079769968,5.001926847246788,4.768517253136359,0.6699610344887983,3.293699662884589,4.537240853538375,0.4648268776663791,5.001926847246788,4.594593415921628,9.88599203973125,5.001926847246788,5.001926847246788,11.878835375579346,3.0950559316268214,4.1256585781345105,3.53954580955761,2.256666316052386,2.0863598546658846,1.6513757137053546,18.921909762377695,5.001926847246788,2.58773098044261,4.698134577857569,4.6394680294285955,4.235222392807068,1.9062464268555774,3.814121535446378,8.031192996501783,4.7753109230836275,1.7613075379469931,15.290161598934809,4.157770409145393,2.8283273770138146,5.001926847246788,4.603212683977013,2.051092976686269,4.34099376770123,6.821238410783235,5.001926847246788,4.895882972661077,8.865043274298642,1.1057134052425557,4.133991152874155,5.001926847246788,0.6098710432894157,3.629506453056946,4.471639528028468,0.6839747045663378,2.7425487019071673,3.0641527374640702
7,5.001926847246788,5.001926847246788,8.836592366894326,3.547300819984044,4.053879719705962,5.001926847246788,1.099030450993538,0.12546620804441488,2.3419462051839326,3.106162581053428,1.0672213778488784,4.345961138005746,3.445370330986088,5.001926847246788,4.0986572236524355,1.6469275539061918,1.7636161490363493,5.001926847246788,2.4453077481394314,3.6992345086839316,4.212933219889753,6.399296606232553,13.556356095495705,0.9585932182020445,4.406011232805306,3.784866940966409,4.001170871995688,3.445817412972221,4.5640930499136,4.119058708709861,0.4408433435462831,0.49286855037748545,5.001926847246788,4.664507081897324,3.1835435578795854,1.4777304288645299,4.582740124479851,9.021732143499111,2.1026409845879277,3.6729884707303415,2.9395649886729402,8.006166098839927,4.363958740375102,2.251593572927047,1.2290328600040015,4.100145583440046,3.8870330338516217,0.6292682134341065,5.001926847246788,4.2603459687159635,5.001926847246788,6.260824386641834,6.9818606668499585,5.001926847246788,0.7794528857868199,5.001926847246788,3.2763954703682527,0.8301875382547435,0.0712122868934939,18.36978847102378,1.0187772712522052,1.7128933518891136,5.001926847246788,1.019664809182065,17.028179846746387,4.1578154584893765,2.1236900836336385,4.308661088034286,4.454926388514203,0.47501463962136103,9.891933063085968,5.001926847246788,0.7692386195446135,4.632297927911663,4.765258793126025,1.2716192436615117,3.1434525261110275,0.5218705067245955,0.7625932497898891,5.001926847246788,5.001926847246788,3.786968679533893,1.8829064126687851,2.38372112428562,0.3896513791581695,1.4094202687841357,4.377429213705209,5.001926847246788,2.825805521837861,3.7397637819872234,0.26361096216786883,3.6858337273158805,4.82807261835838,3.1382530835419686,1.7428466639527542,3.7052388717742835,4.559415744910106,3.4026832077952585,0.9410677517911603,0.7287271601163932
8,1.6385575337246108,7.377892791039359,1.3144904227399001,4.4893196708258545,0.2876435307857488,1.5003976445052034,4.017442787058274,4.111519729380454,2.6116396599268876,0.5526657774276602,5.001926847246788,3.5742976568427958,0.5039317932500831,1.1147364895109222,5.824956560042513,2.1252336441900566,3.696766456067608,3.7137444220584825,4.313223365702503,4.2333465159165655,5.001926847246788,5.001926847246788,4.677464229101007,2.337826350814136,2.975266095480893,2.536211460552998,3.4172606158994,2.8873848731087515,3.481898289540509,5.001926847246788,4.655432168072589,2.2920361673430394,3.5957914051020206,0.6440844901522054,1.721328328779487,4.16768449711681,4.151481208641639,5.001926847246788,16.072853973998324,9.371841669624526,3.1414738054599,1.885661233709984,2.0918251119946665,1.5503156105977456,4.501249450869706,4.41549995622061,9.52612664925864,2.489169689545693,4.652026191237758,5.001926847246788,4.378087034817047,2.647661225543459,1.947683624175105,5.001926847246788,3.228209307950686,1.9127877214391846,3.2759546087207787,0.4422170369130738,0.592055578442106,0.920377713570887,3.618746837902937,12.817922489637883,2.729640253536566,2.0829606564139835,3.41837300756295,4.421970256595144,11.919441178905448,2.025429956565948,4.422102452594469,3.073145528882905,4.270462481275512,3.456515184629905,0.6017608562302614,4.206229388682529,2.615857888995125,13.53408938843474,0.10814269212173588,3.145462160576022,5.197049132646836,1.5758763597403176,3.171401950375712,1.6213907667993848,1.2085589312192848,5.001926847246788,4.7198570261727655,5.001926847246788,4.904886619886011,2.0967204247711484,4.429551933257606,2.7717615210150646,3.8545643132863283,0.48999134385838605,4.277716966404056,5.001926847246788,1.5144485814156399,3.087716771146444,3.976374045429586,3.308043670099675,3.5332110197425957,5.001926847246788
9,11.182938602971323,2.2918956258860215,2.0228100401625317,5.305543229620545,0.6290386809913748,6.098035559844287,4.533462165809167,5.001926847246788,2.323298018031834,12.584079238177214,3.5651880454866225,4.010242489500233,0.4815011914211045,2.0311243527065734,7.618004498103791,8.86699745263186,0.13162669796501003,4.911008243138249,2.6794552896150075,3.5934444662946037,1.4722317730595096,0.49540898279341494,4.704712303324777,0.18804946976855863,1.7655210893795754,1.3405695010314238,2.177825561551012,5.001926847246788,3.3823321191299196,4.191735985179864,5.001926847246788,0.2188000504619474,25.872924851175938,2.678325336295921,1.586691592523438,4.621059123341804,1.8792128084067423,2.347037878879328,0.1054170419728635,3.144806830411539,1.9385848407743915,4.8340574144832775,3.7912714313358,4.234714761597024,3.590566064083394,10.598002423481258,5.001926847246788,17.85253663485413,10.226586043676495,1.3553568217991856,4.467814994820752,3.0552934246326906,2.370405443212731,1.045169445103003,0.2773167973665327,1.7797917481079581,4.231300341019447,3.8412914534562637,1.9046651413432274,4.2158242572325415,3.3855170130984593,4.902879130820593,4.313137943209076,1.931383170342568,2.527265895389223,1.0388822373738291,2.965521334150244,4.467210212699006,3.404712062620913,5.001926847246788,2.887554877965461,0.9082738538994635,2.32866017058379,9.252398381991807,0.3630640979058759,1.4660529473031527,0.8261045554651636,2.8067465940308622,4.150323042847137,1.7709248105419881,1.3857231926319789,4.013102458250824,3.8801299983754185,3.700424977312877,5.001926847246788,3.864225920610791,5.001926847246788,0.05654075575086548,5.001926847246788,5.180888740616036,2.7016230931627163,2.858155085313233,2.1507934683794323,5.001926847246788,7.9018657765692355,3.9168600514031637,1.085867075733816,3.350731239478761,0.2656121753756402,4.301587324626485
10,0.8544624767536693,1.9825611253181927,1.9491094175996193,3.389651549454618,4.653415766625698,0.3701483681770581,2.7492098360461776,3.913970837393297,2.2851108817207715,1.2432461548240359,1.1501602272682039,1.7800473590761485,0.061290056481223765,1.9936308986311868,4.200166929802229,2.661804566814994,0.33534974737640866,3.032962838638978,5.412394712904157,1.8007138193068717,2.632543119312515,9.432166379987923,4.9727464409809095,2.328483874721627,0.8365274101399249,3.680576902662966,5.66448347471881,5.001926847246788,2.9128308110888392,3.773468737280697,1.0184496699846837,4.701680647335503,8.747592566306484,2.621461268266869,0.9410551986281588,3.5239654284701025,2.815760265195714,3.461051076258708,10.474581232483438,3.5393398647324097,2.5623231813749787,5.001926847246788,1.3054789861070075,2.950821481958235,3.8162748202916057,4.161111907633454,2.6610416230209295,5.001926847246788,1.1184566388897688,0.9637945106095112,2.551224789870851,1.5372434798490344,4.353629510477668,1.117185342050215,5.001926847246788,7.193891365409638,8.575769315016174,4.735635854066163,1.4196142128238298,3.889322029963526,0.31237686835871337,0.5198531413674496,1.244948204080237,2.3804403526838414,2.4212797823513603,1.4989272483122944,0.5233347344976345,2.0280366438479844,3.587199103053753,5.001926847246788,3.4132119308894207,1.812144127493692,1.4473433702322653,2.8485257424675545,3.803963149463738,2.7069762184782076,19.416131469396355,5.199833459706986,4.651559996287986,1.3788212073633361,3.2578280754080526,1.5121293794898802,4.2003724746850075,5.805602976305573,12.713283113656773,10.29150181104026,1.5430236870451606,1.3011404795781472,5.001926847246788,8.300519383312626,2.5362177430286854,1.6339699800596579,26.032857639349036,1.7945682473488342,5.001926847246788,1.3359651632388916,3.996708313571504,4.401861337416307,3.568210085207605,0.8015674331632514
11,5.498905782790389,0.08057219741338528,3.1387410580576516,1.814303041228741,9.651916917025186,2.79121864945742,2.715335432606449,5.998461401279106,1.4666454336766277,3.6497021053031746,53.96638596024348,3.403833321887219,2.3865168692323238,1.3414336501485886,1.0234558705107561,2.8865342765845305,5.001926847246788,0.00880761344840053,1.8431335311828136,2.968954533289563,0.9790599903442292,3.112190397691805,2.988957781389552,25.72636104881657,2.0029046959940344,1.592113657930173,3.0278564421143725,1.4730688874857547,1.7113967827599694,1.3640616790040534,5.916182440093822,0.74451709920847,4.220755528741234,3.099642256212541,1.379704491907928,7.599269834977391,0.5113748762165855,4.704312149375965,1.7726416615610159,2.2881426313190305,3.529803645725831,0.045948503449778855,0.0715104422140671,4.216041012404195,0.19030534043717484,2.023355602627935,3.9881288752524497,4.761552559828945,11.243930350027476,4.616221884643551,1.7819878218720175,0.040860835989541044,2.8177846648233595,4.041616171283377,1.4564764307963083,0.11966256118936336,5.884567929304953,6.3818658029570985,0.8872767503106394,1.7970204133117207,4.61180003157,3.262013946834539,0.7504881181864382,0.12075142474275502,2.151863017287086,0.702377072205878,2.4473586633949305,0.4294225950747963,1.4748806136632986,3.162240052115922,2.4604965754905352,6.698475332968623,3.3132587582960817,4.340888154788705,3.8426356898529277,3.4161267478799733,1.015643119647888,1.6166596153443153,4.559631370576777,2.8135793295127223,8.873637729585294,3.518572311275105,1.5387288287341407,0.17955086999174608,38.27704593814238,2.148487754866208,0.5367369128495287,0.07980216562819642,3.6398973364211127,2.0209420665473106,4.573503218136407,8.100140737878252,4.72519094309659,3.5958657482326024,1.4243644090991578,3.781119592014164,6.774659116884751,2.5716479432015085,12.202733545883728,1.0826725012343386
