k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,1.2355360349266706,0.7446038830650854,0.6611576108935461,1.1100895090512117,0.7755358003101049,0.4677863772413997,0.920870401074687,0.6314088899283621,0.5777646032811501,0.5777867019997984,0.5874790100563533,0.7841092353262278,1.2189306169310852,0.8984365636374765,0.4105916286999213,0.4081904184920808,0.9602626788055988,0.2985663659535783,0.31140600427987186,1.1221517613522518,1.0244070378306946,0.6840819206830346,0.5160115364633049,0.7118921267052659,0.9391551699108248,0.2096445215641889,0.2991693467503437,0.8322744302530504,0.8440944156319681,0.6114581942978683,1.1234225891511622,0.539062005026887,0.7410798289114466,0.6945985464838637,0.6259380799942976,0.7394682892624072,0.6695697554213549,0.7145270587653803,0.8722304408674683,0.7381117900013495,0.8174273623065837,0.9781305445258676,0.8843406380339529,0.5105925679312773,0.7526127836478622,0.1529471204873013,0.6118081575952088,0.9079002518084404,0.5199013699443956,0.18992223747396686,0.7412442406588652,0.624814457934903,0.9667443840345235,0.7285288620857604,0.8977458821491965,0.9374778792032838,0.7332223996754402,0.9744706854859182,0.9626819571839252,0.8294278978960354,0.835662468457024,0.7557087470678663,0.44170728127741843,0.6603590374892907,0.8534735372898677,1.19556295228943,1.0526545365296627,0.4092108474109105,0.6937097382720098,0.8515979320411464,0.2857905030455472,0.567564992191627,1.1425092656546623,0.8599438600187156,1.012086444863292,1.0990912886891937,0.6125712603156227,0.5987772004357451,0.8326940852374283,0.8815265179932279,0.927176621193891,0.7446114411963429,0.5804109129259434,0.22105262050369623,0.7261344954513447,0.6552343092242529,0.902632876631174,0.9466760047231253,1.1824475510907428,0.7249882084537596,0.9241719546398001,0.6869820316225328,0.16603541873880845,0.7182553687867469,0.7706502630931221,0.577442311125326,0.35356193280872095,0.89579642990503,0.749749055906084,1.03769042949565
3,0.9571510303800547,0.42675021896257226,0.6805770182710127,0.47141787089715037,0.550887738521971,0.6211854413663351,0.4531130468331468,0.39286939414544153,1.0459520308867045,0.8259548985765228,0.9489873692418234,0.5682694702902904,0.557915607921319,0.7854919772435558,0.7637204497400962,1.019816716975674,0.760279151704544,0.8410629503606056,0.8642960884036067,0.621672354232427,0.5315181202905372,0.5546635730926474,0.6877434824835589,0.5508195311441315,0.9280762982171098,0.4926882612581518,0.4110345930598499,0.6633975189696516,0.4114436244835177,0.6494196313654392,0.30000385324550227,0.43096148168339743,1.010914701499528,1.208819384587855,0.2800229733757815,0.7623910284625983,0.6238280549219376,0.42174602179980114,1.1863650223338364,0.48124429149714654,0.47164506599431677,0.7686992041501904,0.8277235578792936,1.0016636918196427,0.037856518410672724,0.41626839410986594,0.6865996464712298,0.6813590302692132,0.9833320249191296,0.7196106622268958,0.9011885423788949,0.6990925355634625,0.3469916700307152,0.2628936254184048,0.6870398889047908,0.684765070885653,0.5026011465386606,0.3007896701754037,0.6663139641157119,0.5073593478888702,0.9258933396969765,0.9662686910498937,0.8869229500618635,0.21738561243381338,0.9649153724158315,0.6393717101680272,0.4787195471950051,0.8437234664178406,0.8080849749276666,0.42546830455140416,0.078378956868983,0.6205377811817618,0.40489381339246555,0.9600301328649729,0.4716286051138947,0.6819758694450453,1.006010425186947,0.11783870548944919,0.5418625609370713,0.14485684583493175,1.0179693499665226,0.9033970138792256,0.39849973694456964,0.8345980745438686,0.6831833643391753,0.8556969961531717,1.2847756940728072,1.0563301090376318,0.21676099605865207,0.6272162183776739,0.07087969619811885,0.8241692536532282,0.4066047898339151,0.4011477674137225,0.36843855675421666,0.7228064578397315,0.23676550490538306,0.3092730516198722,0.6995792311399944,0.8624567402244947
4,0.4428419791021381,0.5673546858697813,0.6914491339202309,0.6978570914004514,0.11296047307158696,0.5613892970000369,0.3472146862512522,0.8757323074875724,0.9758105743319975,0.36684493894080217,0.41981426110973874,0.8662110200704978,0.35589878230861793,0.4073374872296772,1.0593401284260822,0.7488688259998377,0.649391949263084,0.8038557184266124,0.12129272365639854,0.4270720705361356,0.7368453634304537,0.9520625031251475,0.23345009220563684,0.21710534523480873,0.315817886087131,0.6670914854021479,0.44157616761478313,0.9594503538089985,0.8023960882774155,0.15987513476893678,0.4737462331345257,0.24297816212005907,0.6504455719211888,0.9722309070004952,0.20420872953678026,0.5696270712307832,0.49075230053873886,0.5425444869604152,0.32340795927725186,0.8446734314732485,0.6776548892285766,0.1836328343399578,0.937415512259174,0.8402372773385965,0.8332566684692098,0.2110674853679373,0.3214860454420505,0.22642562226621943,0.5511334770671839,1.016643001313777,0.17347196466473258,0.6234200098986782,0.8175457336197071,0.3538302338048619,0.14104196864043927,0.33748544915890477,0.754374838256168,0.14490339934035446,0.8563122269849288,0.5976250874467314,0.5087602696957354,0.8569081301454018,1.0282726601718828,0.6352910156601175,1.069510050576805,0.32834153853690085,0.788625083644787,0.6113957836671612,0.6755827013924929,0.8935052555078102,0.9548983300170248,0.5999553618711622,0.9508596281901567,1.1098238074884126,0.9853295526995998,0.6637460745945291,0.8868359537536015,0.7319329386200057,0.3495801289231837,0.510523904487504,0.17397976344054433,0.5453757320011318,0.5086894543412345,0.6985757180336575,1.028160690661137,0.4512199324781163,0.2749157815961514,0.6043881503088817,0.5671933404479943,0.314745725678541,0.6111125281816896,0.9140437087015356,0.6518591054491482,1.286644751000969,0.376737765742745,0.6126796608510205,1.0647896420802443,0.38680800906308443,0.3763982388801296,0.17374373202023696
5,0.20506294469905528,0.2744188801198215,0.6150594637388804,0.5016338857285358,0.6431599072057428,0.15376482986403728,0.5829355946236742,0.00022095990972248458,0.631501162646045,0.6437417295980907,0.5582447802824386,0.5983127856758828,0.7584083363956549,0.6764128529498031,0.44342671994189775,0.904319808052699,0.7414173233122368,0.3995344711583506,0.4074471497921608,0.12754670991664474,0.34598354735938563,0.5174524002016861,0.47943782631936926,0.9453158508559105,0.44381541488568454,0.4693016296989593,0.7432024186405568,0.1634199164523913,0.3655159020647095,0.2636621303916765,0.8056315222245973,0.4713093127917727,0.3899841326720427,0.5070312163422119,0.03287708793897193,0.8958546876896112,0.6959737909366097,0.6147970995504833,0.29326965691446016,0.5810374565614201,0.43085193745157613,0.370147220797287,0.49311051283587304,0.5662801075153729,0.42118834409533534,0.21862868614736553,0.291483741535302,0.1354710984960752,0.07886072386047238,0.3290042629765654,0.7012510224037807,0.32571346441898175,0.2679731895847487,0.8900939761734691,0.42579236298447654,0.508725989017128,0.5345389255708377,0.24646661133562886,1.1301641266716298,0.7603838382015513,0.8044519497843896,1.2526072439147364,0.47759960650516287,0.2317014135098131,0.019554654535110294,0.548395409721179,0.6713440959854515,0.5393497603741558,0.8341297254185456,0.07721665708585923,0.3562576776403563,0.06820770388588815,0.4711081333412377,0.3382449927183978,0.06932840107034877,0.29963381637400754,0.9913618020645211,0.6094105463618649,0.3367455821178589,0.8393029350208001,0.7522975818179674,0.09075354748000564,0.4258506518469817,0.34709416398855597,0.8521761416159184,0.1995516600038556,0.46252614105374845,0.9411355344732704,0.23445719156294131,0.9645950929927385,0.7576998869527777,0.7057472016032432,0.026495741951146234,0.35958425286312434,0.4628181671399627,0.3119593513363683,0.684096579176605,0.11747030250744384,0.5296584541727384,0.4845914203638628
6,0.5658502360452408,0.7812839467785402,0.4045181305951361,0.4608078709769948,0.40101863295768847,0.5767550331015233,0.6806253225270615,0.573627440608412,0.20426191917627723,0.8371018606471662,0.45307596002878947,0.18196187439351097,0.46935388181528204,0.29733853308098346,0.13976498720589203,0.6304619547035948,0.19196728469278268,0.5560913458651787,0.2680350917012473,0.14393746322011425,0.6240285713718343,0.5818222529416519,0.6483752012933116,0.27033714789206886,0.27973815771834665,0.5433718536307641,0.7370951056989077,0.5896170835791794,0.5007729030622285,0.5410966913981068,0.39765360587926746,0.40968098978892264,0.9343749468749004,0.9764905295569802,0.3900558542386412,0.24836411326091057,1.0209906035219702,0.8519235006167707,0.11522428315207933,0.25352912745349565,0.008539725687017219,0.01391262026304152,0.286533721787383,0.6905181090538164,0.5516398360959252,0.4795776780363874,1.0604780376120333,0.21023793791803813,0.6085135061975607,0.22837324172791762,0.13315718677979227,0.32203420903113067,0.2468211660130577,0.38110878309446905,0.18999107167321394,0.6275691583171299,0.27405623445325167,0.16097925827108428,0.3821623411911992,0.20832841050337736,1.2495753904795999,0.5568794367855991,0.35629997324380835,0.6586204520847576,0.5138301918319439,0.7183321636569968,0.061809632542063175,0.42031255159143244,0.8398612669354664,0.4139087844479552,0.24763496378284988,0.22586325556982656,0.5214157873232607,0.3843075801623874,0.016207906540326222,0.9057442051095452,0.5905280607496244,0.47446520551210747,0.6014827494466988,0.6210085512945963,0.7130687628124961,0.11332506429541667,0.48141015420401434,0.4071470885231434,0.9616488250513154,0.07318316842932093,0.3954204284856533,0.7586924718718733,0.12884820317582157,0.6781601804718809,0.6141463637725183,0.593196617024629,0.07964110446228556,0.0995497635857695,0.478996244042478,0.3998789080569496,0.8091306210805336,0.20018969968148115,0.2533163633518093,0.677633630549
7,0.42152604849969,0.7519122430477153,0.7013753391517534,0.734134594344222,0.5950083401453865,0.03824365634457405,0.17736078995725335,0.5960231196669397,0.4886783456751087,0.7487196812306987,0.12644653059830335,0.7780159004165721,0.05866492580040972,0.5864179766518689,0.6847865132488424,0.27632112789480456,0.7665660931301564,0.3984978763455551,0.2804237587395102,0.21524793430007227,0.3813292429513194,0.933482562649522,0.5011154077173521,0.02134384964245417,0.1460935030735362,0.3547834611346238,0.20089265596219397,0.7712296011705738,0.2567320958209902,1.0597842121763357,0.5066187068748829,0.24002492376368278,0.5859116791527794,0.649390172568191,0.2354495356967954,0.7635191201438818,0.10331505082376569,0.6378196319301568,0.08006420152403426,0.42866267448266093,0.062011247025324234,0.10869171859228266,0.19693347840773345,0.42696474842675114,0.14663144446690335,0.07083905916868483,0.3533286717998232,0.8128229700866919,0.6729761269919678,0.19486815267439916,0.277091312906404,0.04516602597602526,0.46764219887470737,0.1314791579519905,0.49870237676986295,0.44044860924691265,0.052165484866645406,0.2341429977997077,0.3025001380937473,0.0898726990888854,0.4138105841619937,0.2230371357770855,0.3023857348584311,0.6016623371432465,0.6156641013648281,0.14105272602432928,0.363462595744928,0.6546261719618214,0.048780765218980005,0.47659811053314804,0.042300242733664506,0.2886769202244239,0.4919605161835241,0.42067974093332183,0.5042351562699177,0.6943932891498659,0.16621689178972665,0.09111830937621801,0.6371969500680834,0.259664477021575,0.3499251485823397,0.12219766332688997,0.247756432383891,0.1243394661437407,0.23156128031321666,0.5350574648065878,0.12531602887020277,0.6377939444887918,0.6554323144976765,0.5085867398086908,0.02443784738087995,0.6949272511274335,0.3265224630809438,0.06726804526826324,0.3229897158060926,0.2928424700252056,0.45554711904804435,0.47180464858099813,0.003261552571343862,0.215515688545315
8,0.5700389315106784,0.3340890444668827,0.1812750622761493,0.2528108348876684,0.5705527160441844,0.30506628548637704,0.1355348413239763,0.16392898641447973,0.8350052210371929,0.26595701363176094,0.3260144174309365,0.5566689033731713,0.2117647034083523,0.6138217558701885,0.36644688543436854,0.24529475381962296,0.7730939050742682,0.20611695180829348,1.0525500978722662,0.6104068280374585,0.49645743606564574,0.8005608497340335,0.31885315536459835,0.6357901984419396,0.4276589038170947,0.04438651771182123,0.09192655822904894,0.6895694382031201,0.25949227377528505,0.37245555526110485,0.2672748651285024,0.8875055828145356,0.6154852717976567,0.5377435502368058,0.19874237874318812,0.4762800392191253,0.31886074111218576,0.37254085505907963,0.3745992288764899,0.15884504224625273,0.2798533631004967,0.29332827389366145,0.2730006016834423,0.10937594040494125,0.6189174451252505,0.04391691401021036,0.24563327620186381,0.27244714836660266,0.3582109242689435,0.5158189574518318,0.1569344401110394,0.3132432411974613,0.3978451675643654,0.24938555255797157,0.36992871441758746,0.0633659395042323,0.31048518074477405,0.27019769882538625,0.7397431680039976,0.4990533278313265,0.8339618981783736,0.5288068468061313,0.45967972737967844,0.3293134977286204,0.0730399168011946,0.5125554519974526,0.2312620894867392,0.2906415308977861,0.2594489585170271,0.5006532071554328,0.6677621558871457,0.7000043727218983,0.4631089585125254,0.16975281147126164,0.34959769558024967,0.04932125153516531,0.2201546645661071,0.7524166236565588,0.7191001204444585,0.377956444461814,0.5705061656562276,0.5055414357904648,0.4188317677265393,0.08234285858973522,0.6558544427969966,0.16440920760858102,0.16401100547369996,0.3539836988817434,0.4553894402775933,0.19007368688028203,0.13817528555949576,0.16591665019132562,0.04993356001804439,0.5272110755121253,0.1413516227686955,0.23449366406214844,0.5223535351825004,0.6102705509774231,0.5809031499601385,0.5076212822175404
9,0.28191860228004284,0.0820732613951688,0.1527282300131967,0.35164510029366614,0.22687714437178563,0.046822772014409875,0.20347495397840387,0.7734455398488589,0.07942698240529977,0.05677405427517612,0.5780144783491854,0.08933005392550952,0.444272667595739,0.732121608392075,0.5739910555306471,0.2620672716687378,0.8304730477183584,0.24816063631415952,0.28066040617816723,0.2900441559146819,0.39635975527341394,0.24857239415464139,0.010323558774651076,0.37412937191552254,0.46518704297166835,0.30304379743998666,0.20959382472450305,0.8178817512453267,0.08628837578065185,0.29285458817989896,0.3011842750821243,0.6536517945935812,0.36871752843203587,0.5622057565569542,0.0969918506659797,0.05865654691374722,0.02189825596398287,0.5624398489873057,0.5140423478653717,0.4415714164580631,0.1661299571718471,0.12855404278247162,0.39150380519492967,0.026260402431256158,0.1281803299005171,0.5541749353676203,0.03421603261911721,0.09263685595160331,0.44926417604517943,0.08345481391467324,0.5347515545616031,0.14182798417929443,0.13409481966060666,0.2427547077017771,0.1829218298618911,0.030090264522998345,0.07539629103056533,0.2145853188388449,0.4195788558116439,0.6491750000978191,0.29392662024276284,0.28864256118428877,0.21939731328898104,0.11732884541730004,0.08019093554236578,0.3586445098207074,0.14708569882347566,0.008074701476257884,0.3704425961587934,0.11586773975509579,0.48036905864185453,0.32569426478832963,0.17191034622550616,0.16265253868185092,0.26246096243198225,0.2550437273731958,0.23296993180898984,0.5170474822678983,0.20231493362573172,0.325779379654379,0.22066239975202862,0.4728859250870968,0.6004609417918674,0.5798819943770996,0.22900293296447405,0.1607856132360509,0.19721489118543856,0.41594203888831216,0.158242645381371,0.06571979394427196,0.7012211340408356,0.09208273060528716,0.042615143884577544,0.42627525932143784,0.5561983341616982,0.051205244862161825,0.29810826862879847,0.08251915509303276,0.17105858295070464,0.4943568077543883
10,0.21409290682564497,0.05245447094136835,0.1981287780140174,0.5356612210799602,0.33952223036238427,0.3113242796764989,0.23588918310734774,0.19260313097536919,0.41831343658974185,0.07772567702613764,0.3659262492977635,0.25240919366475245,0.27839687548130154,0.5510583020954596,0.2206763964664873,0.19987767784729837,0.4039186984814962,0.3448602658465011,0.01685702139789591,0.1863018898967026,0.4213707368281022,0.3403013565034353,0.25267133534115305,0.5203085495306237,0.0959668263384783,0.5839216189313943,0.1458737667681098,0.34133532936556865,0.09988657393472455,0.0784920134516367,0.2935154675488342,0.2654733159241366,0.6821457421199301,0.44199754937773084,0.20263126431347922,0.35699259424468865,0.2944900319383148,0.31825393290860793,0.19820088430488936,0.3945204906746559,0.1771415433060397,0.03065552519871928,0.6041873964197073,0.10931939376973243,0.218826188763655,0.15795242695118916,0.0972027381941355,0.19093483484620732,0.4732356721221753,0.40747870480883774,0.42309897692977727,0.16522690230578552,0.2579715716076427,0.2793389638185333,0.5067594039297809,0.005258087695044988,0.2861992573161056,0.42608355153433,0.2010192769733945,0.10599098053885903,0.268681118679033,0.014134107700420895,0.44878800500851135,0.2531812883033657,0.3552833926067356,0.41360103995615716,0.10234272440084369,0.02111931711062054,0.24973911208359767,0.040538617820913725,0.020610539056909127,0.3728572964107464,0.5143806095443625,0.16878238719312955,0.40651091698103303,0.47649111409317724,0.39578829236276203,0.3464227253939748,0.1038375382614869,0.43069661976297946,0.3974666110763766,0.2634548540265258,0.35265474543050923,0.1920642801213357,0.5490369805372536,0.34413186614882996,0.38943427221235516,0.5057706856134958,0.5663607529097889,0.2664528264109536,0.029904943621145152,0.3600037947450585,0.4316078357357874,0.3979453809770833,0.4553394484733908,0.10485822851989379,0.1887063244077264,0.4139837047782853,0.5868750750546469,0.038220040287629375
11,0.17693997473892598,0.635335357567746,0.14888803848753918,0.010186414022269386,0.5102638333747674,0.40654489882986944,0.4441861979497441,0.22267028830590108,0.24248485206606385,0.3015361822861595,0.1151947762598331,0.28130312943606084,0.1370091230057091,0.3349739420802893,0.40430142275648295,0.47510686520520473,0.16033364222373814,0.11661493764992725,0.011784130270841464,0.06033430028472364,0.4314404326798822,0.17295756230288695,0.2893828622280178,0.18699066333274095,0.07503234854840746,0.10533350964040933,0.1405396565282684,0.5257924832764185,0.5034457381148897,0.5534272013280372,0.344050836540042,0.11599157416216155,0.20244142125832043,0.023660857527199486,0.11738261485637547,0.257475169649205,0.347820147579855,0.5129677452911405,0.3225570497625623,0.1392811249110153,0.3812242113096056,0.4306562558886481,0.0008074378935285509,0.08369370605022075,0.2479190519115817,0.2672947417197755,0.4527312746546095,0.1420918600854426,0.3050874217029451,0.38904215239819817,0.348725877980974,0.3145521271617333,0.32591160962292487,0.09887670889181155,0.02314299330562475,0.23893867991991502,0.5440041796502288,0.019023245181419846,0.04898059190084947,0.49836598811445354,0.05061106502561241,0.19112058767939366,0.10623982901294438,0.2213493540140088,0.43960138461053866,0.18987543586203726,0.4335713329876243,0.43480226849691517,0.3453102985258848,0.12906488899927193,0.05630304900189964,0.7433728671923606,0.1767606631890919,0.1893855015784165,0.4151542446984824,0.26605424850326875,0.1881121914481696,0.011841247368801433,0.37228839997076113,0.07999154298249578,0.1265771699361422,0.14610913089404498,0.23828738692700147,0.5388452443315572,0.056103351433105075,0.15088583174266512,0.1331488323998311,0.45683592488978475,0.38803970241285746,0.02279924207932993,0.12031669302520653,0.03727309379993393,0.530155283509326,0.3441430068274818,0.4161177899465852,0.2847610863643508,0.41535944185520757,0.1165324691779579,0.20899693359342852,0.32315236443447926
