k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.8034622741267969,0.6241787227805142,0.2597343632100716,0.31398778857052057,0.9209081329677595,0.8909444897315266,0.5008302002913457,0.6327262371225284,0.5379459457377511,0.7847163262806064,0.6714401806651752,1.069751147938987,0.7958002071278945,0.6496008346558279,0.4462905215811319,0.7759658778239673,0.8381386552164469,0.802583131235763,0.5287249816233203,0.9417142931374499,0.8238243074572926,0.7043458279751071,0.7641676343148976,1.159762634010541,0.7238242766914017,1.2372388320733276,0.5391889329988495,1.1492802479639095,0.7950771191375401,0.9674686420809807,0.8448888746509047,0.5857814422960894,0.7594480779397135,0.8913155280259768,0.7007177874096654,0.9690665633237144,0.9231066047158212,0.7077283281198679,0.5582567298305544,0.8478268539143241,0.61697283340931,0.8261283796409477,0.25220310178275973,1.1408947014128614,0.8237306674648393,0.8568453639086366,0.6143168979874407,0.9397592354231525,0.9487247091351314,0.7409784870202136,0.4154973313782546,1.1677394982287554,0.9428100065434107,0.5803551710919965,0.7453415340777891,0.7402117629851437,0.5946038752346607,0.5218325190526049,0.4953896328519447,1.1879115467996337,0.6281118860688576,0.8897319546199577,0.8017037961387927,0.7460654731764323,0.7736670482004593,0.2533771979550271,0.8830040891692805,0.6163363152648929,0.8085468789252855,0.564559169951725,0.89717928006743,0.8281049004344851,0.9977378463851233,0.6660685984959226,0.9764830582761923,0.7063951471585068,0.9857889829745473,0.8465799831461446,0.6541909539172388,0.8999119076338049,0.5877564061236373,0.42916625752417625,0.7453209551356245,0.9750906198931715,0.2319521273856081,0.8923684775323122,1.0030880198501848,0.8433253890390864,0.7534297646216398,0.4974416976657944,0.30303965727038473,0.30081887961642706,0.8777080216957638,0.8708063387242826,0.3714500437144894,0.4763914927284769,1.2143720361900483,1.0308578866634506,0.8511960538816219,0.7435644214456649
3,0.8092885541090376,0.8823404897608239,0.8334836396007297,0.4462596367358048,0.7950785252219114,0.9467652337729425,0.9158650475704506,0.856126234359032,1.0496933701744449,0.9122651847798728,0.9966798449941808,0.8459195391916714,0.20107860655885357,0.6861976006250756,0.48497358589870965,0.776330804351815,0.648801163810391,0.5683608852499801,1.0435476697375927,0.3965153687075269,0.5636376446934191,0.8998579853714761,0.8708398512446212,1.0315325988952297,1.136332986152516,0.8034450532603893,0.8217880557676266,0.9528541581290569,0.46184711181698035,0.6293230201831919,0.8498063778979754,0.3302999724633753,0.8777441248770331,0.5925755832187594,0.8846257968326938,0.215065128975789,0.4494704590773039,0.4756425423906965,1.0195827645785636,0.44073204113225395,1.1636557527151417,1.007303345269856,0.7665702001266798,0.895584861941545,0.80177112540203,0.9896654166702804,0.45189467299872255,0.7263147763307255,0.03676800872326624,0.434606096213886,0.29740931716837915,0.6286033970696426,1.0807780287696103,0.6099993679781444,0.3980556013112153,0.8853053306795311,1.2840263182799232,0.8696843186222158,0.9400650189358553,0.7326266213177174,0.4169656002569161,0.5389675252701418,0.40773966080900537,0.7707207829553164,1.222253961489224,0.7286081347819549,1.0853971245059928,0.5266752423660698,0.5476920902135243,0.8974974789038551,1.0156288343335638,0.8123315512161458,0.5393914643164122,0.772048881156035,0.9206564291300751,0.2710892811707535,0.8321094548674175,0.2889103720487156,0.9888341225935082,0.7686365151846339,0.7939281880135749,0.1996443994174939,0.5010898656629221,0.8701146718010242,0.3131824551120439,0.9726524883124757,1.0242572504376182,0.8412003528701879,0.7046659467439942,0.6334605952931379,0.32319633397143654,0.35203021271835433,0.8920379320364433,0.7842262577207418,1.0732758690539115,1.0602058937350722,0.7820936139279395,0.7388520710528153,1.0108365683954992,0.43257869118615533
4,0.6603039083191551,0.7376549496109771,0.9663013751678956,0.7028284382573989,0.7492319621146029,0.7565800756425778,0.366891708175177,1.0072883040908815,0.8404351582726206,0.5355851775054974,0.6380379207046705,0.445894556064485,1.0973109614685979,0.6614145696137298,0.40701375135810336,0.5427169682297902,0.5253965813442874,0.9828618543920936,0.40680763854391355,0.6174190541203785,0.4119739387748822,0.3419696600270299,0.6430172235797471,0.29458678474540956,1.1092825946637679,0.34486263143831786,0.6799655651916805,0.9549455965268918,0.1595966964721438,0.5517993350706111,0.6246140831037346,0.5096866814155772,0.5147451928959608,0.875822474987815,0.805231395818317,0.7821835043466373,0.8541584069881092,0.5816643191440949,0.07178784602119948,0.37895956528479524,1.0186889435175734,0.7716473389481168,0.4797205978606397,0.11620614095507475,0.5695055442098157,0.5886842846708837,0.9709570280632582,0.7390247373490015,0.756490076619588,0.38278651501818917,0.5497612310399731,0.7652989042036764,0.5274411809101672,0.8481638680319369,0.4713183233712045,0.5253062762983997,1.0322972980999803,0.8332136173766389,0.005529632375745663,0.13253704425150037,0.6906239727271777,0.08578562699724945,0.8666852668973404,0.3945465837341403,0.27441029377263015,0.8740726366350029,0.5790308722506994,0.48078056038640604,0.7340186539694622,0.8966417979821462,1.3779188265592517,1.0254505033068937,0.8626591892775948,0.874558301588634,0.8168218761559736,0.8360507125407951,0.6880624195451861,0.14977383262231014,0.6280852503677318,0.3044582642113596,0.7033663850349539,0.5312748442038145,0.4700790327765435,0.13861848507066654,0.5189684441849184,0.789057762464837,0.60364182020477,0.6887138775323339,0.8932268510045862,0.21701786320794336,0.7393254461270966,0.14138881176403872,0.6704069563397723,0.32069200396831277,0.5243137444993651,0.6583649025812998,0.5824860439389961,0.928741139360085,0.5806817779572989,0.30271208294701113
5,0.6922486310887733,0.5318296991834904,0.406709092515243,0.13071274195471305,0.6119784772290786,0.804650561274643,0.2419194977909691,0.5169405442996896,0.49949243044039326,0.8915830296846179,0.6278582105448685,0.6045502241075837,0.38498803166217543,0.9343437231342484,0.43564275958483445,0.8498530029599461,0.01777220264084889,0.3352711999863254,0.2059405847550816,0.24715413241341877,0.23765600022079325,0.3111227461194539,0.8707062519841429,0.3196089944892282,0.28841628765309424,0.5009346039816683,0.517549259362662,0.5829892105988377,0.27861456118665195,0.47977297218204573,0.437044550930184,0.1924832436236903,0.29457526869035167,0.5251434529717381,0.5007091075877763,0.4281600411596431,0.9112333799736428,0.6311099633467971,0.6273875952115694,0.6568006891210278,0.5164618018114955,0.15657292632403697,0.3047017608708307,0.6657272582445779,0.5137274480490182,0.2543120999199586,0.5942843062741663,0.7171550023938549,0.26995708343418534,0.6237395763690681,0.5608156476849648,0.2445667764381002,0.14391903757919622,0.14153802627971457,0.7740193492865527,0.8459075335953012,0.34111189333517533,0.4394689602916513,0.4124274291562944,0.4668338755792817,0.3076291038878358,0.807100185241596,0.3994133764853536,0.7454988618751232,0.5226697021467007,0.450345880458203,0.34534819721003496,0.5569313571483367,0.12381652853227654,0.09397163284588306,0.6265869939130466,0.5571009550419078,0.4017403371971664,0.04099340837295551,0.44538218133491325,0.24257914317101104,0.6965439987720025,0.7230025155917772,0.3365223473685609,0.2589011460783526,0.5609591937475225,0.7926552867647143,0.7739185398317913,0.32826699996096487,0.28968315168590264,0.18762996478135707,0.17125658122201926,0.6942954837833104,0.5204591472185767,1.092468328086512,0.5745578125342343,0.6153871944246869,0.118644551443564,0.35395405009606373,0.10943769201956421,0.12194493636932768,0.33218265009941095,0.7098628511597743,0.2594568731632011,0.42459900967211905
6,0.49143120345098423,0.129298907763704,0.6339711259890064,1.1709079724161675,0.5148073023870758,1.0893197013034164,0.7407846768516853,0.6639689605061734,1.0206309693174576,0.16667049768860298,0.3538063374648909,0.47985117080887507,0.8962503261106487,0.5439271315543575,0.543664836923512,0.5347891201157201,0.364624035774492,0.38734721221281254,0.18065210583072244,0.24187876431552446,0.5576393186389504,0.8481376793544511,0.6165842273351443,0.6926589413901876,0.03933134995536669,0.20420518417317757,0.5825468772851835,0.7196817801202448,0.51659199804467,0.7286438494571146,0.05257654230809228,0.4227778655671093,0.05235371518241272,0.2812371685422781,0.0822353394503117,0.4924278395612449,0.2776827200605303,0.2843013158548684,0.3490301274376503,0.7207338515962907,0.26662993732048035,0.6294668772256865,0.42371422939603176,0.2578236150211377,0.15833303334041426,0.9836760251493276,0.531224818347581,0.6339689128855801,0.33465498558332896,0.6729743522542038,0.5509240729231769,0.44324015040635456,0.8958194734525128,0.3000710869634191,0.5409569655020778,0.3821858619560764,0.33725133501561855,0.0872026347465279,0.4825293160214126,0.24101699258178721,0.4294965234047108,0.643737113164611,0.5191159439988032,0.5612770998850116,0.3366778340605878,0.24012548937285527,0.34601811973516394,0.509822211273651,0.14182771588402,0.4779118653568679,0.5315668128124345,0.37258550178355565,0.5089355493662957,0.602981896313072,0.27504028255408197,0.6404602273896371,0.6922911083481578,0.29106487661623803,0.35690729347007355,0.6060719960582879,0.6747251360421292,0.47550281342077694,0.3975637610438437,0.3842407135995497,0.46264689909144674,0.420292732493161,0.2452593038078943,0.18300643993831112,0.6495236201982211,0.02299360310543963,0.6309812543084361,0.3283152738995647,0.8158987569739704,0.647959851248672,0.18421438925882372,0.6588340898912819,0.8274105212271223,0.5434045050054869,0.35553618574255985,0.04061202811847009
7,0.6962837896294618,0.24048686098012206,0.6918050881250354,0.5372197512860604,0.5671751322818225,0.2675419375661291,0.7099106174388503,0.17007554228557353,0.5284297595012662,0.3254345069000507,0.14223436518653476,0.3973156078311584,0.9275724045641978,0.34483549411936765,0.004827963425358406,0.43291619759987454,0.5001394974263056,0.7159247337043564,0.4730941853631129,0.4157282878500841,0.4082360022163941,0.6774334135590622,0.29129513403210927,0.0992455393906777,0.4648346152487808,0.6078916647916084,0.20483162106835162,0.6934494605695816,0.4037261201979738,0.47986738352965363,0.6072095903728265,0.6826470292419864,0.5784268905967094,0.8890406118660861,0.45455150142800727,0.6280278200916487,0.40205509778339443,0.21063303413404988,0.9358553849463218,0.172336797705558,0.1083430704061068,0.7286879206774872,0.12450594083554534,0.8318264501576615,0.24281100702977798,0.8066962455522061,0.08889611700354538,0.5407316169294916,0.41852784494557993,0.48279969770362796,0.320839763667194,0.3791238722248764,0.5242312347674685,0.24509350477585112,0.09335045924136454,0.24814095087805677,0.2052467288190063,0.6260295389069654,0.4221794526686753,0.3494427958650238,0.37065621451054687,0.5683817762057113,0.6650602003901263,0.19340110116623288,0.36228555706485166,0.49758534577823266,0.4018709506723155,0.30285266673636246,0.533573013432767,0.4130562794491466,0.532895151752776,0.3750603344908031,0.6329412117174081,0.3363344277685695,0.11303024901114345,0.5688853308915702,0.2766358784337912,0.44480411808984055,0.7132934823371309,0.3561675844139307,0.24966105694002982,0.8253360227246985,0.17435663649771838,0.2507413626314662,0.27692092467012985,0.6009628834721958,0.6569793604298824,0.553849207099346,0.26513433131510655,0.38881976191132706,0.23341890082423755,0.4216469326061286,0.3696490665361547,0.7454096994971502,0.5424584197466279,0.3731426806317184,0.27445347424261657,0.8693146873888232,0.7010471701341883,0.25339572748076133
8,0.0934385549518647,0.016648509907697173,0.009985258741774139,0.5161087233143136,0.47774294061462474,0.7098732253759081,0.31106507980503195,0.6100405382003491,0.265938433746834,0.2930052230093636,0.319346631181161,0.4972691225222683,0.5461700632747531,0.4243087313712679,0.12240513587713386,0.08234038863267723,0.13039523179917067,0.438397071461501,0.34841365287202375,0.17650761963896922,0.1574116987243379,0.11781541422698161,0.5453990604600094,0.4182929950178482,0.12666579628587082,0.45772163333664295,0.38012564966403994,0.6387992303606301,0.0383723227711853,0.611987864061197,0.12258841557025513,0.247823733966978,0.566796263118625,0.3324785808588705,0.3954335848645809,0.5868489417658496,0.007959407534268381,0.6151325870764308,0.3825027426297125,0.6651884410566649,0.35408643223219793,0.5103597061303237,0.19398119909345912,0.20467135241729584,0.09280739096244595,0.006274080368828927,0.2056032136230791,0.37262187049297535,0.4835901191287214,0.10289092182496062,0.3542380954379891,0.5147730185454787,0.06091414589791411,0.030830366057553404,0.08249030997902218,0.28913443516407455,0.3639277803812585,0.17973469420708743,0.515738179464297,0.6203222278370122,0.5971285610799373,0.4692420622668083,0.7981784375491752,0.21392500518928026,0.5374807779450643,0.32085290748054873,0.2955648711102492,0.0293424742687034,0.4708802780401694,0.3538740191276657,0.1429327553242925,0.2471158053870699,0.4531456088154858,0.36532622313774366,0.08178120970019842,0.0344804076498495,0.33632024356479884,0.17621367630503548,0.5892301676941111,0.38264493711977177,0.5955655929953831,0.3186995876774139,0.730804439215078,0.2844843745907548,0.08767099177648019,0.8257364527226297,0.7964567600542565,0.3092472699151312,0.6657565647544704,0.09651487109808798,0.14823117254212614,0.7315888452503139,0.07619646619038334,0.06917956371712441,0.24950354919969064,0.5872552111174996,0.4993666134703406,0.6599856649733004,0.24957092456706842,0.32661454193891437
9,0.38442969787267756,0.2674650497899278,0.2831738743036175,0.5720616617964449,0.9197085562418916,0.44355575386845425,0.02818680591804723,0.4090464201738808,0.5833574804955379,0.258655973828259,0.4578208230699843,0.08756745964325008,0.6990257244301342,0.1915626361090328,0.10468300111804552,0.004338875478980708,0.43443530740255343,0.07350802421761227,0.007001535855453711,0.4404656287860885,0.06967342563739165,0.10191494201420292,0.004581449785339364,0.09945233982258794,0.30862044986495507,0.6617579022534239,0.5896901120038653,0.28616977108180486,0.5161199776492855,0.37427597711131266,0.5931662609070789,0.26247504341983996,0.17619274272902996,0.26637537878744255,0.10848548955595083,0.7413305198701792,0.5116902674701848,0.2781010176140295,0.3811765558551181,0.05836560754980891,0.2940727973366042,0.14673418789753256,0.7730807318095666,0.3536818472637947,0.7657080000131061,0.1923658668196917,0.8584058233734471,0.04185846790050185,0.09375038900793453,0.4230842247768354,0.15277731009829232,0.11306207801590462,0.5502020250924804,0.5705506304534111,0.1056503061947689,0.4275620492227654,0.25797639856053933,0.08928302883868877,0.41885402641800185,0.4057913571920453,0.19929629109748914,0.6499937652569421,0.2045008518850555,0.058402014983427675,0.7053389244545316,0.6841401669395627,0.2983490671626149,0.5808308177591633,0.6073885432227035,0.3417895805507315,0.14822449918216796,0.5070546817258426,0.146650711915699,0.10490553188657503,0.4638791917798424,0.4063375709145811,0.42885607175185214,0.2546936493285038,0.07730694596346288,0.4585822481331173,0.33256688177287086,0.40003729108345965,0.3255074974201366,0.06506381390628224,0.3777810414321642,0.28674266802044057,0.14964066623974104,0.3859627578155964,0.07941246612273567,0.36052195541334886,0.5658547266673288,0.10080076958914752,0.1690234521863072,0.0194947536417871,0.6942695878046645,0.11246771637642072,0.10896528447903786,0.6836318583656819,0.5878286176862197,0.03153278613353083
10,0.20587976908047212,0.2650319306295269,0.5337220157231044,0.7733108404516936,0.48014374776753677,0.6767897071189075,0.6183196976685532,0.4322866088356453,0.5490050729748958,0.32644104107112115,0.39322762495607266,0.3318060052900391,0.2581664817504905,0.35061945971288133,0.4826089455822715,0.38725995557608517,0.2970383926675414,0.09936028168028144,0.15704647682316342,0.22666779600891607,0.6871492212012469,0.15616734166939916,0.383544952953637,0.31489963973480917,0.2972338962074761,0.1735756650546555,0.29129707351289147,0.24331793703476434,0.1920488276393464,0.6227150686274876,0.42677064119634445,0.18026634722391544,0.14356848329659044,0.2876395859064199,0.17315475542273584,0.22579856749148253,0.01783893418924931,0.1524067689305576,0.7162130063154288,0.11030354134008946,0.2398152430806464,0.017734054285007517,0.049771059989968336,0.5446059867995308,0.3001817241609762,0.3139915063321297,0.23055413708594452,0.00872368548784741,0.14296010463595965,0.6549725359770132,0.029010003292198716,0.26494171729695637,0.26974484442306057,0.2806215725138992,0.34478169985217366,0.05667900719136254,0.22334704476389,0.2271011887786858,0.029452879141593225,0.2910505849449553,0.3209789291701741,0.5368817798974723,0.2443955571018328,0.496450254631456,0.44185667769805415,0.32895716608947,0.053376564372590196,0.28827376382405356,0.09958017202966962,0.25115294731544013,0.6406345432455278,0.3641114638091012,0.3324581187724559,0.5743994475651688,0.43440881400216236,0.859243561433375,0.01367051928951657,0.04420038665423287,0.17548332337078287,0.5181283334344453,0.028446752528596297,0.3740016831707449,0.047572932548485825,0.27636433512313907,0.3173067145590288,0.38243015022218163,0.5271327953957916,0.11533995097144634,0.5752319563561246,0.22879276736815934,0.44423968294694216,0.051717511419692164,0.276998266410601,0.2961531325625063,0.35128255805718367,0.3205699535932931,0.2835841264019816,0.1500889816015969,0.08994825642844506,0.5214595441956578
11,0.3708151457652762,0.1507344204335146,0.1374039998288682,0.4406162635794779,0.027760813797251815,0.01784255637777843,0.24149734692232994,0.031998980074131045,0.13189834599835804,0.5946650000691712,0.2618675671651247,0.4090757045317468,0.10779285314251841,0.09354453670251728,0.35229396600699314,0.21841070681401442,0.10194335990198122,0.23767936946235335,0.7036728410020652,0.5928012519700885,0.17849137243745972,0.11318281575206302,0.14182077471219157,0.3513475796637099,0.397094258722687,0.3385710450069108,0.3757414873422187,0.09025313326069906,0.07553287710086543,0.04925929902464077,0.11642503110015989,0.30545893780828104,0.07135900013725371,0.24359195598423355,0.7393594710364177,0.05656181475164823,0.5690156982606206,0.396173164011855,0.12006323787871409,0.15164688275492966,0.15499792809134338,0.10828325652991344,0.15131914817580117,0.2694742991402793,0.1943262731888289,0.37991312240037456,0.42689630207522544,0.2136896997961274,0.29703028505215157,0.19093349409361993,0.281861872631921,0.2825899283172546,0.3162912449106734,0.24844890491138716,0.07993897648631554,0.043358256151064034,0.3747987156919613,0.011885059756535754,0.29233309933766816,0.4995937371503415,0.01153414492410354,0.5012572762794008,0.537804421113276,0.09382578813287923,0.14166174298410006,0.12382751253291802,0.31314947858683817,0.5353530819472014,0.5046356361932509,0.6338384067799422,0.37248446321279216,0.0950954471497607,0.38907770772498484,0.4873831066777967,0.4053090864276838,0.03871083888716331,0.3328025230856754,0.3841160613628294,0.23859898902425414,0.020193491484211012,0.2502054055231887,0.14003424330459524,0.3259137120136434,0.3763364519571246,0.016731471437567702,0.6257019306422561,0.5387220606141188,0.3596987270643438,0.2981477921850926,0.4006661234259601,0.29191104692118264,0.3644154601194258,0.20368093791609976,0.22766100852902527,0.07379581666582746,0.2779128459112855,0.24244992268707122,0.40132004806805766,0.4455609502675113,0.5927066407468646
