k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.9372122369615048,0.9574529027058954,0.7741652555097756,0.6969818017666168,1.1051838154760814,0.5880769693456114,0.5064842358823718,1.0558026565790999,0.8632109517126225,0.9940211720375219,1.0609528226813918,0.7653078116811833,0.735754289910111,0.3359556952265753,0.6944210202953868,0.6945826604924881,0.9937549016904805,0.8275519201597629,1.1079947051093035,0.8825175951561668,0.6102769461667605,0.8763282796740561,0.8387418575625534,0.8540845167666482,0.9104305061574884,0.775802074911766,1.0353926230464952,0.9721396520853742,1.4727571429440443,0.648855937230613,0.5599647126640186,0.7862792842961674,1.1083091621599572,0.25339876566514796,0.65547652519493,0.6934929190790415,0.8574557894679743,0.6751905974275099,0.7555773833180107,0.7821212071214185,0.8262819379178781,0.8160740071264754,0.5496853959119941,0.8886650782285342,0.6513384191022937,0.6155211193870291,0.8658394069641746,0.2838153325429612,0.6328181091269717,1.0735740462731,0.7456324962504097,0.32174116012024867,0.8884932670018271,0.9087873429559158,0.5354835161761624,0.5860856901228086,1.0212514292093942,0.42417840201321466,0.8644080609497797,0.3416792575486369,0.4957053842230479,0.9191090816603817,0.725866567985068,0.7828907377607441,0.6129521690437761,0.22158000816988732,1.0737218800716857,0.6067718966121864,1.1265126705855697,0.828507713774641,0.6732461118846775,0.6654273205730719,0.4445996104012706,0.8532778534567272,1.0622416460085882,0.6977351097657167,0.8340941216289923,0.9913158704843645,0.4244511296210931,0.3192962210931769,0.6162296460133105,0.6408396316193994,0.6275508178334201,0.6337837716576875,1.1358677457866275,0.9676307762829804,0.8103980202717671,0.7898813586426228,0.3517445898329553,0.9262959418280227,0.8506263520939129,0.5986660675874541,0.8840070136355078,0.9103674304836884,0.7172521750563017,0.856506270669598,0.7109731742635084,1.0246474256553606,1.2185004035746227,0.9186409441513923
3,0.6651853102451434,1.0437780679518238,0.8290250667542695,0.6996020311928953,0.46996273444794867,0.818856641757216,0.45078384618593137,0.6859414592533201,0.47699688022122666,0.5339958757503156,0.815921034922741,0.8693827651757364,0.5228679443836297,0.9916987660394563,0.8240954488060532,0.39145172246634574,0.6944188042551818,0.5931688061162571,1.0315148803077294,0.6522696972859066,0.4215805370268242,0.626315966069763,1.0531934344755558,0.8466960333834994,0.1814551588552833,0.6529706287764322,0.6963086981935711,0.5229924092368834,0.9243388678753357,0.7410636405175781,0.41548270172761703,0.6406236384759062,0.29529138702974334,0.6294099578904339,0.6550934252396319,0.4659825359600487,0.6147577274411608,0.5807562965095148,0.777893010577726,0.55540530239653,0.8010156568661045,0.7664202739268824,0.325728634868397,0.9943513626411776,0.8472350351824266,0.7365370779739598,0.3974917656321717,1.2091581303163368,0.06232529700771683,0.7268474257541566,0.3535084549899372,1.2166921699600146,0.6997124399223621,0.6245030660347186,0.09239776887959528,0.29509098741369955,0.36641607857716463,0.8665358287985014,1.0316585062816406,0.417321195622543,0.9959163289752981,0.790446119996052,0.7372895275246703,0.30392500904800523,0.6991370493828633,0.9241940534535673,0.7086894293862152,0.9220556910742788,0.8180716623306413,0.835662308273649,0.591274746202296,1.1152974500923578,0.8255232265862621,0.6998485229894355,0.37430720317399757,0.3885392411535522,0.8293385367697768,0.8474637061184096,1.0390642437340987,0.699799954363496,0.8410692812646128,0.7838233221128887,1.0695038459784845,0.9227525219361468,0.8633109033640249,0.8472178230486013,1.1850775716705997,0.7043537429945919,0.6101046240849934,0.3054736833344551,0.7990030969995953,0.740625575595117,0.8066244551759835,0.27897511077608717,0.6556942498737637,0.6507458373787008,0.363067816681669,0.7263966083621514,0.7054789806615086,0.5933740810535417
4,0.39907205603586715,0.41163516642234943,0.4147989433702969,0.4364705294900997,0.6203952799744692,0.8947701926230873,0.9004877606987879,0.823507416060726,0.17292636887672974,0.6591591373220318,0.9697864093765541,0.8749685994925936,0.6030761118927659,0.6191006716153181,0.8846618009596529,1.2980805328985627,0.12933751741939314,0.9999498084592986,0.8036921071480323,0.8186820196640235,0.8275961407533131,0.7880998610046468,0.4756628171256102,1.0128904681017394,0.6340180601613578,1.2072640790018574,0.38763279852270616,0.3789638890177407,0.69187793148059,0.9554678989573716,0.6530205295262037,0.41634720341946485,1.0488507729410226,0.7306616364547331,0.5021216829689414,0.8309054075284342,0.8509181333905128,0.6271809279059823,0.5756789759604879,0.7922006834681758,0.6520480108243735,0.5522231859358891,0.7067481035695873,0.8724389533520669,0.6299420586564842,0.5810653475647145,0.691184371282906,0.8072983601244227,0.20562382474329366,0.8487372635878949,0.47409738402203305,0.8277469505572993,0.7720332368243938,0.4866483919620055,0.8850665911064717,0.6289655854745639,0.8691476425594404,0.412654030480921,0.6354390240283361,0.6218417281400417,0.44871226818671217,1.1578325533043854,0.41343044976737686,0.3147368615922568,1.0244922648777979,1.0775874477044578,0.5669525167128802,0.41491983725703674,0.16786811098815613,0.42662470342829306,1.0034617927704281,0.28502620585014027,0.6785423704124457,0.6753695296960137,0.4839426735155663,1.2332773698732824,0.5149477970700128,0.10487780257405355,1.0578096861756439,0.8548794621991599,0.28984878700297145,0.6292650390843115,0.7963822879610913,0.4384725496410943,0.6696583132400262,0.7528147232269509,0.20167640504575335,0.3332651394498741,0.4878349249865407,0.9984817869850675,0.3489305835543144,0.6670418898976573,0.8668675165300086,0.6366663509064211,0.7971698212045353,0.916170180885611,0.12577544176043132,1.0774553923690173,0.49371058634798604,1.0156003545244887
5,0.9243374861283983,0.49500412130896376,0.7242697413230124,1.0520872660743292,0.5306521819576683,0.5122359585658482,0.17410209361470375,0.5762586390842002,0.8217340022800834,0.6770394424451844,0.37806255198260863,0.3943520896196324,0.3873377473584406,0.6498058633855053,0.7549586607266376,0.3297300584371081,0.7271595828941912,0.21315307247112836,0.5172002486742371,0.5154257407730357,0.5192341757496199,0.8443119179828631,0.8752229291417952,0.9159377207476195,0.7363209763251806,0.37127923454706,0.5394970412813382,0.4671746818181668,0.5245938929499255,0.9351812143137398,0.9186839803971429,0.7153220730484842,0.8965252926661142,0.45583802391139905,0.7881955925555137,0.8066116452690609,0.5720041773850083,0.7981770158967854,0.5343089165041672,0.6642063021182056,0.14738795557328366,0.6464359997687966,0.6511804018472042,0.08033677339675271,0.512795091007081,0.5629841663058553,0.638343598398614,0.3212604463131936,0.7479801238497231,0.6440114191913002,0.802913883198654,0.755066914046468,0.45842091373417493,0.32690950454111556,0.6371923066340869,0.09467144564343344,0.7322668152308294,0.6202695322714946,0.8785748508208141,0.3520089934882793,0.6298211417046171,0.7602331119189575,0.8973330630757921,0.509017868268543,0.5212299104906233,0.6614897162743496,0.2818694500236141,0.8820651776889348,0.20637877064063792,0.8907077170197495,0.6103283846022551,1.0667287096085476,0.7392203027227116,0.6313944072396639,0.3518093038268093,0.05453661044414271,0.04036259796334751,0.8436485063530883,0.9117041254659953,0.4467099120148901,0.39125495192534177,0.8770656286656437,0.730167941075974,0.4243189436783261,0.6014476087570397,0.6319831314948803,0.910008598303942,0.3226995839907434,0.902071722599114,0.04228624616814258,1.184411218194915,0.7270776418142239,0.5331864124342661,0.2984110217144649,0.4865680976190966,0.2975657884493167,0.91411661278146,0.705692292956842,0.6336658570641358,0.48121656149007097
6,0.6785580922793405,0.7724947865771647,0.48525783263817224,0.6338213910500297,0.6641431703959563,0.8604714041289541,0.6354518820330102,0.7784723292245576,0.5085352674465138,0.6733670151686568,0.6814152962623458,0.5417664446595627,0.0482495718502296,0.6126340986894345,1.0996241495157377,0.2945501846519861,1.1127076157684843,0.27737413887082263,0.5370395222693566,0.047221445961387776,0.4826024366567512,0.6778411704452555,0.583094782277017,0.5504959605343296,0.3835174162705912,0.8122385849240208,0.6944851331554119,1.282010105281564,0.7060885977466353,0.8219271297388124,1.2042950575880285,0.38104578240187625,0.8252124893966569,0.4267227854821437,0.5950344058925797,0.4284873480148106,0.7779398186755773,0.2631204349488637,0.6716970541313946,0.58849548670058,0.8625974136674783,0.8594497543427441,0.17312025246780993,1.165836458540332,0.6862881381999006,0.48385927433131426,0.5777905703885255,0.9053521729111106,0.25542558967732687,0.6568638283176408,0.7519078314561505,0.6108078934456884,0.36273672164383486,0.29911954200449975,0.7422819013138523,0.45390174253041726,0.8963482906375595,0.8797424032717677,0.7513472666466712,0.7336080432120452,0.7741706735762988,0.6358315926339468,0.10660778074948407,0.18773413874310252,0.6413461267143159,0.08834039637220181,0.6605543511181714,0.16062177582724968,1.1088607248367655,0.8208061763979437,0.5315663833863351,0.2670917132039272,0.5889237544232968,0.731029034947765,0.19155948627342756,0.4480769569034029,0.6448821516307339,0.6373637472226839,0.2699212696682469,0.7099313682545628,0.45496194547925917,0.7230055112420527,0.42193624661237017,0.5289540208431391,0.27121163955248984,0.7857611824641152,0.41666183484922437,0.5835097785825125,0.7473337486098316,0.3923839846881647,0.6072981833400977,0.9683128957673313,0.1211434707602288,0.5567306852156555,0.5600505282569619,0.1742315864407772,0.5492749839259609,0.33382707929211364,0.006983198799841439,0.26403048098376425
7,0.4755800192937346,0.5739127004086015,0.5608668029269053,0.798205660397691,0.3339014552947922,0.1376211459028973,0.3913029484389232,0.47581004489248224,0.3966690593694264,0.7113595350254006,0.18091839760037054,0.0982691512963838,0.39684340607723,0.7071977349506975,0.8037022803450546,0.7024476043586055,0.4627485943941211,0.6010947986788234,0.3025322212983007,0.4109909682663757,0.15715341421348594,0.45205992903950964,0.2963914969245467,0.7621733380689062,0.553782288525924,0.1753095028482854,0.14311650986432445,0.24255747871193534,0.48161308782020473,0.6876936721462352,0.39560270012472787,0.6988786795169047,0.47058325100756937,0.17672743364847399,0.6220406679882626,0.6593718179571963,0.40482651146064963,0.46301735254682463,0.4151393782887687,0.06194485261173588,0.7563731636471631,0.7193300862174408,0.6540395216305581,0.3422974741692042,0.5215837450452756,0.07807049250134446,0.5059205348707683,0.5366143723016855,0.5364492092971577,0.5696443669687629,0.004334316019749096,0.44529833964715704,0.0560976767457535,0.6278233546916188,0.9377978080484992,0.6121628745172215,0.7159814041806523,0.5985019206098954,0.6972134106553574,0.2857994464050809,0.6755508477045294,0.5740850916470631,0.0693604717712919,0.7344896758767999,0.8058568617468355,0.11581445524325795,0.7861387845519789,0.6337272657262325,0.7455394629719108,0.3415741543392765,0.19102448493422997,0.33691171361978334,0.8220036425188436,0.09862136855002435,0.5211886798436602,0.48598507061204343,0.08825791092320712,0.8342223113316287,0.826058196890616,0.5095916813872832,0.5584455999409695,0.5113125575485564,0.06744012750811001,0.2525883534588823,0.9954400685238729,0.4574601057229306,0.5500372757848442,0.7996843036754288,0.6541178241086949,0.43157975309006646,0.8650557715196997,0.6568513184133021,0.33821245558874924,0.3261711622801684,0.9326692748670025,0.3090419354417917,0.7761802219091687,0.4470638165646257,0.6209533068436681,0.783585252916327
8,0.20714126011349143,0.32606958071308867,0.981198546111712,0.2148713286394366,0.5821366572787507,0.40194901796434523,0.04816171644289524,0.20565258597147107,0.16515368621242077,0.49881727104670426,0.4832821761271173,0.33532184979560964,0.2009795198966604,0.8673505682206272,0.017114964499828855,0.7604743303106768,0.28564780907365905,0.35459235375542353,0.1802034692569976,0.5296889001397894,0.5102802530158757,0.8137319793325165,0.16836104706360377,0.5065714961212843,0.5262597867593483,0.2880861392670674,0.2675844167781173,0.2506563470241828,0.5369148838469314,0.4396503585703444,0.345780753701073,0.5284871478591051,0.22597388100974902,0.8556521545108746,0.5303210179708817,0.07296768794021558,0.8855472289183368,0.6443736507828617,0.6312239633707509,0.9888675618288053,0.47217646631838417,0.6986696789719257,0.20104017787437378,0.9100770519683989,0.42269024109652387,0.9158222719355072,0.6383428305310956,0.17988683530200766,0.21972565398300647,0.5484429048003732,0.5403536890569421,0.8801890627429663,0.43601906688814607,0.8229932766842794,0.4258932933730788,0.16298432191437706,0.24637232479822502,0.2766750190381829,0.3485947061779412,0.5364788344405721,0.6286370746920099,0.44475309931106,0.24733120729043978,0.5121912044019161,0.485252071548673,0.29055829436393243,0.6900675817814765,0.9298361014659183,0.42934864233435566,0.43236925734930853,0.014961940233724658,0.15917884179549158,0.24298417340707057,0.4699154632718162,0.7120585246984525,0.6631072729431793,0.7157787168999621,0.30087637220741215,0.2766558430377266,0.41945987742338886,0.08549237876523064,0.41417528189587527,0.6352743241726004,0.6288695062267355,0.14752353869815238,0.712977162821658,0.3673820010657155,0.28707872534684786,0.35465429444817764,0.8009570438241507,0.09185307466664461,0.38864388407715944,0.8882861674641225,0.8990115570462596,0.17079899608485372,0.4027119380406392,0.4389960274790313,0.7451678116324506,0.16436056388307474,0.5537489695266828
9,0.19935521413935298,0.4020908291058156,0.413546329008853,0.975361940204581,0.30731152127330363,0.5832925677449446,0.25822776100601874,0.5043358958587013,0.6143784436186683,0.4493649208127787,0.30534333369974476,0.7966812618011205,0.4561738783110433,0.09943954466746274,0.8755425062283445,0.6781320832560583,0.731863388980384,0.0023436344773722917,0.20431345900203424,0.3539975038808839,0.7691017852914577,0.3403988955464058,0.3543668745632407,0.34732846177373977,0.5131777980225453,0.3775032252462498,0.4067136120878241,0.5275352428225824,0.06725654058637254,0.4468630982776952,0.388658349621422,0.740904251442603,0.3272101551713529,0.35521565962074164,0.017334413428671702,0.5588355524169327,0.42962536713122024,0.30248546735288073,0.43612351638076197,0.31561819137907965,0.7244302495903634,0.14352741882536058,0.7497234566385014,0.1833970801303484,0.34932510367518854,0.5320482402333753,0.6363097750522761,0.08535392262249453,0.8708952398714342,0.3524337418436343,0.3177333975881753,0.2622095105758184,0.29538247603516665,0.18345779303177778,0.11653840507049296,0.43939641061029966,0.7502026025283917,0.05959605368769838,0.5034631518977091,0.42986185336999716,0.4581844317830174,0.18932692808907992,0.5407187595941169,0.6081744207037546,0.31372557953766544,0.2414333816834986,0.5723677232722959,0.05932442927294468,0.30525488649837507,0.5311038430496076,0.08063862208672701,0.7597366108988102,0.5234934398697589,0.7025501016231057,0.5362071264470072,0.3654605106112625,0.5899694521251957,0.9096051420266449,0.15470072150180103,0.5130478122520179,0.14538075382348392,0.5571075881771255,0.34761619266666277,0.4264582383422564,0.47265301971381235,0.9723932108654509,0.5403302767995096,0.3521238869627792,0.5544444446712782,0.3620492806113256,0.5628924160110704,0.2966715490256898,0.3928726119360634,0.3542063438935431,0.041192570402673656,0.32397987343696977,0.4402545410280235,0.22757652580693144,0.8022835203725253,0.5097614382955933
10,0.17938782458018365,0.293734723248698,0.6907855849080288,0.5390177515244439,0.5831251436287459,0.1021266062154671,0.40810840067107945,0.5412777586981216,0.29470471595742764,0.627159550334373,0.638211887654501,0.08655731088342655,0.09781595843172908,0.42992168243930284,0.028610661511085267,0.3457813397338412,0.8322244240098378,0.8450922074861776,0.3880216185248986,0.33148526055185135,0.14409515236905035,0.40832630145184656,0.21115797471813913,0.6905384289195364,0.47912738760658924,0.3566566676199142,0.5591654626141253,0.7422717046159198,0.5023820136860125,0.19026639477743978,0.3388625798600563,0.1336584596796,0.5047628701917879,0.7338552593272301,0.5713782317512022,0.17324748257443634,0.9156939627884959,0.31894203230838547,0.2616237784540384,0.48378173824740767,0.4789943514057504,0.552743165703597,0.4676550677802689,0.22160451347660604,0.23838996319324168,0.3330895161404088,0.34305042420290366,0.7836302691540016,0.27738363051654547,0.2287441485211723,0.17775242761632726,0.10795383534386227,0.6533551943327958,0.6387121868287231,0.6127377806576985,0.4339659762067768,0.49354226341949603,0.05473137197847233,0.8593042606245558,0.4318672260516795,0.5304557976378692,0.5567543355095748,0.29128933933745704,0.22707597955536962,0.521764212927354,0.5957315169156189,0.24038026127843848,0.39596583588071,0.5373360191464109,0.29181119532716937,0.3982763677763884,0.48765413427228754,0.19123008536184294,0.21895909789624612,0.011587560073120784,0.3682220108811032,0.6342879502821349,0.04595417531272972,0.4758502754979511,0.7139496271673276,0.24927831629195873,0.7774604412505894,0.2829244240234836,0.20718427849834598,0.4697375913632187,0.6010477432234319,0.20571104799212336,0.425427736841539,0.5847877429556264,0.3023627651440147,0.18993560606689597,0.6632324001281814,0.40251223393648594,0.7640559342021787,0.6273858561509194,0.16482394957831348,0.05942090271998701,0.14178959242088784,0.4484399089244132,0.5025915498368103
11,0.5266546016105483,0.45785085970528916,0.5251812364039419,0.2815726202799491,0.2795317297933727,0.013461490827785028,0.19908712507653137,0.635786162053999,0.7514814985607111,0.35385420179224314,0.7102830054886597,0.48299058538634454,0.13426610164365171,0.15656148759354904,0.11921575157917008,0.554633497055106,0.6310229989864768,0.5020485994061218,0.405282596427178,0.5873752735951132,0.4209117663649249,0.6496306671431953,0.24067826952397553,0.8951479898421391,0.5761416075530171,0.2285932495262919,0.5575195475780214,1.6941353233601575e-06,0.19673328710294924,0.23372408117376997,0.26553558026271107,0.3594718819977917,0.3295214494444084,0.1261523426469,0.5469997961050435,0.22406617942939733,0.130062016156258,0.43980865974309136,0.5603517182337698,0.4737766488003914,0.5792626728996992,0.19108284679073884,0.5678240015623479,0.7030265344508295,0.6299226146925567,0.359119042277559,0.2617551429427931,0.2725171091267248,0.3873402489051416,0.618173895175306,0.08781854711706627,0.4582393852254393,0.7487534186267673,0.24658894193901681,0.12594665830102625,0.4579606162015093,0.23222424358765648,0.2810227116087427,0.18639654252259108,0.6193657142696842,0.052783673740655734,0.017093824896660448,0.7144125992585578,0.2983797976764513,0.5542695667228499,0.3417271743512089,0.2860471107246709,0.6138935883187597,0.3596284561400527,0.6375195816414357,0.8159408020952511,0.1982474849078445,0.2518898815479278,0.009075950894294027,0.31594121176115053,0.1669061204457556,0.4373134827294701,0.09659758171023469,0.15004992194656097,0.4049424285369597,0.5901743044498057,0.2985616719289539,0.6620506759924187,0.7236556180207896,0.3501084353510686,0.36218089175244006,0.30168098104644103,0.22869527969521508,0.019802538151942328,0.2885408667798046,0.019272796853673446,0.4900194459750927,0.25102101811223976,0.3942120269515661,0.4733421533594572,0.40858166881027436,0.6564184226286255,0.0381158281979459,0.11952982468998075,0.5180561084067846
