k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.10567379262025318,0.0573119516075003,0.07197122935695849,0.12137469006644393,0.12010251678866699,0.1250975463590167,0.009223061645192404,0.09493490148025352,0.12420606595291471,0.124264089022523,0.05766488790971913,0.010037764029386137,0.06453437924029488,0.11503924076145106,0.1150268279652396,0.11757039262225025,0.055699910200863206,0.12453677270705768,0.1216877936772277,0.0648167357523051,0.05279003121419473,0.12148143419931336,0.0919012123022474,0.1183008098211537,0.12220373271999307,0.12554284381437641,0.12484721304956801,0.09491719587150008,0.08442073123293412,0.09002981612735225,0.08319002199050982,0.12543133514397453,0.014222622598358756,0.07830425806096866,0.11681453866634885,0.12271394375440639,0.02455362657443097,0.1125081198483666,0.10635880619728058,0.037005336544846695,0.0948888657957871,0.01432179621985237,0.06883314766637964,0.11509525250777372,0.09470324665819979,0.12553471642748265,0.12060663130589473,0.12233021301186367,0.11544698059647336,0.12518740285280985,0.12170767491318088,0.1052501629411693,0.03171299949081452,0.12140942191320728,0.09914984434025167,0.06185767599829613,0.03741034645367544,0.0011672840909553311,0.08582750895527891,0.01749364097955007,0.12356033045373516,0.1226409079240355,0.12479754947606864,0.11069885972940588,0.03756272080289501,0.061046324253579254,0.0019723141073802186,0.12324635925558101,0.12389766355623857,0.1055511452905147,0.12494182357765508,0.07653666442425208,0.04102457817303995,0.011557808269803321,0.08127549850065949,0.05389130113868129,0.021990030569953245,0.07887261362404505,0.11847831055387477,0.0456978715983134,0.12028584136424844,0.10325291406317673,0.12378980497352236,0.12547087970647366,0.036914256481241525,0.009884817997921486,0.10532442145943388,0.12346895979620646,0.10717244737693354,0.013468304718374166,0.08167049679994728,0.1154410387098852,0.1255496725631336,0.04980169215041377,0.11029215583903816,0.11792599808331228,0.12459954616178379,0.10483370974114228,0.057781015387932455,0.02930646980650413
3,0.014487797323270823,0.12262381646421196,0.12245564201228179,0.10145334375899744,0.1250504204406787,0.0379873976200015,0.10724542166357945,0.10950830197549404,0.0013027063723630994,0.03854968860634658,0.10653961817755542,0.0693255527309114,0.033669134661200445,0.09467269048780104,0.1002518451007101,0.07019860679017773,0.06198640723184583,0.08492036937566891,0.11402161471830805,0.09327347277350276,0.10582652643139656,0.08629621917023847,0.09071286177761367,0.08205135530624494,0.05676655638773995,0.07825797447340646,0.006188558079309903,0.11627039013507744,0.08023318305304224,0.12382797960208031,0.12435591246597423,0.11822312863758835,0.015321917550870673,0.11562479274911808,0.07317517411505933,0.0017276553959700708,0.0038780824467079117,0.11304974660048682,0.04188858133274273,0.11970599400671576,0.04795788628879838,0.11094567302192834,0.12197620528636263,0.006828326014545624,0.12496430380267805,0.039764619487171,0.03228744761168739,0.12337295338885969,0.0009966492733198412,0.050034251357290005,0.10093730690150832,0.05870622502300982,0.12277102978127986,0.003377544339492805,0.03978876219706387,0.10052714645835709,0.11514604720959934,0.0990723920896312,0.05529446098061179,0.08816774202621053,0.12347990203395731,0.09865370727941493,0.09885887733163337,0.1226504609077632,0.06779521820367987,0.004744680074812518,0.05694374831429938,0.06643726147220422,0.08969449287847853,0.10218441948437561,0.11803066454033884,0.12436888715118945,0.12267261705929303,0.12345382934010593,0.1131692668693462,0.03276515727332567,0.053555277494735376,0.1248905048278044,0.023215454081170123,0.11645435544570124,0.049032652337134525,0.10441651505328949,0.08517694957666719,0.11121308051552721,0.11201475015637206,0.10951846102427566,0.0397582777983163,0.06427834134206897,0.12431687341301804,0.004150940215981808,0.1251023084819903,0.02084597386657884,0.10888335719055156,0.07529302708149757,0.12208771507852499,0.12469448500784522,0.1058389899683389,0.12221150723489246,0.08991766603024853,0.08271689458906153
4,0.07260822585501797,0.09854584530850508,0.019615308751150556,0.06729757857449711,0.07517816023785778,0.054474178515285035,0.06851798111708457,0.08541972992899367,0.12021593017455322,0.025390400326907148,0.07421120841557806,0.04060971690611294,0.12071836593567958,0.006137027061574235,0.05646083867406468,0.07639752442415479,0.12099462471262504,0.12095737628254921,0.1055534852605241,0.12229766866963697,0.0054625022739803325,0.08435103830638774,0.04365865155010065,0.10600360657586658,0.10374225819119129,0.07284745191889316,0.013119889967104087,0.010911110768275722,0.06506725001289108,0.11000567415124451,0.05031997436025418,0.12371217812171122,0.11204761524228687,0.044179472754170224,0.0774582319293773,0.09790332991633618,0.123411809198915,0.07033026266106174,0.053981971234217704,0.03156966670009928,0.039007271349577405,0.12462025440754129,0.0017757296064333794,0.04232999698379483,0.10486888181675383,0.11251789634924882,0.03297356037056404,0.05870809738939023,0.10835605225264568,0.10925855849331718,0.10668884470140891,0.07284272893211505,0.016821207259450632,0.09083677424492854,0.05082676149672399,0.11010897550124764,0.11560490293236222,0.023531939696648435,0.0868428917033677,0.12373608886475432,0.12332542190598497,0.04531026053529963,0.10860198880800852,0.10152499142075795,0.03613874106751325,0.02804183089632256,0.12025991910165526,0.10572675473755298,0.09888149613455322,0.11672081059526421,0.03277828983773373,0.12039250999954798,0.016091239372292357,0.026913231525435538,0.11240922414039789,0.121806698614794,0.0327686421415887,0.05492283605259793,0.10292974007502942,0.12332957134902009,0.008798754117104637,0.012462135164259563,0.11673361711310443,0.07537861156651224,0.04704707595909459,0.10375801892919902,0.07610014011747288,0.062107046102003446,0.11350573501508932,0.12472683195197606,0.0209586083552952,0.007713088141482208,0.006182109406890984,0.05676793798873184,0.004185319618263794,0.08377770043338122,0.09624598170997516,0.03582599429433678,0.09751706466939666,0.10117998787460927
5,0.055696646406207556,0.07848674071714429,0.04117170159291747,0.07352635897783599,0.02393667805533002,0.11999240598238248,0.10382137562050775,0.015598442026137693,0.11916207884113311,0.05315910876442881,0.03404066262644605,0.010125303920908116,0.029936667430557784,0.0077735820551886325,0.06646522580161118,0.015869094512734314,0.09186610082889096,0.07552299755901179,0.04386881473378837,0.08989591210258129,0.03078654065680117,0.027505539687718655,0.027179082412013028,0.10137990637143343,0.1136406259652331,0.10131999863988483,0.027158990926038268,0.03507357353037441,0.11420541893758458,0.026450916461032065,0.02340432628442267,0.12382006841552642,0.05309361396241871,0.03787393598643182,0.0846221093935714,0.03427913232264315,0.030143065251395096,0.045567270172871016,0.06943558723564587,0.04523682956289586,0.046924804087148525,0.09633204252572944,0.09838351178631652,0.062304090987464686,0.06891838200563283,0.05583956827444586,0.10792134713311877,0.10895681440391339,0.10404590420487464,0.07848188715636926,0.012202313077533333,0.06947570536940997,0.040749281771785884,0.06645963105834446,0.0504665451574382,0.011225353477084893,0.018421090007987084,0.1171046265231385,0.077821413940796,0.07455004554900355,0.08890435535856081,0.082323199830904,0.021954932466900084,0.09727358658674694,0.008117058718035655,0.013387740024077027,0.032870549139073696,0.06320913601604719,0.07291288139667451,0.03757458526475779,0.024872667640897086,0.10332143235978253,0.00622747134728209,0.02625882096060783,0.01827623190798419,0.08244717617894111,0.0016317202675149994,0.12306446261445601,0.12054286106733525,0.0505477675097845,0.018049156574583253,0.08666981845206312,0.057355520696849016,0.11033265782485056,0.014993841576153327,0.019609834304643803,0.010556441621859897,0.022000981075342013,0.07497847461685213,0.038683277353595474,0.010901837957420057,0.008913928860015158,0.12379190491495833,0.05023374707787928,0.11096237462373286,0.11874052645946083,0.08131222442440839,0.0037080155094327966,0.05031330127369915,0.0034977051823559535
6,0.08476271619415768,0.0625685035262794,0.025697129733618124,0.013937021445990433,0.07075167457776568,0.06112578072321326,0.027179077548377714,0.04509382808627735,0.0435778289758625,0.025473004346832112,0.06666983184977415,0.026513369501646622,0.024264001566394466,0.10867904686745355,0.02198965996478859,0.07244878915246761,0.11705607867900984,0.026192661942913198,0.05284726278693733,0.005883190267096022,0.006853446691303514,0.09543307226289474,0.06733480825002439,0.08775968617132861,0.08234251965845427,0.009369620763505698,0.06562317152989307,0.012817337514806654,0.03963435614287472,0.05883282835243825,0.06310640635874257,0.01598237146334114,0.028620834160732495,0.034232882396827785,0.009751284082181608,0.10728352522251386,0.02685674681214381,0.034830286848051645,0.11126242337704069,0.024395382040605235,0.008346337745686813,0.00949230463969232,0.0062178015345637355,0.05219368114004655,0.06240812419283859,0.0035209209854962925,0.037173500561302,0.035626355866719805,0.007166957480218422,0.1139954077343589,0.007645782103649357,0.11810068778009114,0.06108242478168896,0.12041884425711527,0.06201229476973848,0.02190272246247668,0.01907248663915316,0.12080405097140233,0.09950984731725887,0.039943517052669075,0.00827474825222127,0.0546833370534785,0.07304782110557889,0.018643115197643403,0.04220602759527836,0.04433108533209473,0.0943990277138969,0.010772032839876128,0.043287517970494266,0.030383752921317952,0.09103782038697592,0.015408362505480819,0.07354449574946788,0.062283859263951,0.07016854330574082,0.0681712602609732,0.03191848668211207,0.027116902612261518,0.06328284004309132,0.0010486529816214757,0.022215108381942406,0.070125596191732,0.0020131550364517747,0.004061794985993572,0.009329422328502951,0.07644698884748916,0.03438584370817499,0.04356473720231353,0.07266827906755038,0.013014971601702618,0.08420684142662864,0.07174506812141067,0.006724755666362867,0.03196453980651451,0.00537231871417404,0.09541474364855182,0.10174941834729767,0.07912462208310751,0.08297609172933947,0.06114842016354052
7,0.0285686119714976,0.051236660432011166,0.00024174454909861587,0.07462166526152846,0.022892766382108493,0.06355324845907442,0.08310581779441739,0.05182452695051892,0.039067665038986135,0.09544113074522372,0.09638160996590811,0.05921841661902305,0.09636202419129261,0.09330003243582327,0.05093487054208831,0.052466485988741915,0.11017148574928085,0.016029114222765345,0.02575674336354132,0.03490369930440021,0.03949628978204195,0.052969590354002366,0.057631365101828924,0.12108980284855918,0.03959998787797489,0.07918229593351922,0.09052615278598813,0.053903049649314805,0.018589671778942912,0.03473201899063208,0.011575218034790058,0.04335047974473469,0.0360735482252741,0.05820582612385777,0.015280695870626387,0.00445524637598807,0.01926002520328826,0.017550793648483595,0.02445111681996555,0.10609752847406825,0.12374601472388642,0.07705846604240263,0.05530322804756055,0.08004240465115874,0.0323326056361985,0.08090075719978695,0.11937571670966036,0.04276431523170307,0.0028957835036967777,0.08357921696410656,0.09388169616917909,0.032094933179835194,0.029585114072028906,0.011981418618838086,0.07212488835403591,0.013373051159332044,0.04148374639466437,0.10245505562960623,0.050332767633975276,0.010906186958529268,0.06377909915497189,0.07890030090989028,0.03888694304229762,0.0007470002443384499,0.0013143645029426165,0.11125750427631045,0.033142895548984336,0.020439271989159874,0.021254989121546386,0.05076522306421605,0.08135126861841228,0.019112915640994238,0.04924004154011702,0.015573138211030818,0.09603799867824853,0.05845956448566668,0.022407108121300257,0.03049252389701651,0.0022487711073149452,0.030635425726129054,0.06921619377448253,0.05827406502994634,0.09228591110521421,0.016155598743132812,0.09446453918707569,0.02984246345902561,0.017476401667691654,0.08893739213981558,0.025625460882691686,0.06107881697551279,0.05207130940547125,0.05453409290931377,0.014342462652852439,0.02768134620349884,0.030658878755259494,0.08027678098169272,0.06927243432083255,0.08943607206701248,0.1144995444898743,0.08708560167109633
8,0.04160418746283516,0.034386927158322256,0.06435443848246325,0.008794394924638377,0.017037665131339502,0.032584963487457846,0.0832767392392161,0.06127597778799533,0.0017835319132368105,0.023058963505339924,0.0016268060785020189,0.011755580525409787,0.07086265832323942,0.0032304928949895284,0.03508645649338943,0.02072934256145617,0.013279934977891789,0.019036381701078714,0.014722705990736856,0.03734916936329055,0.019544106576360798,0.0017592417445106284,0.05318033434349867,0.06775391839725405,0.041380160704953386,0.09386945394128635,0.07591008452485434,0.03362370965340725,0.038784393918640594,0.011069613492744906,0.06823792404144888,0.04260834660274218,0.002406821388678426,0.0032190717226967674,0.06336157931641091,0.008409047216549476,0.06469365536482558,0.0014970660737567698,0.013189688265411864,0.005359841126043652,0.04788678991864652,0.006724987242234859,0.07269412446965101,0.042539376021172,0.041486494750734945,0.03419722734375033,0.03008334069081879,0.0019552518873013625,0.0006810367156674102,0.006409675909570325,0.08319365834757417,0.04760573770045039,0.08790795092708119,0.08599074048569921,0.0828770618281958,0.07117791082844388,0.01654433451224821,0.09203790429596606,0.07803142821646561,9.608449067280422e-05,0.036097751611782414,0.03196622570539345,0.0041234368316141745,0.05997061948041198,0.04830918211148852,0.021314292108349314,0.002392923674704006,0.059549917225508536,0.040055617877555474,0.014034867902315978,0.026417130386066995,0.0011755928752278655,0.05998995579381726,0.027108079385026074,0.07616027329938971,0.027248215498424544,0.020357427253731478,0.01936510638144559,0.0007410224794476422,0.09375357767933276,0.004025840486773319,0.041156490162919585,0.036224618223354904,0.10121692407689872,0.0064073362130682154,0.0009776292050975022,0.024656179000525413,0.03526527087122773,0.05944712160682669,0.02340740430355348,0.08508112325706815,0.05558060314728211,0.008902544274597302,0.04468606125240801,0.04847532416875247,0.07833523619653451,0.04569259803667261,0.06836696885596268,0.03819550911263914,0.09138170747253682
9,0.004463121428470385,0.017315721991630395,0.029730982381221793,0.0033255255610089574,0.024195602225912743,0.025250470671425135,0.06109256593252517,0.052002445698993136,0.005547806203717198,0.03712390894583015,0.046715496755774216,0.10354802081760647,0.001072502291646571,0.06438391085261588,0.02606087408488307,0.016678614397976188,0.008176860341597522,0.06721360188966335,0.06113293493894982,0.021337547690586683,0.09302361922205513,0.030459847418100483,0.06253466419753587,0.0039838693150201915,0.03399399917831246,0.05456315979470308,0.016910551936661994,0.02774225026046881,0.055804812024857264,0.04462292394793736,0.025928930710173548,0.0018572838416084925,0.004457771212305811,0.01066361555183501,0.025402394929037397,0.07946117926299526,0.007324842072660653,0.014809429080018144,0.008700742187763344,0.053591102082430564,0.059490997601171755,0.056954246304058875,0.009686627767254846,0.08336230402426185,0.047729291051900685,0.012924526866992081,0.039117384476524866,0.051862117996567036,0.04322552978742064,0.03814638845347751,0.009738242679949535,0.11118722883708532,0.033805884760418126,0.039363406296793996,0.03236734929070398,0.0013217841171303535,0.04715338107815968,0.01322440805124149,0.05968766863455913,1.2949916639498626e-05,0.07453326958423714,0.027299129343370282,0.049920622249132435,0.05255501074422925,0.025472146409992596,0.026126636785106266,0.0937413254818488,0.09272185336494751,0.028807957795605604,0.0936084156884276,0.0020189003760344715,0.023797523158280015,0.045009819167502976,0.045683379739900026,0.016857711724092478,0.0424856564857059,0.05388710770300248,0.007777035728861459,0.03626103581752527,0.05480337070547213,0.011903866950908698,0.009519319019292136,0.02906082386963088,0.01518003978262994,0.08262140059337171,0.01634889081415075,0.060802627588230795,0.050203832025840334,0.11474775933052687,0.10617850857192394,0.001099657666300019,0.0012137598198643518,0.06621736620779796,0.040133458846920086,0.0028226986217299854,0.08274406928130691,0.050687812636730306,0.046509662856799,0.018632125559790796,0.020055123782948978
10,0.017434973974241957,0.03045887234665748,0.010297381678017456,0.027333042275076963,0.07075857890337706,0.024292597694444473,0.003980323225129062,0.059119400848578724,0.020127407176481538,0.05288256042577966,0.04208811874771136,0.009769270185829723,0.03543103193712266,0.031243578185438797,0.001347712954284569,0.004796944843729112,0.039131942210337875,0.00377091688031439,0.013338080248243206,0.06123797080504473,0.030624294395426715,0.0017740729086007379,0.004972791529823356,0.034879557712998235,0.00433473406660706,0.02414224373359243,0.03202112344298266,0.03335466254148367,0.0162595508397492,0.09307583530265912,0.011292632479688786,0.00012438357462954408,0.011576894406016336,0.01796013092394716,0.053701397285170635,0.02573305713568863,0.08277662260236138,0.005473262154566325,0.07196743713184113,0.028752928905877495,0.004852898919162893,0.07035183325342792,0.0417038617464289,0.042002055794079146,0.07907309071588256,0.008031010346820106,0.024340687700356106,0.021232940624725707,0.026450034568559877,0.026513623124422986,0.029588837896494885,0.034263635495165826,0.017770983164391768,0.019647736558467493,0.025121896336477517,0.047047094713811216,0.012483133427737575,0.03752248666265631,0.11377515411434232,0.04967576360154799,0.016787189972242406,0.03837161349117352,0.028547060981893496,0.042136768151817716,0.013520757183542939,0.0004802347424121278,0.1211302003989364,0.04889392951326775,0.009486118899696416,0.020401213520663763,0.0777686619290553,0.026996452862010967,0.011922458774872219,0.0886773804864675,0.00945620707391201,0.03791543953905699,0.09188865717068734,0.048654495205728676,0.021266289337962152,0.012373039982632658,0.008034833215866372,0.004974923441143586,0.0640505322521272,0.02385794391799506,0.05977765848032163,0.02337746072530872,0.03160200143141781,0.03989416537401075,0.01980841519238509,0.0414759162626661,0.026347592839797707,0.001486931082064158,0.061977104136344,0.016422599428063983,0.0003916205145848284,0.03764927586525432,0.03490649097569028,0.03659324387143939,0.07497507601666319,0.005368882562311994
11,0.025997969663508258,0.03680276022290613,0.0774003377511501,0.021610491501391216,0.006473503416491944,0.012029505402026533,0.008022500725139575,0.0030378563057443797,0.012375626434736262,0.00013192756288066265,0.010369697447637577,0.011448664601045933,0.0010322049061542993,0.0041390194603193875,0.007938864037785737,0.0715103789754304,0.0005345599524279598,0.0064963315995545945,0.06703560052619277,0.023805649188312378,0.0842559036425017,0.036866119143450796,0.003431551427597407,0.008438359690526753,0.00882200398938189,0.024655941254956154,0.038186791844037976,0.07058887049177494,0.02089405543600456,0.006719741020130093,0.029053203187655002,0.015764846853119158,0.07670222921348603,0.015915524032172723,0.0856051273433523,0.03270552147291943,0.02418201062180872,0.014171857674517452,0.0393523220027992,0.009031361341189731,0.055394764275914776,0.026902145823371082,0.11064513203714202,0.06437643543628432,0.012673318291438335,0.08815946078661346,0.0013412879629495778,0.022839266881756304,0.018422080432416388,0.06702100867912296,0.010630899430187413,0.02115245602035412,0.007740345199227339,0.017430336083865267,0.037496944956579265,0.03618813966151038,0.027572170655309244,0.0349730892380907,0.03312844729421613,0.06204431329331704,0.009197875621685142,0.036845977371049304,0.013396520746568968,0.027169391243494045,0.009928670278964463,0.02981026794610736,0.023375748706039298,0.04879431496555474,0.0004115399290351429,0.0323187872062812,0.01136024283433501,0.009777220961904864,0.05245296940409695,0.05450606467845967,0.0006590935481662619,0.019423937104462566,0.015999174140828742,0.059657133414952115,0.019327693758704925,0.04207607487253415,0.09132532507225571,0.053306090121527955,0.07340729183128364,0.010157049563875337,0.04667159157138556,0.004121944538762898,0.002961079422384272,0.0003945861786982252,0.016714355830009076,0.011173623828533902,0.013540980521156903,0.03043966460133571,0.06710514071584281,0.04748234918042174,0.003959494343211814,0.021345385257977856,0.026005072947940217,0.09642429572764166,0.06245706392301331,0.03866756469878353
