k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.06909713519761593,0.10216381605862349,0.1255394855922066,0.12549771510087998,0.03960482921428468,0.04932638076488924,0.12490543059038206,0.12402481601036172,0.12354923639021899,0.11920939773897293,0.1249751838654294,0.08706148561173019,0.02722993098235453,0.1221961042140575,0.1217177013462373,0.12217563604693955,0.05401003277400626,0.12499596854951717,0.07649453436422371,0.013994519866951369,0.008086120326693202,0.06535997070505596,0.11408009981448103,0.008314515519162569,0.1252332977147804,0.019021417334258037,0.11492345884100924,0.01918591090070404,0.11326967379083686,0.003169770787003312,0.04306390535497659,0.12345565500476015,0.07992332467187087,0.1235642216663077,0.018832704560498792,0.03622241352817551,0.11122692286820934,0.11999890758760237,0.10578373367460803,0.12187230116759193,0.12399435229209044,0.08944617296246793,0.12439529318138673,0.028501974345442965,0.11823212781844798,0.0748175793728783,0.043594021035479144,0.008612708856627793,0.016506534462430472,0.05978884802210861,0.1248661295879981,0.013193548403956395,0.08401640936060861,0.08154589039940141,0.08734570009751655,0.0929566113783322,0.011672770793661719,0.10581392601268289,0.12539720086074355,0.0653499172607479,0.10245838588254286,0.09925454102363743,0.09248401939269613,0.10833606223199793,0.12056439824640194,0.12547134467189006,0.12175400037659594,0.01899455221482596,0.12355334160009002,0.12348765595792772,0.11163941012673255,0.11339379009226798,0.04975205329065599,0.11903864809560555,0.09433007827818121,0.12484054257420771,0.019198574655141493,0.0996972242289128,0.12379781433665299,0.014377414927844681,0.12243250340026982,0.12167005846969432,0.12399983980101001,0.023747591456070083,0.12551096770553305,0.11424887943384492,0.05775281778257191,0.07336795664578011,0.1250373778231062,0.0991116464634153,0.12512867287076634,0.12476206957022082,0.09086987741256763,0.12367124615859172,0.12240012267874334,0.11929286174603301,0.01910055572065661,0.006943371073731525,0.029826921685337127,0.08650688423406609
3,0.027382250847068246,0.025402094135897516,0.02626795978420718,0.11269749397843362,0.00850788724181449,0.02591564851000963,0.11532161115259389,0.03255998848739382,0.09332917778474731,0.11297762513031899,0.02017022011229641,0.11946206312910179,0.09050920873256885,0.1055583943959218,0.015483494394155639,0.11101701489190936,0.12180344866188193,0.11788406332224975,0.06422779456287689,0.0713920822692081,0.10302992917771205,0.0568687835334811,0.04486892070961268,0.04250086576999837,0.12357843991203052,0.03179612338696103,0.08300490139090488,0.0024556078458993214,0.0917402008005142,0.009568047188288908,0.04814346195535753,0.11848745648523132,0.0687467061224587,0.028854951091873443,0.10135579452158729,0.12374636258765166,0.12307850868811641,0.10616163112675228,0.04311427732747375,0.12270079465223788,0.03742705942649574,0.07749918672674419,0.10789439799881344,0.07711568233944158,0.012732563721328291,0.09403106527351304,0.10065634792649561,0.09004479296471454,0.12335790924738373,0.12429894858096323,0.12418502934451574,0.06499637018309869,0.031876339149753866,0.05953898656370846,0.11842147256966723,0.1108288965475164,0.06915878966037803,0.06554949305208435,0.010794101244662332,0.03851575278643572,0.05416501407328497,0.01653957844013755,0.12407575378543498,0.035369091777072786,0.061695216456129603,0.08180584491867265,0.015971837307273404,0.02392170658422768,0.12098826811726938,0.015849745811488902,0.044304527469711946,0.12213063659399871,0.1141353553228638,0.0067549737032353285,0.07340509571111166,0.08479176254947542,0.04572868944626142,0.11980885976651803,0.10097863198004375,0.10263648389264546,0.07564078477938052,0.06445183112392573,0.06152150464036468,0.10102497649393882,0.0782447394729445,0.07248868712935305,0.020771782460785954,0.04583770555836336,0.12118145316441613,0.11234994469444551,0.05340509520386358,0.006224292071287746,0.019518330476675408,0.11846528858421455,0.04792704926631762,0.047275905960235204,0.07740286838302193,0.0808822043791639,0.022702238402622657,0.12539227317099821
4,0.08070236332072303,0.11576421824264622,0.03220258068692067,0.002679624659536084,0.11927311912027214,0.010412264326730578,0.05263078276450625,0.08685770406522306,0.10425292358019062,0.0230292671271701,0.07515473060870034,0.010233488459754969,0.002146056747727998,0.0690521261083149,0.10144302942987239,0.08077461429759976,0.11871839572174778,0.09157668730113146,0.12178128806805533,0.08002872046947282,0.10298140549833971,0.11184375415054021,0.01976509743121524,0.11575655503385854,0.004392437540005317,0.036302144342854614,0.020525579250754683,0.10000809142849354,0.12288379499357426,0.02440806275176005,0.0168918446790831,0.009096307859704195,0.05713366686416338,0.05085854256945947,0.10625157114198036,0.09845564546000353,0.0707362110214968,0.030192514527216663,0.08079850413676593,0.08708378297706083,0.016428332989980615,0.005873106344890855,0.0999600904290118,0.11910093600565175,0.011659417977545827,0.012006831807087448,0.07681849559792692,0.09415162556403397,0.04361128284618626,0.0674381552528463,0.11757689403051141,0.04399901296919512,0.00038543305092322844,0.05455523585841615,0.040255202429809456,0.02880028172826825,0.046665974676255356,0.08826720083349548,0.12132444323858367,0.12519164765120702,0.0019229004823630713,0.0753670331702492,0.02392468606064309,0.02873572307018163,0.022928719882114035,0.005801366162045352,0.1093103872100199,0.08538080380193624,0.07708150934587396,0.09295471692581925,0.06910398952817802,0.03424944605909458,0.01972011731229105,0.0029485027273631614,0.046652453536572325,0.07260513271114602,0.11927738148014486,0.1197388225267321,0.1162187839438589,0.005327315626233051,0.037199541111844425,0.002359572638758675,0.0913368412002544,0.11049068472018525,0.0653020030479062,0.04814669708400368,0.03216746254844913,0.08239710691965019,0.055848047195419276,0.11559677982974224,0.06497378086865234,0.08560111219364386,0.023734918259004104,0.048189750857731334,0.0799879413307126,0.011144378989437875,0.062468947607499214,0.034862876482629174,0.10795348623349273,0.1062565653301994
5,0.06380347499344313,0.0403288508548538,0.08527801254773076,0.09679802702640648,0.02683962283513716,0.059759011540775564,0.018953360032232858,0.10481686443788377,0.04466509003347824,0.021755021804209587,0.0573895125083681,0.026785898634740027,0.0406517603170202,0.06167275898239209,0.0732351765700133,0.04605468621728073,0.005256611246480844,0.007028360044863874,0.09967215236153268,0.0030813356764898547,0.09598597272549367,0.05686239410703066,0.024070282346903338,0.10857077158863722,0.10975814968253297,0.02081570604532343,0.0444261779853852,0.05105866263693781,0.08701651904336488,0.08454994826690387,0.09967613868981105,0.09719237828915381,0.043116556466271896,0.007836373288537979,0.008658399913077458,0.0775297395469115,0.036569282133524006,0.04332238914244163,0.0182922366155292,0.0016786491673113635,0.11653998363734858,0.1215546908225055,0.1051463468477805,0.011065238951319695,0.11181740651371834,0.06215507111225438,0.06498878374372918,0.06937299383057238,0.00793993061950729,0.0511078713548363,0.02419312248297323,0.025559679584001876,0.020414535523027286,0.1118906966462916,0.09983331858656286,0.09464740124982163,0.0663925210932021,0.011593105626774569,0.005049788727607862,0.051911949980774974,0.10633878219688736,0.0302021030492427,0.0017904980688258076,0.07641325971148344,0.10073507577845263,0.0493437056769854,0.07742157357217141,0.05967842663893379,0.011943674695320691,0.005160654940127657,0.06661710398294293,0.11494027413212315,0.01033617246158744,0.010381255786713589,0.016368486202309795,0.06995824930677416,0.07036751419171824,0.03343641118766877,0.06461196519145865,0.08291960722850605,0.06278925796976718,0.05570862456163979,0.10253142574697353,0.10497504435030831,0.10755965891064412,0.006533760502350772,0.10652188202846632,0.10489827339273278,0.07439088541591288,0.064020710627916,0.03476948125582412,0.061386855358766285,0.12162591290150852,0.04355840049032575,0.1152882421640839,0.07611969363243697,0.010718667434777895,0.10208370923280573,0.0737491866836221,0.10240487897074262
6,0.005559509559995318,0.025840407954676334,0.039987471304926525,0.022784758778550657,0.06509761348567639,0.051736893877120396,0.0353484986127493,0.02081259787068765,0.04456466356398241,0.03065851635856237,0.09069269132259156,0.08619172787803617,0.03786152914665161,0.07848784703452116,0.08170985060339275,0.09026785378558189,0.09433424998600579,0.09584735672544158,0.10210142923338855,0.07585205412282202,0.031073027054739827,0.0030162492793822937,0.025116647162495592,0.01060904868605446,0.030460131926589334,0.06769322408926383,0.006501115751575359,0.015080015665260349,0.029774457164165935,0.016378012099686062,0.10654970292528343,0.057843169590879734,0.008056176829906364,0.051376759808611255,0.07071797335555781,0.072002922141093,0.041160736715817145,0.08182952714271015,0.0033348828063337888,0.04626046979362222,0.11835622462233043,0.006136572697713671,0.0716367897245483,0.09430691238478803,0.12089575345639961,0.029186362619501444,0.025155655085237136,0.08123554991324183,0.10000498674201327,0.10475455075257979,0.020421175774216385,0.03047676963998007,0.02197459970856422,0.07856174358686899,0.04691109002805252,0.02064822927342999,0.00041800436701541765,0.08628062245176288,0.0032142170673056664,0.06036553891701704,0.04972461279755344,0.01841127660556191,0.007735158371481421,0.017043757919464914,0.025067502485289828,0.008787306151452012,0.00396650354662309,0.004530104936249807,0.07704873966745004,0.04308836535012635,0.02966879097870488,0.11030827454871464,0.07604193043850302,0.10732057261697972,0.03661865796171711,0.10775811698934792,0.03919982023164116,0.021825255509069108,0.03970730345634055,0.031604924701375575,0.035456713245034716,0.02567238175376202,0.02599715972592323,0.057381070970483006,0.04168899494723516,0.00921593049996798,0.029963250998256474,0.047815507562241746,0.0412640842246251,0.028341944336348956,0.07457059347445749,0.0014691994602950842,0.02736647632493136,0.03536048883151849,0.002347747395433558,0.05805311372463587,0.0483866891311609,0.01435125590679967,0.0786838484382622,0.07599382954540687
7,0.02084200636499528,0.10455619030463661,0.018794872246381295,0.06273665171969121,0.030173302374041422,0.02159353884836457,0.04522534402648473,0.004643246228512449,0.04753683485505694,0.014093625623930545,0.08121983805299171,0.039267583776709414,0.0722129361755044,0.10969302926763277,0.07393346588592795,0.11072065095964956,0.045222140814727696,0.04110463352478874,0.038804007829877446,0.04443459295427449,0.006389383263134707,0.007409477922294128,0.0949593979094083,0.006012406859234848,0.07775015260342587,0.061638834111765656,0.08065315317338165,0.004788746051933218,0.06252974401382663,0.06452266887637209,0.000425532293484715,0.020056077924597987,0.05274660424512098,0.06282281175420357,0.015254797325009728,0.017671750214274667,0.10386371207397307,0.01091242743132638,0.01858639268449562,0.07436370150295107,0.09932736754089859,0.041681626562719926,0.04729164461404682,0.03328916056317435,0.10724865396973625,0.07331090285008454,0.03149195285017922,0.062423607601347283,0.011565065304170175,0.06852511188134228,0.06530682359948423,0.0691464074513209,0.03766904879027193,0.07380285890919833,0.08237162887570956,0.04049843230020286,0.06116331095005763,0.0020348526635614317,0.02740645108574427,0.013417296116124078,0.10889149932409033,0.02026354763100524,0.02230863558597529,0.09515546922243276,0.07552112740279557,0.002549010913699995,0.11281789961503233,0.11110628378206955,0.020540948809914222,0.002827687078115537,0.013946166122111747,0.019549403609395777,0.024137279760264668,0.0507481434575342,0.06360126461807304,0.026593871735998975,0.044371061586425564,0.05559226668011216,0.030861910523196118,0.013168996373573966,0.07630750058383357,0.013572891863298714,0.03141162882745632,0.03928601737578938,0.026689349665595608,0.0007793872269215296,0.0018733981451552056,0.04483053108053148,0.08896566222104194,0.0020998870434449646,0.021224933495590806,0.013028715258640106,0.05718007464506031,0.06551295747845376,0.10854169182257947,0.01719887912020039,0.10662033443760552,0.08314077648526297,0.013722588866476107,0.017399289394613895
8,0.11651357766669047,0.06577231408136767,0.054914418724617164,0.03265073532324489,0.0018554565630333614,0.007873279689373791,0.0033893564929010217,0.0013727006925271096,0.05832032071197628,0.011676734666971722,0.06492638624292164,0.11660892282901611,0.0527258272237313,0.00010759635951498869,0.0152348061473713,0.06659090204010232,0.05106580781647209,0.07609437466446567,0.003309834380304272,0.06840107760820544,0.02154318734662264,0.007405577541727076,0.027338887486962754,0.026324460818128614,0.0012931061835329827,0.07164720853698972,0.060335152495728656,0.06875947447739889,0.04636569795723408,0.06454082759150308,0.022639160487412213,0.09366741227340801,0.025656742732613508,0.03353679977823029,0.034058912339568176,0.045043847763679534,0.046904223864882216,0.0672075331000772,0.014678038973428537,0.04518835104921913,0.04580656081286823,0.029055045524072357,0.005221958887874745,0.023587825885343694,0.047777125563506995,0.10832743775011712,0.04509081170854948,0.02054047194276365,0.01845036730751265,0.03398402761394603,0.03061313868860721,0.04691787602508299,0.03285809729326904,0.006059901967307935,0.06777788390809139,0.017000916946170674,0.03443682793983546,0.019453999942926653,0.005070530852876759,0.0010683552457556728,0.007438988637630151,0.029042402439771464,0.036008208385835294,0.08961939759943002,0.06229183177496975,0.03653821524732055,0.019425066383049194,0.008777582711859161,0.0356867099541584,0.038571505179945315,0.10268719977959892,0.04542303518659789,0.07231193536850636,0.021637764257006614,0.008451987896614693,0.03750671612081877,0.01430222612152593,0.07807920897388543,0.03771154327418705,0.0029827411034268336,0.05245453813277676,0.02814709320461603,0.0393647027077029,0.03921317659949433,0.0772061011201145,0.011490649212363077,0.015985325601945904,0.021685436485585602,0.0049754694816384615,0.08441952822535251,0.02268584884362085,0.03023041164377116,0.0869026813356836,0.013174714033582002,0.014413647432540644,0.03081850042633985,0.023583970814263056,0.0195199262546928,0.021909671932291763,0.005745188490631839
9,0.00018064054708141764,0.022236203999142085,0.04279065892344053,0.01685112421807658,0.01571329572105501,0.03037226415644509,0.03944152669357076,0.004807661078653339,0.03420632296345988,0.030330763270920796,0.021008926363904806,0.06503725897601395,0.10654026274120798,0.051332029467274026,0.03792115552189482,0.01694882840107731,0.003882325104775944,0.07491466003598946,0.027180909564524708,0.059242124757439646,0.10646892123616503,0.06098655513222008,0.11107755475860066,0.04801286530642618,0.007883164364127337,0.047698628853300465,0.08195900901630351,0.02989062264407133,0.06473106090597003,0.0843365768127493,0.009399216441677696,0.00884247643482533,0.00215870350418787,0.009690531629948734,0.0045327694575651445,0.01177029982052126,0.008917968653481156,0.017667009634952102,0.009307714224777414,0.06174402490578863,0.015546759289517514,0.0577349924056757,0.028614541483312383,0.00011504889651967054,0.04373921783388668,0.0347815871690042,0.004731643759113557,0.008231840189792144,0.03986830710610939,0.00014309976926615842,0.018173880609663268,0.040687251243937586,0.0327571787429948,0.009264000502052727,0.032971826319469766,0.001174405865087949,0.012993863036256992,0.006308185179521003,0.03250733514791182,0.0222228866044325,0.09236699923529684,0.06069010999546144,0.026431272187409927,0.0333861471915539,0.030221268305890725,0.006337167395362914,0.009284364812278623,0.018772365557227916,0.000777160681350364,0.025309033110293172,0.10074191214620302,0.06370172972903299,0.04101545953917694,0.045465790452608124,0.020375242606419514,0.01868896778801113,0.038073100942603466,0.0341316154144812,0.02118414555731378,0.051543724639323135,0.004819897548790947,0.04662769426280798,0.01382691000937622,0.06512535766060241,0.04869839928626499,0.047670763286012996,0.05390922487330421,0.07642425938620062,0.09007316778566728,0.04907005315671957,0.0003860567532727732,0.0014099178965802928,0.0006611222157414942,0.06865002133764239,0.05039901973217159,0.0424857888454063,0.042556046501723205,0.023117778333477473,0.07292722136330479,0.040863829017700165
10,0.017067072761816904,0.019783926477253633,0.04241925646135207,0.06334219031722349,4.80940690214815e-05,0.059797332687350616,0.052797790833245206,0.02716119591781037,0.06719682530480796,0.04138166479101528,0.001555131540533744,0.04137581930643355,0.0520201283578056,0.007955997611493931,0.009051047874454654,0.022372414231275117,0.008192350941668841,0.032830892696502356,0.0535815613580892,0.04868433872752914,0.016402820062622656,0.04893608787882557,0.036065426924281385,0.0010102936102451832,0.04488362792949753,0.06504879587676687,0.06026153269754189,0.009836616922586597,0.000977926156705028,0.049097400862584295,0.07957608121283966,0.023806663369054404,0.06975932268287921,0.042390001057843046,0.036792223103132446,0.0058658403078165194,0.04782455336901509,0.01649460734640057,0.004728356057851907,0.004556829945204038,0.04810327911734519,0.011008674802915425,0.009972295441023876,0.019600348668343787,0.008517971414273379,0.038005526374154705,0.0036253299787067095,0.058596522767771,0.020228604112212917,0.02502517636033584,0.04101594494236459,0.011514824381161623,0.014727185410724347,0.028475754847728213,0.007987560341811029,0.03053862611418051,0.044638274145588006,0.04691596083499819,0.031614800961109246,6.009475275264853e-05,0.019452455658355267,0.01822138841901702,0.015825931737149967,0.006773191355275765,0.014911846914561572,0.04945437899631398,0.026540586549546594,0.06471625530322973,0.05356156790452607,0.006439895490729763,0.013024481572159075,0.00146358130236926,0.02853954226713641,0.05187861330535956,0.0030265871898614016,0.021796990319188525,0.024872763516082225,0.08209290167815596,0.015707852879813286,0.006804606398320381,0.051500752753321166,0.02460238095105123,0.013219707094736757,0.013283025540036825,0.07360939188959544,0.024179275683810897,0.04530545696560663,0.03928487309243775,0.007069803961359103,0.000596139218666164,0.006538595242504386,0.023460158802215872,0.06441151021737371,0.03664460397305101,0.043859093364661206,0.07386732002807375,0.028154876946136664,0.0064797830507148935,0.10897757208976089,0.04203576743633944
11,0.01897879487430594,0.013652284655155916,0.053691022229089905,0.013679277060147432,0.03469872990663492,0.022515199989824264,0.04218796217013411,0.006023168349557184,0.017819444839851623,0.016456781802519624,0.023051178172011758,0.033986782705892116,0.009466385243124043,0.04416690506530077,0.008912572392438436,0.029376612184462636,0.030694009739416314,0.04650275746913088,0.008637756137100203,0.03809070799347622,0.03641477138185345,0.03379504300577538,0.03635079906260359,0.08364521762240064,0.06873825281225276,0.059716239667124776,0.016188361991436,0.04711617269820313,0.02557391461075359,0.0006689572925830667,0.003368305467965793,0.014826407265037728,0.010295739024450162,0.006129415740690092,0.0124413341335336,0.05184016613749212,0.03906011840626625,0.058372575207077906,0.020219043874811382,0.011226010370011252,0.030876379450224492,0.009486624790608383,0.0021111224339302875,0.02728400007987472,0.0472684516938458,0.029508383032949864,0.013928213492304137,0.00348475538848661,0.009859091818104432,0.08490401920277296,0.03358084035363765,0.04402401566996164,0.00719738875345885,0.10127124263542121,0.002995106662805558,0.07089535573563761,0.019333751100569924,0.0478198987433949,0.005407353654648922,0.06146843848356236,0.038590589417381055,0.00654086385538008,0.003742296932302769,0.03398718505526557,0.002051088155610392,0.020795583826784328,0.017084451797607897,0.009767333412466578,0.024564367693957256,0.026156130830090163,0.047458854051272356,0.011164875072976949,0.054244090689592295,0.0011164226934165244,0.0486979315830207,0.01962153194041119,0.013720548396007393,0.06714853489757822,0.004336665340326631,0.03592970747037738,0.009878756071788494,0.018678158267033562,0.024982685359912354,0.021230492354323893,0.07356687480863061,0.006843063683327183,0.007187300258875512,0.05695259763053259,0.017046866813332645,0.0644591792730596,0.012119996835685237,0.0166267828158132,0.05536847477365303,0.008163263976363327,0.04668459745558415,0.04835261541692959,0.013855223584549797,0.02729848757492688,0.004661701036545035,0.04878028721630298
