k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.09348696394106755,0.07257192836660845,0.03690894448378247,0.10405507844903712,0.028675191877715875,0.10118853248126167,0.11839289842536109,0.05609082794245426,0.10175567904267015,0.07046612066756122,0.10409827637307408,0.0021966973906377,0.025532271543072027,0.12459997558209127,0.11796317519422134,0.1231323071687251,0.050010288676009124,0.10202145700134227,0.005837060681488121,0.03279605901732835,0.11551318244775735,0.07777829158945002,0.12206611628577325,0.0837021381272915,0.11600464454170485,0.1104884420366762,0.11856641733399291,0.061570509316650354,0.12214443871087899,0.0073378494866828126,0.12497699153078476,0.09650290454524359,0.1234287327046888,0.1254362496000956,0.1250998231282577,0.06702112007138203,0.0065296099782971295,0.1095460093988842,0.12457658653240446,0.1194900882431906,0.0024209819422394835,0.12473450026038188,0.10162337143480599,0.09043577942109401,0.125035694932166,0.12534625213547235,0.0743709778236737,0.1251540112948713,0.08231104753473525,0.08456758668471714,0.0993579793068492,0.125395609112646,0.11130884791471463,0.10240484629739915,0.1224067104091627,0.12340444386021827,0.03873827563389928,0.12308181924794645,0.12425801472955825,0.12501809414411208,0.11546338187130488,0.0505179662935063,0.10922336530861607,0.12327251518121475,0.0017451930503531027,0.12482189548326027,0.11754169829103966,0.11578430743977845,0.10628149255137796,0.1202609979479254,0.0068802717447150885,0.11040074766553765,0.1098351312687566,0.1247289327933914,0.10293870243419971,0.040852814874930976,0.11503689680279172,0.004464487392402822,0.11557488075211841,0.12536098067221224,0.06456616750546672,0.1181928335360584,0.12362088896872886,0.0428572441510397,0.05351864682640989,0.06575757100514852,0.06193186225137516,0.09633783442502081,0.12203966366046724,0.10407721542384141,0.09297941069509613,0.1008137006425916,0.07855617574603796,0.07246257255313127,0.10135375906715727,0.11857467735368003,0.06048080856089827,0.12394401129239078,0.04047425422098591,0.023722793080823895
3,0.11923152828952842,0.020903710232809194,0.09641630671381894,0.07536560597661648,0.1234293415324218,0.09594159382638404,0.11353550969837539,0.016835720256498793,0.123157123046065,0.07172445450719014,0.047167796357841046,0.009979591135718072,0.11094667035622124,0.06647957646083189,0.029718182450119507,0.12276206627801736,0.027620755041648,0.02069263800960089,0.027501872310541742,0.07962309302836722,0.020633743280399436,0.10805138053616452,0.004719332953002461,0.02467619016459495,0.01134899319313229,0.10343014279689,0.1052619613303706,0.12115414191499296,0.07679077625111048,0.1251334541320365,0.12150405353379819,0.10313006865085174,0.11697107426150287,0.11658903674454972,0.08904241132166878,0.08660465990662147,0.07250321858403982,0.1195946080719698,0.04039585412718258,0.0894377184418658,0.11291552754521068,0.12226075377912754,0.12188182057064845,0.02845161871569178,0.10043726039252032,0.0906132402191106,0.10568334282971155,0.07310771888581868,0.1251234765387735,0.01767031759043726,0.12237801650432839,0.08675287162345768,0.03922880484441704,0.09030549245379385,0.12149864992261264,0.09365434699743214,0.07631262878854475,0.12338607893622376,0.1144729585654265,0.11340011209818157,0.020743483112265343,0.03893587097697801,0.09287091425597332,0.08577704134363948,0.023870021561616495,0.12009551291320027,0.07619338240005305,0.06902394380179075,0.025886841149833945,0.014903197981942534,0.09957462946002688,0.020943006537464767,0.1009846146574962,0.09230310624898433,0.10458432664863435,0.1071054313925271,0.07889459222502118,0.015978701371434423,0.057563086477596295,0.07458644457432911,0.020296708315871506,0.09208152277203041,0.08873529852544274,0.02258113222097169,0.004198483701125411,0.06622887704387845,0.026743993092633117,0.021909887348859125,0.06487420827974713,0.11096451449150266,0.07094535078651937,0.10359961377078032,0.07615638799552911,0.11525869611913613,0.006304559952771321,0.08578055504732032,0.12507385299325635,0.12112013464703533,0.11785542061833355,0.055378922768515235
4,0.11909408881279321,0.04001578745930634,0.113425714530651,0.06717809046242328,0.07062711007707351,0.08889024651776295,0.07446199737417245,0.08601925715030284,0.08032995502108989,0.11709348674707165,0.006216841622651986,0.07144718901570707,0.05384009140551213,0.11056487785177513,0.035618404237635265,0.06556137268043635,0.1089940047315413,0.029177210326371356,0.09110617396597172,0.024007022278226237,0.08329957588423156,0.003797359102580611,0.0561800559384846,0.03856144471816404,0.018072732368485916,0.022782553242405162,0.08992863226588681,0.019090395789190556,0.03507055551244813,0.05981209052481512,0.06952973991233907,0.0014660790847348948,0.0055597161158559005,0.008668955448039056,0.112469976552677,0.04635220497754325,0.1215481041547972,0.08955950315499242,0.0892679066754992,0.030815715194320026,0.01143876236339908,0.01308080419356808,0.01773945676715971,0.007122152086570979,0.11038694898548701,0.10883402985635149,0.02728823446667171,0.042758758609130754,0.1101957846636155,0.013092941788904633,0.0029848440049658614,0.05826953738056101,0.02891141671169456,0.10850194797017243,0.11776461205218232,0.048430505415518355,0.06182697187354316,0.12382195635534578,0.08149654766137163,0.021186369700721117,0.061263336111333375,0.052945303798634324,0.05360194538006886,0.12407380709110555,0.10938947465920675,0.0117298662530958,0.021380559715318256,0.12098117795340109,0.1253401697891935,0.07850719496977086,0.07323934842478703,0.11476877415309229,0.01123276295028694,0.06963999405368351,0.060089419835952895,0.0033790295256150016,0.06610400510401024,0.07528728499203136,0.036314702495608836,0.017680872312877696,0.12404676373192691,0.03411630763321086,0.049951953717892905,0.054347021870681606,0.09613432225658577,0.09562565649296567,0.12514908275541187,0.007654429505038057,0.09112310370611175,0.04897730089139177,0.09261175903687635,0.04592856990478554,0.065507392492861,0.0585499633479879,0.04834746036739862,0.07162607200075116,0.1017293858638767,0.002384799111299671,0.09342970144410356,0.003934806525492274
5,0.049107564359401085,0.019888046300614776,0.004796263795551814,0.04806487218793182,0.1131930212861389,0.010061455756082083,0.1244341156991757,0.11418254726180214,0.055739706877113715,0.02002089625202888,0.08497538300690831,0.038247917821142646,0.08347062350022866,0.10394904304194905,0.04276094672557673,0.06889554766859843,0.010152420554740138,0.09159280774177503,0.07227110725184682,0.07486893796686386,0.045763496445251656,0.047927248580837925,0.07471245522780146,0.018748345358281043,0.09954839740327126,0.09346837575124971,0.10689256388429769,0.1002446597587695,0.004914174226271689,0.026780375189279004,0.03689505074240554,0.09535651265641884,0.012842655660414676,0.039830465575561774,0.03275128732543581,0.08667414066370296,0.1211687604258173,0.0014863340878794318,0.1042450033706897,0.09862920052344304,0.01195294820116831,0.11259800802674695,0.09600477993700937,0.03591096740930512,0.013463625898530562,0.005406170621908679,0.11917822644106568,0.1213570519612305,0.0255055463343081,0.05269911762568147,0.12389723168339795,0.06966312600027219,0.03234374115144961,0.05904321921897113,0.10630242350517388,0.05396956182196093,0.021450580389410334,0.033042592898273354,0.025890588910758627,0.10370870094166527,0.0716522184448912,0.04803041522477132,0.031757033046329805,0.01735712879392244,0.08935767414973861,0.008959360679417994,0.07870718729033187,0.022434367645357736,0.006625859520289212,0.05361484821913269,0.10215736435025691,0.0864050502999093,0.034720570307163426,0.007975258322091283,0.11228115889440286,0.10985750169940273,0.11494676940437089,0.013407197348472788,0.011640713094285243,0.08366517532732955,0.10656703046015924,0.05573002726991441,0.07659679220959464,0.01238251742556537,0.038256605725036946,0.10820985064693808,0.002605219157547106,0.10191409731093626,0.0327248069075316,0.04167864673939983,0.017285131732472647,0.03336788340171973,0.003196156797344585,0.10936967964038936,0.09302086537693274,0.0009988840340183769,0.05429737892475445,0.019207444302093535,0.08998340913372169,0.002422310041458667
6,0.10004442004209267,0.0622001912984627,0.020112300649186843,0.08760252216703562,0.036210052668503884,0.04360797818838741,0.04326436127810285,0.007742222386372372,0.02602683402157395,0.004687105017879528,0.0524425234317662,0.006195202228857416,0.10955689666287384,0.004094040793715059,0.027390514647300662,0.10179488198763006,0.00182441064787639,0.09363992031496211,0.04309410928198634,0.11624336826892313,0.028303628787612056,0.03824515275730081,0.02211316587066295,0.033192411607663536,0.12219058318453,0.009757911719989396,0.03740925246402324,0.036477964281560846,0.015539236926756808,0.025820804854109508,0.02464587933279197,0.03346744614210963,0.04503785049500597,0.0011296847963273016,0.06099548480851752,0.05292341524120639,0.0031061444620125167,0.04372363556793729,0.05378299821562785,0.0066060614354586655,0.023491859589693714,0.03239321090303482,0.11570760048963771,0.064308373074358,0.07974846188355214,0.07069877526643657,0.0691985927679542,0.02410308779413535,0.095785135940228,0.015108298624137442,0.01605700895209554,0.047630593561075824,0.12222464322456122,0.09690334407008688,0.08853557801496732,0.018354024711097344,0.03887651895755348,0.014140526331418907,0.00863577324686586,0.018850093481031144,0.035445165976963455,0.07122924828946398,0.01943175753454285,0.12217324980055345,0.05756414263160689,0.01901320154740227,0.047795716300010824,0.047855137661183406,0.11792780531814895,0.07513982588633211,0.11618135579655722,0.016021254826900463,0.07798870692666238,0.09515997653439083,0.0019959123228466824,0.08847219151632878,0.015157903605696271,0.009828877599255104,0.009491599075073673,0.02954638877242735,0.04862752232176193,0.024057986642504636,0.046128368747545834,0.000265315387746462,0.09463572337821549,0.07635202014518622,0.04151439709402854,0.012865422669500942,0.067529168108004,0.03267417354545202,0.030978909431328833,0.06915462283796404,0.11909509684900658,0.06676432817465308,0.04484791064105306,0.06737019815802392,0.06739648951690944,0.09843718484737972,0.048389731871605474,0.03574660438918703
7,0.021790198091840546,0.012201832171428437,0.002612422999585473,0.04389579346913909,0.026947308173596918,0.12241613785368266,0.01518399338560586,0.06698877739980925,0.08815755081406533,0.009696988424106767,0.08730030517713622,0.04311628290005985,0.1007098375252573,0.05136739697823105,4.778315668901856e-05,0.023346005805481518,0.062222367427716016,0.01654319297820081,0.05966297032917564,0.01654843225753838,0.05356188752069492,0.00441595622931254,0.054317803171411466,0.06828248490141489,0.011993886467926068,0.013785212716054568,0.11151899397385859,0.12125516459675496,0.024513270541795,0.029566687825388988,0.056147577187643544,0.03923164127812023,0.0778160611682284,0.05686657152577225,0.033818398560402,0.06580910196898587,0.06659499040992936,0.029909003760003938,0.07334985224220127,0.03933377482830114,0.09303058521741894,0.014405079950396749,0.026407540124715273,0.00180977461634238,0.04623725917009791,0.11707262773334298,0.04437685617436629,0.03919054665497004,0.08392713873419781,0.042211413611637744,0.06653378826263481,0.006210091537426549,0.004142670362138445,0.08252569736852507,0.022396424832698547,0.0009445963604474972,0.023941254709328258,0.007494740759492885,0.020524009031646584,0.06536809310534789,0.0129689914705855,0.03061101147501802,0.06918165223247592,0.04373334379710268,0.03173112862290742,0.06753295791401936,0.09142414447229537,0.0842475979607616,0.027740850432305453,0.013989026171565305,0.06003788355615838,0.06427842741575293,0.017500788230049455,0.04281370355194225,0.0061128099821601,0.08826703263733582,0.05744011437609997,0.01726402051936815,0.09454624045458006,0.06510781333403647,0.11609094514358116,0.06859505007268808,0.09001108047174014,0.11773683799422717,0.01902576525364935,0.02264818489571152,0.05872053085685408,0.05160722428216734,0.02672070417083175,0.006243566425780139,0.058198564068009634,0.0368099596032235,0.017759124396411155,0.026156114958259452,0.07094374231944328,0.011511536271427508,0.08020547462761732,0.1149945520080149,0.0016257407942382313,0.013945731101387762
8,0.02900506536134939,0.013465449039830157,0.03551514871850786,0.011539015869762526,0.041317000160634554,0.10412856311216964,0.11304903718366449,0.10440779045251657,0.018055681202710436,0.0030286840187972175,0.021467496926073387,0.1044682095006303,0.07667452081054221,0.03697582165043675,0.037521567674115214,0.019970158498497148,0.00040026797080788823,0.004650060592333832,0.09670413932069125,0.02940403106659506,0.030247716429668836,0.01899626968147547,0.016278823781447682,0.02904855681848066,0.05630486208395401,0.0315189629474895,0.01838746014109746,0.06635814715513524,0.0014523328031917498,0.07021473511311496,0.08616795982019554,0.009981133476601234,0.012716226283559867,0.05711579785243061,0.03313480291462213,0.01287832298833666,0.04361734905843859,0.058965237154542105,0.04387982111925101,0.017592787697639722,0.02207479658254556,0.0789763145308976,0.006684844349054836,0.00802283393744109,0.01102111808463574,0.03945490665234774,0.03745982172843981,0.0312645814198676,0.010361993121846602,0.01385871451237844,0.0031321899584499657,0.059245938627753236,0.0017702991127409862,0.03634302503836109,0.08676191569479491,0.039680844397390364,0.010625591730854075,0.07135351748127922,0.06903025490522985,0.012486907491074992,0.02931797318057941,0.026384538904230342,0.0004706458840782468,0.03412932084176262,0.0069673150818740925,0.10324635285931971,0.034403496764829594,0.010014703465716979,0.06770135721233435,0.09121538246554561,0.1119999652097394,0.09293048492074989,0.01759280203693031,0.07110493467855408,0.03596191755277556,0.06335525458059735,0.0009299157470070429,0.013522000714223131,0.02499845796403781,0.02930231994496335,0.04709595189643628,0.0037797110322831395,0.024177614057643432,0.08327468927808418,0.013792344771020981,0.020293986873276493,0.07473719323067544,0.0285292437318347,0.03395764575182633,0.03234447686041375,0.017084167939081046,0.01239403478973905,0.004397145187436585,0.005730075866077516,0.044080423220922926,0.007804961088038742,0.06624599915036727,0.006072752561059075,0.033651975995130076,0.01734088601802017
9,0.03319726737936532,0.054008403985589634,0.024305196473487667,0.005066774434411503,0.06718621104077477,0.02385787108869919,0.04897005988868655,0.0499634284216702,0.01914355766772849,0.04292324609977374,0.03263841986945734,0.011476250038216534,0.016867378773416347,0.09259394765707157,0.01975086392046904,0.026132776825313675,0.029597695230264537,0.04881932247305355,0.08715742401825419,0.04218317309274158,0.007296035647531979,0.023823350793667403,0.09946417962929843,0.0709277565007643,0.017143861950714184,0.01703798988301572,0.08547525515063256,0.08555327142847412,0.032733599655538306,0.09373148966237918,0.024588280300946175,0.07353548223013527,0.042296399956967545,0.020527310790890235,0.01761434006266893,0.030695743865674197,0.036464146164503955,0.017706556043346672,0.07046022521340309,0.007791180138262105,0.06843766265306159,0.003775550721754728,0.016266691806317096,0.0038535545520692327,0.11165640427034623,0.016717710564718685,0.05794401000908822,0.06257080834685724,0.005390428311701084,0.07195881024506438,0.022394892792388238,0.057673778876958265,0.07490659102452399,0.00745002095720354,0.08687844295113586,0.044392419014264065,0.0006908437040504811,0.042792611240786996,0.02939997761592872,0.009736473148243385,0.045310108620307515,0.08155465828047206,0.023422374358973125,0.0059730793790193915,0.03684691455442868,0.05515584956749878,0.014174107357459609,0.010912100880371492,0.09471059553298454,0.016534994742785275,0.04466434313049383,0.02476252485725465,0.012840321985598022,0.008599471602114162,0.07921738557826721,0.017977690083776976,0.0785343570615838,0.02309414152546771,0.018984020762201084,0.06490868796387261,0.041747608837114744,0.055954831942735705,0.026324243942585146,0.09867375015267713,0.10697730395776883,0.027727068536565536,0.06693552249411303,0.04520078242901064,0.0057846334265360955,0.0024730006733620913,0.008943231415864783,0.015013235693397242,0.007059430300218217,0.018781246380373845,0.007373246661565053,0.015431560763296964,0.004436839625314742,0.009882976485084904,0.007620818866912765,0.01201129198761594
10,0.0879583956040496,0.03859047546187429,0.009834839374562726,0.047358814915323705,0.013176635722035257,0.019158526759159356,0.033927694298639816,0.07124883145722437,0.015622446176484561,0.012846980970292798,0.06079409977357102,0.053930652014141225,0.004148101882804248,0.009745428129953465,0.02323255878968586,0.025609461931888455,0.0028615181492076674,0.03518653772794905,0.020319616174495847,0.06894773202494367,0.09740657527435209,0.026931798455080286,0.028699182354539637,0.03290306818453828,0.043535876342830834,0.006672941848080732,0.02869523123178136,0.012075257886805385,0.0001733182773255848,0.007486322881261026,0.04189089996451423,0.043208300184051085,0.021525356603444137,0.01994605476960551,0.02253268247276001,0.05623042807956169,0.026157358240324793,0.021814772530884513,0.02453215510301021,0.013402856776138727,0.03299888145756803,0.02992904633524826,0.033997867390448175,0.033458091688391395,0.04084291967461337,0.034398830123053364,0.04894435436953967,0.010242701441558505,0.013430422844910722,0.056982667800136166,0.06844612906983155,0.0958628938767267,0.037517377431511206,0.05191774277639076,0.0012509419141306655,0.005770339256405979,0.007636896300700871,0.06673884672512234,0.01543144094046564,0.025903360292076252,0.06284151466556283,0.010540061706557219,0.007930269715701349,0.029636452357419907,0.02453175821336405,0.030901549836208117,0.010534341464135552,0.02208288406363207,0.02778080468879121,0.07385036831527667,0.031103752202614604,0.025437473708647296,0.03718276665054096,0.034243196880096125,0.06284903239856096,0.0671531005755869,0.006284629456825314,0.007578316654570427,0.00776027207076585,0.04102115766982599,0.08294543970292913,0.04817306707235677,0.021690503133829142,0.028111167528324682,0.0255448300358517,0.02034055755036085,0.02521025670672332,0.01131542166047117,0.061124531250760436,0.0340082082665526,0.047621592022413256,0.000458419886049638,0.018340225727834863,0.0748473818799116,0.030289002299710183,0.018099994257091495,0.04219999035321423,0.018792452444118646,0.05825053356729609,0.028578836104184213
11,0.02223181735745719,0.009320789106983307,0.007176764611086878,0.03572000732773689,0.04530371960987631,0.014779549830885419,0.024195730913100316,0.047503459449712154,0.0369838960695843,0.0007614988193378608,0.0028279384363200516,0.01618081810987551,0.009064319372255852,0.015594143915038883,0.0017704035899324122,0.09878536909632604,0.014448719799194432,0.0003524909070957427,0.07146370771214004,0.058366722788337516,0.011235646021993867,0.014733893764942357,0.0026960806211069055,0.004185546508120308,0.05107520093614962,0.04674892676527513,0.08918940480655363,0.022254842132988145,0.03998312975070831,0.013766374558645184,0.05678997317283302,0.017947277761351715,0.017035598025612858,0.049048724350682665,0.06172954622733949,0.02225373846910715,0.06701566889613522,0.0011253978046088797,0.0023116068601012896,0.030783933346476472,0.02806232240765605,0.00716287333619825,0.031741619355002665,0.012928359911843906,0.03277315193089664,0.02221642237790633,0.022416600568012424,0.044137445372393475,0.03238993073001642,0.012458654530546995,0.00730221000960718,0.059690750651584606,0.08356176090040254,0.025571417785636347,0.006899798328358367,0.02089682667699158,0.040408456961729344,0.014767666436822452,0.008238060932900512,0.0770341224511833,0.05619250128287723,0.08108811133292085,0.04950536770775152,0.013233066247842457,0.02512482406402386,0.05755995608075279,0.008716201919073963,0.026506872703085438,0.02561934800498397,0.01479657394686193,0.0035360537217057064,0.009324784052657464,0.04389596976945179,0.03142768718721736,0.09985499876546619,0.01714289990904591,0.0043890615608115635,0.019570134174000775,0.0037709358160000345,0.09513921851900843,0.018394144029756643,0.02566463464947827,0.03267310194767896,0.02893220015309239,0.044852411732098474,0.02759546650793282,0.05036906664258678,0.0631448284528596,0.025802884570010814,0.05550411720151653,0.05879084860139619,0.017273407954573772,0.06824822269922567,0.050674144840706134,0.01694367672245453,0.006146995616250928,0.031854676115440045,0.048074914679666764,0.016553088713797653,0.059939217510063286
