k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.5712508886033295,0.6905114640757287,0.54383788130989,0.7086610889472282,0.6342436333147947,0.7129744693627729,0.5881085887518781,0.8472898603785131,0.8390890714653407,0.7648275374478442,0.530719350364904,0.55520564270793,0.5317082965927133,0.8462208304071082,0.6107665242238252,0.5242309371351772,0.5872510012087883,0.5690189700447874,0.777726428979293,0.5186009857115842,0.6738563436663326,0.8306187121731385,0.7491939838111499,0.5973693183241373,0.5675883544198542,0.7195236450956308,0.7878020401876672,0.6780118805363885,0.6297094635705298,0.5887947835559333,0.4817756120224608,0.964846069947949,0.5261997218868283,0.5021726334975484,0.7701370299346925,0.9029763961377497,0.7185401263601715,0.6591729684455478,0.6994887929397433,0.7700065663069334,0.642353061395623,0.6135506789657436,0.6946280231990409,0.4922193677722544,0.7517435510799628,0.8531262226973033,0.7167090459486153,0.7489164799247182,0.6737980773173752,0.8212969500663747,0.7301516307550449,0.7464530826007406,0.6215390948698392,0.6787992729865369,0.646822290888035,0.8112716081067626,0.5731366164124702,0.6358737016084097,0.7221558974575037,0.6507106637532911,0.6400884097870416,0.7561409770638143,0.668386359141621,0.5333346455518772,0.716198291033884,0.6127516423010089,0.6732516762456471,0.7029809747883711,0.7392846502609566,0.764758411267263,0.7051600136488849,0.7344287626357409,0.6882900792825343,0.5656612122298891,0.6332245781374654,0.6598567060182898,0.5837585458804601,0.6657790832099786,0.8439758127317494,0.4963377984663073,0.8471299845699651,0.7365205008366336,0.6761249328828685,0.8206307069818245,0.639590439963828,0.7190387038230184,0.6388230104116257,0.6435158471421337,0.6217049114662493,0.773186727031827,0.7149744389719817,0.6823160799700017,0.7500739742934254,0.5557096824863351,0.7908915226453024,0.7111018003861405,0.544801175948527,0.7921757283649116,0.8162701894600634,0.7478424398517405
3,0.5775117356925048,0.5293812373955957,0.6471755039323424,0.4555416923470178,0.5392245850646494,0.43996476209762025,0.5990512728638491,0.5171938269764058,0.48988847446729755,0.42335520028135487,0.5402882562263803,0.49372040705549614,0.6597328565901679,0.6446116846209394,0.4654116413279511,0.44943620808410634,0.4722298335331043,0.45775280487309367,0.6273989962269673,0.466686441514898,0.6435236151924548,0.3710583007425561,0.676294956480889,0.5744404896433468,0.3647446448393551,0.740442802752743,0.5162717901219378,0.6039370154535668,0.4600299214501886,0.48695011320104453,0.8607613900282228,0.4509788521853356,0.4757378091371105,0.5966880148165142,0.6242114478179994,0.6906229056908564,0.6832034916161502,0.4945068057431772,0.5604098554002472,0.8802687752743997,0.7012279787518053,0.7403736806299451,0.6454953364860367,0.5599806647774872,0.7022682047921199,0.6631135317016643,0.5004485759933975,0.8174898815240941,0.41643973443808435,0.7369879696150354,0.6094071451516666,0.5356007739513975,0.5663012208976614,0.5345029015069898,0.48613742598485143,0.6220855754950612,0.5034282032943506,0.6162370181897051,0.6054846343853644,0.5007267539765101,0.49473261410356517,0.5606719784406173,0.3912468508813908,0.7518471971271831,0.4919091794177025,0.6166177656024711,0.46306208631316925,0.4392839478892354,0.5488266539104725,0.5056597829239169,0.5015881815741281,0.6012381745137941,0.5485640706734616,0.7217224059211013,0.49927641905795594,0.3956679366613227,0.4215669959733581,0.5346490299692137,0.561197326352438,0.5144316900210306,0.6044547693717894,0.6184081018898111,0.5136407095408642,0.4273667435398807,0.7221281843763128,0.5046355745206053,0.40370827726478586,0.4520294186704743,0.7065901499048451,0.5860059432600696,0.896203407206541,0.5467093140877548,0.3816815711961732,0.5007410906346963,0.7621706328626667,0.8181123778870831,0.509374112878126,0.825037400216446,0.30166757956209755,0.5127180067823667
4,0.44355244077814326,0.5373017556710293,0.5280436083994935,0.3982463142771616,0.4529083964570987,0.349420772158504,0.537433333332957,0.39595681843669694,0.6358597450385766,0.3242362274643049,0.3103026796631151,0.5985625474755725,0.5626040035712907,0.37104149283390153,0.3913128359276391,0.511053769149372,0.48963941251181453,0.5221404475429843,0.43639312346631387,0.783258774894038,0.44715263519680504,0.3107107850002473,0.2743271539074842,0.47102511907021594,0.5763683551894303,0.6055668773356423,0.39234357586414015,0.6164572073431909,0.5364943052769025,0.5369403110446942,0.5659479333547339,0.7597819850208307,0.7492316603916812,0.4124110834888175,0.2845586045462376,0.5446754796370238,0.6192762865445266,0.4714296679499699,0.4217434751715634,0.30990531665523813,0.5723838478601353,0.3974013465167866,0.537625835583954,0.5675054802063233,0.503350724873479,0.4069985778410312,0.575242607628609,0.37122363579813256,0.33959877782630354,0.42334692819646824,0.402600904438543,0.5967557631437463,0.4180664364389127,0.3596128200572257,0.33531039265814533,0.4345655447081911,0.615446692382009,0.33705764769153723,0.6455343744235987,0.5404637027637837,0.5095701790922127,0.4381663704945935,0.40270193784417907,0.5202682402799576,0.42439397771826814,0.6318914551249388,0.634653316338583,0.36920595989136507,0.40981978055908275,0.5885969378535344,0.3878760915088195,0.5429669690275891,0.47719321901756917,0.5220278566586232,0.42720563257978195,0.5247945896846272,0.5055879896397903,0.4832348364700947,0.3620921820435232,0.7381350719560029,0.3573830305404173,0.3885405223638194,0.5479960570825242,0.45170890413204134,0.3329828229696943,0.42129394756304206,0.48503946637742823,0.48983680023923437,0.4557156615593779,0.7138147027973097,0.37617468209002913,0.41716896573550666,0.5899810102178499,0.4213827418505258,0.5165629799226101,0.5847172113904683,0.5778477994889659,0.2793439800461026,0.29475834518632893,0.5379802328441212
5,0.5476913076786137,0.3973025611902281,0.2902417381620833,0.3182723389445994,0.32421249064395596,0.4476631970839604,0.4800772064505542,0.2632969501987479,0.569403788596679,0.42143799345782995,0.2149782704289357,0.26018375430425356,0.5282750956539299,0.41233500271970946,0.4162165517668255,0.40371070591096725,0.33059477311796237,0.3396646670963811,0.401675686833025,0.3185107042661145,0.24049856571724393,0.20455131562909346,0.4389274526177649,0.4149238205751422,0.46920313138354053,0.4357508147405863,0.3083411987868181,0.47084228572911924,0.5422082229533993,0.4088835758167809,0.48366172821269937,0.4389662719264352,0.4901691797672707,0.3538573377529355,0.18810380732683551,0.42779180667732986,0.2544486086570198,0.5028048171945123,0.4228133070986678,0.5966662279711952,0.3395594873880239,0.33868034241946665,0.3364203374928062,0.2428382683242576,0.41014416040363944,0.3589130157630259,0.4158318446417564,0.40139198499903406,0.42773576717446915,0.35896248531605734,0.24108413814310592,0.26128931167464886,0.20045347207066477,0.48395315938613104,0.2778459754557181,0.4427342927754542,0.16936585371351154,0.3053085234201438,0.6334004985060997,0.26699472435518934,0.27207206328903477,0.3614944042737993,0.3599861036424741,0.46450212121028245,0.21161832358019472,0.4266657124614148,0.4908214268033604,0.34824413531820353,0.4380308847401241,0.30499135837105706,0.5404866275004221,0.3888810629515145,0.34931210690123504,0.40136847002838383,0.24392056872068568,0.3135291372949459,0.37372542100491246,0.4868749067297723,0.35642295125139545,0.44607696228629756,0.31658126496401007,0.2840131200212195,0.4449524587630703,0.6926614553266675,0.3327203001425795,0.4325642309506076,0.5035320985060515,0.34878147388710934,0.3995651800205343,0.48504068265557043,0.3344044486779759,0.47234475584484226,0.5913128239092378,0.47853737368205396,0.630242881270932,0.4348742056945528,0.4958282059665887,0.368200036100353,0.43743213261763914,0.3834738013882566
6,0.35191808988505935,0.2878605272047803,0.18638073271352384,0.35216821460436876,0.24448300717570215,0.2686009301238902,0.2280527512617696,0.4792900567297479,0.32563143485634627,0.19404964211235953,0.2728656948726286,0.42928490554986143,0.23275126077976138,0.43767062928620726,0.31199385039234473,0.20459274267025296,0.4180138603879665,0.20949606434369128,0.3518565863960077,0.23474670240689544,0.36376523812728556,0.3624890530415522,0.25841237706665976,0.31724112641715285,0.24503429376686603,0.25150975937762887,0.37768810515342055,0.38948663457045174,0.28558549534232425,0.3379438264776734,0.21303333353638487,0.3383110033537817,0.37179258505324897,0.40072983132612205,0.2573468672885427,0.43630064701296134,0.3969532250459511,0.1872975863751184,0.3123523018029868,0.23625916299974603,0.35067431448283026,0.4466649795450739,0.521912602020351,0.45170916242649395,0.35925421873137553,0.24309852437504775,0.43255565747825375,0.3771289894135187,0.2552948998432537,0.44759154898207765,0.35162997979361554,0.30540859445857127,0.361308587325627,0.5095816461343101,0.24543788900956154,0.2496444463858617,0.1068030198855281,0.40236478100211537,0.2972640659422022,0.2018480368959923,0.29278944344715274,0.2462700613494465,0.48703589146568194,0.3341572801269316,0.32615488484368393,0.3093299131385482,0.45772507423267517,0.31595763893583306,0.3944268906082318,0.17896950799963163,0.3178885153626779,0.593555286698644,0.2780375914928369,0.2804477686085072,0.39143820792341955,0.2522029436851869,0.23809733348222217,0.36915054089304344,0.35709615097663405,0.26142567502672165,0.21607204048557382,0.29845971173029473,0.23590198789308803,0.2520285405320051,0.40637034201638544,0.42216199713647784,0.40054695445399036,0.2555611466642729,0.1739186810314275,0.3195318438312358,0.19920478715748335,0.2725944125158747,0.26990682130042176,0.30580517089674697,0.16066506425615246,0.3131583052280954,0.3378771473183855,0.3395270499522005,0.34102507217674094,0.4343396083694042
7,0.24993622568372076,0.12012258613630467,0.2593810806919268,0.341372236892577,0.23843726874682825,0.1491721632059868,0.45580375274561025,0.3897456648257106,0.31881091483639745,0.6040829084296622,0.1980314611741646,0.3050294161439425,0.2658802593883981,0.2390846474783067,0.23282751200352603,0.1905642566385446,0.367660333058516,0.26715184342985887,0.28986850520273566,0.15191906309813596,0.27960851285390265,0.3697748436372692,0.16747305682286306,0.40140365138547107,0.271635402248658,0.48681779868036945,0.4182950574514085,0.2570944391701506,0.16992786460581133,0.1653258309300627,0.23437665755465642,0.09128035536243106,0.19209439387834581,0.2018635289097621,0.30235500512195923,0.42365348093608146,0.37288086954755273,0.26990813971178984,0.26759383304760875,0.173782651929277,0.33014687736140846,0.2115873668694518,0.28591302075360947,0.17374504668564061,0.17645191444374952,0.3230962851024065,0.30913575180965014,0.4571180811027056,0.31710198088468433,0.1595330353201203,0.2352875866975972,0.3016393703402068,0.38875338366998213,0.1296061719593402,0.22841052406038653,0.20226209147222485,0.31319986874185857,0.43631175374063813,0.18954429423218044,0.3378123776807186,0.2954956649156526,0.40938581661146656,0.3526225349355667,0.23000448173155041,0.32965483105862414,0.38419146415795635,0.2738508659375236,0.2202318894731311,0.1293590189419499,0.2709119023111791,0.18565274641665208,0.15609944939429932,0.1729038728587624,0.2475424338139307,0.3015806252042543,0.14603919565301549,0.2944460312553391,0.26946708838179867,0.6294298789410662,0.25403908452759927,0.37111448053971907,0.18825192950028835,0.31305118605866844,0.17835790423845066,0.31481637835452514,0.1812919749886397,0.20590726786142677,0.2146360469878107,0.2880823048157247,0.24313932784748704,0.15060348772298005,0.22639316871416415,0.1968279219873108,0.3647247424584049,0.3389648694400561,0.30198161213638686,0.236343478958288,0.23092013681592682,0.4398812464587186,0.27231140354744277
8,0.30645588280408587,0.235089523465132,0.27384148250906404,0.28458372559456,0.28244197051992936,0.23441793889839146,0.20912368183340102,0.20629957962876777,0.2156777032782209,0.19347247576848658,0.18712623326768596,0.3646551510146363,0.14090552211635055,0.2509021086363945,0.32308356726090537,0.22011622613449566,0.1975926679011747,0.2889144533127729,0.19847890828485415,0.19931526128038834,0.2392674126624662,0.14401839396994376,0.3435816113329021,0.2076130813438033,0.1170407518122687,0.20703211229562446,0.18763892725696352,0.16032593888010993,0.46735022856451547,0.2672121093534022,0.17637082834589501,0.15491721681930992,0.27061262036758127,0.20782649566553268,0.16760598285170802,0.1527427076989596,0.1768816742562197,0.21667358548137994,0.22630154201048036,0.2956719270544068,0.24162153645673468,0.09129817827204079,0.3597738003888845,0.16210311741153438,0.19865558753974666,0.07653892918000094,0.15009394146211696,0.2412697256455807,0.41596517467124683,0.16769733822116706,0.32744522321048375,0.14403941031842826,0.37117842780841614,0.1316236296442581,0.3750054336776931,0.24177156575772218,0.20180594719833778,0.22387270537570825,0.2780293171960988,0.30550651676657836,0.21456721583255012,0.09019285573147884,0.17387755078655254,0.17545490892499838,0.17898949108217221,0.25909612000828486,0.2597931868477825,0.2937668936937592,0.4171264756306363,0.15464634405148925,0.2419167514435948,0.14882181290234553,0.3668270614636556,0.33003914992821115,0.2620799667629101,0.23404400456906937,0.21115029564708832,0.27011254825257425,0.12398023458688301,0.21699745814066962,0.29744970417438843,0.16844698335676334,0.14626043186895887,0.39413962049317053,0.2550347056390442,0.21200515893688343,0.18901976168846135,0.06573794314570613,0.27845081001355665,0.12490810723767076,0.22949619012858602,0.22789410251660747,0.19092267733733992,0.25754830209749,0.25075283340260024,0.21131943202404146,0.25186418311495473,0.3256171012521749,0.2362175454684583,0.21280416987868067
9,0.09922924682574541,0.12022690520062773,0.24878421551369823,0.2654496618812834,0.16273349359746048,0.09511135649516744,0.2615044269596606,0.1323566570645074,0.24361803662784598,0.20675337691243612,0.1458921922104508,0.20287564668478553,0.3010466733240025,0.24755709175420026,0.24265596508295506,0.14970457442187657,0.22538056522848293,0.10582172521572308,0.13944809950167714,0.19896984133565943,0.17600480676794905,0.14296357728392028,0.12170674576646967,0.18673477056184318,0.06188829680706476,0.17679308924422532,0.15703900689683237,0.1690459275875965,0.1270201666811155,0.262786441887095,0.11292949797701102,0.31903034468547675,0.18859280870332784,0.279767046442275,0.1557620294428188,0.19335575030674634,0.19658498225355503,0.18741614025987396,0.37797163604866746,0.26142151997528884,0.2002918493958158,0.16369041823658237,0.34024045690217575,0.18334116203817596,0.18504187726472798,0.16425783616333967,0.17655728389533087,0.1346209619298565,0.2822177987163913,0.11889250278948427,0.3067781379905644,0.16309687730772837,0.239992376733552,0.11183894466064104,0.14365037795493407,0.1204896536350426,0.14519607992082895,0.08170975070207032,0.30936402002528096,0.24164260129869086,0.22719698239491848,0.17751417425737692,0.18488395902973787,0.12451131769388435,0.07400089533268628,0.4082053960986296,0.18252761635026393,0.15256101076572248,0.39054481758800497,0.1876523447125188,0.24762614135170546,0.055904993744345655,0.21949263358683258,0.11838254717242336,0.1470490961908224,0.14663433701241135,0.41252113156422343,0.17504538525821278,0.16139191696073862,0.26724490625833175,0.1667987496341362,0.04591740360181884,0.2177152031791929,0.14347396194708262,0.10592937911558187,0.061655888167605255,0.23707374667688164,0.3388871155169775,0.2809092377714504,0.18808851113052916,0.22728240497308894,0.09353575768748978,0.24274379599783225,0.23205250226334317,0.18528448181986767,0.22316040762377365,0.16369976302221567,0.15537987282907906,0.05806393108555197,0.28340471432643655
10,0.1905345520753129,0.12383306208855849,0.19784380683826785,0.10911012015300547,0.12986490473451373,0.40717783746184333,0.09747842572045196,0.1315910454300343,0.3080931704607526,0.21385430195733002,0.12070187889553374,0.06325020422462435,0.3228681828909533,0.22341008084491787,0.0884729761258285,0.11925732105573528,0.17322493811308304,0.09698288932633659,0.13630005164241799,0.10758214587667858,0.06729048190972065,0.2501766594983943,0.14918032890636057,0.1624151118260191,0.1310324115854038,0.11838039118398191,0.1771001630460387,0.16365943549649875,0.11350459292065318,0.1784384127420009,0.1645076578609248,0.03832682999104531,0.19251527070280472,0.15875227965716643,0.12099002613948406,0.2449860770597193,0.11453840801205073,0.28420823081849433,0.14917170286701564,0.14077203606270483,0.08652215103800065,0.1149064828943076,0.1519203616392758,0.198022334631198,0.1527221110907485,0.3196486043762974,0.11299762565599825,0.1076058422390711,0.2780064733176425,0.17346209610428553,0.14647340353683258,0.2598767551932045,0.04662480728208507,0.22765471836718398,0.12253600696802891,0.16985033739892108,0.16555246428818648,0.16526696284046527,0.17600970936992566,0.09700588547026046,0.07899041567035336,0.08751285457944435,0.22105208345544491,0.10013059518229195,0.14241789540065564,0.1384388294169081,0.32413556772692975,0.12677619248065797,0.08862232476020071,0.12106916104778165,0.18410310048673095,0.14563350603461955,0.12236455802820079,0.2682022326597162,0.14557233826781957,0.07165672669045486,0.13960671517252887,0.09929910483196835,0.08671147145874314,0.25745712865762915,0.1216297181196313,0.04472034306889161,0.17122769333528232,0.139553362655783,0.07035139429077808,0.24458094543463527,0.1123109207376558,0.19660439297274102,0.14552517914866903,0.20769967815230772,0.15336646859615588,0.3773164101560015,0.15613025800422553,0.16008298425889467,0.13949947219037528,0.04343511418712109,0.20719671671939843,0.11035814855984527,0.207029575446808,0.12081267487470948
11,0.11876531909063115,0.21694064350958753,0.2274266032951603,0.08483856688967539,0.09346318245244345,0.11543603753554055,0.041709285506271954,0.16768457670765013,0.23541723891051636,0.009229135470512517,0.09961874443212426,0.3192082224937145,0.09525281042337208,0.12454518719879348,0.32160297790963244,0.17963378211974002,0.051720129841984264,0.12868711605208916,0.17537414801108986,0.15126666841558045,0.27131062662357075,0.14849608431598194,0.31837110672948743,0.0982327091015246,0.07524809839351365,0.17727599436816655,0.09396544146699826,0.27046760734455577,0.08992437350178961,0.10114154591102287,0.2660600841451245,0.05682720973250466,0.11622420807554223,0.1462094130673226,0.150608037064212,0.06982197644632948,0.11157935469978064,0.11186941465380396,0.0873340092023881,0.052970063797309175,0.1194446655134711,0.1758451523786747,0.17805546450543408,0.09106897269855763,0.08272132662716103,0.13491310744715346,0.11127322009179275,0.18291059647715857,0.19579084509991707,0.12959212877396142,0.17037553710277709,0.07985861320477472,0.18725311535423694,0.17547121749517713,0.3489791913435448,0.13721072156981073,0.16404273811069636,0.07949729052402121,0.04579218641197247,0.2294216887212559,0.10084120742952751,0.11571646922933276,0.13317302128939557,0.11060465809761422,0.09933771370741484,0.20404280778512085,0.07397007280221202,0.06386915508041491,0.1706547748864652,0.024566021320061804,0.09798986076742133,0.27321090451549224,0.09083308242482002,0.05992928631342609,0.09139538697235383,0.12597535192747245,0.10961471505666531,0.14406817430571472,0.10585474497846337,0.03367613591259744,0.30751962213698003,0.12102075877373308,0.12198141351118919,0.26233075988417665,0.0636110018300583,0.17364443037567356,0.05475543529554794,0.0690146766927674,0.07889153052959363,0.08174019729543258,0.19324181176869293,0.11318932548343907,0.08477244803082917,0.21546028809768702,0.18008095437364957,0.1625172441023488,0.12956162727050047,0.27994271382663927,0.18722618189508589,0.11933859463825469
