k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.6009268540061925,0.5654890441492166,0.7282905180594432,0.7792061952201602,0.6409464045045923,0.5352617540956318,0.7294556442165236,0.6217009990271443,0.8184434193113064,0.5720285622727654,0.8141881344011225,0.6054068833404531,0.6992252724082587,0.6272573187410959,0.720730971009066,0.5793326916353143,0.5364389427382268,0.8613309758257862,0.6321775306845188,0.6126837837870711,0.6479664357780677,0.5177874988021034,0.5850811728260529,0.6427788617562677,0.7830096670001949,0.7102896976770705,0.7258867546128759,0.5152495901056465,0.878870206059513,0.5237216469868262,0.6659777251302115,0.6492661229087744,0.7451177201834013,0.5875705478530617,0.5649964040326133,0.7694858728165359,0.5804684760646746,0.6390473940319954,0.5732365754921629,0.7207754316826078,0.706759826083978,0.7834293928665258,0.8490746142470486,0.5771948824399817,0.6269070942763475,0.6808933777649461,0.6606293294781657,0.621420771489048,0.5911706497902276,0.6370281738635716,0.6925937284582215,0.7542097004194621,0.6145979991300089,0.5194843113890953,0.5220151582866346,0.7903215189398791,0.5446297055084316,0.7195551826916703,0.6537349645700967,0.7097747641405585,0.5023758302271175,0.8308052662852784,0.7183049523164624,0.47867790161305335,0.9044535834493603,0.9288102272725596,0.8708314289679607,0.6976430274350769,0.6664969308489517,0.6593273295261767,0.7172310583305593,0.5312315033519495,0.5683186894413674,0.6367620632563726,0.5178562920814405,0.9266811797512113,0.5263096119353293,0.7197714495668729,0.7061265713425726,0.5131536294068374,0.5786108210989935,0.7685507401320878,0.8740116212159905,0.6012061833184932,0.9046864896375822,0.5658641964030061,0.5854086216911907,0.8028359728661849,0.7109371341765558,0.7092826518843909,0.7280142858427788,0.6362264819484542,0.5126231103482607,0.746080762700901,0.7956721793856865,0.6251858534629794,0.6492806690253772,0.727430093063307,0.6742632419026957,0.5694704244733361
3,0.7326658932741601,0.44306566670104774,0.5726202591555226,0.7131983311126204,0.4871308174491664,0.392164978159415,0.7883286450538435,0.47381274460346856,0.7664478459929697,0.7478802704115755,0.4740287200769361,0.697679564173435,0.555777731671103,0.4331159177120296,0.4923767839042852,0.6617473958859464,0.6738550729935537,0.7944688415169668,0.4399904252597673,0.5658493392487338,0.5647464396725393,0.44659850840926085,0.7520657430846791,0.4165363462197451,0.7093662575703332,0.47155240013329514,0.3575514673928176,0.5471304846582571,0.46417474987972374,0.6234746897892584,0.42473322961494686,0.5011538675488295,0.6451446149871447,0.4230313942874685,0.519052640492518,0.6116687971379573,0.4967578694338416,0.4245572498875436,0.4206311894805892,0.6139062753671961,0.553941647358899,0.4827177410853608,0.5289438904374747,0.48731931176227583,0.562292972494217,0.7989280009408548,0.6533778224095075,0.5347870221218091,0.7792299248186212,0.8550702280932004,0.6156258919690923,0.4143981493210338,0.5352248213122868,0.6546149686683136,0.7412380784569486,0.5840829093246982,0.4983341753072684,0.6079574037187012,0.552295291300687,0.5748447868245908,0.7705434624440679,0.3031538746633943,0.6084795281569645,0.5417949615878522,0.37814576189401206,0.714826043684559,0.571096205518572,0.48388566160074287,0.7653405874147419,0.4165973236547844,0.46143711778134866,0.5579938825185997,0.6793015447666633,0.3741829038232698,0.39304266300972746,0.4484507614438026,0.7433828237427238,0.5677812947712176,0.5671817395441227,0.6204169728104342,0.45528833794203305,0.5541041559879386,0.46391993938847964,0.41613096269924377,0.4391385729941897,0.6058137033113382,0.7405651332964627,0.3776167277949305,0.40434406754727537,0.7589660837461463,0.3955589997389011,0.7021599134342211,0.5998741153523663,0.4333157696287888,0.4179920795784573,0.424540926257579,0.6063195734317095,0.7542161607089846,0.4132010878663859,0.7367037298720273
4,0.4626477555230716,0.36240387349098635,0.2588968287552358,0.3897790229885896,0.5427700645258832,0.42577934148428986,0.26004056294804834,0.4258587383958814,0.49815624489642674,0.5754704662677803,0.37355850672267854,0.42410907224068417,0.4322782275797028,0.23614650826651884,0.5158954042522121,0.3218263815097737,0.44784046609946837,0.3905951482743909,0.5116530894418698,0.3396203289064397,0.394178148876694,0.4057763738913571,0.5345133126628775,0.3475088919430398,0.34151153564596337,0.43374305884715825,0.413377924397355,0.43330055784731125,0.4963294671021359,0.44553852984982156,0.3994213287845916,0.32662825804133455,0.3628684177807353,0.5800762189279272,0.5412478530209424,0.42766910244632883,0.3221487236989158,0.4657907817284147,0.39980508460163233,0.2597375412998284,0.3677424844152658,0.5165663372844889,0.5285893050274941,0.41312738301136,0.36428249981342575,0.32158713860266763,0.5848285338470273,0.40743067682451906,0.3967063110938618,0.47607154588882883,0.5192004237467673,0.3167751769864551,0.4311317318341422,0.4294583098266984,0.39747999492654773,0.38033374855591995,0.3706030133752496,0.33410727162547893,0.4720554282800141,0.5074803706917073,0.6449348045136762,0.34042530190673537,0.4526359574559391,0.4100110537044831,0.508016879604903,0.3809381483575556,0.31501814739292555,0.32211555907579437,0.321175956986278,0.5285931754367739,0.5107889537557724,0.5870987238695905,0.31519440253413,0.41656698156284766,0.39060263591998934,0.3487283163355974,0.8208664628408373,0.4379762935077327,0.5214315381118199,0.478917209998064,0.4676456148782351,0.4465909973552096,0.2656430146714628,0.402136350930662,0.6606798747437868,0.40140839999583355,0.4257068917415777,0.6235173373090632,0.4759117658162264,0.5384862196021795,0.5846495927292117,0.38104153697513365,0.3462394777965032,0.44102369154613563,0.5559394505867494,0.46895938354091615,0.35841221452269845,0.38759693488446356,0.36014946335625564,0.7847950727419424
5,0.39238133135727726,0.4844558472050201,0.27586239700931814,0.30410938138012655,0.5285966131807847,0.4406179487295151,0.2998567105252551,0.23275842165122862,0.23888380773607665,0.3901324458173323,0.29102211551945323,0.2966271791876993,0.33695451768475804,0.35548087398246886,0.6114185507537466,0.24985907850756994,0.3535942546767138,0.3135540930240316,0.29827455325787,0.3003515814845843,0.3220401451877176,0.34486052907418663,0.29464238174537083,0.32766561521746995,0.34079754864696177,0.26259464979372216,0.26950196759344214,0.34069121592445806,0.4724209076842558,0.5279433148498599,0.36316294687845496,0.5128766969356173,0.3767929118449086,0.3271258921065717,0.39600154534739584,0.24943422249809466,0.38384034620592233,0.34623954028808446,0.2933168635747131,0.232027040458332,0.6107835926371914,0.32383150590436394,0.36606562427879863,0.4076455674398938,0.5425770376258754,0.18561041351282093,0.3019431476942278,0.4093168989490583,0.4526140371535108,0.43260772806664627,0.3386354850334323,0.21397264723901455,0.27184069500702046,0.4513398497629516,0.44685668172923676,0.3477438891802529,0.34540011987111596,0.23609510432612846,0.2646006489645315,0.42392292494345574,0.3823476706915683,0.23344348322931818,0.2869332038293668,0.4048591849024581,0.30865608493826246,0.2740369955602733,0.3978736598838952,0.236996556111857,0.433710028849156,0.3337348752787427,0.37766151612159526,0.5217150227263883,0.2438190166282348,0.26876296619403517,0.13798869218225973,0.5327119333333925,0.36465709087064957,0.33522546358508154,0.42807494545271907,0.17174474510147308,0.3273496356528025,0.30425206410255945,0.2980969381163616,0.3792984635652684,0.28748154201955645,0.284269172164205,0.4553228282391364,0.4099866862520416,0.3869941758430794,0.2599255007113679,0.3948980691808519,0.24664424812570818,0.40307361955295007,0.36867628249150464,0.2793166431156231,0.3115056593499377,0.4086468410240067,0.41358770663582445,0.3126554821705678,0.4656314033941815
6,0.5972013825695617,0.279492504740426,0.23654773133554596,0.2968091476940702,0.27135484275121136,0.3273813548885772,0.30050498228922284,0.3380775422776363,0.5232251169207648,0.3581507962014695,0.5158228404287415,0.29347477983073034,0.4717958060494811,0.21548319640734281,0.28436846258728743,0.4556562570771546,0.24645420311109079,0.5775588733309669,0.31425607224322305,0.21396412844458712,0.16380714312199518,0.18628482875901564,0.2592733781907067,0.2559443663237051,0.33413605838300064,0.28683843440305723,0.2452673573628753,0.20851685657212227,0.2063490532914145,0.3308829720337675,0.3294244845867341,0.30978129112656727,0.17083805696513066,0.3126697511472012,0.3542894853149561,0.2769100627197383,0.3180109268497914,0.3964451068738115,0.2840200776117019,0.33480080750912344,0.5179889596367098,0.3539557511493382,0.29252490730072345,0.33793035400700155,0.43723478365141155,0.4352758249138585,0.17772584076127285,0.3434433609308165,0.2054588757559891,0.37176955783792653,0.23949204574193306,0.5779529306562275,0.2791789282171857,0.44268511468747085,0.21293128301665498,0.29216543335012446,0.30059252155674354,0.26968952381751343,0.1944309648271476,0.3175035633762655,0.2672237560771734,0.6311430565916325,0.18110457203890917,0.2888334794964309,0.36518571659696497,0.2276514451342545,0.33222162162888935,0.22401243241995017,0.3013141822237828,0.18136959976057476,0.30376101849356985,0.39871295786032446,0.3893377272027633,0.23817154450903444,0.2999471006624933,0.305932820551273,0.2308678802705353,0.18900792211861195,0.3723584504446733,0.11892039724552828,0.2787918194712934,0.3705068242851306,0.21951041134378024,0.3996567879260814,0.3054810618957803,0.44017648723084446,0.40942073984153393,0.3199464036700821,0.3317395991664285,0.40959298983020853,0.18600023920955822,0.2967130625162542,0.31830854896217997,0.35973416984470286,0.4016333737308555,0.30023540134170146,0.28483370604417113,0.35077065624723613,0.23586450916034107,0.39582595646345275
7,0.14780209980198655,0.33681612642605674,0.2876012072923174,0.21763100132001878,0.3784164829958261,0.1760976937421299,0.3117930598257075,0.11073529359990208,0.4857879192358898,0.24197504175249596,0.264776250386642,0.17194268145652947,0.24279893467210412,0.37155709713247653,0.30213458643657454,0.2986372858033376,0.37381362683224695,0.21645329271069225,0.2573204215269682,0.16731388012513704,0.14306777292094308,0.4125251702833963,0.1543315991128893,0.29038642498540346,0.11034928553401246,0.3976400495937281,0.31656553672845855,0.29292011540461804,0.15999310185658588,0.31952783461477785,0.182748497566102,0.25550802973051834,0.38644331534731036,0.1577379073537053,0.17050975085199993,0.27537093390539114,0.18336374098944153,0.10010211240741207,0.2387710199580969,0.13708086858634327,0.516328209326368,0.2683458100539349,0.2509453005621288,0.4305192624649924,0.2542876259405611,0.18481560630740956,0.2905105582216031,0.24168684819124697,0.33461224953581337,0.32730546160850693,0.21866437176733688,0.34434388288391626,0.16003399002239904,0.44167430105843053,0.17968477759485924,0.47531953570751306,0.2695754482582706,0.33155827198587096,0.38372038007404397,0.2551947873830571,0.3897484576742296,0.3142923844098052,0.2430294057036223,0.18987540001047432,0.3522032050689985,0.30140594420276434,0.23025431875995084,0.21456758612527582,0.3200384591426736,0.3113097675185612,0.1533240263275003,0.3021657057992547,0.23728813053858056,0.20386029246361914,0.23031756769007106,0.14851918179168733,0.2476440452330717,0.4348378194359206,0.3294607722444115,0.2422370944782435,0.25358689760880604,0.27638355015471094,0.25225485245722223,0.28740401042595554,0.3721495671960705,0.37408666892292586,0.2335317005295513,0.3119151475101364,0.2574889070250185,0.223685905888378,0.20451828244239378,0.20595282283146976,0.22810446225009795,0.49193136821890937,0.4008865672204993,0.12938860170657818,0.23367477359073552,0.2620035504228061,0.3081141951798627,0.18070643294141042
8,0.3755784144348431,0.2309654777309893,0.10918372601056414,0.1126694612555067,0.1848076017726482,0.16572674764227102,0.1843963713410497,0.2078110134164194,0.1113313414485202,0.2674396946849298,0.3158692799560242,0.28646851735082257,0.22834158811417937,0.30262265089167206,0.2744517098405078,0.25693812825997575,0.23905917547776878,0.2314593997705865,0.13774885580470486,0.3564576099226444,0.17116193502154387,0.13077441627772202,0.4589473049366084,0.18624511188768567,0.19152352436996556,0.22667438786683136,0.3498997217852029,0.479982094630375,0.22604641052711905,0.23215549130089208,0.2512300231195884,0.21499928142131608,0.4151107472766131,0.08799577212240917,0.18928233693487395,0.3335237501085989,0.21247688535595566,0.2698085220426961,0.2921049118313046,0.5044681232563768,0.24392156728473713,0.12403463013146221,0.1319983118191692,0.246139680617541,0.17752348744770918,0.2537387062504457,0.10181706838586946,0.19863668903476606,0.16701776585991168,0.2642195216681884,0.22528821312378344,0.22864415233528979,0.2955956937512837,0.14064275807420823,0.21792403721730702,0.13438487800572452,0.13047786994297073,0.1981407227810148,0.16334106858762265,0.13239081416728138,0.3732499630293149,0.18633034607546062,0.2791749407423356,0.23513028591122087,0.1675326549450692,0.1696945190352418,0.11213808862222319,0.21251112020470253,0.21169087555874533,0.28534364423945346,0.2937918360833872,0.21976301175144153,0.1911606879099994,0.09220658060665321,0.20457408068382799,0.10191586938937336,0.45377431675605684,0.19874600960644728,0.29094257543466595,0.17240108696429923,0.16968044394013693,0.14276378518331645,0.22487743330365872,0.2061180622687122,0.17245317821004735,0.3220388816269979,0.16348490532427595,0.14608728609434707,0.08972314443474116,0.1933312619431835,0.1515658354653413,0.11379692006292574,0.3179500484268041,0.15577724766129386,0.19565172154044608,0.16640029699304948,0.30966276255512515,0.29036216213918276,0.17654484184388997,0.28463112420440484
9,0.26626045990784497,0.26496643476562487,0.08165995160423567,0.24460534603035733,0.15169637225219712,0.3732782752675178,0.09798481179744367,0.14156242830535815,0.19975539356932104,0.08974810539938238,0.1632523838716936,0.1422825426856853,0.3777035466029939,0.05783697380106645,0.2610409387230239,0.20633776885929045,0.09132502218114313,0.13972331906517232,0.045485440499309915,0.1477236578461576,0.17287950877245695,0.14941017582717986,0.22697178595514,0.25773876849961763,0.1281429684888763,0.28583385808142714,0.16769102230281707,0.13100496073113788,0.11826850419264179,0.2784639887247423,0.2911892974955146,0.09746306320175413,0.13458167963674939,0.2045215356856963,0.1547689519083878,0.12465497443390872,0.16398939475711694,0.12747737050574803,0.17431619985437563,0.18015625956007097,0.18047702231276275,0.36093472871416266,0.15487178833321902,0.20323381458467593,0.15265170280869056,0.19650083970993704,0.21095385340477713,0.06432517839559126,0.1421193279791697,0.14336686748131933,0.08066220345766051,0.14499508295291663,0.11268828656091001,0.16521394811728707,0.1437540247667849,0.2554040498734782,0.06494809769582766,0.26365206892740034,0.13844697037173415,0.23314475596969997,0.1760027477086864,0.184795512437121,0.13606723043099989,0.17872960956452089,0.15673755314971227,0.28114083558527647,0.15484414722924633,0.21651235629489107,0.09171121230877688,0.25140508757681923,0.16355384282083152,0.1634720431954857,0.1361477178889131,0.1756616715725906,0.28897080438828127,0.1728362011586797,0.21628132942361167,0.18629651953093007,0.1115271295781084,0.11444968060400895,0.24537083228533252,0.2288291835831452,0.14227166671047464,0.19163220190475105,0.1490778927853964,0.18471589157445945,0.1342994136441622,0.1980277098690011,0.15565785751542482,0.2022839653776758,0.2679704877278186,0.25174990718063217,0.21492361606466992,0.25853185762246245,0.2687830106489648,0.1704048114233505,0.1340863940029341,0.3598933419593422,0.10643332252209758,0.14189266415198842
10,0.08727410924990964,0.04297448395087167,0.232603993686743,0.17880190821248476,0.13982812927367128,0.20930245421634985,0.1906224062982379,0.1847800451785282,0.17812801184266847,0.1411955293780831,0.15000681417541506,0.21597802947349687,0.1232668269789643,0.11049076627590082,0.08246016811942147,0.21081603346628153,0.052146069015616914,0.15640524059725047,0.12484147165299353,0.17845931119936753,0.2111604810983857,0.100027873451072,0.04565949889892107,0.06783320003011106,0.10833468968378457,0.22873687860685388,0.15307380178140095,0.16387635890493912,0.09689399000620924,0.12139982419193618,0.08814088680939802,0.1409110473641454,0.13625396151690083,0.37238321844294,0.10173835543801657,0.1095769366156294,0.08065560762894775,0.10187837742292871,0.15725382518863362,0.20954811892597747,0.23144208928618326,0.18317982097937535,0.08343820157696946,0.23322936487066426,0.1521945992695114,0.07466997925564123,0.1335935519155943,0.22703521766416968,0.10157292375984805,0.2424808640450683,0.12005565367419502,0.15257200339378008,0.08389292885660293,0.0800004002650927,0.16197422151277607,0.1918478563684709,0.08355564479029287,0.2031408548685999,0.10199293249608798,0.1496392341010253,0.10138127567935773,0.11272762690091476,0.16946211864514082,0.16342109061506238,0.26190555586245956,0.08165617650886048,0.08618820866907573,0.10012400146738465,0.19850157784498557,0.11424571085066182,0.10136031798991119,0.09302728255379966,0.16937349563667792,0.3101647622844823,0.21483765739526262,0.19853928137592824,0.1388145372170173,0.15714159265767313,0.16213889704732076,0.07942844961681061,0.15885535012197338,0.1328611459418949,0.06476864494931334,0.09362135965569174,0.25429614082863417,0.13932819046117217,0.1461490949609423,0.07715419182782668,0.2723110163418009,0.1238634386747085,0.1516268964811306,0.10350499222779064,0.21113403557441246,0.06504780106573904,0.09309436500600032,0.22498852145548276,0.09148347469383311,0.10304246885697743,0.21886924417573872,0.17961020610992273
11,0.13502550928698498,0.1222142719391025,0.12088938837924901,0.13520799557718077,0.11989410483756646,0.14587855152369456,0.09779923680542824,0.1291279002183814,0.151658999168796,0.14898344054050183,0.10243476364345883,0.10870932823913881,0.11988944742802898,0.14012872805088628,0.22116838111436699,0.03551484211398315,0.1556918427869789,0.17610586581535803,0.15136640962403525,0.1440781177869691,0.07163132749637935,0.1606139564371818,0.11925269741698452,0.1341263808794273,0.19205727245484217,0.10334689243266104,0.056184464950966295,0.1217873158189482,0.1769714025340423,0.054374451815223934,0.15005932682505763,0.11599640249667542,0.19727838879594994,0.056310065762779415,0.17665048089852609,0.09217210300601997,0.1536861982486879,0.16426566120498287,0.06325593651246197,0.10056512455770317,0.1329664798524084,0.08453209483636692,0.17843576602907718,0.24306990574545695,0.161866225896246,0.12975242011787858,0.1760171916077703,0.10012989372859904,0.10103452126128709,0.17199017616416956,0.08714258829084875,0.09382211098113225,0.045164259079626845,0.1553605638347374,0.1105465060042351,0.2671906214043075,0.11105184279888602,0.09987663359947851,0.03820406480268601,0.10233823613716397,0.10594985100382637,0.1306196543060767,0.13032309721558544,0.04103192324075322,0.11767013162664497,0.06653768791741388,0.061061089540180635,0.04915187102009044,0.21030835614857002,0.08101555045740405,0.0867749310971978,0.1797860334980783,0.09904754021777018,0.12489296860624077,0.1513931310161588,0.07996794305828447,0.11241658120922704,0.18645870770197737,0.06760117066975135,0.07363256434949861,0.10027915913452157,0.10462523276377089,0.03327870428183155,0.05732825688527032,0.12986734761659913,0.20508712867841206,0.12314924149917483,0.2762582878620853,0.19021681760899034,0.10659733251370296,0.11277975012189623,0.08671248247597207,0.10990117220254503,0.1430817920268923,0.08492336191631678,0.09275246802764148,0.20006210056319373,0.25367658323111986,0.0907389292616585,0.03331634504052694
