k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.8486984240329123,0.5451453462884166,0.4787261859388894,0.7622890119341871,0.783299789338084,0.5602750649316838,0.5772363164182575,0.6839162501655893,0.7619642744124495,0.532382354888534,0.6212723390752005,0.6919267257723105,0.6146070203187491,0.8170697476494139,0.7829235289207167,0.7795260778698715,0.7555833605777531,0.6430727064564032,0.6715404099836002,0.48360975635976844,0.6008857379024921,0.6959225710271777,0.6948543630921001,0.7984922072802513,0.7246895331842682,0.6266675492877659,0.6319084394481203,0.7156033571783751,0.6977497251116683,0.6323675461738182,0.945671877916038,0.73544450016864,0.7307990752945539,0.7146561782070877,0.8140869120245424,0.6448256666831294,0.5273706240599058,0.5976975738636743,0.8837468949723215,0.7077130497362769,0.6688830863535045,0.7396307610974819,0.7996795400298052,0.6164275819411598,0.6676629124394686,0.7263311128594667,0.5594524752923035,0.8222739115931309,0.6719831345727445,0.5918711078039582,0.6903370761547303,0.7474856004784738,0.7924460748051467,0.5124243495561636,0.6411666352097364,0.6755208544609711,0.6234977297231036,0.6126480580451861,0.5364872207219464,0.659700307042425,0.5730795591416094,0.6057800341278613,0.5724468187791963,0.6487999105031683,0.7473122815772861,0.8739456474660663,0.71940705584434,0.855081485062658,0.8603588002466218,0.7639581000505897,0.6544792037769195,0.692476504404898,0.7958659208777326,0.8044933071763432,0.5948784319141381,0.7132940612800072,0.6270147922156987,0.6473873377831223,0.6384554392341515,0.9100243275727312,0.7748753198812981,0.5572965230223612,0.8999871440102236,0.6410718077833084,0.5218771834033681,0.5508075987223219,0.7947649231375071,0.5954432719964611,0.6258675991927665,0.4904146784227683,0.6587755429739703,0.7180066185173101,0.8287662667827115,0.5629431691004231,0.6901177462742881,0.7583655659150548,0.4780939976109042,0.5550175413051833,0.7449843953365349,0.701815672472716
3,0.8914851998718176,0.5633201341092151,0.8474338466007908,0.5486308864169324,0.7954790406188137,0.35327427136565903,0.5142512032758754,0.6338198412639179,0.6434229916619608,0.42391455654687205,0.4720267490211709,0.6590021394701953,0.49724598171422996,0.4492366387030191,0.45760203398695865,0.641899717929834,0.43292259117208465,0.6269822862235988,0.5179860902531437,0.5563365405640807,0.6181870657186137,0.5907248596155243,0.6022985709422319,0.4919727996587724,0.6105510278838522,0.4773989668147949,0.7187528858743544,0.45831222377784764,0.6969200412936698,0.8945643699078649,0.7900689778524973,0.484097455179082,0.6298820519466046,0.5922073197044738,0.47284296518472224,0.5430653531983181,0.5757050939092947,0.6274509032232394,0.7127485679252863,0.5222549361099864,0.5660407197696691,0.42833010533229976,0.7413281218595142,0.5484964017990802,0.8414042010798668,0.419919078380681,0.4736261626671242,0.5726258780640883,0.6260517357593323,0.4407495043108254,0.6093115789308025,0.536736829655831,0.3323183976845121,0.2912325245011935,0.7021688642365032,0.431931137216377,0.412706986528517,0.5995767052461181,0.5524297380269524,0.5988388706555652,0.41843446657438244,0.7468619161784325,0.6148013637327507,0.5315349337582538,0.5142216471834222,0.6233890378541389,0.4869914037578238,0.40120983630024054,0.5762690654030571,0.4026565182643095,0.29728724625161584,0.5512133415315604,0.7725335480738503,0.3834817510627171,0.4019923757526067,0.44680520374128074,0.6964225281453826,0.4038170176134691,0.6048417015609939,0.41079617798444834,0.39676341143770055,0.5802744220665886,0.48819270722593866,0.5206996852802592,0.47986587066614206,0.37913593363572473,0.5517045094282539,0.4942841660736479,0.5988906160170551,0.7176761874093575,0.7133121468941114,0.6576499863449825,0.5155451474643085,0.5649244885097907,0.5256214863955935,0.41505791406365433,0.9310000313300872,0.768506947063949,0.5240077872826864,0.6545969758177812
4,0.6001379157158104,0.45080199051672865,0.4813518801243353,0.49903866289933385,0.365505127290249,0.6210743586112399,0.43793860285623776,0.4083781754358775,0.2650796926929202,0.381287546442872,0.41865517090333115,0.44502078596921457,0.46139363881382134,0.7564142849411937,0.4154530571301269,0.4480392022982487,0.46168198856272535,0.4140825815098068,0.4339307867977549,0.46745799591397996,0.4085497569937061,0.5477557396464339,0.31513696310673034,0.42349936534819654,0.529395982354885,0.4038928115933975,0.48828005025428745,0.5561361010824608,0.3850233144186349,0.38023810962558535,0.587020052936993,0.33277753529097454,0.4396824169705871,0.3633759186978798,0.3400222194087157,0.5170693407379685,0.705239079438708,0.6039006890449028,0.5217347056055446,0.46453167490100733,0.5801847966626188,0.7070235509521329,0.39163136477064064,0.4365727541784762,0.6031401036458666,0.5935247680991207,0.5876748430391471,0.3454581828370422,0.4395965411755054,0.35652091557536647,0.4955944363139946,0.7363804892130557,0.6227647189610512,0.4852591772802227,0.858280754318891,0.4701308582178152,0.3466724367115789,0.7265687126956537,0.3442603794948029,0.2939222308202326,0.4252753182910727,0.41964515853154893,0.3536419312477517,0.6011803837523618,0.48424036857705977,0.5454099781642601,0.5932229937297018,0.6422875975411652,0.6094133457625482,0.3895350206666526,0.4461295259166177,0.3867933381950295,0.2385809578050948,0.39244302576629064,0.5126851336537268,0.3276874204109861,0.4140677010357874,0.37016251212448403,0.4965208446530174,0.4965890419391332,0.5366178436718667,0.4652682137477856,0.42352400136100365,0.3970842083625896,0.45453720765446015,0.5551535658571025,0.8457266133727586,0.3983565361170649,0.5597166868599421,0.5431780846290362,0.5747685331992936,0.44666443874796935,0.41992633785888467,0.442612567437915,0.43947281962037865,0.5755296356867732,0.4953644956119344,0.42583186859754496,0.6197716153100749,0.5356655855754486
5,0.33579063847398505,0.43496352133440597,0.41909445641918874,0.3382554784557419,0.4700493499854266,0.3762035629749494,0.6108349545747762,0.6025132957680658,0.40813244466240506,0.3763516376298335,0.26950389196901614,0.3942326276614133,0.30212911696529754,0.4815236094402485,0.319309984097801,0.39880536243501896,0.5281324345533496,0.3854277815535384,0.36984739153679713,0.2878098634476356,0.4120812101191922,0.5570245121244823,0.35319442204905627,0.5087257756864909,0.5626182802906701,0.4006083656232804,0.5027318990336784,0.4584301961677313,0.3662770783820096,0.42645369510852094,0.34445254109075285,0.3858127866571608,0.27111307624988945,0.5695435234429915,0.5229571566800526,0.553496378330343,0.4911999458664372,0.5199869757827739,0.39095168551748594,0.354007696659289,0.3874730954194556,0.5316955214243261,0.42552739983318566,0.33855159316580985,0.3595605716809296,0.42985056470617944,0.734388511332589,0.5226229655414061,0.35292283768069266,0.49969200941491865,0.5839123554838871,0.31466826357233324,0.280912231767771,0.3797875617963893,0.48758373066284744,0.46229261703329216,0.6022810358791086,0.18984364876677706,0.5310540542296152,0.4207549940745847,0.3851783601781702,0.22736824214879192,0.35640065283486555,0.2619849669176463,0.3558444219262221,0.43287852734938737,0.33857058653017047,0.3811235132992621,0.26988816528431414,0.6677214902901785,0.3507378886002872,0.639759745526494,0.49061980375937464,0.25302480698313357,0.44051274368179794,0.37889224169080715,0.4476684906016457,0.40072188290291444,0.40946389548767526,0.1913317749523209,0.32452311366689024,0.44434150535848305,0.38785046223468933,0.5016303617713831,0.21310804839674768,0.5939501662994867,0.2566179616196069,0.38433401439527015,0.4789805849529509,0.42781367210767796,0.4387439951415002,0.2358019567294105,0.2865991434685663,0.29047112094211214,0.4159065868488402,0.3690298792414326,0.5306185800945404,0.5943886917603494,0.4182718150443411,0.4747567629947763
6,0.7064816005017227,0.3424563879143213,0.27904875375913174,0.42451277129931064,0.2885676283641947,0.43393609351369256,0.3736764916017252,0.4087441746619055,0.22507256579656743,0.22564924114808693,0.2950589781437788,0.3117837962921506,0.26980967837215586,0.3158104375834744,0.3794306905876621,0.3651800900658473,0.4911087610660554,0.3884508064664929,0.44404938298469876,0.2697259711322012,0.2423188136208474,0.25527583154182854,0.3037966988616827,0.27787006565036565,0.3592733252931941,0.353843855569685,0.5626467005594374,0.34852589309501303,0.3731140835727623,0.3214475834418258,0.2428292195071523,0.2467872996259035,0.43739747558380115,0.26794952222502544,0.33443047654901104,0.2695057776834149,0.4012531184104633,0.30234331286339633,0.44395931941393585,0.33779203935936897,0.2253037684972904,0.5083674199495223,0.4632729570098142,0.5014534063367234,0.3345984308464651,0.25809203797099867,0.25143894127809663,0.3042859825363723,0.3016333385762786,0.2781429128308076,0.2636614595624639,0.38343730016813704,0.3904301081034298,0.332560672343472,0.30096366132352403,0.4289715976628131,0.16909403265439837,0.3428870022564374,0.43461200803279376,0.415446072436629,0.33329412698637606,0.5193823681314176,0.19937460312475386,0.44706942034253516,0.4192090662475767,0.3173198260381713,0.3801212008386585,0.37156925036272914,0.407125011152597,0.2526635047162812,0.5749329938103825,0.2958137346157209,0.4180293989822208,0.3313490480491663,0.30745709875662885,0.2240575542843265,0.33975336728051964,0.41488135117617564,0.26892983129400405,0.20409034564249273,0.34840499268367253,0.38576848557104004,0.22976502159438594,0.25814725511297154,0.22763670901264033,0.36452032853806726,0.3344854250844199,0.19291681851423337,0.37544372350152655,0.3664299777879525,0.3028757635793805,0.6042626987412871,0.36111534738210993,0.3460438658738302,0.4618301570029162,0.37409191793751817,0.22732201348403724,0.37038088261673274,0.1822172037309483,0.28588564749584033
7,0.12209777999110005,0.29976437680582757,0.3725428015738781,0.44978151934141786,0.3619887390125549,0.45814953970937145,0.22927595034692594,0.3811636460824662,0.30417294284285956,0.41308938065440215,0.5857033734907797,0.32723861840743373,0.18361452555541946,0.3328407775621163,0.20063593995109463,0.2974707997316318,0.31849689822367677,0.21495113462990578,0.26249037417070165,0.26333854765122366,0.3742205133359283,0.11113693089320087,0.14772290028850055,0.581111808900697,0.19653330464971897,0.40200142354407853,0.3556347237737292,0.3970764151270486,0.5768894655341161,0.30583244904898765,0.2287094597047904,0.3226478956744663,0.3672400744009906,0.33919071012602764,0.19419712313910442,0.3328266701639645,0.32612525678148363,0.21367699595286904,0.32324031395550523,0.3656249248611697,0.32376227906218025,0.37662973747168715,0.3362974259738132,0.1761459443828579,0.3705052660324655,0.21768315187285836,0.320882232230995,0.1632546712597669,0.34406480613724455,0.21988312450545344,0.4226320587785043,0.3072513564656282,0.257888047028603,0.23211760755168098,0.40276290282998717,0.24527185228363568,0.3287781456303501,0.23267701606677782,0.38257008145270355,0.2365155756570667,0.13712944201662614,0.1982644371114044,0.3245915938014644,0.3115905685162341,0.4100479973681186,0.41532010313485934,0.2491621087290955,0.3238776244944406,0.4185914800593675,0.5060104364604343,0.08270895272045031,0.29121303193246795,0.2675671163365041,0.40270191556247137,0.6217908390783655,0.4250180521842907,0.22250557880774502,0.3880365508101469,0.4489218258015969,0.18613503158126055,0.306672091002802,0.5549846010806304,0.3331308174036164,0.2629683109548846,0.4222112578080365,0.18638257172364747,0.3810539687587342,0.3015623769890875,0.3074461591339932,0.21121795684517075,0.5855284195803107,0.3090052657052189,0.2907794675544585,0.22712977649396038,0.22688929406023295,0.2621063357383512,0.3428282731910123,0.3417153071734138,0.14182733217529075,0.3906914795081152
8,0.2619055254610345,0.3189517627803431,0.1726513804347981,0.19919964537091894,0.28127236139702505,0.19536506608857096,0.18948196281874063,0.41947109486123446,0.18157465176116894,0.281808949563486,0.198203103666299,0.46360251010065645,0.29154967255918063,0.39881567719893396,0.17091382085676787,0.24850349655097315,0.1846807726175932,0.30321026423259734,0.28222020793098357,0.17564979600173747,0.1358760207513039,0.29294833386155195,0.314568670463117,0.2769056240612153,0.1879670686579984,0.15694732559939106,0.35256128212623417,0.2730572829247976,0.25823308303229686,0.24674972298167375,0.21332657152605794,0.28455619459700365,0.34484870155810987,0.23502792791282823,0.3364391248631883,0.28870285835728293,0.38598911863064644,0.1825093896055282,0.41840221368678066,0.3860434327622455,0.31070032026282346,0.2756384917018998,0.3268435300916781,0.2634321709457461,0.37765626434176003,0.2944626316538229,0.3167263369942199,0.3120806483387374,0.3450105940700666,0.12805494561872655,0.22320313059273733,0.469615326109339,0.3227727367526143,0.4362679394249739,0.21765696673347523,0.29616175864483085,0.24238460832181685,0.18233808159124842,0.3189992750366446,0.21107765089629482,0.24126350773698202,0.2455552232818169,0.24186465779917166,0.4373537658885779,0.17875197827000078,0.3063664470258056,0.16349952196686646,0.32784735668145404,0.1284639455027835,0.23485619720782336,0.25671626709909356,0.21005829785222663,0.27073996461962846,0.2907451377816841,0.2080772145185511,0.2749300255264645,0.3137269835501397,0.25577254683671835,0.13242344237193937,0.29961010534613364,0.18900595227193273,0.22324859612154901,0.3213634376244425,0.2780306302193922,0.3772510147764425,0.22470363711369123,0.3284054297081709,0.17580364471056065,0.24793058029838266,0.23530900173707037,0.16869601534601864,0.22433288128601747,0.4219545617868259,0.17611898321550012,0.16140837109027006,0.14359414640534363,0.28699780976956746,0.32767350166465026,0.1853235194920828,0.24640289981862074
9,0.21154385169187995,0.34635795939793135,0.18344604099115935,0.23121695612161008,0.09811851593402643,0.16058433623009627,0.2643557876770869,0.15351972336590236,0.22405245996831413,0.23062564720417233,0.18123448398362307,0.2511625850857644,0.22603341794520748,0.37893614585990776,0.4586344872109417,0.3381204631842075,0.3066372364048495,0.2959801316675247,0.3316105833975783,0.3802676295628965,0.32846020237345175,0.1927467776047066,0.3058990812120912,0.24656002252265485,0.34947316251551075,0.2073825772814717,0.5527595942570337,0.21530846733153453,0.24125081927379333,0.21032521208955635,0.24706221930963868,0.5524998975196964,0.12440494504506361,0.2775576657107728,0.08602529949798776,0.24010434992697927,0.2799013609868649,0.20207880505571751,0.2560061307725877,0.16763879659585035,0.1259538954959809,0.3341512646905339,0.15488969306841516,0.19372834890569268,0.4430132854085227,0.34538969679989906,0.19207228762148187,0.5201007419153751,0.29693005639124104,0.3762393584881456,0.330548662154309,0.23965756574482944,0.1596238517643499,0.2479271657005918,0.1814261719789383,0.18582283723243764,0.31699090729613355,0.3837893358364117,0.1527867286484067,0.2065763882599767,0.27500108865963835,0.21352644511396912,0.24754776838454307,0.23989023225456674,0.3143481606808103,0.09341010066612032,0.24165069308571963,0.24684418004287567,0.26359577428746794,0.19564028272804745,0.08611630989049002,0.40280567051299654,0.2557062725298984,0.48918957139604347,0.3344750971214101,0.093270081066686,0.37175934242799147,0.25053158341212634,0.10479275517274755,0.291377020593526,0.19138682308561406,0.24983612831386282,0.1325629812369039,0.3316927109657346,0.31678244146369705,0.2461136709943046,0.11719385831023776,0.3626943394572626,0.2548659457922767,0.2500443166686631,0.22659913494769357,0.19994885676528773,0.11209055738928886,0.09738923089105023,0.2690863245997044,0.2709369232335751,0.2048785990273314,0.20394697515997928,0.1667934329075893,0.4423915253073727
10,0.23735472303752503,0.228330467222026,0.3347918447255389,0.14026992273432604,0.15904813393268658,0.09467268440389254,0.1473788670914965,0.3365234284738611,0.12894127075283535,0.38643134073120156,0.26293592459425075,0.24765211670847642,0.11831086325090678,0.17304186888042028,0.13419747989492792,0.25152142360935004,0.15694709544441365,0.1711267200276888,0.09812756310228798,0.3315027963408772,0.2285613583519328,0.2251776971495023,0.22090273202561517,0.0947609944339386,0.06524927979019934,0.233293619970106,0.1746057181338484,0.15551545532073907,0.18889981800651345,0.19162552120299647,0.141337273190709,0.13055351878874355,0.3726959296033363,0.15564876677529216,0.19557516406707287,0.30956553360218586,0.10698809963775824,0.3126382334445139,0.23778957036760406,0.27934884003419636,0.18889708990974585,0.21182048540354093,0.09863369064218142,0.12691533106344988,0.27092479125061975,0.20540585669038347,0.11930687811100171,0.26078419400639796,0.2782884344233736,0.13955753390048375,0.15148733013224036,0.31983435177438047,0.35018262118190346,0.2515113000805401,0.1677729337414411,0.180458595265231,0.3729262457720458,0.21547299409477394,0.35468584093934474,0.20152370745526849,0.14554644237185,0.1462713389588164,0.07789641063860675,0.13652977077105932,0.1506791846408525,0.11080454066634893,0.05974914953360322,0.29015899321926053,0.19352014754858682,0.1668118493168076,0.08376032749420381,0.20452517036952966,0.14111453443082012,0.2709341497879446,0.1369309958054119,0.1391092460890353,0.19403518019909916,0.0535732491264872,0.1416649630372746,0.25892585916522737,0.2778729828622548,0.16196466821059352,0.15323918246992707,0.14828221718783907,0.24372600221546004,0.13726246281861343,0.1264608188316192,0.15998436780064906,0.2774226571654639,0.1716039372710244,0.2806677829945894,0.33359579334101075,0.13244515519238387,0.18362511076681443,0.2150888500360154,0.2932454965928495,0.0754422352386801,0.14711310859119908,0.22479214540975045,0.38636642866990034
11,0.0676557744344064,0.09697542392047387,0.08185312136113831,0.18550151527064118,0.2542569380026639,0.0974421855388351,0.09408756145387898,0.36109187143824273,0.07948087497698297,0.209694378527717,0.22699884317868424,0.10418519558582306,0.10882011860823748,0.22935951422064915,0.10311268254521744,0.32865322376033945,0.05881868445644933,0.09401388314817738,0.25157441875911746,0.22100644468047725,0.2768643404562888,0.15168926223842383,0.13109251448888637,0.21493947736100172,0.150629038446354,0.13593117192550985,0.21345016301608877,0.10494815068741237,0.26045329410251394,0.14704129063990545,0.21308259521215767,0.11886106375307781,0.23605592572045675,0.14912874547433708,0.2556843894642482,0.08273730900277776,0.23695617259116208,0.09757298541562054,0.17817069761170723,0.09875941732555082,0.15755847894140906,0.14982334047726253,0.2066818418674149,0.09714122680855475,0.39651185231281416,0.12864359317510432,0.14405250584871,0.06118625640444564,0.1947863927596062,0.27952370448693586,0.09332197559572852,0.22348866632924613,0.2430427116557663,0.38980895722627296,0.14583147899356075,0.11606993543456046,0.42400904686260044,0.2211920014013783,0.12353262144891464,0.26612912898248275,0.3017371620529933,0.24198129231197396,0.18291127415044772,0.09188039274845539,0.13137879003664543,0.14646273593811954,0.13751855471857788,0.19961725055334356,0.1658233161139343,0.2781679844414,0.33533021200246815,0.10241541632233031,0.2587202032812316,0.08356064287660114,0.1213283547963947,0.22167501201679518,0.1815142797638266,0.17639327914404812,0.08265256291834844,0.11618643163900388,0.24837221161490752,0.1632676931152317,0.08877963980976789,0.2842224405047583,0.31917508473310807,0.11065855230793109,0.11908493140321863,0.16120611672335228,0.11248151807116313,0.2864048702539128,0.2095902881393643,0.27119954629098153,0.13706312542413834,0.3534216091273029,0.24804535468691835,0.13583984556993955,0.10577574643874932,0.10300184470844875,0.164582292410152,0.197559375095683
