k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.6255956154283867,0.6476139607600893,0.7691791089744938,0.6736865198202666,0.6878136663987671,0.8502656376257551,0.7014321754567434,0.6673992542764877,0.7759083974315675,0.7958379506510821,0.7008141362128399,0.6626548373774677,0.590152537234909,0.5952226217378558,0.7562788243921668,0.7196650190595557,0.7359237251647008,0.7667164394621073,0.7504681326617278,0.6688253623227738,0.6222431019753631,0.5919082785544765,0.6360940271191378,0.6925311403596588,0.7882786497240788,0.8670030121743197,0.6655668769558738,0.5391868042915454,0.6300353657569413,0.6938239712437168,0.7190316668988527,0.7544262370411381,0.6263264424135935,0.6589795057520726,0.5622331687167361,0.6255237967238144,0.5592964643081879,0.6997829516923636,0.7851057546533207,0.6173524234939022,0.5656851724314663,0.6065623649292299,0.6354186106753756,0.6918287180920548,0.55382257778987,0.8139271743160611,0.6686868256373709,0.7642292694730844,0.7957408931992191,0.7688278755628954,0.6493049917942351,0.6448904893194956,0.5729851585936496,0.7455107554926805,0.5713206257498311,0.6886365642521302,0.5979646257317999,0.5861353046083646,0.5404427822162258,0.5673970033349918,0.7409947431885877,0.7291235332330942,0.8321284049932547,0.7542900276364952,0.5513314188181464,0.6177351186069286,0.6460589841243044,0.7755053373255135,0.8395050235694814,0.8040851262534232,0.7808166146265694,0.6105743411493809,0.563599777254174,0.590279566758905,0.7032557050385351,0.5431251503531871,0.701708422910576,0.5748641955126486,0.6017727588830105,0.6166887654164084,0.6079669925523061,0.6672267148813158,0.6728329408049472,0.7899351332305525,0.7348252091551895,0.6213034580893102,0.5929806457241539,0.8312671723855433,0.6231837856430854,0.5949734442517539,0.5886667898996016,0.6939937422953026,0.8775179272819618,0.7455691010921219,0.5740426518818359,0.6730919281381743,0.7831996673875716,0.6524058373859015,0.6763675310007363,0.6061616586726619
3,0.5641384355050583,0.6806319223141074,0.5937303399053289,0.43744775884543063,0.8172852607443535,0.6190835300445136,0.7767058045241304,0.5410538646846936,0.5460603596924248,0.5837543136459252,0.5371982256807115,0.44693170773595037,0.4904431513019487,0.6159828579230302,0.5783864690925089,0.5723719108981726,0.4618927583826874,0.506563268904366,0.5637946820866242,0.6598132039236793,0.4674253062574052,0.5458722919034447,0.506964859684445,0.618896291491517,0.4434723777805435,0.591225463067637,0.5381233076379361,0.6296716244652731,0.5668692353801966,0.6115305167429221,0.5523827504593659,0.709913618170535,0.5536664671350818,0.6426558426336,0.48305180760067734,0.5521854680895646,0.46500397482410427,0.7283548318975475,0.6294885029764051,0.6355843559430778,0.45238342456869385,0.589974773904751,0.5681507553887155,0.5575568560249737,0.5759134900430369,0.44023611695653164,0.5926771170230064,0.5597012442806705,0.5123245376016483,0.5976852671056372,0.5172424527741308,0.4515886349958761,0.7329238131122006,0.5752967878260399,0.4478978136734628,0.5007708822849786,0.5545188567290666,0.48909431880901055,0.3972752514360198,0.5553601498471721,0.6186394545684806,0.5049699497075655,0.5025674632903855,0.46207551170534844,0.49525578917501023,0.5321702999641327,0.4640791051476528,0.6071768845364514,0.542759109941796,0.6770575684688056,0.5666693078712417,0.7204040054841447,0.552538872873472,0.6002544310179035,0.5309542224472936,0.583729708721809,0.5424130420533839,0.6664677811824554,0.42842036009604323,0.5890771853360623,0.4932865605421034,0.599743022309531,0.7029463559354965,0.6015628949427978,0.5135636783224446,0.6382999745506246,0.48268157495095476,0.4198051279366005,0.6590763754144469,0.6363532303103117,0.5853184082255778,0.5270424315924085,0.4514174848538357,0.5872242426775012,0.5839235128406279,0.6898805240322509,0.48319393003303,0.5731206487737721,0.577698703271311,0.5626845513417442
4,0.33829218339647293,0.40612622760455797,0.48503758650947226,0.5406894732047012,0.45864229390496636,0.5744055106792012,0.5818096420204375,0.5270828489915103,0.4730684141071214,0.43278010568519865,0.48950337394107357,0.495773370651747,0.6215578937982997,0.3749848523504792,0.39723248070492756,0.316583759542011,0.531107311748774,0.4296486020909863,0.5762833086376646,0.5734726701398991,0.3224390292823077,0.40947150152440537,0.4938919323441604,0.49639259744363273,0.47785761702050344,0.49208736576505296,0.4839638767353549,0.428215563265126,0.42197742258994386,0.534120564955255,0.4576969278570159,0.5549322559127349,0.46543827039506525,0.3692003075426,0.4870640098889051,0.46985590884050266,0.5329922520081548,0.41465746196642217,0.6018159043969512,0.36293559864435376,0.44762794696754493,0.6911917345545922,0.44940593427739184,0.3900766347600766,0.4337343219926808,0.4212452486107964,0.42928121389855833,0.31391420466420306,0.5091838427838731,0.4257092246014591,0.5626596463726804,0.7040723482699647,0.5091627365986131,0.35229165716478483,0.32033825951720396,0.48726624274708275,0.5023553807405163,0.3884000774528954,0.5612454488030887,0.6893139724976286,0.40825384513177776,0.3812173267076103,0.7114564109081103,0.4453893251938005,0.41063480539786923,0.45974382370686206,0.5054585295273308,0.5004128495098514,0.5503891600962494,0.4808099569251615,0.5108571912045523,0.6500192776470013,0.40153668714714374,0.49836042677345616,0.5480744104876184,0.46543684694497045,0.5126063989313712,0.36264934387922,0.34395526936718857,0.4912892665423291,0.4410061168838154,0.3839778084774127,0.4198636089287858,0.4843555883256965,0.5231301555877433,0.6304193563660293,0.6296221523191374,0.49150427602488655,0.5640352469536154,0.5919180996086647,0.399939645629517,0.4697115633773373,0.3654104178934413,0.4141254347413811,0.32173034302274794,0.49394616513616285,0.4973410300412676,0.6207432371218841,0.5348807871369101,0.5550721282483685
5,0.3111577599274792,0.3440131809103927,0.3042531731417274,0.3965294229370673,0.49000655102018453,0.46486984397584574,0.26456265812488144,0.4394587724319373,0.3942429252652797,0.2871476791977351,0.3610732107461442,0.4926835470151383,0.38329363978374886,0.33726925827756615,0.4173760317044892,0.4880394400463701,0.24047140764419972,0.3848059765075984,0.33667347684628024,0.4130798461920645,0.5017477152902695,0.3675109655839084,0.47226937852291584,0.4665416914333006,0.4503653237247417,0.6038870356853291,0.4335690776715053,0.33028401788572503,0.36001536255309285,0.34881132633289413,0.46183081912389945,0.45073889518795174,0.4802664505804135,0.40690532116139155,0.2978762361290094,0.4399936937469472,0.4685770694549526,0.378200885690821,0.3685244759938363,0.40333714253534814,0.3135304769891135,0.485953798598742,0.5321949183055323,0.37756784284425016,0.4673166928697051,0.32370856736408593,0.3903990251880297,0.36552348966874293,0.42838822945211985,0.3647446197417973,0.4604563634810628,0.5244254260987136,0.41630984813080163,0.30539117807462035,0.40251846478442,0.35204924718799924,0.44835958879034665,0.4358385640727819,0.628705476380858,0.531627429760138,0.2969085470511351,0.4629262448446505,0.38524313213879113,0.2820601862401745,0.2918437280896583,0.31106105064075507,0.3502980443582797,0.4283570941757535,0.4319144832900027,0.33429604296719495,0.43636647721546495,0.4199766346676874,0.4086866684920435,0.32954480691615085,0.28800102469356803,0.24024231165541232,0.45978300509421555,0.48386328757159935,0.3023440423738589,0.4768807654373547,0.3739671051870225,0.3828396747316761,0.4201687246494372,0.4408503029515618,0.33865721720836606,0.40174519381027973,0.3880011319617199,0.5156142377173354,0.3086719979835114,0.5409054136762338,0.35602948203503615,0.4552118262349568,0.37887996704450777,0.33393458911365603,0.48636820331421815,0.4940601471844511,0.4591514748400375,0.43228511380532253,0.3609186123389777,0.32261897699327247
6,0.39530395542328767,0.3206487963057916,0.3031175424144468,0.2160625362700177,0.2634223850946298,0.3456499566100373,0.2780533394791853,0.3853971229949221,0.21626498349154144,0.3129647399875485,0.22835621892511915,0.3934138948185779,0.2541444684793518,0.3410515464841851,0.18558094403668124,0.3859904215780946,0.4066093617450154,0.2475201554495683,0.3413126942646568,0.25774347703917433,0.35152300769999767,0.38681708064828746,0.4378986161562658,0.2818321624876001,0.28642273865698953,0.3490091352193172,0.2940512671550596,0.37797455980861216,0.31203026160505076,0.3733637103319767,0.2171367829658002,0.19381186753865198,0.32581846437096174,0.35143350127788353,0.31409581388524044,0.36157353120326696,0.2696422840386796,0.2659620243164712,0.3350662959049616,0.24588597433713122,0.28088540080944047,0.37029752222638557,0.31258025126823474,0.3864238138273115,0.3840673605234709,0.522197292860543,0.43902885629072563,0.38127291547777775,0.38213308968745396,0.43954558295311374,0.29399679868463147,0.33871186580537826,0.30249310801763063,0.3526021249287281,0.41939889933186925,0.47584822387664993,0.28595001649900953,0.35786989519695944,0.34308659921210294,0.3111215162764943,0.3145950844850104,0.4109821343541812,0.3559730628885006,0.412308256671167,0.43099758192393245,0.16651663795941085,0.34758527280770257,0.24616654274727945,0.34547380328729893,0.19589817187421832,0.33151767415833555,0.2780521807962245,0.2818413831540334,0.4354172308577753,0.4247670365564443,0.29024332674903375,0.35070777416629395,0.24819220247180052,0.35859965819068274,0.3537422325280136,0.3000350363221763,0.3398285252731911,0.34227350065584095,0.22605236886475477,0.3493811953974638,0.5355228789422675,0.2530616967291244,0.3175178375528719,0.3040685440732296,0.279276196390292,0.394542394441057,0.21208502549223918,0.2254486923211767,0.32030167821926503,0.36561386338186197,0.3782040858195129,0.3648715513037748,0.17299719027143812,0.2783965463463911,0.29757758978893056
7,0.4042203782399588,0.27091532444165745,0.28980584147381405,0.2722933801786621,0.21698543925751423,0.24175428452630632,0.3870256950502259,0.1836367998862516,0.4062488463995034,0.3325830271162066,0.25978370865223377,0.28050995339200513,0.34311080724017284,0.2160110738451635,0.3210555480654381,0.19740311601371807,0.39594979232468575,0.3273160305911056,0.27754204350215517,0.32790185756577317,0.31791780237803513,0.3973738303292612,0.25147468567359943,0.2915392811969647,0.2764825942516578,0.21782548577007188,0.31692541119388395,0.2582937073660211,0.2634052325845403,0.28117343094428604,0.21559563267376636,0.2582709627809986,0.19201036821074846,0.2680527653990137,0.27005051097557586,0.2923094276738496,0.41229846061307185,0.21977804265090428,0.14919624074415616,0.20520374535400843,0.35263905631380665,0.20095323989677605,0.25704892994930606,0.24476276067529368,0.2034597683846745,0.3245302614180955,0.3108983579607745,0.3322493757869399,0.2044043199672415,0.30868304610914565,0.366311493458922,0.2993524304446308,0.20194219621612175,0.12802172920799293,0.3131125614524294,0.2511571914903634,0.2966564191804457,0.4840270009162052,0.22459116692532077,0.14471195926168146,0.32301961117857503,0.350632375236699,0.26138888250122627,0.43614458334420037,0.1717037669014908,0.2679489575974423,0.29581006647378694,0.34555378514906143,0.23164401934401224,0.37842171138343683,0.2519808860415752,0.3313911032164537,0.27637323569460936,0.28182584326358096,0.22667250804177774,0.18987603225230443,0.26418003371805165,0.2953432473285601,0.34186140400785037,0.29331311699383134,0.28440941642948336,0.2577067738221398,0.23063732949959592,0.27761182640189797,0.23206793393380087,0.4058157041060575,0.33854164214825466,0.17945667323922287,0.24328115395943084,0.327570466523177,0.1580288558364763,0.2484385183409118,0.31077610799221134,0.3182795639353466,0.2579399459294057,0.4102834396677555,0.41755657256629286,0.34780186419318715,0.313883196395772,0.19630437510976517
8,0.30340530229317564,0.22661871842042736,0.21990808538664774,0.1890226746939193,0.24146760302302572,0.310335614080297,0.21526104765294518,0.19268319978764636,0.2737573698771747,0.21668945418183816,0.2216465450664712,0.2173014042224206,0.21641457679200615,0.22913993281938783,0.24682668190220614,0.11831591933705121,0.19442624543518539,0.2528537599288444,0.24903673551781325,0.24121303068149558,0.2174685232632214,0.33117739169927185,0.22133924316146147,0.27967571202303854,0.14195126583613527,0.23204313988371983,0.16440003696082972,0.22537760186777211,0.27241981203201815,0.13166787593914764,0.21907272595062444,0.27421812894862096,0.15552109555896876,0.25723084076022984,0.12478970415691171,0.1910438643856479,0.13954976662043894,0.2854164216548011,0.20155018298912197,0.16329451209389634,0.18434404762720014,0.3082041824389722,0.23280379502528392,0.3072991014649754,0.543874804551536,0.17376921179792426,0.3067066520959897,0.3201765247008601,0.21736342342000203,0.1408102178374645,0.37451049026947725,0.25751237948812733,0.17302071463202873,0.21232559961418207,0.3077478250456511,0.22443695181079182,0.318081281285144,0.16631910052292442,0.21522280617118983,0.22350440004499827,0.26497593487789395,0.30018754337888287,0.2711768518715202,0.2210075703257971,0.2011941140480078,0.25478810061895973,0.20075537688759904,0.20198941496644518,0.24787569762343653,0.16184567969779418,0.30347233553480557,0.20594073345647324,0.19356252198017476,0.32778822541169905,0.33850642907285833,0.14420615929518354,0.3948191761263884,0.2753605473425704,0.2401486114719542,0.26817587743101134,0.23969043416795155,0.15051615298179322,0.22665468964271684,0.3413068154801031,0.26376906840450154,0.19387615957313564,0.33600771199866575,0.20646615887229858,0.1375532449136191,0.2178362100408182,0.19165221725797543,0.17088761700604593,0.1570033970685637,0.46583064301181165,0.29457169865956623,0.18866037346015152,0.26979127209585707,0.27777048893475886,0.2763207501755357,0.1823887175655452
9,0.2258777377136515,0.1801767175836022,0.1109495526276808,0.19935619452057096,0.14117354570101392,0.10674712174201051,0.20702467449955264,0.20363014496869336,0.1967997684068441,0.1431333495427064,0.19580079653851123,0.14962763815744418,0.18090264472445072,0.18842828926126143,0.15243111133903853,0.1858633949772206,0.23279701837427158,0.24502418464244824,0.12287082679793171,0.1587441504320768,0.20075813197374526,0.15203664335833666,0.2702703627389844,0.13654702521504947,0.25755378056670375,0.21331225033091883,0.1582164029298594,0.24944640390941575,0.1715773380064487,0.2688567182387591,0.22564736047027678,0.1810317775394743,0.1740511777904139,0.20609478539844972,0.19041321801749012,0.20571797947112946,0.2593151341617478,0.13283699815638317,0.2477460290619221,0.15841919777944502,0.15492094727001182,0.16828649651134842,0.14132595352976507,0.18100024616259314,0.2511578169938895,0.19008015460985905,0.21844700841883247,0.15750704447324304,0.17204286467417707,0.28477426105454806,0.16878251943909794,0.22252113159380482,0.28283226890717583,0.238134398187982,0.25675713820609614,0.12566658546155596,0.21992063899410785,0.11080605118003573,0.19740946933043302,0.2789639085867205,0.2543002178143181,0.13572070846182693,0.17513810903461735,0.28382117527750106,0.14234558451122847,0.20383380466668277,0.19363620944109183,0.24684936323756634,0.20286272879344136,0.17867765664557644,0.10224767472901197,0.23565857336705176,0.19914393149255638,0.22407698680427013,0.14333390129552082,0.22800081724219268,0.17149103461872983,0.19403566794116112,0.19369396451115917,0.12763808065796933,0.10597501565217049,0.19791237107055615,0.19877652151261382,0.31257086369211995,0.15604721510630082,0.19007728367662124,0.14619787335745982,0.2992126349613735,0.25374163588576404,0.17214753333922184,0.2499183261893151,0.1115913147464278,0.2543083323757218,0.19642472553183643,0.18923260853090007,0.15730586517228606,0.26354477850533087,0.14615746123064555,0.16514672367255012,0.21189918346270586
10,0.2483161656883175,0.24495433984704196,0.18462551350774148,0.192388634370809,0.15537004526658704,0.24176403346143116,0.17698185157124235,0.0718041690383483,0.2261773490125859,0.15866819344349625,0.08649419586754059,0.1628365191822171,0.18226852398972404,0.17603089742519407,0.13488268675133475,0.10416589262029008,0.2103862029738104,0.2490600978837314,0.07898514440129056,0.11396522014880917,0.10562166850783816,0.13517799835033817,0.09030929230013451,0.17856212154492646,0.12607736288567928,0.1323963189467351,0.13793546888854868,0.1816227906666833,0.09213239875791213,0.1935367081173328,0.13375798719593013,0.13648083746451767,0.16749350911269167,0.09308905322941274,0.12141694809785641,0.15056580094850525,0.14343674939199347,0.1048616861006273,0.1264513797821366,0.16312194962881676,0.10739143177171462,0.13873013838315884,0.12246031433943472,0.18904234275547105,0.17126031390026242,0.21481076860119153,0.14878478795347394,0.13762836252159494,0.21191089304994748,0.1929045442280879,0.24218775187819663,0.15266375072795169,0.18243911275277913,0.14201835539572039,0.17462809116040812,0.09318550767304357,0.1936637857376704,0.20864711708811678,0.1640238410279823,0.11486483115125579,0.22240911278073583,0.07801623443321615,0.19366157683483587,0.11248280457106985,0.20590097894869341,0.1014459592642204,0.24107477962221668,0.12508608235121188,0.10878614968595401,0.06184234241931441,0.18856306603221562,0.1626856095964525,0.12750168303679954,0.1903446593496021,0.10301632621709667,0.20254139635748258,0.17001780559307755,0.1520424683879168,0.09078411250941276,0.13930502356596863,0.11467641423736274,0.14907097677750003,0.30909220458007236,0.1364922807905704,0.20577722947046484,0.28750498989442763,0.17494156504318248,0.14128082408092713,0.125570985727407,0.18416039510624505,0.19764323024775832,0.11341129872294575,0.09582349453549943,0.1200718825991628,0.12890403213792867,0.12439634716861503,0.20237501464074092,0.11475745492589118,0.22021125426131227,0.1535223384130825
11,0.16837494935067476,0.1510410996409971,0.3118780915888135,0.12525748598482167,0.1716928038513733,0.14139303883818732,0.1779876538437144,0.21587678778665353,0.21880867792962566,0.08883035029064013,0.10638309445299632,0.15500310015706165,0.14973729788553125,0.1811219192809448,0.16403467874954458,0.1410073770302679,0.12649342331251023,0.12688218931707496,0.09898075148971008,0.15665149672621814,0.21992635570227215,0.13714602504834184,0.15891617750467457,0.10321020896150601,0.13026281386326188,0.16998022910273902,0.16883034769435756,0.21720004555656358,0.16553783428923952,0.1698523232143112,0.1524076842569363,0.11002248705705431,0.1454062649534108,0.1486685997335645,0.1388233507407739,0.07973982409862135,0.1309867553441173,0.22492183550083789,0.1529190680824909,0.10213219681879016,0.16197213503885277,0.10988392437088745,0.21083405743606232,0.19880284621724253,0.1462215021530494,0.20241478987390993,0.09843855723625095,0.16020441761724935,0.1383697150778035,0.14981069312977113,0.19981696070728006,0.14062377509324686,0.09123485556803146,0.13889442993035706,0.19104087672624315,0.04977287327721158,0.14433856992555671,0.07367192733340766,0.08949535149519794,0.1626377892721277,0.0319682923561031,0.13221718297913254,0.11606234813056249,0.0589756470389321,0.11876532634466597,0.2548221538458958,0.11691404901278368,0.16057517146700795,0.16387378267896924,0.11064596805663562,0.1378184678905875,0.15297706385992094,0.13073247604679927,0.16871557606285048,0.10301551777654716,0.19756525612582332,0.09599166660691316,0.14415488790753128,0.1275966647813327,0.08145005486371548,0.1802998365010261,0.0826610307996567,0.16161173438506438,0.14543854485187024,0.16538772941012259,0.10935747720506128,0.0960291348609229,0.12702684290692534,0.2174565264428192,0.06213744780534214,0.1684826470494909,0.09459201415602847,0.15621490762456236,0.1493961759072091,0.09124826720308254,0.13777296052551447,0.19086474361617323,0.20620489360193495,0.14546447631020087,0.12850881502157285
