k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.5845908821817433,0.6918086640468459,0.8740069580268681,0.7685077212760566,0.5414862171385441,0.5935955296202515,0.7212594775408359,0.7415902824073908,0.650291135807592,0.6750626915015022,0.7594088766474412,0.6470862167518263,0.6694918664192713,0.7362514576975401,0.6480472945441615,0.7830530459322946,0.6820431388037851,0.8687497403454143,0.6272923689747618,0.5808920736536721,0.653538637809397,0.6817792809923888,0.8275552603725437,0.5525519029574089,0.809489319569969,0.5977034385807346,0.5636805925623993,0.6347911446550241,0.7196503957491689,0.5880218993873783,0.6031924182925683,0.7068679318253421,0.7235260907105467,0.828007810414221,0.612139377486873,0.632236061219165,0.6202418695972982,0.7212477922305254,0.7400210267135952,0.6602883353593936,0.6590865179894725,0.6626797742513777,0.6510563548565098,0.7326494139047603,0.6716760546588051,0.6973136015229598,0.6035134276676591,0.7627223442988537,0.5474303178400173,0.5405797838163193,0.7561202252975634,0.6698424836256972,0.5885627313507291,0.6810828432332598,0.6174252131865687,0.7302823195998722,0.741597904461551,0.6668597011424143,0.8304179216400607,0.6199111139596873,0.7158579133173097,0.6686741835764551,0.5794689786271094,0.7339411288952401,0.7308650730313567,0.7845147248451032,0.5914507023438014,0.6856323559883981,0.7543862210018828,0.7015092528472471,0.5895583642575843,0.6971984480927076,0.6027503652250279,0.7688706991685545,0.691833145177896,0.6623293463740635,0.6842158129226676,0.6084137144984265,0.6631173207514132,0.5711734364230998,0.8474534516858314,0.5978520596098446,0.6892709728722484,0.7263379167967909,0.7219262193373737,0.8191644196868544,0.6765529988695953,0.6106790166553548,0.7642640228497855,0.5685772583093271,0.7111978722726877,0.7813603838546145,0.7713737491073673,0.7163659689255033,0.6684466479990326,0.7378569367761707,0.6055126858591681,0.6336826165219112,0.7087273930835809,0.6477830379102169
3,0.656274056541195,0.5879079693279466,0.487494876106635,0.5777337290618425,0.4104286723285564,0.5982560292078472,0.4613318617121871,0.637523900788773,0.5442327927723423,0.52369992146582,0.5214287291265592,0.635007914520142,0.5193833974657925,0.4569706123053755,0.49879836885951245,0.5164352361348383,0.5685392724706683,0.49297124258347524,0.5178840370877729,0.5757898728049513,0.5759960957102933,0.5190166356755365,0.647941434857196,0.4727646857717176,0.58884817389829,0.5332307946270662,0.5292897498194752,0.4568748549688514,0.5526127442271391,0.6038886374018771,0.5174509049052163,0.5493234075098117,0.4738740541771632,0.5711056971334545,0.454755674765671,0.6556954125103637,0.6140904167941906,0.48732068162536535,0.5694053890815005,0.6270952555933569,0.5994766943207266,0.5321482674836018,0.5413540333587121,0.6000709098304686,0.5211087464836875,0.5427840257728045,0.40437774554618144,0.5716994528080295,0.536475778920444,0.549466487529737,0.6497319560946664,0.42095669859093254,0.4577819346703428,0.4964702107454039,0.5419621622547401,0.6913553117908282,0.5708781037828958,0.46611105192371916,0.6761596397451514,0.6677131769614025,0.5334024775721754,0.5627230506735452,0.5647518962541906,0.5893108973348831,0.5296380111798499,0.5982534318867185,0.7194851163367945,0.6600621934323959,0.6003430258045122,0.40714966277532005,0.5821614566397695,0.8071065670711879,0.498696148181319,0.6352939268692562,0.5593359071044669,0.5119800839041702,0.5087940423080405,0.5003356258587368,0.45574587195650573,0.49799267055779106,0.6481799369022337,0.4918934653145832,0.49767379865860184,0.4981362633341754,0.49563876771330906,0.6058024774644267,0.5577195025604667,0.6031004927606776,0.7265442435351813,0.47598338139104157,0.6380833900734604,0.5372327769488966,0.4930368858238662,0.7307594777973825,0.5545161473182425,0.5810732759457868,0.42558633825770376,0.49584651339959573,0.523769900885535,0.7426973725355472
4,0.504869535026637,0.3577928446300942,0.47449703737598825,0.5094563880122525,0.4538074399904397,0.5332873206188578,0.39706786670440086,0.3782916415846399,0.4317331721081792,0.34374896509740405,0.488710914408936,0.405944840052321,0.4214165152358863,0.5466490519388094,0.5412916789772357,0.6090327755130948,0.4788385120022286,0.49766613661420844,0.5834549813425806,0.44450719100026626,0.33880435315336255,0.5020204965089674,0.40338540069716067,0.4674551843244569,0.40349455241486665,0.4184373444098509,0.42293330646804295,0.5484870132378975,0.5273493925440988,0.4421784080035802,0.4744862850655871,0.3588140669130101,0.3810256652964029,0.39324064310662477,0.5318675938784255,0.3745114104862949,0.4040253766463303,0.5731304287741119,0.43724273033603145,0.3353144001207947,0.46554644392293687,0.3792998634675476,0.3999505861104439,0.5538187547850548,0.5086431961582425,0.430745079960417,0.5740101660502874,0.3352510310567379,0.38566556191578916,0.37247724324090914,0.4702988203793046,0.6354790710824212,0.4485449984282073,0.4277737675885003,0.520019636468072,0.598409412538445,0.4412489201136436,0.5983613621438624,0.6375607032903482,0.5883416035263574,0.4947648911060719,0.40584132366502923,0.41825894511347717,0.46333576790368713,0.3541966104609867,0.48564158749405173,0.6333982461120563,0.31823368065787905,0.4485408314762457,0.581100918358813,0.4400317704726836,0.3525890128720278,0.5240739281123445,0.47862072304299164,0.5275125748574481,0.4182959136833565,0.504278388294722,0.49477772709535617,0.6887018321358139,0.44173843725194406,0.37680511579631604,0.5403744786548764,0.4242701862954532,0.412985005259329,0.4574295973942847,0.4573584451218865,0.3741959445827119,0.4002949127842286,0.4875088744554503,0.5603105787123919,0.4600878795112866,0.5139767210740999,0.5051334291065859,0.4829938978398419,0.40245910076301183,0.38225354908432607,0.4353001449758297,0.5344955697526906,0.3544715373895583,0.5238857273601194
5,0.3296337533434487,0.35983549097713097,0.29203473443961436,0.22850381179335433,0.4739062420166261,0.4083654926465612,0.2844712028105715,0.4331802207602359,0.31528483931449336,0.4746715439681537,0.2993032205407222,0.3072206260243123,0.3259037453277557,0.4224490049169699,0.36380534724094504,0.4600868170389719,0.3101154828536784,0.40283751381625654,0.3076594825119523,0.3626540350210963,0.5069868122178497,0.3795606476679074,0.3566520889523881,0.30233472022524466,0.47996654466148647,0.3059973359740217,0.45587649459084323,0.4704314114948046,0.43785949601399776,0.30105328779404694,0.5984023662891504,0.46620773122734627,0.39533802695611486,0.26289496590758266,0.3686407064819226,0.49844849813201664,0.34929479994738166,0.31702812509012634,0.3843040063895736,0.38642692858593575,0.398452811866444,0.4640871353203133,0.49140143587911456,0.4388245904537871,0.44983489957288203,0.3116810402563295,0.519064949825115,0.32891442105582014,0.39562963971345366,0.3623797802150416,0.4325703797436431,0.4358587688151564,0.33952887320285385,0.5081285426464378,0.2655689881261507,0.42557839125957253,0.4597882343408085,0.39877048499682355,0.3900306443682001,0.34788174269439154,0.416768940153347,0.47394491241482306,0.3924270928061596,0.39443374382541874,0.3137527527803926,0.30359491997955546,0.3517056994651112,0.39556657744889334,0.3765000338813941,0.3073614781525299,0.37509196450422655,0.48778478908206946,0.3385943501049046,0.2949945129076361,0.28801510920585693,0.3267627597079976,0.2650282585617981,0.6178661390779587,0.42882449529496125,0.32237973822729493,0.3741528813520959,0.3638614644271404,0.3968429104700426,0.37370289425903935,0.5771605004737104,0.3528266366562829,0.40128970833909816,0.48010495936432895,0.4124931077981384,0.35168528434547774,0.4142703384290777,0.3002079902568603,0.4176042773921417,0.4773576138293776,0.22236946351267628,0.48301187421429626,0.26143245213405797,0.4985802915949299,0.4192648563969863,0.438401508636992
6,0.30659457938690593,0.21820154763852895,0.5217137319488883,0.4512295617390988,0.5145063589431121,0.3811230077893645,0.3379605976117467,0.30889495005661005,0.3545650350763785,0.297843636595874,0.36446425395412474,0.395183792921985,0.29891058839055684,0.43585976770461,0.4159862773906927,0.24637501856942723,0.49552880977314795,0.30654607516796073,0.281357084990163,0.31867875814835656,0.3635808586509153,0.4105726889606758,0.2984320396077875,0.31986270465110633,0.32259182035500034,0.3832324727086458,0.5548922834610412,0.44446207263886495,0.4171038554480516,0.43251016916809615,0.2677119822457684,0.20087281431215687,0.15030481682414643,0.22315731440839293,0.4061606439464106,0.3218699114622021,0.3249297120035388,0.25077669681625536,0.19670258294241738,0.2775348819091277,0.3403316020440945,0.2192610643961327,0.36979473033258015,0.43777427658055157,0.46515106972792697,0.3280419131433202,0.33766477218294855,0.22715474978036898,0.3440835200274184,0.35010181683476793,0.34662829074847734,0.2737404611528057,0.325514037043545,0.30588202593480884,0.2931185142196985,0.29405349603512343,0.19829328447339245,0.26956839045235637,0.3932764500345326,0.3922621969997716,0.21563758229599506,0.39723186301527347,0.32434668104587383,0.24815378556829681,0.36473335234832505,0.3374972513900364,0.34506420777286884,0.38046763203081135,0.21138230969344873,0.31642023897086424,0.30262295860557165,0.4610168627076713,0.551024318147515,0.34614093702939663,0.31454253172939495,0.2351288923840803,0.3388644661492558,0.3053427527996544,0.2009127776037941,0.34951729808633913,0.41141260255993306,0.26668086871677577,0.2346679844595373,0.2760889582875893,0.3424034278535327,0.32335592406788727,0.17702213131410327,0.31573075339875434,0.3703552809610925,0.25268059947330346,0.35673633519856807,0.28102143058791074,0.30964237855801546,0.29584841396383377,0.2571884667828519,0.30438403109174583,0.3836264570715464,0.4479417413938749,0.20684421131930553,0.34271452122254353
7,0.3306477400036696,0.21561075134409935,0.25259439811505624,0.4035255197709109,0.24582729614333942,0.2644514114940839,0.2612598697809403,0.25850449373524165,0.3307994929766058,0.34167328179662937,0.22024869489586818,0.28685320176117424,0.28795191267445375,0.41326331667263416,0.3195734429467447,0.21850899168559335,0.2580457179129184,0.31104173435421234,0.20404382132212817,0.33834624622616405,0.29347893157362737,0.24377876191542447,0.2795359266784522,0.19720410436942193,0.2517262790264979,0.3038449481171752,0.23741605661186704,0.2785521296585147,0.1815245078920127,0.3720975153805983,0.2601972524475117,0.27753913192567703,0.298316690637737,0.1699307471094451,0.25115089460246676,0.30530447704795693,0.31541782789673845,0.20088103451455452,0.3466348926214081,0.23970201495882448,0.420048488367773,0.40791648365456024,0.2685477633939779,0.25524204974849063,0.39206095609272107,0.2364432361365757,0.24578974882660387,0.351737260319,0.2740014203433132,0.1693125884614558,0.20469526462019905,0.2870327830602494,0.2984667134761295,0.2617084893915832,0.23735104703769483,0.24192859073042217,0.46008978706427217,0.3675733448081918,0.24263576338233916,0.30429595905491535,0.2752248773193883,0.32755023492679636,0.3050866680665322,0.2106092731780833,0.2775794513758857,0.23912919006835087,0.40880337763624575,0.39879351179217615,0.33617161249517513,0.33365555298513716,0.3239269018526302,0.23047351224177737,0.3078507129867841,0.28260024106078374,0.2794472656091187,0.16789020844500313,0.24322274933903498,0.2881716830010769,0.24147017771204038,0.2645669034998763,0.3383339082432293,0.34343783735219235,0.2839698631468456,0.23121905710406776,0.2916136199113315,0.2856437465983067,0.21612166262473853,0.2510814750595556,0.2603821958168572,0.2587323060389769,0.24358461539481535,0.23095411743490968,0.2709842186020279,0.3227636087966135,0.2524812178321869,0.21232284727134387,0.2607739646962839,0.38497874522417475,0.28499152128446326,0.1831707755755121
8,0.24343012475548054,0.2758755534713341,0.17738434051100105,0.20946644302557738,0.3083153474783673,0.27970168350821967,0.14667738232115124,0.34309336000602175,0.1391527937870115,0.24051089157941663,0.3418203289242697,0.29730566768975775,0.1590199784374341,0.30979251920275963,0.17590609067666008,0.23238666054817447,0.22513094031047332,0.4329693528479144,0.25342949352695343,0.2265326774701344,0.20743797784021012,0.12106449360579064,0.22088840608427307,0.16761853527132642,0.3682816010108374,0.23303061967696326,0.23114110405696608,0.2557782550061375,0.2634122216717817,0.21477129685174923,0.2663940806130135,0.24261957345968532,0.2964832438371341,0.2950828619590835,0.19549002577018038,0.18552887986756772,0.3372469315834685,0.274992430678083,0.2909363329590001,0.2824760314472321,0.12115105356663913,0.28888233026796795,0.21599663544679215,0.266730998230733,0.19085914013322725,0.3390047044052614,0.10127395916831394,0.17913527411553243,0.2739529506169671,0.20575089421204262,0.3260252728412857,0.1468545090751291,0.20703658084968413,0.12944802948719802,0.18634443270174839,0.1261348673534799,0.2718219372844315,0.22433395070562645,0.1540421097449295,0.227047149132089,0.23883941481601934,0.36505618215338154,0.2647196615261268,0.18394982455628395,0.2538703887093283,0.20337999197642198,0.1694074686473115,0.1489435951477175,0.2389469794330933,0.2949755169563332,0.25189847459783576,0.181403521004039,0.24247960146559944,0.23401913740057656,0.24736270611759192,0.21155795261907673,0.21479088945411273,0.3797354079269214,0.16523010043437025,0.2609075104356715,0.19823651569603662,0.23090102316787742,0.2259961825622323,0.27137727961503255,0.17497171181321758,0.24189989192130656,0.18996530085774277,0.2585489386196841,0.17570274612709924,0.2227293331368575,0.1306243505788961,0.3092286778158483,0.3097944896459828,0.24791473026066724,0.20913862450221565,0.2704575171873991,0.18503837652648025,0.20303614633204503,0.21075124807454515,0.2551624113346459
9,0.1410973101449381,0.1738589776324796,0.06836658543434948,0.21386744328988916,0.21359943381260593,0.22856357357163193,0.23539344716807786,0.1912397287669324,0.36840496141170875,0.1335352495953923,0.23585962526941662,0.1798286509344187,0.28583333818923384,0.1880767926512097,0.2616275979113081,0.1427779589983138,0.1403744665364055,0.2243731039793737,0.14909258057791908,0.223300741782836,0.16144670959182217,0.1972089581890688,0.16174852373027926,0.2341084746736234,0.13926147082521756,0.2796884963649917,0.16257607605864344,0.17664863286600185,0.19405843208447826,0.1644600699440265,0.2165259731454614,0.1517299342389523,0.1695536958257794,0.18968983000073414,0.22150444827342164,0.2789756061182814,0.24402833249235212,0.1872055701904759,0.19665728504307578,0.20497610887878437,0.1541846613016099,0.17637419459221648,0.2713143344276544,0.18820951055672963,0.20961141200454103,0.15278978532488463,0.20811314009791249,0.1907343539618328,0.13280773941530655,0.1498489266093206,0.1049713972893146,0.1633960107119422,0.2214866091985246,0.20005751677240025,0.09227641591228763,0.20819396109673327,0.1813450910941371,0.2950958808549876,0.29043212245403127,0.2318551366997854,0.19836396753682695,0.184501178229184,0.18710690676065012,0.24121609302664204,0.22555087586139422,0.18886553532735062,0.261563173069424,0.17926564334985162,0.2618915710843316,0.16164555136549053,0.11116132252655164,0.15342350598272791,0.18886442674135318,0.18448490175038013,0.20491592927696523,0.18847196110247477,0.17443910681137031,0.16484181791499075,0.1259975658447966,0.22262157447943043,0.12962865563669346,0.24544074208434719,0.21429481869093436,0.23611166390243254,0.3297110690213291,0.1578708370413241,0.16636268787993946,0.14238911261527332,0.2046975959104853,0.18330584821264495,0.23917010566486951,0.11363806274939803,0.15913194147404208,0.1964623070562419,0.30620392574260547,0.14311813962955144,0.1415854481526574,0.30707867317143667,0.19774001895536264,0.2241718187620544
10,0.10085057245735685,0.07074458972200348,0.18546973784846255,0.1871738121228137,0.29757750423560236,0.18923345408438086,0.16647410649024375,0.13592503449445537,0.2469184695574269,0.18071230081017198,0.116148613106,0.19536757099572943,0.16959305927242974,0.210883359836875,0.20305533646868257,0.11926368392074982,0.1447496506068945,0.17237174412534395,0.10987381184291967,0.16848898163449677,0.12243968603915056,0.11129454268093342,0.1386610589650411,0.14593775670889664,0.11439103179973131,0.20461530501329028,0.09767124501439783,0.15025585972754485,0.1603817439232037,0.2313825112012008,0.14504784952794703,0.12472111234968108,0.15972083946150717,0.17518252289570924,0.09284192121044776,0.10908366878037268,0.13354419020235775,0.1027452177493452,0.17650615238716416,0.17508488264636068,0.319177852681661,0.18862346447984712,0.20538979163387394,0.23249869396170775,0.08035970404266246,0.15910605327206384,0.20740977851512155,0.13600841782768291,0.10795567854641908,0.23971860079029395,0.16108320760613737,0.09893341046546267,0.09810857673135076,0.10396373925534397,0.22893661015248523,0.1878927080930819,0.1543454462288475,0.1246216204274041,0.11210361696059501,0.07881740831981476,0.10184711147243264,0.1509743837498223,0.12327776290010162,0.16760162842056736,0.23394774405011853,0.1543630498078199,0.07166848537733261,0.08982629170579548,0.14220948173454773,0.0978791813208496,0.1761156471890991,0.2416070952438888,0.13418423018920245,0.1653602911194021,0.1988050045619526,0.2543278008577693,0.1067046165392429,0.14343633034932524,0.19893684640811027,0.09427609897347244,0.07255048949943765,0.15196980291520001,0.16502806114012358,0.20981763458099456,0.1595968281928779,0.22980204504149315,0.1971161305204152,0.10978531892909871,0.13199624659227716,0.19783188529149498,0.22380657946421545,0.11113564067665593,0.17627904745456224,0.1726444060488187,0.17928030402180195,0.18389780823171298,0.11771042350488459,0.1364336326622645,0.20464751239141876,0.12052526876395564
11,0.0906184943642121,0.12765217473525325,0.12365354210924806,0.10070832045554401,0.057162817722003045,0.1209657423395546,0.11119322805328424,0.07154679950702314,0.10877153755641755,0.22084543563312165,0.07316352382365965,0.13683811025423798,0.10825140949692391,0.05983493100776649,0.14779401265323933,0.08376379289218217,0.16304926447786738,0.11916422685413408,0.18740944035669405,0.10976304972353035,0.09787106819751357,0.1263873539986029,0.11026320370551412,0.10681262661882696,0.14816565809745585,0.25352618677556504,0.15153785859704094,0.15051495620026156,0.09471527215893738,0.09166203898253544,0.058598204128656795,0.14733990335125424,0.12961628278086124,0.14027138646226056,0.19750020897654508,0.1833006960307203,0.23697397903102446,0.1122548891234153,0.07637886188986764,0.10630686024666558,0.0632218597978863,0.09788581969528076,0.14385208466258315,0.12511335430503145,0.11943062660771309,0.14425940848047913,0.13841354761131175,0.15571881034414758,0.07840224957866349,0.2028617832864642,0.20756709991201527,0.19011089423497374,0.06347221716346241,0.2339140361462515,0.11853396141319195,0.1521248839541881,0.2063643252895725,0.09495958648505265,0.18584150427647927,0.13420642250154813,0.09157421597140025,0.09591782591478848,0.11897338621705489,0.1275824933811982,0.14247050661764915,0.08703903848841721,0.2463283093254529,0.15118639222312658,0.1385132339653321,0.2541742555680161,0.10150804106863076,0.08567819660118303,0.11906029220835845,0.08877301762145884,0.18513338170062565,0.11825922666633593,0.18558921396508454,0.1631998297833721,0.12198656082898052,0.11300017795357065,0.17064911442950736,0.09171853060298674,0.09495393332430857,0.08233581611221064,0.12197797491658524,0.169862203578798,0.17156582688883726,0.16440932884736414,0.153940786437459,0.12739814749023282,0.10445696648063973,0.1244693599828347,0.22664784755471357,0.15848733371072243,0.16360966149639544,0.20147973837649003,0.13758284344792304,0.19566328080117767,0.22592038969109585,0.21911190280149662
