k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.7121221028298104,0.7779943055760385,0.7004031017501657,0.6298489105434778,0.5899891923733996,0.6600102344443032,0.7141772913673942,0.5998264300870737,0.6038556786362957,0.6492244365385064,0.6670885870862449,0.5567479820245409,0.5854961775175845,0.7078394751587118,0.5811208030316442,0.7584042751138695,0.7075319380489495,0.6057606511812239,0.5718755785159182,0.7105474013683415,0.65636189870277,0.6309385926239981,0.7288535346406768,0.735569568973822,0.7927185310639486,0.7709650015151318,0.6703196100052593,0.5626537644798058,0.6940927067040585,0.5782874693100952,0.7340575856317333,0.5484926601622928,0.6979302872550768,0.8150894899594179,0.7721522369463233,0.6273594753498197,0.7479452049604433,0.7137254209075143,0.7391176366529577,0.7826152373544155,0.668857276014915,0.9050034350235925,0.6404593036474253,0.8152801070428362,0.8043844877176012,0.8435643721858304,0.6392179056248031,0.661979512643478,0.7486669292765834,0.6802048091159114,0.5518393324565223,0.7306132645034591,0.7322169014732832,0.6556299172364097,0.6438540580508508,0.7287139697858208,0.7073056686918532,0.7792371907103255,0.8251115632917647,0.7801379882159349,0.7687949220030207,0.5737678580991131,0.6625309081131551,0.8597653959860414,0.6714906306305223,0.6561370718676094,0.8310991866388661,0.7346229101582961,0.7507842958411756,0.8469618008018307,0.7030122763663563,0.5621787909028323,0.6101008188624775,0.6936719325334126,0.600990618472729,0.6563696001013009,0.6436151967939405,0.7821631927304861,0.670780827474629,0.7124124751677581,0.6038828395101237,0.807044165866357,0.6792922774983456,0.6008058136004424,0.6719691443144729,0.7478923559609342,0.6227054824271717,0.6417161507648514,0.8054903201856691,0.7042233888183477,0.5487157918864265,0.582433635481904,0.679187645400896,0.620934823879426,0.5775025734609821,0.6730792536669212,0.7153429011592813,0.8061070143252839,0.6408635798239257,0.5859248936602497
3,0.6013564080789979,0.5834086174797727,0.5596784224878486,0.5761323165787677,0.6416788971585577,0.4981153229943712,0.6208551873319006,0.48312630276052315,0.5390865336826894,0.47116616542078027,0.520004700512806,0.5854063018643763,0.433167207107649,0.5273439260636804,0.651370475714501,0.6411660328508728,0.47428856347974935,0.5715099024949092,0.5423863346153883,0.3849399264426451,0.4658555694882983,0.5295056798974128,0.5512573781248497,0.5820950853982183,0.5416978279763729,0.6700427318226003,0.5429152804469817,0.575709197125582,0.47776034732497363,0.8601206185226296,0.5521019961784035,0.6829689838602255,0.4745314408725859,0.602970895969309,0.6348185741323411,0.432273004391583,0.7020606983642599,0.6757255347957686,0.5609152773747295,0.5721180197970184,0.6512285885023901,0.764769302087525,0.5134139415566195,0.5980606949796973,0.6323306668170297,0.6106543068948225,0.5484296070100091,0.6045933448217056,0.608855684755033,0.5005859088889416,0.6421911245549774,0.6417768768807871,0.6002406574164287,0.5270009257655046,0.617478083173695,0.47395422063181947,0.48161989536082006,0.8246020480546905,0.527633410905079,0.639679107498302,0.585683710138082,0.6153745444093042,0.5054247183339443,0.5427401389976838,0.5583107126184824,0.7220288426726023,0.4812339093015865,0.61596004729089,0.6849345088608396,0.6041754347247468,0.5649280228607083,0.5312318594678234,0.7317494159262188,0.5052647648295372,0.4432250590635122,0.5740003656420765,0.5859483836165552,0.6492642139075767,0.5839334984457851,0.47169801589761806,0.5535299850329145,0.7197212819220716,0.5176437176598345,0.6530359210212665,0.47596873022463027,0.5005244855216308,0.44338333312341616,0.6059514386202325,0.45638749048572025,0.47673202781122803,0.6176250947514159,0.44459635075434745,0.733678893264771,0.5113950034589989,0.6126596391432805,0.4351466778327099,0.6590512307394504,0.6671089171967505,0.5981393572596357,0.5310694145031094
4,0.6068532094908508,0.3787826706319518,0.4188097855312465,0.4383726249860652,0.4442172338608398,0.43348914098871416,0.3544716862841212,0.6322863731525823,0.29886004172164415,0.5277980783775785,0.5209947400404156,0.44060645038972057,0.5175500270314585,0.5736447504935398,0.44195019438115846,0.5433644068406716,0.594943547090962,0.5660509458145165,0.39674690583318173,0.7057748511813239,0.451865465373415,0.5257840301389192,0.43291247305831415,0.5358130950502762,0.43198976506042663,0.4426686243902941,0.378696391462233,0.4364430512999583,0.5046095046705334,0.5528987366874318,0.5643422324510861,0.5066373332447782,0.6086235341430665,0.41049184766827074,0.5105878741419861,0.5093774916587166,0.6904151511349197,0.3944255254039458,0.4892157452450523,0.5165329866236017,0.49388303109397125,0.5704107811549923,0.5210836506135218,0.5604374040957054,0.5013926805031349,0.7272943681329376,0.6298179190567982,0.47077307000465385,0.47016543610639827,0.3821102375702573,0.570498852894091,0.59878254644559,0.4501482367330484,0.5020232179440579,0.6272371181177897,0.31960999495431797,0.48755206010106145,0.5329873363194392,0.6344429142127339,0.5777307173398023,0.5153669811863675,0.4839902413226309,0.46551616496362513,0.48605712058755646,0.6139599101473625,0.49370385070662703,0.4556375523499133,0.617622090411065,0.799583032108296,0.5080492139766724,0.6306869169175455,0.48555072377703,0.5150895557515299,0.5297716714316583,0.4124245024823531,0.4681142405798363,0.5710274856639543,0.4220065614641857,0.39221957837799437,0.5032727641921215,0.7890146323608775,0.4719238529123747,0.5762931808959677,0.40120081839699384,0.6551455315036447,0.506263477498034,0.6092330627119661,0.5330843675413739,0.5220589846779862,0.4269495951247576,0.4135666538557088,0.6074895936536262,0.43497253831507676,0.493174725863189,0.43286476400145035,0.5147561480278345,0.47955679011235186,0.5991484687560568,0.4666282237869077,0.5562857709691085
5,0.42545746395807693,0.33446808735657896,0.43068967900957833,0.5343922585939918,0.5281429495350669,0.506495766542821,0.5550101466548182,0.5700121472290774,0.4530099349722889,0.4278697067548366,0.4189548474392114,0.3597217967758174,0.49293391748574666,0.4575805229655926,0.4026867510406362,0.40621127265988266,0.4237606182600139,0.3492269670383229,0.6024469340042515,0.39274350576312167,0.4808178850497389,0.4951716439429973,0.3523292397828316,0.43370693641318947,0.6115312128913424,0.4004554249524561,0.6305276646436464,0.6225638821686795,0.3622801908255481,0.3351349846250602,0.4225884065450496,0.469710926040264,0.346387892122764,0.4929686307219775,0.5657829947432977,0.42348165081373457,0.4379706991953828,0.47176601425792497,0.4859850403365249,0.4237308724310094,0.3926435551807196,0.36861872734937684,0.3666421244576492,0.3243505816339164,0.4895870280067002,0.5206312005980642,0.5600781557816016,0.3422686567078844,0.5452123990153382,0.43956424668734184,0.6592574178029769,0.52235745271185,0.4340380547476661,0.5457995851246441,0.7303215356094738,0.35577097338884345,0.3288874591144081,0.29914596822371053,0.42340975194821007,0.44221269369288974,0.4046345503968535,0.3681792456893983,0.5163301882520035,0.35588705699728995,0.49183935687145686,0.32909342512044504,0.34470404051424286,0.3546957016969968,0.3650815730571674,0.5743965455168816,0.44015256291776517,0.6696310747722856,0.3323238405287753,0.4181817519225929,0.4177257322875515,0.4269322130781056,0.4864913606705493,0.4434451325979637,0.44401345180774543,0.33097682533169126,0.4522530752197199,0.5861675009485446,0.31715896108648745,0.445214885405535,0.46390897387363006,0.5336113838819669,0.46571151921197285,0.359283095336033,0.4194399474917029,0.5794762133771174,0.3194555414479916,0.45676267841425944,0.5243648450506697,0.3941995594084623,0.6335887840895272,0.31176986987799093,0.4135863581097904,0.42897372487339647,0.32836307058436043,0.4024919572229311
6,0.4662441774283863,0.46609850664250485,0.4296097093747292,0.3004392857384989,0.33581934268217417,0.44145171884689605,0.42755926668924404,0.3797224070399039,0.2800610177167485,0.2598770326538741,0.5188955222057053,0.32610825266393617,0.40874037642881256,0.3452683106106871,0.3871150145110863,0.36860960059600434,0.4884864341633003,0.4428563354157723,0.37663668175050835,0.31888068130943914,0.2740699102777441,0.297016993084698,0.3703261517769264,0.3344368547650246,0.3126705197809747,0.39554934798445995,0.45071516201554374,0.47937896173659966,0.38674930344465575,0.45092171638389533,0.4168157755880547,0.28939986473872426,0.25611611245988897,0.37753582127554364,0.4469056520718152,0.35040960512613484,0.45265297645394853,0.291164009721511,0.444368263767429,0.3669871837640333,0.3353303781278425,0.43324846524444593,0.4422559505408129,0.39751920940347807,0.5223801049642532,0.3612626668831934,0.2768532168533916,0.37353445126660256,0.27292593576218793,0.400258195578881,0.3696296395936235,0.5501837716118659,0.4424307761859939,0.22201761851996793,0.28270656752128653,0.330312685646057,0.23298766284553885,0.512681091092698,0.3928535276831613,0.37346613385992355,0.43389589273741613,0.4242497895228682,0.2737712716182451,0.3872692492894435,0.29994921036329836,0.2752271146021611,0.282261713567871,0.3481925354607738,0.4122799279287971,0.4294393757232423,0.509203211762455,0.3458568818208294,0.48373923466178126,0.40485311654302525,0.28720280332839876,0.2975018724107139,0.35869212704513287,0.424672537715055,0.349904362461142,0.37704772984067625,0.3737827238408262,0.3572566928606352,0.31710108731219844,0.47395843478601485,0.3408588802235447,0.40202051643671166,0.29167010234657353,0.286101059564121,0.642787035246493,0.3351005918844183,0.4577348840049883,0.5057371520686913,0.4806949443186388,0.5016745497868321,0.3900323591648587,0.37517964672833315,0.48713291165424755,0.23357261121470896,0.2440789640037343,0.2736917832393382
7,0.3168158054079674,0.3835741012541827,0.22519741894123257,0.4501201649875233,0.29794706571904406,0.6133463553074996,0.2565347034402604,0.283707061626985,0.22076209082095122,0.4413337406970057,0.3415043317934521,0.24101132339428566,0.2104781806104239,0.5344288156306186,0.35304560062044765,0.2986628642123267,0.3059340230246702,0.4427340285695369,0.3647515860031876,0.2497241833177778,0.38133644593773386,0.24721863692413515,0.22289597044756837,0.4123014901213703,0.3439872944015059,0.3247732716257683,0.40388938027135257,0.3809793887290718,0.4261313822914444,0.3036738561566542,0.3201286623065335,0.23730204816125078,0.5542683126044026,0.3136499329415464,0.33024771360979466,0.44666727514687343,0.2327030576806025,0.455005464841025,0.32013309201849194,0.40168972635312616,0.2397817282248199,0.45883653226890564,0.3753696434803253,0.18661816988795044,0.3572430397115355,0.3290768070815512,0.36653741455569966,0.24310776542446055,0.4048077201798175,0.24881378121182152,0.5578565051375712,0.3907976429378336,0.23605213077559706,0.39783901224595075,0.3717282775965697,0.5269024279598808,0.37021723562021924,0.3562265442471869,0.30431233573188754,0.2249476157903162,0.25515151724202934,0.28551545105939347,0.47386131724769287,0.2604807205715315,0.33533969457563084,0.2643339090163651,0.35612532730293955,0.3122192922173215,0.31792521033588217,0.2660197332171115,0.2509674379215042,0.4524486830665425,0.4171919603570543,0.27693604816270034,0.507380521921367,0.4568902916151474,0.35341994208722294,0.2707828832366288,0.4605309296374762,0.4224579865038698,0.5511282166939335,0.3606689786780716,0.34111162587051547,0.2952158280168873,0.37510460991929395,0.23572237014463915,0.28535100745234376,0.5146302586155955,0.2767980581809256,0.22616287818251768,0.3859531944882344,0.374701703356898,0.34306719749909953,0.3211599363949281,0.4501532399008703,0.2101456839233704,0.49793093535029775,0.44927517204212775,0.2734949067837067,0.36505310641414823
8,0.19334278000534966,0.3839040883458077,0.3185195800686025,0.15032358618926056,0.35700506272196997,0.22432756630062556,0.29873167724886585,0.3818597657222509,0.1478272056793002,0.16687597820062872,0.40604150019968765,0.2774931689059972,0.24460006544191937,0.34458230196064843,0.1747503204132952,0.32226711980843403,0.27430804600708436,0.2017138155179009,0.24661996864920954,0.15875103957393055,0.3481448386156626,0.3589626458463998,0.22607739038047037,0.18997307077357395,0.25235758887380644,0.25180963425513114,0.2960269734436748,0.22275953481364896,0.20466552358345314,0.4690839730941587,0.31853720396707197,0.21264585665280245,0.20266791794992567,0.33653012368382595,0.20189623029212422,0.2586685187885668,0.21510933679833422,0.39405774326552,0.35573933769075405,0.4141434481137557,0.27323412806609404,0.31333573242737944,0.24201329281277972,0.3233062362505065,0.2478379022117807,0.4242228495091346,0.35376416708734537,0.29504935733004967,0.31516376693430836,0.37261284291839714,0.26287742540581593,0.3572115069129088,0.20974276323248764,0.3680479156816562,0.3330037808440245,0.23643833205812792,0.3386702943150116,0.23035599097909254,0.35385555314922146,0.2459354066142514,0.3699879469047025,0.22091814883536753,0.3173455749743668,0.4154466916643561,0.2981817792939334,0.23984019003064483,0.32132349727053966,0.2946776018589493,0.18236137583906098,0.2384340563670384,0.25435604904701636,0.235437317231883,0.17101847843038065,0.2004997419447221,0.4132582769516352,0.2789886764399375,0.20514481326338363,0.3016341604352968,0.2217308642626803,0.26362247448375586,0.2220890488875661,0.18332571974624168,0.23362381168745716,0.37143125308306424,0.27601623294727096,0.47077399765976635,0.36964373807135065,0.2975923445315095,0.2555333673149952,0.3045341429825109,0.260391592532896,0.2978183018926638,0.34847412958678947,0.3679878139172813,0.24157220936598855,0.21029182583805095,0.30539453293375163,0.34906078871608415,0.26705635059539456,0.4851864468096675
9,0.2328972269895051,0.308285823744357,0.2030121277795115,0.3870622074377522,0.20981411713920084,0.3202230424723206,0.3359361135885385,0.3748028559295413,0.4186011139671658,0.2593895262348547,0.12664338692125732,0.24736781637706384,0.24756732342724364,0.29896751940792465,0.24851046055368087,0.3060639966628481,0.31193846699791017,0.18283125063875305,0.3699990408076106,0.17923008199364399,0.25181201522411756,0.19824805338904217,0.24779631719230344,0.17071613413027376,0.2613949955482465,0.16875937299635801,0.310635399789986,0.40813675679849537,0.1870326732985672,0.3544540592851797,0.3473339906432076,0.319698641650798,0.24402138960034947,0.21857716294140295,0.11174159028329067,0.21735304685494794,0.30955534593249256,0.2028677169338039,0.21376356161845333,0.2545371522230402,0.238772815972235,0.2720901288562442,0.27359817581708046,0.28643685998092405,0.23259591692348847,0.23342603186562272,0.4230534093878713,0.26918435253311057,0.22772915123301407,0.344647592079142,0.2492372904352368,0.1863320277557322,0.28514733769806166,0.22246713491156744,0.28537216950521904,0.1648772105726105,0.27011204674068023,0.24482023860312407,0.2055018754325013,0.35931975986595777,0.23571361458861073,0.3273894913415928,0.24735836296227343,0.370339982718189,0.21823294529592463,0.20904006127495645,0.23082908708184857,0.26859112118879147,0.27772918323412554,0.4904890462782795,0.21329953467130092,0.22682005177434983,0.15223122389218136,0.2966308884282626,0.36904508553386806,0.21878169100791156,0.3237279891577306,0.2681269208273236,0.17958559657924267,0.21819967154352105,0.16880687381850545,0.3692890778956305,0.24594757627091113,0.3551411832255075,0.32535978770625185,0.33336269968545007,0.3233966832373152,0.28555610803322784,0.3501234299122217,0.2511045357552537,0.21982014439677855,0.2145385522758021,0.24203889247659538,0.35946639766489885,0.20526977463155416,0.25779583945901563,0.2098820984424341,0.31350032191352384,0.20037274027107643,0.41542311314645775
10,0.35448067684595364,0.23243998737469806,0.3185888814556683,0.1554954920154794,0.2907148231346751,0.09660311348628559,0.20172951118309435,0.3310444079450875,0.16279897485023997,0.2666389435673061,0.2406322832084259,0.2667735713724342,0.131432608675088,0.16680245795941107,0.07006967512410689,0.15684401040667706,0.24472612157572715,0.22298154016809169,0.26321671110530376,0.2932678661231898,0.23431520725874844,0.28569706377008075,0.16058976439756478,0.18401479045948055,0.28196321917359257,0.2558890000145495,0.35546805439437557,0.4373663904966042,0.31437678728641605,0.13561832283179054,0.23758760982342686,0.17125466453560723,0.2010012222452514,0.22455417313619874,0.2741335531550293,0.3422588711448872,0.21017890800501793,0.19317977538614395,0.22019502077426334,0.1856226994380502,0.1386183973525732,0.3647460992593533,0.2041926202394847,0.20944987548389504,0.24278876480228073,0.12178393926302411,0.11853546474275856,0.2976408186183611,0.19343068002446206,0.12042540014717895,0.21101359719733936,0.26101017176919916,0.26056173942470473,0.16873306054888504,0.3928548990137066,0.26926374739332937,0.2123231423539943,0.18989133707856387,0.2784216395875785,0.23984487945091182,0.1610437366990004,0.18422763367886708,0.22219400722610816,0.25989365275835896,0.19688622424490343,0.24100137688124068,0.20716126393551737,0.11639259808088809,0.35723692882257563,0.4320577197243708,0.23042846665237837,0.24794283511017168,0.18996798505613366,0.2637688387358359,0.1576296262750897,0.23361531363789867,0.21587110188264602,0.1611179202860784,0.18376744626732178,0.1891337572615036,0.20109167356823077,0.3271554362202236,0.19722275992564398,0.11397543929931442,0.18851411738009793,0.4052059524767223,0.17041949432057224,0.24414835130661527,0.35145527213236327,0.30215359907814865,0.21541422407072564,0.3013147267344828,0.2201330131476149,0.2114684999658788,0.2871272711675522,0.22886065251352394,0.15337902133716963,0.1619557157640391,0.32624421684060867,0.1796837968295164
11,0.10967208232266501,0.15731874397916723,0.15426427056717096,0.2586368027056919,0.21751168161467804,0.11899385072741275,0.1812434262406062,0.24587677766155913,0.21543164521854175,0.16851407448574895,0.29842676489070874,0.1445194230400194,0.21266864296191124,0.1524078197227119,0.185354393136407,0.35202941857418735,0.2707327248457475,0.14550509481338225,0.2411992526548672,0.2505667875929277,0.16876630672584592,0.19216231140305495,0.2579107215844344,0.1937432819354319,0.2053489730306809,0.3145106438765721,0.2656736786160975,0.11697984871966272,0.20488224769594898,0.06938201971001468,0.1903047876906766,0.167332081167742,0.2647877351860525,0.17057528021557566,0.16755019129585225,0.0639007025010857,0.22023123149220647,0.3236590800953125,0.23096091618526482,0.13531389092261836,0.12802439844713753,0.129085862405949,0.3163311721917863,0.29761707670110504,0.2211483864275049,0.17825511211615408,0.1844569218273785,0.10543591834550625,0.2742928901205204,0.12918760967384801,0.09901386167974513,0.1973434293713653,0.30511816249619483,0.17971313328398986,0.12264333099010216,0.2217936035902469,0.27546633065087367,0.2029585382169764,0.11274688236741126,0.2074421608221998,0.2350018253203927,0.17329589029211134,0.26766366398994923,0.13831526110890313,0.18335112616752047,0.20302004012583863,0.18893126082043488,0.35727932731306566,0.16018637565997895,0.15902870232683575,0.22761179985213187,0.20823863965262823,0.25657225822479934,0.1236215719949183,0.1416972686873229,0.1642111413002959,0.2531931438185441,0.13081290543514834,0.14595022929510293,0.16447376041906603,0.309674776101286,0.10348113437507267,0.1640714100449695,0.22047233862003102,0.2537277819913185,0.16712026043078776,0.16917927477123595,0.2751470038827464,0.14213357237086122,0.20090673385158575,0.129358926021497,0.16458362255458792,0.12911819368057997,0.2624010685712317,0.20055367084404785,0.232713019861858,0.1737287547622407,0.14974467213465592,0.18005688175079682,0.169204064760765
