k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.06298344183786048,0.07743563613871299,0.11538140030353261,0.04888828753277077,0.05100373613491812,0.03489764264065024,0.23255088201721316,0.24682309243147976,0.05735179154147035,0.14895760346989134,0.09644808341449626,0.24070451654255515,0.006679775049878815,0.21189590015229634,0.12861544226844995,0.04629138127409431,0.1976422523333491,0.004169076414399654,0.1107730772516628,0.08540493662748241,0.02155306367514364,0.21921636551457374,0.13996685570099862,0.02615265004222351,0.1990717776391629,0.026755664403302744,0.17642351714674237,0.16921396337897146,0.11112568050493282,0.12554941128695404,0.3115187672749653,0.006134539016576616,0.22180164959155405,0.026713099555645544,0.16820693073645177,0.16457068363639424,0.043539432429539865,0.036688917090056915,0.16963849434627384,0.24405333297827275,0.12294596253221526,0.07785213385195464,0.08750592540666155,0.03872341635057942,0.17170839987219227,0.09166214461333164,0.040971874967574505,0.041332915607959965,0.15166956256289155,0.05715576858777963,0.18115343837283168,0.11664934501823998,0.06684473945000263,0.017710010356906357,0.106471325956114,0.23939945207758018,0.1009793557632562,0.03743854789992305,0.2917893963794147,0.15580278090148697,0.1373611530728449,0.0027810204789332424,0.004876802236027815,0.23908132660703751,0.13801691016180365,0.010830003589716343,0.023474333174323868,0.1645848758386339,0.154473211786182,0.11709292742246422,0.2189192846094019,0.16268303991203514,0.29815546561571993,0.11043133965871021,0.15195217629869573,0.2629896890815652,0.18228510434535786,0.11659247839731199,0.31370014239979427,0.029802931055719857,0.23603243100860555,0.09339801245874954,0.02497675190382405,0.06426850285355773,0.2565448340293893,0.20673758641312967,0.028662037189725563,0.1116670588280555,0.019071284739608417,0.1554150394094736,0.14194749216652255,0.20498413251707176,0.08791989451688711,0.09725653113189653,0.33043856606151906,0.22890741285585336,0.04727429186122858,0.004766432560559572,0.1954524329188032,0.279420061874978
3,0.04465541381172678,0.2926865157383669,0.0632753586069203,0.07397408521501167,0.0001317054964275824,0.04538597845776104,0.12790389098523525,0.20085196796596427,0.1709923879352747,0.12294677594086734,0.2813959978013988,0.11317981972314839,0.030451428387408906,0.22272341330166456,0.3579708120289758,0.10508813176875043,0.019047078982136575,0.07279298308584137,0.06667853473815516,0.05873607523751,0.06358593838969978,0.07085853359802133,0.2517177650798417,0.2267344875431589,0.15220401514703505,0.13382084978798076,0.42144037401460854,0.10398345613545723,0.07732272488679301,0.022181933324534185,0.055228795537569576,0.2104939615470081,0.0674786053051781,0.0678135040177964,0.14324835522874213,0.05700698495194589,0.16553851748620546,0.12661756103659444,0.02496258990963896,0.10802129653149764,0.1592158002153155,0.22680666167868427,0.16479584270812048,0.060559874868136875,0.17776980652715058,0.09309495250375949,0.2979145298222848,0.26447244466633535,0.009838390543121127,0.21233038996222747,0.04570503938530469,0.06386197767549356,0.01577767628369433,0.2768459870483314,0.2732428358423426,0.021025051053969894,0.08731808145341066,0.08278584000412642,0.17462134408297436,0.21598787534658154,0.011167810682048609,0.11934508415781675,0.041630930963241976,0.1418651524839009,0.0025286593703578095,0.1058660388607918,0.3814080591092969,0.005012787222694869,0.08227546781711362,0.016269735997644495,0.20254504669557283,0.2173141922167892,0.09539594714389787,0.06009672231096425,0.02413579538893392,0.022076173533719788,0.03683057137454433,0.024004419539598913,0.07986148104796545,0.012547087351010226,0.19841037636729503,0.007338807255495593,0.12068043064613351,0.01418876247776344,0.2648872897814809,0.21212563692620257,0.12548919017080118,0.09172979673060372,0.02998472076967209,0.2784263862973705,0.05814209324914016,0.010588606729077805,0.0525290904433763,0.16589597844964765,0.01128788025397532,0.05781210489384752,0.1543155502263538,0.17540439567392624,0.07543904917903502,0.13670660508978516
4,0.012067454625463998,0.1547237449923813,0.18403873364415393,0.057963152324475596,0.05070818094545941,0.06297808677625147,0.12954493013840437,0.10542181036096113,0.21034814304333904,0.05470397036370064,0.1338404644921973,0.1487812070070531,0.21624520334764247,0.15140223293631766,0.16483332238191428,0.07244463638739751,0.06561849727924751,0.11810180013929572,0.10059341843384328,0.04079091735258996,0.1580797130068935,0.22675070600676459,0.022772362125758817,0.024629309284537514,0.33786367410433465,0.1403803606920607,0.213739029146805,0.1882387946749874,0.4670368021111647,0.11290820119312694,0.0062563257549204596,0.007262727328440986,0.17577032749449212,0.11027124211998263,0.10171016275819583,0.29111192890905924,0.03370413050458858,0.028652243684629868,0.32910722690288674,0.039835874389261845,0.12980281523731152,0.1306011656216715,0.13156157437005553,0.10621651756948702,0.09116136951286155,0.034044942506909946,0.19427308616011205,0.13311538991104915,0.026801283203641384,0.008575576236020961,0.022541776549308,0.09690474489294951,0.16750394712965821,0.22613551042444163,0.0010908889286068077,0.26609802625451706,0.3909425924582082,0.033939806940875526,0.014875892135941614,0.23517028878908164,0.040276622821712064,0.08980575107856564,0.2568442052869553,0.10131594013208209,0.018391995018556644,0.01686718046679219,0.32320241214799167,0.021002100658150384,0.043655158143457336,0.14239907666821652,0.08053229191746247,0.28019932333435305,0.11302828059107575,0.06122024368105399,0.04003384059320713,0.010650268927309463,0.07181772824988536,0.16743729230684234,0.1880439080699912,0.0041267910860464455,0.06797807174166165,0.029582097482037724,0.34360002873829665,0.16299957657227665,0.0036088055688130935,0.3792616018197212,0.04025041104494754,0.25860321943187475,0.10965584117473676,0.08714613756106435,0.1310755755125658,0.1078181818392333,0.12313393838505746,0.1643973162525617,0.14304289195128828,0.03303680971651687,0.05065744106479877,0.27368464271625775,0.06781238626351213,0.22375638075250637
5,0.03150209063039421,0.2749736484641286,0.012247596103816809,0.15907834642058255,0.3059290136114947,0.06250187190207432,0.02042914252548482,0.001303745981276909,0.00869037390221978,0.06962745986904817,0.01855708005594761,0.1663385757697225,0.11760072746430686,0.13698496418101447,0.06643002316131402,0.17967119606294174,0.005253900252352055,0.16885360725518742,0.19951436249230686,0.22980379530479844,0.1541136982347021,0.036883704486231995,0.20005714574984818,0.04797093461746126,0.131675747360028,0.09837822929425066,0.24885134790180446,0.17164656358666863,0.01775400064680988,0.22002302431067022,0.042919671686096623,0.12192502752403095,0.14399232252746813,0.0013622229215739731,0.09390375781087998,0.025137357219823166,0.1912829259915801,0.05890042958342483,0.2593628842125052,0.26969195628085607,0.15328789376901797,0.41904684761756283,0.36891475928429496,0.10292954212261554,0.12193960707818899,0.207146358993944,0.13093865798627208,0.0458256669136226,0.2326892511462684,0.0842987993470388,0.11778860403000543,0.26447950256378494,0.09046983541800024,0.23573447629347918,0.23099237421957491,0.0693606177456611,0.1046090091078857,0.0953348740937763,0.1025201225627402,0.020317913272082343,0.13923169258886797,0.1888739823456492,0.06137291477647371,0.21148330590704073,0.13204349100403134,0.14531679484293838,0.02020048245588158,0.08461229859460959,0.036701890019578916,0.10839723726720424,0.088630752593575,0.005171459673982522,0.057680188144746854,0.021746951158743318,0.2469298764738242,0.009389737564007315,0.06318668959587634,0.003491411162092721,0.18695448936403514,0.08218872324594315,0.10578162990057774,0.2573829345867326,0.01353459262830315,0.14542267128076725,0.07117561674798342,0.21740166389348675,0.09147545125492312,0.15306088620238062,0.2486888512718481,0.10484154109520827,0.06098723387978142,0.048616891670765,0.01303069215200553,0.07681281616922739,0.08696333713937035,0.11182115005293891,0.22722457278658248,0.141486282180636,0.11327110181850011,0.2798800568285897
6,0.13633627153300512,0.022261727396237933,0.054532460497569,0.08933677566643125,0.11142376466963869,0.10269065873122585,0.10846995828791292,0.11517837200535086,0.08791135793990673,0.24423182376784294,0.02049048226094246,0.09851341226003679,0.0004439064004619561,0.16239440618260859,0.08240083338729781,0.18248982091305885,0.07908374050746486,0.10868816922627805,0.12278355854756587,0.012551662617253413,0.03843004021784154,0.002586410398865445,0.05423443407404916,0.08195955346679756,0.04964412413098624,0.23770277368305365,0.009554400269749054,0.047115543321892335,0.11213697875187265,0.092874025766185,0.14529389415331107,0.03616398939112262,0.18931115871447357,0.0623533223405486,0.02852556810801754,0.2273538990591956,0.11009625271953635,0.10509178579855302,0.1607786740379078,0.0597664866445397,0.09233797104256677,0.01005278099892188,0.13204146562893232,0.02561816055162703,0.02321115758212266,0.18056362762367745,0.08079472006867353,0.14414399479185303,0.026621809489370367,0.05184091335836937,0.14188664746656154,0.05495761642388868,0.1899288817230867,0.25953890286431053,0.10800526524230492,0.13137553035138394,0.017131297687533485,0.05532403001611234,0.1810102246639374,0.2704612353220752,0.03139169684512256,0.08363850991435906,0.09994907941433723,0.15700618493200225,0.18811914172613392,0.15723993094708277,0.4684071708885958,0.06868011085311782,0.19558598997072446,0.010436058046248135,0.185169973279533,0.04281695773365698,0.21177815563026306,0.1179210836862622,0.1669328630912357,0.007960533085943723,0.15854766887732732,0.052862270701889404,0.22525103371924127,0.07609094234669109,0.12295125694396641,0.4343523696187291,0.016919505607693612,0.18410823923685424,0.20428501205263658,0.19376557115078408,0.21085478913228842,0.051765917736820634,0.1500864305205628,0.1395998896185621,0.10904768512167884,0.04591508154154381,0.2780720567833992,0.08363117701644074,0.11546195970742179,0.11047124378309392,0.2280889661411306,0.03670350769694535,0.1488637858595846,0.13546609659706277
7,0.15017325170293186,0.17395929795908474,0.1522222121178937,0.06237344628958042,0.03262148592047901,0.0200997411183872,0.18818220695451543,0.027377799103776225,0.35556618031561893,0.1375989118296182,0.17903518258717918,0.23286377062390734,0.052288107990171744,0.16596725425060388,0.06742268489375988,0.10713569567160477,0.1831311402463184,0.14198173063422542,0.06006879518682604,0.03428874125897045,0.027481973111970474,0.015656830236659598,0.07575659190562123,0.35582627920432586,0.255300034038291,0.08199328827998356,0.06977632413642373,0.004225372380716387,0.041263151793124654,0.043619454136877546,0.09290683431220623,0.043933348477233784,0.035873564641310314,0.01850938031781777,0.04359492270601519,0.015441361331616686,0.23731430055306235,0.09261154741490413,0.13034078764217072,0.12735903496506473,0.16173076789050578,0.027145947139244904,0.1484612455870069,0.026607670318057147,0.06478142600906009,0.12350117590648896,0.32534063115737,0.18664392566815172,0.016808227705237773,0.13627913360905425,0.2984314477934875,0.11411628743735747,0.01929574774006796,0.19008188461154468,0.10310433279260445,0.0044087548278787456,0.05369595663946727,0.010236851041446442,0.01055564983614956,0.05455104931924553,0.04779041686087018,0.25190776592433495,0.17796123202587855,0.11176128523359369,0.06818885916750234,0.07746214418627811,0.20106801718271972,0.011425988669212565,0.17592279157969698,0.08058976053928363,0.018462288370369423,0.235213219667193,0.04305417988322275,0.11765016598014688,0.1953191407888004,0.051886320528494366,0.1712864387418079,0.39025791175790775,0.2712210777075088,0.2546399064445428,0.1254687438619,0.060411049937839696,0.12135402829073516,0.09969950949061238,0.1791631746350798,0.14373448789325005,0.004128615049071617,0.009774747269761005,0.020479206380875796,0.017342448745866122,0.1266705870742052,0.10772735762806876,0.009313670419471353,0.1449656595684345,0.06887573104223071,0.13949658308288865,0.07546901869517156,0.010953703309366188,0.03631474757897533,0.10057361006377619
8,0.016114246930875813,0.12064957973463283,0.06553695503335302,0.03322642221787733,0.04833824093216572,0.22126809754906718,0.09894424774640714,0.14506479110930137,0.08247719014299806,0.020493789745063405,0.11626799341495528,0.012468911618075125,0.03278628057536099,0.08190726853232103,0.1417450190363209,0.01606022856133152,0.03165873197154811,0.14308058014210442,0.19175787247846066,0.023619798800433633,0.21985146437401062,0.02639420074873903,0.027091208101899668,0.10968405635761069,0.052786592661747934,0.10955828358228453,0.11495045763073006,0.0034236644924289586,0.3877562039005809,0.10509839820617656,0.11757978065007813,0.17471090770258751,0.021660301862218796,0.005118504425874075,0.04837885126465493,0.06631769609903371,0.07417754102670754,0.1007601523922513,0.006461161349676288,0.1458830612756436,0.06762645199943065,0.03379224213323708,0.20949878772382768,0.0029162626409343154,0.2689836649827266,0.10472757480243788,0.11839297319507683,0.022880792308099564,0.007386610949799179,0.00037224886476112246,0.18843563143456432,0.039165082122778756,0.18043413542817377,0.06692186973825553,0.049678922190287765,0.053052275045471615,0.07792819526859801,0.0039923582830852025,0.19795670099913334,0.13101820141406825,0.007902408175735627,0.07110319977274918,0.2067451613139307,0.1276221535079621,0.030143539597979045,0.020331626800524104,0.025639690543060943,0.06501051228669574,0.08058945276752963,0.19321944023996124,0.04275971287808252,0.027139223287557142,0.19159495394796539,0.03283743542659132,0.05337077208937243,0.03444872157546703,0.10201784190081109,0.0034265010511732794,0.05468582271582768,0.06849914033695373,0.007968013972881029,0.1467967018389089,0.2355682558344362,0.3245290381539487,0.11158603940102824,0.14949811334206575,0.219371620580268,0.051738489143393414,0.08792838929462915,0.13578096827885666,0.08433022697806797,0.07992002697764608,0.05621516546769235,0.07210288936430387,0.06799677314528768,0.006216550287313258,0.0823968223880191,0.1507893659109944,0.11551735478215247,0.07140118461999229
9,0.10774242104524537,0.04834249295237077,0.09043377675380848,0.18744188315817956,0.027771672562810552,0.09957080050192677,0.2406235916027757,0.1292827238136317,0.04570349982822112,0.06737877501847783,0.09356428867924335,0.11127074321539288,0.04073725602635434,0.06299446700979175,0.01661668010374976,0.11129240396216405,0.003616963785334139,0.07737364314404002,0.0783515373748565,0.025552722928387617,0.0926149501731055,0.04750160418921152,0.22747872924690843,0.039486051945039326,0.027343645372148666,0.0028952410986879396,0.14875385520775727,0.1186205934267282,0.034583946104183604,0.20666659114645383,0.13633979280258718,0.008727895770254464,0.054806282888780554,0.11506032076313574,0.07864920241181561,0.0878231464682685,0.29489554003624163,0.003363232487444613,0.1316266198507852,0.2558769214097059,0.12507400337493346,0.06276414901344379,0.0712441070428047,0.1432765039947654,0.06622314905632604,0.1368071230663079,0.018694375728368608,0.13879825608142668,0.07683120303728896,0.10569406152616878,0.14853006133344687,0.23765366770684188,0.16773928589705295,0.10515212720772052,0.04232033397124324,0.15960998867349505,0.09954629654268271,0.09111175244376049,0.01760750479737571,0.14615532004429355,0.08951793942700065,0.09522644295721425,0.0315722423969158,0.03145522849263279,0.057827958854507124,0.1313675101854077,0.14052724536692368,0.15339439427741655,0.045079991017946,0.0533820672318586,0.005587570740398513,0.044323656717337574,0.29127893002962996,0.05350897133113786,0.01486099601789758,0.09362229085590157,0.07763480524620534,0.04606964388550306,0.09518969507031394,0.027819538728785544,0.10189768586677495,0.024579139092626386,0.0389731865068763,0.05894460721588312,0.14524634803712028,0.09806250137841305,0.0591357014752826,0.2797227884129968,0.14924847905621383,0.059308716440621696,0.014519574747476317,0.17390936129576096,0.10561052547825359,0.06026254071769895,0.08651080073577902,0.0851309853754029,0.2433559785785998,0.13047831061980833,0.086149085500279,0.09901386199169485
10,0.16371026504419753,0.08176842865630865,0.20513083238523255,0.09035557324804752,0.004648335786449916,0.07731707402555041,0.028007357253387356,0.08736396944708397,0.2840844898196129,0.14457220743923999,0.13984790385734586,0.008210288297517996,0.008778257641109177,0.007286557983510196,0.006050900257058914,0.0589915660848711,0.031558524921861154,0.07164140005666794,0.06705884417938598,0.1770143171563388,0.1481081443742991,0.06837972767030986,0.05839972215592524,0.06621579305459241,0.06920483101277536,0.017521642425533925,0.007151572965116967,0.012751631272263177,0.12327607289819884,0.05387148655329987,0.09351721552415507,0.05311111492787871,0.02898408758702751,0.08072212830046796,0.09747387534870999,0.018774358812702,0.09636098272544238,0.12900368596270761,0.05954270411306422,0.08918204073460367,0.14468441012911878,0.12639276506485944,0.012138631449605024,0.10762000142254396,0.016282481843291445,0.0006176083831407123,0.03769545303893939,0.019688287916770318,0.12181683321590966,0.03346521250114921,0.1056808603686347,0.07995053969111648,0.00859193595330187,0.04614785584739766,0.016477889838865105,0.01605732257964918,0.10555540827694002,0.06866248670906622,0.035954314504440275,0.12094187907820561,0.11805939931930753,0.0914288851444299,0.04956981705927998,0.029911224210727137,0.08854218637221534,0.03605991345287493,0.034464998109493945,0.06628100550073993,0.02245517550123386,0.004000028585287661,0.04468940923176493,0.02147720156062232,0.025531748567401834,0.11522050795470923,0.025401948000222878,0.10073672445696646,0.0833542632712056,0.020539334398060223,0.05242519039770901,0.10908323580050108,0.005452914236518565,0.012602873215714662,0.020465881746379123,0.0838592213602648,0.05951409054475231,0.13366050514352934,0.07512341025971045,0.02953311762754684,0.03338405740301215,0.04132139523653212,0.1758143774812807,0.1470389853187946,0.05339188999734067,0.07092941834391103,0.08247730495635783,0.15624234360104888,0.0593838152279386,0.06038390987720987,0.01313039063867679,0.08847436969044176
11,0.015321639541890109,0.0028126375392435524,0.16643244943818258,0.019258481073894364,0.06743761222373593,0.013503932083034,0.07554390358580815,0.03829283945619932,0.24535376685564808,0.000211215822224671,0.014179822202615412,0.04879044766975738,0.1192682604992498,0.00292820034555015,0.053059974420061,0.11221235245269709,0.05540260847429606,0.03343529557514328,0.0013859201028297748,0.0990826483613767,0.27758052376235254,0.0050043002574255355,0.06780235820857894,0.03881514734797976,0.09621173399780214,0.013104970086523345,0.08069212724746963,0.14318401794912877,0.11943990858268366,0.05431801932419477,0.03367487289688328,0.03251886031531481,0.10873524143652913,0.18182259218271712,0.058924318596682575,0.0768353891090216,0.018167273642033334,0.07905191451200624,0.04636906016223522,0.07314853192020121,0.10964551474271653,0.10142867831007243,0.008650181870729592,0.10922283813324885,0.05808183894442267,0.07019243512190979,0.027752859744832818,0.14151096596294838,0.06719000187172783,0.01134086275906395,0.015261935804476847,0.046651738356923746,0.03701006945260269,0.05127335551416443,0.1319135535673706,0.07300746459297686,0.021252053354020327,0.07665531119818803,0.14269682909008363,0.09142433264599215,0.06726458075786054,0.12522581073495118,0.04563886465130603,0.06697145298811574,0.014060407674053442,0.20949166697303384,0.0861039895390448,0.08533526754199758,0.0073722516296304205,0.07845164787918488,0.07399808002673264,0.10702242600436018,0.035470031650108806,0.01791338791980012,0.010256358646036232,0.1336237861673608,0.038634029153131424,0.10637481738542645,0.08556392121989054,0.02258828414267438,0.11752790741240801,0.05981456300967424,0.10808951353916951,0.0638116071444221,0.13353389053216475,0.01889464990858839,0.15950251977873997,0.036386240109776515,0.10995025549411158,0.034729287967854135,0.04108988179946325,0.0031963713110534347,0.004070521388242671,0.03978180473159649,0.02700601886759644,0.1739727783021222,0.05277955828785801,0.39749674319555856,0.06328001951173293,0.002708962009257944
