k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.06813683710278276,0.250836322611939,0.0015570527380249152,0.07623291034937242,0.0074313586609626656,0.08488719737650388,0.16241882444919858,0.0843059498334191,0.11795252809168719,0.16394482539515323,0.03279004619802325,0.0240439674900643,0.027876542196762978,0.030020512006342488,0.03763232885774916,0.18982513593723388,0.2421832242222502,0.043452256465221,0.2276605182511673,0.06510854622772913,0.023024123279877358,0.14976125487270422,0.07032192653062447,0.13304308600761325,0.035178487126406165,0.019757005255056505,0.09238989860646724,0.09773398666560434,0.192876329649454,0.011270682662075822,0.13724208067620702,0.2669329544668585,0.050395899480041785,0.056661964817346276,0.165272505841764,0.2624330155521809,0.09760555553831715,0.09950284779402599,0.2510971507864509,0.10879458275127096,0.03179725546062135,0.1806598315247854,0.016797070368943116,0.17694532709916252,0.06860489507988604,0.10402546467312657,0.08001604678702948,0.19759780814888847,0.08267026834946772,0.018323255787034913,0.26917323224389456,0.20222377035404568,0.03240231259299788,0.16715301223470402,0.21563760781166857,0.05554734303217334,0.07277532324195077,0.2648181641394072,0.011802017569807276,0.18242207286134163,0.022369696907673105,0.27363006478002355,0.24664047822874768,0.13520910825740493,0.15737929818400856,0.09065302639104666,0.24177344124889077,0.06372488969435278,0.03244071382094947,0.23840880120443703,0.011316554581921982,0.34734978138726536,0.06641132021166435,0.17108745807935083,0.15880224385274228,0.19946194889502145,0.01946511446537183,0.01783464708327339,0.007193839265354711,0.030249735654221142,0.009036053951099875,0.065012381888226,0.13963795235308465,0.2826366969766918,0.097042581648635,0.06214775861247144,0.04395629423107707,0.09452988816148403,0.21189115869116987,0.10653181645677401,0.11545500324486604,0.06088091063038375,0.10383379541865587,0.17426555699634871,0.18146894635596017,0.008984153877859613,0.028122850966900266,0.21583982131481644,0.09885090665777668,0.2342269976231648
3,0.09052579478130673,0.27771924421645355,0.08432257219932754,0.08437778072908148,0.010723961636827699,0.3874317686150774,0.3159465548580602,0.25307698562384645,0.3516632043856395,0.14871245817522427,0.039974372988392314,0.008820077174314177,0.1407237441999454,0.06256277960774329,0.2302809581441672,0.20643318510345224,0.0444342741588707,0.09454813688360383,0.18798017325420865,0.3036140563955267,0.06489661973207644,0.050126629757142015,0.25613486699514243,0.21085205358312167,0.062307318523237794,0.19666998823683357,0.11467247984173679,0.016869821471410244,0.06577000840354941,0.06676361932004501,0.11061239863810218,0.036675034658927026,0.31223241143406766,0.366918925609947,0.022125011151448444,0.13810680584069676,0.1721274803545235,0.10820444455826714,0.07692344598177955,0.21276478273433874,0.03294838070735553,0.06028292967605527,0.09984219472779182,0.028097212977929047,0.008590769493330354,0.31337643166015583,0.1066209660419401,0.12671501656057074,0.022200685072574174,0.16407168520315515,0.1537892019291903,0.07123895390364193,0.11330617932953496,0.1581237613454199,0.03158936116154463,0.06437254987452606,0.042974234148925684,0.25463380261532487,0.0463334809164573,0.2384953985331909,0.17687023614966296,0.1686032263010265,0.17329278847691598,0.16519792317411758,0.1729397020473122,0.16976505889233526,0.18293765760823727,0.25709542605705055,0.09057008055521215,0.015128070766052777,0.10094285348269452,0.09706824450746329,0.0891551002202747,0.29468145966057485,0.05343461353565152,0.18902842103100365,0.28671208901106515,0.0299688476195002,0.18626146029141907,0.19907531135308895,0.03819038436359245,0.1748495428737335,0.1451500222457675,0.23671775765360836,0.0837796360629473,0.0050972657715102135,0.18271364825088698,0.08905637222759633,0.14153269576600802,0.2965500108706464,0.1993672637871373,0.07580869407215743,0.14094852119325657,0.17783186046102561,0.06366359828739437,0.05837750944193252,0.1721774748044943,0.3580543114164088,0.15878309698042592,0.059915226946688084
4,0.030538421315314222,0.2166484545087061,0.06251002612726403,0.21965394771962685,0.04811344950394365,0.13028561088093193,0.029135345651447604,0.09922765560702751,0.23520323029137302,0.05959915078184671,0.14782106627619082,0.22492244257897173,0.004091580449466191,0.0967487149444772,0.3022818214611992,0.20820795955930466,0.1637688903831572,0.19468016987431125,0.001279270480647153,0.14667819582579394,0.01072286521041823,0.03331233221157425,0.19737604190784072,0.04207237244709231,0.09344928407504799,0.12345190274958792,0.29341614795321347,0.07211527645193783,0.22338506495326788,0.12547553416106527,0.19246458894717228,0.29031130661735455,0.07463147665002914,0.07598589900817743,0.36639052890536344,0.02025517228642714,0.14638941579307607,0.1363935776763639,0.09958272732871676,0.21023524277225286,0.07719552148148573,0.1253307085040281,0.03994705286287326,0.23997239286117505,0.17135837653601388,0.22481062363502002,0.08291473278894695,0.25838817689877663,0.1730482956508408,0.10317133750390256,0.12140751710997297,0.2995217326992676,0.046923116778649555,0.03022111780644756,0.058223778298497224,0.18719043944433397,0.038667695148051025,0.043158880570682796,0.04679402105093992,0.03492265545600117,0.16000567874193922,0.08717859970087966,0.08520417829992516,0.1773271447311464,0.2898216465189294,0.2797067027476662,0.265745348543847,0.10996917601489434,0.022896826328264654,0.11669760079503305,0.15237137704882678,0.07891613224073371,0.2932111261606919,0.018176761955795824,0.0887217369382978,0.013023972435600835,0.32960844921987004,0.011280355010970113,0.1421365099243053,0.13002694561653544,0.0005669106352746006,0.005844946291901458,0.2445280388352824,0.21495878472224667,0.221536383793925,0.05483501587515995,0.10185981467951802,0.22564569926060907,0.045179002588336147,0.16548055503209905,0.00957062371546364,0.030888447612068555,0.03536977869789181,0.035881870701055384,0.024684732470353944,0.062057755290649594,0.06652036326853722,0.08453987788497447,0.0694733329506492,0.18509564036658985
5,0.2716092402800471,0.07156624778607212,0.20223975330487234,0.09758737770932871,0.28896762240621215,0.12902445578497465,0.08557565136726278,0.09557992130543402,0.02677624939908,0.11543763905182383,0.20161093837962601,0.08503165802448448,0.24534590209808957,0.02505282967537493,0.3068962261652323,0.20180202010224466,0.0029659089765355293,0.2678206129157454,0.17784481721603573,0.12527555857492192,0.2888017717806277,0.2190836210293458,0.13064600587564992,0.2913739761220655,0.016952930438256165,0.019384534985180987,0.03249677389741156,0.2084494873397018,0.17391848393827158,0.06491484733127525,0.11276659781976123,0.10682208563229417,0.3846932082705927,0.2576084926064236,0.13702879077362026,0.14153619574556875,0.12751694529366042,0.0213129242597273,0.023992040032741795,0.27427721443956266,0.18559698140880496,0.08316979527748763,0.2268093350332075,0.060151107837534336,0.1309869100896118,0.11377033339979331,0.0363990985525258,0.07788736375964211,0.012621860754540755,0.03435031424723333,0.1703024191432762,0.18443041731171916,0.003314459635965196,0.053217815846154405,0.0649020487709693,0.09104007655832383,0.15152030041796122,0.025996987613345728,0.10302606903040046,0.16788304885243494,0.21266557056139776,0.1332055946298586,0.17361100294555684,0.2293609553323271,0.3552720975626763,0.0807795138195026,0.07312881441241936,0.02711248530403757,0.2655970312858929,0.0075574835722180475,0.14742219194262862,0.0941359160553325,0.08681878058682121,0.1433732200460916,0.10084888507167952,0.11641772669069292,0.06092416684166147,0.14784796139613385,0.02152264488566063,0.08972306784474901,0.29525608066925,0.07277117190760399,0.003099310897089931,0.04814234670809347,0.20989525482210608,0.215963523206749,0.32249155972444293,0.05084170428494136,0.0810849673021107,0.1736078909519097,0.08925215268623099,0.02227628506626348,0.1752296169797416,0.022939310697069983,0.08425627583802195,0.17369708418576768,0.08576982710974318,0.18778992015053,0.011613361157801712,0.07744093775858224
6,0.19231502055687538,0.026101234895431695,0.37834992636261405,0.11690894178742184,0.08618634854277196,0.1467686773836081,0.145958040120723,0.20615110871828413,0.1718723431682112,0.08026541393102488,0.41307840623051784,0.03781005740291447,0.14395960288173554,0.010880429731480172,0.11066076792659313,0.012700407740209314,0.008535751102387822,0.10983795260699575,0.06282241465198718,0.02440492983466836,0.015904018333026952,0.05090515333425407,0.055587680236861885,0.07645314364037176,0.09400632535416298,0.25548903031909675,0.32278621478356007,0.14971857809673084,0.08635492659027541,0.1606831660231801,0.30888064285400196,0.21607194803319937,0.037893150916026186,0.10374980995279895,0.009519983880362168,0.002055770020092766,0.3815933060011999,0.2990046888796807,0.13935116675853074,0.027274763566974905,0.030050080696155536,0.012122358881297167,0.08156404464346648,0.18079030055651613,0.21133954644262495,0.034319259271997776,0.18716487545376947,0.13931752029933323,0.2655001796134368,0.007551849497866921,0.11968697738051101,0.17424191650946147,0.053399761276258846,0.07407909374871594,0.03185617159848781,0.12624780049436968,0.10691936463029153,0.0006249249537004509,0.0180414664947356,0.03265227559561681,0.04152666755396276,0.15833897783574355,0.09362548656643024,0.09450171579735264,0.002438917729400074,0.09129752962330878,0.10239461244136117,0.08175279961142445,0.025290519574607064,0.012888935039049525,0.09693709877123052,0.08939322259549703,0.025439233933523216,0.025613391886572016,0.26661495314728056,0.04036712819716488,0.20348523967006676,0.11873026875914097,0.07813390174101253,0.056781462485362845,0.07530753950717947,0.0020143511517332832,0.08677469540451749,0.025260112334498493,0.10927814797010862,0.03396568208902454,0.025694991935533325,0.23653546111031204,0.117946234987405,0.185722749488619,0.14110615241416644,0.0013422336717290803,0.04526628175975997,0.058445614460425906,0.18456034919456243,0.0632541611332052,0.08247111301589116,0.24415022090700222,0.1275440707541413,0.01818823790493048
7,0.13759349248074132,0.18144859191808432,0.11865095298077183,0.03632882592158169,0.0016480903913224307,0.06627959877377096,0.18959400355273387,0.15116439441131987,0.14159689402243247,0.03431195438146515,0.22556513424267002,0.10328449313541477,0.17248392042038835,0.016859108013572967,0.08211479745448771,0.1514832568262119,0.017018440425383467,0.0449424920642861,0.11761932354123317,0.09096090155202471,0.03327169890427488,0.15433799805567835,0.004170471662320381,0.16336000156704134,0.15900074612197931,0.0530095799056275,0.0830501590619607,0.04403356416116679,0.06578821177976052,0.14644751992839347,0.0049879962213483856,0.02099082408668402,0.1400093836525041,0.03176531514963899,0.04269939818003076,0.17204308896458434,0.01391376247713328,0.1063943445025497,0.11559684071397816,0.007771900763718004,0.07027250570601176,0.04669931312060665,0.2646328153673742,0.03021767967180733,0.10966851265152283,0.09344598664074882,0.05046027392348345,0.17821237205924972,0.30614185003617667,0.13272530333492133,0.1677453852898529,0.15651547752307163,0.09699757629990344,0.03594486796748101,0.1875981005701494,0.09289169362902558,0.2014703350519847,0.20610169369138012,0.0949409492373944,0.13934089956557597,0.037907317351002216,0.041145770046738035,0.07175846040891129,0.09374561034952364,0.11393074248064305,0.07779289966953726,0.14771084144876379,0.024470917821222217,0.02336864227650124,0.06960597920325842,0.03076608611204598,0.12215719635949934,0.08385778601006966,0.09973196694414388,0.18872850557620613,0.13653502235035447,0.2853304103046216,0.08242762054553951,0.1097969916413997,0.27763067912435246,0.02580195400315046,0.07171530272321486,0.08834429661707663,0.3742753219788577,0.004322087869115816,0.07110824722284606,0.036502120296538994,0.05932653229549908,0.03898023245261142,0.10806976765330975,0.15431446809780838,0.0872575522368243,0.23513095388445848,0.3373558234370889,0.13422954857520614,0.03177041882637532,0.02814790365180137,0.038846562415726434,0.10818878591997527,0.08549379410184271
8,0.16837408006269639,0.014423563246494582,0.1854252067390819,0.005683131280428015,0.05277417937273606,0.07337438101523033,0.025124645417287143,0.08567985304401726,0.04379899679407849,0.07282318595182646,0.09592307542928974,0.18912141632249335,0.09052712085135106,0.04638721567661198,0.009745566976726447,0.02992146014106955,0.03790480986322583,0.1427505775819959,0.12308046114500565,0.019776087989947476,0.07019814555480039,0.010489848874535558,0.11416572054411167,0.04420548932844536,0.13688512407428932,0.03874392291849434,0.11232666975775543,0.04459282269120407,0.048709833240304125,0.10094066706452401,0.16179973537689032,0.21806691747335868,0.09666571638952143,0.05535693816627484,0.1430319514201021,0.03066667945991087,0.3167277733566354,0.26373968413820664,0.10045793909605788,0.13638097641414587,0.0022852888111217703,0.02216175951254367,0.027378211419135344,0.010900755757975007,0.20279187584271444,0.20365327761868068,0.028999446076280876,0.0384263186716542,0.14147882891189698,0.12438182926801708,0.025720585690330644,0.15368086780095327,0.28523179120732495,0.12141458122930204,0.05823447630007605,0.016187370396475484,0.10200911278877661,0.10345396894638678,0.06317122554714669,0.1049162524708662,0.024206194634257126,0.20296580688894839,0.07950610917046633,0.13673817363797194,0.04187988880254353,0.020572529831360535,0.026785985451745896,0.12389830233676388,0.21426215902729126,0.007492902508546222,0.02851741612594926,0.06561885773421344,0.16913222489764415,0.13214007201836103,0.021547926446533673,0.22356735096757724,0.053181723413861196,0.3640975682495641,0.09043276900055608,0.02762296747107921,0.09794500889828256,0.13676433721287068,0.09983544291745022,0.19194831090366732,0.11863115923038292,0.03595509095905026,0.03177067946923621,0.004371620492113693,0.060510785878269184,0.20949250544197226,0.06265581316384869,0.005708305488982247,0.36428395459174207,0.04543310681226039,0.06413527398003763,0.05264900519755302,0.07166021380387261,0.09664711157815056,0.004893419739373815,0.28969838749989224
9,0.024140152197275555,0.1002993100418666,0.017311183425042946,0.11289928053740939,0.11643489021152353,0.05917403303690245,0.1907813320958164,0.01541302085295753,0.20814742964918592,0.023264945554418666,0.0010818404419458763,0.015297671828415488,0.04347839315842225,0.0668500593040676,0.10182732023082186,0.1240591625422488,0.11297471303204035,0.032408353576891966,0.06105290711553223,0.04495120743033364,0.1770632418515423,0.06421764358167201,0.1468176872352842,0.32313709069465235,0.09604747053495205,0.11504129355868767,0.06299086687540581,0.18310641140508183,0.07642753344378198,0.031228285519788616,0.13055054260822133,0.04221173507007054,0.06422101928109955,0.07005477682482505,0.07753756782659074,0.03795902267885846,0.06341544271783778,0.0043438830753742,0.012597152021702591,0.08935259668963247,0.03601833298230444,0.07989541378923884,0.03244635361664789,0.020174461538220216,0.055743797816859335,0.0563990444612396,0.01735131685893218,0.002845405842878672,0.06177535720868711,0.033205018586137926,0.016610968208127914,0.03175664110841828,0.03765654071180106,0.033209535843479986,0.0031183095066848396,0.18229449738717743,0.09313922812047032,0.14351314725589295,0.06623619656349525,0.07968264533847799,0.03956253731574617,0.06866850595869686,0.18787112855117377,0.01159146796981881,0.047160038647251414,0.08689404142016466,0.024395556896178526,0.04178029347265388,0.015005641422310714,0.01675313194251795,0.0390717807376866,0.05168069612842097,0.18677063412297815,0.07981698263741319,0.002867070203531101,0.15415216699839962,0.027869920281052486,0.0014186623130906864,0.0674492534425904,0.06462284196222728,0.008646179033120373,0.2231624924207875,0.05306986632919596,0.1988294223828535,0.11751248161456168,0.1466536298559514,0.060501849713895516,0.03080278234964374,0.11995037304118891,0.18544586462537077,0.0463269301921491,0.1262598319984093,0.23834137212657552,0.13211287250754122,0.0802578953633204,0.02601316179850518,0.11501820381733496,0.05610621476414512,0.08093549936667599,0.05209412977644872
10,0.09373207909949846,0.14404042332288253,0.04960305084299461,0.006324845226808748,0.02600698940425377,0.04168142098770037,0.11373227364241106,0.14108424702372108,0.11816292753750487,0.037805805938836375,0.16065802702478754,0.20177230841917254,0.01663615449627545,0.08578552691571473,0.03359820176708287,0.03421354819237677,0.08101053318211573,0.0029554651934372775,0.01669863764170896,0.03836746810808913,0.13399832402009304,0.07041794624547923,0.06261882571073332,0.0002656889925885461,0.02237743418955898,0.13480508105962746,0.0032688671351443974,0.013919168827533475,0.03281178387544396,0.03375178649801868,0.14215597278507303,0.041463510068747704,0.03779969586484281,0.007070498421647302,0.02901048056741025,0.10836426382374262,0.057558505796593835,0.025669829594320674,0.022260304891196743,0.008166103983860536,0.09307268737047886,0.17505234925488772,0.022339579846407394,0.009417096140352486,0.033410820999393055,0.048728634583209744,0.07958655388158745,0.03825556338455915,0.13262487847593496,0.13648772514312354,0.08028528391276102,0.10332279448099499,0.027098125304609186,0.06490782663636255,0.05118823845959348,0.09111479474269335,0.08080749391086137,0.049876445255409164,0.0872188511099144,0.025833076135396815,0.08220897775605102,0.013695332492972341,0.13983426989303438,0.10395503542495266,0.033524866619824255,0.03225793779231225,0.014653773479730604,0.040108260853023485,0.03948824259379973,0.06212410595081796,0.017596463088853938,0.1509145424829123,0.13050606384668814,0.019030910792204876,0.016373901637317896,0.032629259876132695,0.040490760124273766,0.09063961171050527,0.008848260779030732,0.03242795731340423,0.017471314140479748,0.018540626741987414,0.006606543528205937,0.024553923719600558,0.02875647747755334,0.06828356522764817,0.024580374231276507,0.06104278151167165,0.06617347262659459,0.02085316344593289,0.09598205954626735,0.019853416594613378,0.10071914787832506,0.08102160450880994,0.012010937981449317,0.2136294447169681,0.12915297674528325,0.08798578873776647,0.21288090424731165,0.017926941324385846
11,0.0129184765825427,0.08758075662605083,0.01511750150221989,0.0822235298172446,0.016097905519809726,0.07315058941523186,0.004880648441601583,0.03641272446687759,0.07973786407949393,0.07577778362923768,0.013400880286110937,0.0369831432444857,0.11610223551675058,0.050680594101533825,0.023821096734155257,0.0446644938422393,0.07231571534188805,0.07346314947828597,0.059536782116942515,0.07073498671589606,0.02828528260773456,0.05793258451398874,0.06788472813750382,0.006839865860370657,0.017193401192369326,0.06446705772248917,0.0351190501482866,0.07642126169240193,0.08938012510072368,0.001167200003660284,0.04290095009920896,0.10293110310453368,0.17703951414289454,0.06818713146583938,0.03867123454930798,0.08618069460503572,0.051638834083673806,0.08124158390500663,0.049644468621323525,0.04758021952986429,0.05499771235146018,0.04658465103335279,0.11108429655799204,0.019415232708263473,0.10071152826186014,0.16278927305646196,0.007900645236571309,0.03682551721017183,0.045418815304312105,0.1147698794555459,0.1254704583710836,0.001190621636988666,0.017144879602566228,0.02872265834996488,0.01684709073877485,0.08817308533861057,0.05188238944143208,0.14351593735418644,0.04408458793276681,0.11782585137369866,0.05510279213707386,0.025510140412431596,0.02874040544987535,0.05726323472799139,0.07404750875350757,0.03448516512705282,0.0004907443835702116,0.019173127473288247,0.062459812265525,0.09706739623833044,0.005108181019517537,0.040308215704005564,0.03133643879390962,0.006051769100528431,0.06190833892787267,0.12894148209585904,0.07334133191733738,0.10811063559222905,0.04364710464895095,0.033472775398580686,0.04843125303363579,0.07766004301783294,0.03586129568148693,0.07528478177932033,0.03520835820541696,0.004128485160751448,0.03137954344527958,0.019536938537283645,0.2756920092172793,0.07457818284219196,0.10944900212347283,0.04671092596218484,0.08906069237089925,0.11378717453898807,0.19142203900673815,0.0376679591998765,0.06767797796164879,0.1446186070172462,0.017286327943768366,0.03038846192967639
