k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.2400308121454695,0.12438446532546685,0.0879139471475738,0.15325816802908493,0.27464825326189146,0.03472591769729295,0.15561532303556252,0.12218705273010777,0.17649229686779128,0.21440924443867201,0.19056128631011873,0.07109085715323929,0.00861533245585476,0.19569867165605523,0.23345836980368348,0.014969066508844518,0.06731904096813046,0.04766823083173055,0.238298203796606,0.13387642578790593,0.2533509601155534,0.0994194650090778,0.0675221136918911,0.12938690290723567,0.1604479516781671,0.20746103356030865,0.1567219850205653,0.3241048355179862,0.1270374236898516,0.23004963733476966,0.16749292921847658,0.2632626167071014,0.005919177446579875,0.1664597886707916,0.006054369897140359,0.0035845481045540042,0.15595335969456176,0.10705510340101737,0.11078328811402802,0.17220306771355234,0.11468753585062175,0.04745015042256034,0.1828848729948347,0.16888699823301448,0.19186856233022198,0.013164731084397373,0.06490763543908595,0.11095494632244535,0.22356785673909596,0.19351914144478563,0.001549631106281358,0.018854148860905466,0.01788250703317614,0.005874820276170423,0.057809490751406234,0.28286809890538056,0.1448346845669395,0.037419604509402536,0.009515173284688226,0.05104225616903938,0.03116633989837258,0.029921279654102843,0.21954830257486668,0.028720600805912204,0.10221398909600715,0.019514336311568365,0.18921264960646955,0.15941748886449658,0.2210847991478703,0.1685866681267518,0.1790486969464638,0.10400931808572564,0.21202261313714968,0.023984481497490114,0.028831931745362797,0.05837674009048049,0.02337228708126645,0.22595946854377516,0.13641745843579095,0.003094583883641887,0.008718748281945563,0.07162910262590502,0.2008086951831438,0.04459502471758509,0.21246593224523627,0.28536121796816916,0.28801505030471897,0.13606607909871704,0.06180190431389362,0.24649903834010833,0.057715244975515466,0.08706511733611558,0.2376404192723574,0.0241952626216519,0.077054020029482,0.008539293462215415,0.05357886320724082,0.11405449772046541,0.11410815842556238,0.18415426484375425
3,0.27201302412943923,0.02217518861648949,0.2555613125618628,0.11185068836605214,0.12008398650096824,0.026369143724673243,0.20235871794131938,0.24273336309500182,0.18972421589914895,0.18916255602524537,0.039517346393047235,0.08064405270232222,0.19312142958859072,0.10132522113526851,0.046863403427692636,0.16678642136627636,0.08897970502585639,0.009651859740396139,0.07607285469334416,0.16833138089540728,0.2125020077943654,0.046589491608853235,0.09968130286199267,0.20892695223744082,0.33180423991745406,0.046922619349670715,0.21319062660909593,0.030508881743953976,0.2713807780930729,0.03477397174843732,0.08229295487676289,0.19499081770016724,0.08485224600610877,0.09488255311639648,0.0007888637231138959,0.2067114996513668,0.26535800773261303,0.20846388808370792,0.020060193642999512,0.03622852650687831,0.020387378908576455,0.08332694931954973,0.11808846439535195,0.09794597585882761,0.24357265252044624,0.0005590041291089649,0.15085040343515674,0.030027068991714097,0.057634061997666595,0.14548457238311116,0.16578333613179252,0.09584745986173154,0.28771337385882867,0.17130492928884755,0.2539139410681983,0.07238661674134544,0.013307491547313734,0.04448477214777069,0.025958707035222274,0.20108030035855262,0.35196949411465994,0.06937080144796776,0.10679066906085313,0.37745150662510335,0.20895894396834072,0.003461830456261354,0.17231954413079673,0.1843440180651154,0.27382537299200727,0.02364749228412607,0.16670702879546362,0.054608998854122744,0.03426560226993796,0.07197408820419285,0.059559498952176916,0.1317182693487004,0.07372857969480334,0.1574820142845876,0.0058403783322519345,0.002404027084519207,0.29931154686826206,0.12467905547367675,0.04722641849032768,0.016967361142855804,0.017947022455191017,0.052129357641925854,0.09159616090369216,0.26081603939397524,0.21960691329629825,0.1530989330602703,0.15832516075190053,0.2614886944210177,0.10786947595092644,0.1127717641143246,0.1581928254246896,0.05318534922085364,0.10263825225636816,0.0006039885138940451,0.1649399332097902,0.20697824750479143
4,0.23113484045477628,0.28513647625181643,0.08369089757575784,0.05637465909498971,0.07152167100586479,0.023044241667131142,0.05068074169207753,0.3711782677721096,0.02275428304223434,0.18540386712437615,0.002731476816062412,0.10040376604067852,0.18922145354747466,0.014258923115486703,0.04962170469090737,0.0578934329717733,0.02878956736011931,0.2071622524643234,0.017856301811730507,0.16216060634641788,0.1630530112631532,0.003944941366642536,0.07766630524072561,0.04910467452022537,0.0917868839498647,0.1626174824192952,0.05204371535005175,0.10281976483511507,0.07436368428703699,0.2413634971161881,0.028256570763486318,0.07783841916862061,0.20293648386038274,0.08636422047828266,0.06661935087847892,0.07148964069632363,0.07800573278835476,0.2080423255938059,0.05876617679476535,0.21564072197182818,0.074993815402295,0.14587834893252508,0.11502240451245638,0.20736343758900505,0.13971742191608816,0.17743635516766904,0.14531073214964466,0.19136645344503556,0.20733947155785476,0.11739083389510208,0.30465395825975783,0.09221590547238628,0.1725226424728295,0.43510716840627134,0.26199208624058734,0.06217805720432669,0.040458658133613705,0.018706357814531074,0.06243782200604526,0.19209978925155483,0.1855972947373996,0.05864766245088717,0.1707330513571662,0.18481309353766323,0.02403308737782938,0.028961180557918374,0.032460369506315964,0.22399850003001376,0.023395037518298932,0.15262277835137622,0.22324693872846482,0.25762385771122676,0.2469789430170008,0.10676293573046605,0.1194203429336402,0.1282352417585243,0.04022757344215366,0.07571089175853482,0.12409222763765432,0.048268990990237966,0.028594702776919022,0.015532788090933218,0.2063058455347533,0.24304484604269674,0.0805052084330169,0.04443070858750408,0.04215420195594489,0.07419977935622812,0.08111671372661464,0.025230581037531806,0.10504078646553458,0.06254961592848124,0.03057980864166774,0.2683554741331842,0.159419745729392,0.018757488846974778,0.38667569521245027,0.2630537733242555,0.0034418727270055446,0.0054520139201711185
5,0.21708064960071044,0.19399104077102222,0.019628575168596278,0.15415087660538185,0.1622978677173701,0.10640351940284848,0.12138681780503663,0.11892025998966807,0.033133343000548494,0.11399455690500335,0.07117472377086259,0.20489073724713197,0.07271935200924437,0.4811565522901621,0.10404170817608127,0.08634606122302257,0.019255366840381406,0.22328439934336716,0.11825601386234103,0.1925308771258457,0.16551351136545836,0.05319576867449729,0.1454052591841383,0.028581702267407243,0.07964503309689067,0.148119277645973,0.2947302292802158,0.07430021044882562,0.015480101292486954,0.026721721828479074,0.2380647298797649,0.003588925489656801,0.020375210554330524,0.21710978422963173,0.1038372990889925,0.14357725646243658,0.10483919657882784,0.08445799046276742,0.15656518044617226,0.10010474022645513,0.1831928670163231,0.29934859769213285,0.15429042601179288,0.4103860303896671,0.059516398616496206,0.23871907498156264,0.0623182103688437,0.3326110954783806,0.20921912306393564,0.060429391623977764,0.07041266556062498,0.10398564683791928,0.05074023072894309,0.03565875020952724,0.22347055264630558,0.24401980324797384,0.23820682340508004,0.1634512074685466,0.05452292981259369,0.18050076026452422,0.08652022480622784,0.016013283290447107,0.09772233105280625,0.055210145240997065,0.023901701265823173,0.09207980213179973,0.10787645287310119,0.05144110289348631,0.20491315379954117,0.1344313174871022,0.019549820910091185,0.050532238541162906,0.13703407027792963,0.06972679267531265,0.23324559916512155,0.06349289831698787,0.09477205581296422,0.13311574838692086,0.2159579509842272,0.04855708423891641,0.13437576462333758,0.2657371684229564,0.17284835978917035,0.23984865400799343,0.004965684519262319,0.03866903847118173,0.09239712572351463,0.21306913903565305,0.06231617533320481,0.19039233955131402,0.07711287584511697,0.175548152460253,0.057261797304854124,0.10789173429471399,0.0665984812405617,0.24574723145527322,0.003095429414246155,0.07771502355061638,0.06357004903699842,0.24330609335907832
6,0.13569381367059766,0.08953412477946698,0.0056414692725547735,0.06699400082958348,0.17631871646782188,0.0011303746287558078,0.11028567176440177,0.026153472974869328,0.12995279295552986,0.09206003694676446,0.29902614896707114,0.15033267124688243,0.02968973722527902,0.10070271600154312,0.07191814656435591,0.2474518024039865,0.04365522043466368,0.09694921881656537,0.01823414141264796,0.10511202840826064,0.23172099157031056,0.02577778484775487,0.08620152645862195,0.11261659671915991,0.12258222803453636,0.14900736632171116,0.13908299670681132,0.1560056713039628,0.12620036691224157,0.019947907483486786,0.11216663643557848,0.04590347404649831,0.09184816031578935,0.10243132917984399,0.017005615466302422,0.2588753607638895,0.04409578218486796,0.16617424300739642,0.11907169741205748,0.18360159190489578,0.051216102671849124,0.08526051248617766,0.15684853716736102,0.14131829533387782,0.10898223496228757,0.21970388346441597,0.1809487979605149,0.21160749637550394,0.14327321369577828,0.13739082467579672,0.1539808274338763,0.07726190122427312,0.18253322196650995,0.03956256099288782,0.03747071623480145,0.0628363019145497,0.11971211519660324,0.11318090383331794,0.08789432965570351,0.11767144417524181,0.1699673524741074,0.023673812493871495,0.10874355748366316,0.00542457223479377,0.08402300146037686,0.1068683870651583,0.08500309572388728,0.1508006265326226,0.22536460202583083,0.11697445448912147,0.02797788035571005,0.0800111087007486,0.03258038431761855,0.059638883318729345,0.0878764300194402,0.05572152854925421,0.015502747347040852,0.12960659051354123,0.1490829456525568,0.10167707523830205,0.20247355684362184,0.0954000143247268,0.008711126008155646,0.12673760714213922,0.285128218154413,0.06166204419589078,0.032789064276010804,0.09694215390607289,0.05329596204564092,0.058864482505365225,0.09721781941257557,0.01572172098776945,0.1758845807361513,0.025914064869951743,0.06419848200482547,0.13977108179466813,0.06862286934943845,0.2072658288151514,0.02663539658815014,0.12626361936699268
7,0.0865170627494154,0.1019580336475476,0.21478028584602932,0.056602024310831826,0.0810300419779989,0.029101059449581197,0.07844833995339975,0.08236197722063879,0.1512655527815994,0.034611711379597516,0.03790246997122177,0.020871404744783793,0.06236841048433229,0.0337943396275167,0.03554978198578685,0.11759045996483194,0.10975437441402602,0.05224745137934587,0.1429282009186348,0.2075170258596215,0.1809776874571719,0.05915561386983612,0.16630620275230845,0.1051271680070677,0.1747348383640214,0.24586065830427684,0.27384382386574274,0.20173479840096642,0.11965375856895977,0.16653612042276417,0.036764653507560814,0.09613716643520068,0.009611885002997388,0.2732108236223402,0.15142635850394898,0.050083925981175774,0.16670519480617169,0.012880061989058125,0.09422928456277926,0.0956253126536506,0.0383984883239032,0.009309742704272615,0.1754062512290901,0.08496224989257961,0.04119584830686802,0.13844980820421926,0.018016394286157984,0.04727129301707735,0.01494040084489829,0.1155336565339547,0.23805104684949313,0.21969940432515048,0.0058314764861133635,0.08769841883040161,0.09944559721707799,0.2220342676229149,0.035191721830385984,0.08487640380133321,0.07662809124774062,0.0641494839703563,0.11103619491012967,0.06305116541679767,0.15111691819140727,0.09371590862972537,0.042053805111309024,0.11556813225117382,0.17587627262778516,0.08663158685506095,0.09420295669231282,0.10085452288655877,0.21534645588674592,0.10709926109338863,0.03116937447633126,0.03584418763134973,0.1450847219766015,0.21594077305029408,0.05461561526913022,0.029893223053850955,0.28123247511975735,0.11720580884568671,0.1401318230660748,0.1945722411196735,0.1424239065542472,0.1583689260050683,0.088986069522446,0.06552585240071096,0.003241951900984884,0.04755971308077082,0.05493195227246451,0.012291407147441029,0.2015997250358374,0.11291308074796225,0.22314285909054699,0.11592679608442702,0.08076262282548446,0.14269965386330175,0.04291616626825157,0.08342550245651703,0.1671621173983143,0.16320218048272916
8,0.08473429484234285,0.0029638144356038607,0.010009773953399838,0.019877098470262138,0.1419411144410538,0.08471964842488625,0.11538363721386535,0.02394671119680348,0.06417342365105946,0.08003073638891606,0.1803630654393179,0.31595998714982976,0.16076239494718214,0.2794768993562151,0.027466623485790355,0.10751648047611179,0.18083331763921512,0.24719681066468174,0.08552289323385742,0.1036089040713076,0.09791615723543318,0.05931085128343131,0.015895417082690294,0.1693997035887581,0.10214166944616429,0.2035133995265002,0.1538064696327215,0.07815852388597866,0.14124810292145754,0.06613577079507493,0.13569168505435733,0.1250319411410137,0.0529560301443962,0.07610032035171288,0.02137799925034027,0.2696577853212895,0.06827184629194316,0.048040131699000795,0.048810418653439665,0.16864743632507373,0.008372902379768295,0.177176758925417,0.13112858046529188,0.21633096836997656,0.070287887246784,0.03717290022345943,0.10006535642356959,0.3272415498195752,0.24458799468601355,0.09616561331695667,0.2388202536662818,0.08915977046835699,0.037521030206165554,0.02350229979911033,0.057105862377864976,0.23570075202599317,0.019286364658085926,0.09640088023321741,0.23194630722856718,0.01682899235189167,0.0973830903949526,0.2253929127480903,0.06937014553721774,0.145809725228763,0.08205148578090907,0.1344093010976024,0.06122358745595168,0.05961868727985264,0.044600708449927175,0.11948796000059031,0.018898202834715275,0.33831356278029845,0.018587367407870432,0.025910346280056944,0.09279796941154411,0.04830512259317555,0.059993156419177206,0.07357552921194249,0.008746098127159412,0.11915011380943563,0.017833536031420162,0.16892259994572215,0.15606921102110638,0.029411566598608004,0.3425932296835297,0.03290274888599425,0.051153237961699745,0.06892160487098592,0.19053688399870233,0.03741821886687382,0.06566027865735075,0.04043630260868324,0.050708697347693905,0.0286575322564254,0.03371691255227372,0.06310060443850249,0.26898948595971856,0.12870708051891466,0.03557448768276263,0.39132773338218335
9,0.08727533754307046,0.1510682353999968,0.05158553065189308,0.06023066340120365,0.06197205261837688,0.08436813574184518,0.07653104084137519,0.08121529755363133,0.0192683409621568,0.00562256051450908,0.1580821936490024,0.007951183808106145,0.17842428624146234,0.07624214822536039,0.0833613253470584,0.11884860214241363,0.0807422919325515,0.26788201801963757,0.10201921830992441,0.04362049769354829,0.010849252434178551,0.10309112111511884,0.12503216200192832,0.03262350966528931,0.15368217348731555,0.05872722366491084,0.17594366771623549,0.02596103848171729,0.1377374956582264,0.1458903338431405,0.0979763927807297,0.182578503213074,0.12617496166619696,0.1577141705600139,0.010007496994504476,0.12155998477049862,0.057317393298866474,0.04670607689563184,0.08268547479069854,0.09373730621016144,0.012560227618304727,0.15101791089275515,0.030238815285671107,0.17047865524236097,0.021834015665493527,0.09299656943537093,0.1185659082557663,0.12410218553182234,0.02855450876955471,0.17100559148042555,0.12996392085677155,0.13861131792528253,0.008078921382971734,0.001285868657083366,0.1500401307330547,0.10092997850731467,0.0681300468658407,0.20144939818636984,0.011914029080544782,0.0932947448989789,0.17251038319484663,0.2586520330129815,0.026165070884361076,0.050115403509545096,0.05020657244629934,0.012978168445926662,0.028426828823184182,0.2366337330507644,0.07203808479989687,0.20774908483448534,0.1626841430338944,0.08889236238270135,0.04531355465241931,0.03681298737285826,0.1560915617034539,0.045269692213879366,0.17826137418734758,0.06943033121601572,0.05109088807124245,0.02244405705360753,0.024532416296233782,0.07671611254616562,0.08390295968108116,0.010244118638254689,0.09371005288918566,0.059291151820240064,0.002114991710593171,0.018751506371099208,0.12417816624582745,0.14119920541603553,0.0750685602276131,0.012073148762892678,0.02596207055649142,0.1767150565755945,0.21616853985910928,0.07367019495943952,0.1884019047437604,0.10882315543997284,0.016481108138134547,0.013550710444486132
10,0.015321508398144688,0.03617752912020878,0.18482392014583932,0.14847165784375968,0.0032351491089898377,0.04202192579822397,0.09400507202244171,0.03170720105028497,0.02845010657617459,0.08003848677201747,0.10646172928194328,0.047338546827527285,0.014445252568789368,0.08414498611793275,0.10667867180130292,0.07789465019491307,0.028546239696969962,0.028532198140878484,0.014509622041951935,0.1651577400652121,0.11313281639437442,0.048743688775918385,0.08064037190774553,0.12209297652910611,0.046520246522404586,0.13089892012312043,0.11937259982044068,0.17315376159514184,0.11579512846562001,0.07319866701436617,0.1443749580004181,0.11846395684422928,0.14210922386513833,0.015427816491208397,0.08702046482984246,0.028647690325446305,0.09373612260105621,0.07968697455469209,0.03605530084613547,0.12647159674119907,0.12420750278293174,0.07634630520105329,0.009617161200623704,0.07192348414823999,0.15027379602020186,0.041785932576558264,0.10638246707382837,0.10926129218920433,0.07163546180462271,0.01713439334376725,0.0029982986004503595,0.2287446835203658,0.03757462881685391,0.11238190535600587,0.07731212229126722,0.32537710421416083,0.047913233562446166,0.06703189824476197,0.006634658884565929,0.1540500332773918,0.013388888529924252,0.029721521207528016,0.0054039561113789145,0.09986502805754804,0.06203458351138511,0.09716646086820085,0.038975168705884876,0.07117429766399488,0.16609132077593158,0.22235403190077302,0.11721519472739628,0.07230318275654779,0.07358005258301833,0.028397280313723634,0.041011708403884684,0.051396483979341115,0.03655676540025601,0.13058415714015306,0.02991060843211147,0.011086427428707225,0.011014205942377987,0.06960937820064309,0.09335264472575008,0.10022340514886063,0.09160319923115723,0.052870951350589925,0.0544762400362146,0.07588978009107028,0.20384329322001096,0.05531213253250709,0.05123961558072763,0.015727183623519485,0.10922026688353531,0.09962419699782166,0.06700421839847259,0.14804748716022254,0.01852882989227033,0.003129282702135909,0.07540325331397571,0.035787539886995685
11,0.10584173824287227,0.03231134347463618,0.09813894108000182,0.04189054519391585,0.2036204962469406,0.04479199056568619,0.008097892489718948,0.0044555298843642135,0.11431558255202035,0.024064509779275343,0.07767269808586122,0.048177373882822,0.07278664333814375,0.14980487716002885,0.0332376248082888,0.1315946142430597,0.0037693848509894393,0.09133678115718327,0.09488114726006183,0.1413232009948483,0.14262784911416415,0.11559102293982343,0.10530293661881526,0.006316802552745656,0.020857984520785945,0.11606104990155833,0.06015497679346309,0.01065575200543379,0.10742673749882936,0.003691582776821224,0.12519075954350087,0.0018134179587530122,0.31642281055579974,0.09897775521439078,0.0070418981458489,0.022525216569751545,0.1990229082016987,0.01821073682361086,0.03751326274279481,0.03705066818507365,0.005528086332085423,0.06443310799764188,0.14796397283260532,0.0552686724415734,0.02397422188419445,0.021068869124301427,0.05711685632367471,0.037110196032501756,0.013465506996584435,0.07084716723579712,0.10026265770325526,0.17648235961634196,0.02207816511303664,0.10001495168991303,0.07602946567702665,0.06011570300815205,0.06588420687268817,0.15781917144403051,0.008131346696816123,0.0726399537351225,0.26635519230548627,0.09534885494547146,0.07581476802536963,0.03624493301267899,0.03431473135616791,0.04051506485772378,0.1263423310057305,0.05028424752529718,0.029786498396860935,0.06050153302269696,0.04381829349618715,0.08046218215071893,0.04425051163002366,0.15691430551090563,0.027159260747968074,0.048093220590692425,0.17116117994979263,0.04167089031902104,0.15141771666747483,0.11321195823366484,0.051860257763915694,0.029734891763112677,0.0268932804947394,0.07357091218274026,0.1723747156705399,0.07259476702561665,0.07700507920388361,0.08129731468297824,0.013185892755513913,0.09164744389630453,0.06570663847473332,0.030081964132631485,0.021141743870960898,0.08122031553436479,0.09946108255546426,0.09081381697758825,0.2027195555356414,0.027614936038591366,0.08904587882378778,0.06802610109185017
