k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,89.12511398180531,19.82016969726604,83.78861295040282,107.3007169728971,107.90641885962444,132.71698549160277,52.14249983039177,95.9915521201119,129.01919202651973,127.42855232057144,22.64742804266146,52.909034779781905,62.058241360304805,107.75552111121716,114.6267095799958,117.91562145328335,18.383404269543107,128.284994819062,126.27907343081831,75.28287181438617,14.156099693984231,119.37023420281244,102.54600721269296,109.52386103906386,113.23693142576113,137.65693467744643,129.40648521407144,89.70232314818895,79.92192565153081,97.0364443234086,77.05207610739384,134.00814174080955,53.854468417644426,83.54709874630564,113.1865637227246,121.87417281485439,62.5880767147696,110.10218285875655,105.73841325736478,65.72797229507711,88.43205117423345,48.26611002843707,78.78577181081724,111.69964921886779,95.41841109428381,137.2910705385639,111.71451776929746,117.4856487757122,112.53368053839691,133.98560663753167,118.07544820812456,102.3223946599342,25.634063654612845,117.4082885981657,89.35918698143482,78.32112633614904,56.903917856845254,44.35445758590855,77.1268052907732,50.84281600439088,120.28075228375981,119.81207146305653,131.06087207692138,109.0737476260878,62.49903085138233,58.254318093722134,38.63384776127239,128.23424905720293,124.72670855468184,112.68978887078228,131.37145197027735,93.58482271312891,47.5143693616332,36.82823699200105,6.533942312813849,54.52079609108054,61.414762121854835,87.34650946317872,109.85070233173357,14.483458132874944,111.63685437724996,98.60327931373689,121.42763027321354,134.96467874785972,67.40550146384449,57.21725575413299,95.03740010397992,123.12384259507408,84.4774874494979,58.21460463518838,0.3724493952908574,111.61314291047691,138.46113114838852,26.62630228493198,100.6389807228915,111.47206202422062,127.77505310272187,107.24304247852984,78.66782014902032,55.30529687200861
3,41.70371198150623,115.677524511286,111.3988582769528,83.44966834909181,128.7489181910774,62.08211251349391,112.99867290360383,99.6216999576805,33.704045149509525,56.71848309876836,92.69745207078257,0.002136874724754989,28.411467700976317,92.1162381151381,81.4271820790043,63.94321417383125,68.72093883648952,11.989062114999086,100.96412738489235,94.36202613931945,92.60309626313037,9.213948360207468,87.08338645137141,90.46220398518096,40.61676082024613,91.58028871820905,43.61072034113002,110.36448054447567,82.84268278882027,114.63317460465385,121.83301979364833,108.49384078783928,27.08772154188756,99.04929684650965,10.034920163694693,43.49666805079666,48.5522123166334,109.78549734699014,62.33354243715904,117.41893037882329,19.87248520606859,103.79942302367994,106.18370482267063,42.89332065985083,125.84226481445762,23.435086770256348,20.065385439284455,110.99333084734859,31.848663942783816,73.91291649299522,83.35009195416552,56.114132016069135,123.92992308206519,45.97755130662071,16.70798853946357,92.1619160903759,97.2178282077057,90.78650824813946,60.01994465738443,7.898382118078814,110.70342453609811,77.83222781115171,77.88501002922081,115.91085274052912,6.224687654738261,42.015244824107725,64.54121474968038,69.55786166964151,83.45718779983628,105.59995656233204,115.56584395109923,123.49962445944524,114.39482751782874,111.6666626158707,96.10548467575322,54.94128006113516,5.510833074915354,127.82550886190451,22.77083161210497,106.05427297942124,51.63567841749146,86.1236451115677,96.4791797347495,91.79080367435402,95.60648007099738,95.64633541051944,33.48173403383561,48.791831603503454,123.69986681308731,46.286117353523196,130.86403792818987,40.26732153520078,92.19830920356489,8.557757214095744,120.69262755268896,123.7004515192042,96.69183296227186,122.65859537923777,13.73930967789633,4.955164916055253
4,61.94044108812385,80.2785111687117,30.1253585641999,1.773029252923834,5.828505914049316,70.35833731982976,83.55846379344536,62.15778477977345,95.76281189783062,11.554923241968254,76.06288748759769,52.84502893141543,111.49515677006372,34.62961683388724,14.676240336309974,61.48941885529749,105.96341487554838,96.02398960229658,101.77016132216717,121.86324130361425,22.263334002895448,56.892974169160425,11.145707256181339,93.98289231803076,100.21414376398042,73.23680966179407,28.94485857718584,36.004233973802684,67.63832833523547,98.95688120643881,12.857184135397887,122.08700572277156,101.44056301252344,38.435350531706334,75.40924492986626,87.16087368961442,114.90811594603136,4.1078531197136385,72.23129077759332,8.116129463361915,53.460238107345276,120.00975113969997,28.228578640002382,10.035603245194807,77.30726975018642,93.7364054768683,61.27350099785164,62.51563954708497,86.3004285565935,72.41004103882621,101.55132181029055,88.99568407481124,25.578418789806364,76.64692907775037,55.69543063094892,94.6414589998735,97.55503704401335,26.971488488744257,81.68905436589606,115.69216633505107,102.45287157544584,3.7809034736876583,93.63544823232513,83.13514927450925,38.70301827676968,33.1529740492646,102.52038139892461,86.48420344943335,89.67523138241353,94.86718940005838,13.045512771092064,109.80560852757353,28.963394108629927,15.815680050478136,88.43712078269465,105.3529818626773,10.541309470212582,47.96797961285593,84.19200041084514,112.76953993093187,35.17000113150674,24.267169338349134,98.750348391054,62.89203097666112,48.78050059178916,92.33725772765925,83.51454531779595,68.64993679385151,96.10509951721062,121.99622438557967,14.104037735861795,37.086669503036504,32.86228647582462,12.807020515447988,27.131134277596686,72.29720935691323,78.29820061468963,60.4545527043005,88.78646526293142,98.68393581725971
5,3.5417604312623325,74.06835843864255,41.65126687837643,10.544341480869605,36.35190105707049,109.02421154507363,76.2891006953033,24.472215338599085,96.27922705625207,45.28672437190245,35.11934560617409,30.509988548678066,36.798047044969465,16.25315061646681,65.63191701004621,41.58265737631645,50.7017364210554,7.569415105107424,5.0483438238055385,82.99796126800261,45.34090605637924,3.681502592244641,64.0377790815251,77.13914976308033,100.30607826563794,91.304520367923,2.037062957181462,48.57763282134478,92.14866718211508,40.685205676798134,39.793156558550024,120.19575089732227,66.13646402901261,13.968381921803271,69.8351102567623,4.750808008222236,46.50571775982225,4.544801244776835,66.39192686422902,53.19179479094289,1.9158890090250793,82.82378893836025,80.71241288372428,48.804823550644656,1.1075455727451242,1.790286767426835,85.13748249664368,82.89175470488847,89.84968641274078,70.17891642339816,15.213039434435842,63.61565202491724,51.47840883098135,51.76429329797341,46.424301104624334,18.40317526279037,11.576030422567811,93.11251720248383,76.00246647405967,9.482403016189267,45.32583957651097,52.44259794931328,11.884866283321287,75.15885437049614,33.499197947958606,22.56886844887609,6.195822901835754,11.914478657682622,11.353948517620097,49.88287891449019,49.84761137853948,93.56535789033765,34.378185099499206,38.222415540129475,35.22727043456102,61.47025715804459,26.699425044786338,104.54421814048405,90.92999948958152,53.21082499641521,30.763381604993583,79.854461397759,3.1412738869789223,98.20519775840631,11.603244051928414,45.154225410066175,42.675653347565074,45.02202855402409,69.069413099604,9.94517550701326,15.44120958682501,22.59756737187712,111.77882104366249,56.08926149810233,96.5821061244042,108.15359144461527,72.38766371959105,40.63890560497471,2.519594716611465,20.049616894452356
6,76.30714862272194,14.359744071894625,30.89605422002495,9.703982581160176,56.1422983354683,7.176242030202673,22.3172283597454,44.3375299501255,42.87261834810111,4.597896375326201,52.42797401542251,26.406255677174116,5.277494427590284,85.9812954730308,32.962605224994306,50.238411154821335,99.37063397969493,27.38429367304954,2.4213507428411276,26.2301275018949,23.006886915842216,74.31535078779125,5.214606454470498,75.39101064528896,10.289950573243914,23.86500999920598,51.118531538737074,16.186663877821047,38.37161848845621,7.113199756546209,21.307419905314447,0.5865135472644454,0.739373512835698,35.567370086507765,34.60045416147061,88.16461030421425,16.253836508225703,9.872728740384076,85.32692817347368,35.96682741849138,34.18898573319629,36.860269888332766,33.62860407564396,1.2113996142496148,59.4681676793892,32.63529077654579,0.41271799631530826,17.730376222703313,17.99415659901365,97.26594609347251,23.58037830132581,89.30133236663946,53.4118274827575,108.30937197089501,62.71486774012976,34.18150296188419,24.13751957619897,102.69719530869367,72.00635852914189,55.826428277633354,6.536286121192859,9.761150840187526,3.91257349950655,34.74571565984705,52.85484536996232,16.881682656059837,82.25093410087857,10.450306895974052,34.77233772818461,24.928162131581175,18.05495901082716,43.88944244006109,45.64382553391698,58.045529334435145,4.716827637019435,38.34618441842679,29.91207679060082,4.716891162526366,4.4370252033141355,25.430082989935585,23.74160099501549,64.97059576626333,13.286848429238944,12.811073904946426,8.5417864375205,82.03924832486176,6.290265265843118,36.674723373997494,58.204979133704725,27.613212925170373,61.39892751674496,41.18821943520206,28.967581996616005,6.984458024606738,24.93212254226556,81.86317978852743,70.64535626681938,60.534476883364064,66.97226208642772,18.36178680087056
7,7.183597416007331,32.010047461552915,13.347421700793006,44.96550666430572,19.753465235072042,9.522125499580198,79.90219956156949,39.80174509644226,63.937722225553586,77.00252480388906,72.43484300988933,45.79041223765816,70.1465736110639,60.300766506295616,37.358206204509756,41.47514676506664,82.65957986575262,23.164194252083803,33.532747647551204,6.951052276084738,2.744049094219747,6.24059763481722,36.141901215353386,97.60973529610146,40.04370075287186,58.17876566973119,74.41734411759535,14.010630829205923,17.676834679316656,12.335763498988939,6.0982186434438574,31.312113927580867,21.18085871013571,12.455988251479084,15.930104284397586,22.788470970027703,34.14209144081168,14.179587268421088,31.62806245179263,68.38876851312851,105.64711064685815,16.751771025020616,56.01854436847918,56.355374163713876,29.07940460554879,77.70822896174371,88.97620023239992,4.516225280524878,4.665680779028747,63.652346762326275,76.15856502185059,40.97412389687641,36.74744500380237,12.714274593789554,50.67289601010269,6.931448144126051,46.00087091811987,91.73297568314207,41.39765612023115,10.79111038261766,56.35875860127993,74.38417937403887,37.56371448696551,17.79960697600862,11.101508316850556,91.99930741863881,39.8252608613995,5.358625102399486,30.630413076757577,6.158831539501307,68.55539073097758,9.477221963139641,11.966695620977276,13.47025148887542,68.41332367682556,31.29471899369726,15.09157116487198,8.63800192706077,29.313782256085233,42.98890434899873,57.24240511452649,2.0983136922128267,70.26080212571438,27.299209101725822,70.88706621244371,34.969391886420226,16.78541547086307,41.337828710986486,22.505414440122593,49.13624292282638,43.89850414257032,30.755132304254005,3.9526237438228407,46.92278727102887,38.797654799094204,70.99341677970675,11.99909484162933,62.57737827772398,90.03857148905529,63.905581374817146
8,31.36887725216866,2.944742463257114,56.6304030609174,13.036964503112443,8.073131746986064,29.138779437747587,58.23098204480691,52.66805233441609,7.0596915620971,1.7496853138632673,12.716299586173477,10.377968006429626,54.049763388181006,13.463434228785871,39.710899201906656,2.336985178334686,9.951125609813005,35.747393174206536,7.781238874773891,25.237791418862457,1.448643864100461,10.65489993215624,48.33993132770132,47.18167940385385,32.27331862488404,70.24506929098348,62.373099784156395,22.070830852988138,45.08302431784671,21.144712786385995,53.230656508543376,16.86655984758653,5.966956132400895,19.152370145752627,45.97459537933612,6.575468376926267,10.319655003355166,20.01120394483,5.473210154036451,13.287260208213524,31.76879018948364,17.978647640017968,12.58304448490415,6.498068178707655,53.67825644040168,2.6544859539297647,33.317395352836556,19.85817336854626,22.600056196557574,6.900638362986882,78.82580842790998,35.13437628626957,58.89051801736724,59.185803049881216,70.90842481267147,10.407465307177176,10.26334267844669,58.032710002970276,47.161300285240685,14.64195202184031,14.281267358644953,3.467043882551053,15.694631581722632,48.86063673501019,43.630641526698554,2.306961741390296,30.677148512827415,47.039914575797326,37.73835364273677,1.6137820105632557,2.1178733134997287,0.511068123057953,43.9576088088655,39.539255545366075,54.33651518446811,6.009057852314015,35.63883016644999,1.4812058776280423,1.7403940095572636,71.82740344890345,13.883033792237711,23.27081464484384,1.9725482584207157,87.09362621684903,11.61508094696103,25.8593551272662,32.59615426538312,22.80490155417833,18.54808356985714,8.30651877392063,64.33080233879797,41.023837184917795,21.600091515173972,7.700531253895861,56.62466330054369,51.72690856454646,0.2454633030703235,52.285316009488525,22.25829555553247,56.80970336684196
9,5.824509894670683,19.149606873585014,1.5208558325882677,14.206401739504116,29.966662789302077,18.854921398540753,49.60799732564918,31.713319425657218,20.32937670519361,39.95865763029394,20.73404324428759,62.42162045698271,14.689319149847535,35.03584334327752,23.786559232399455,12.428525481616049,0.18570267774668991,46.727512330920305,32.065297350907244,0.06172647462454961,62.94298919777303,29.286717740124544,8.424537733178113,12.943793567741778,24.42173651353498,45.00131718367541,19.022459987982245,15.012947844747913,8.865718354387553,45.86778617610331,4.627933456504081,9.881895029521218,10.215863250303244,20.62732017833264,3.054742923479864,59.813812162468494,22.688448507855753,10.846019655620466,27.432760163629908,35.78760513902057,48.21208315767919,46.47369221715637,6.448632965123636,63.02651946886867,7.656750796638335,7.566113240997112,42.18196067474493,44.64998178624259,8.590581554498613,36.29968966051257,20.5321856513973,77.0488194770068,40.614598677190855,8.003811140687503,5.548186621831633,16.94368613660521,44.51574664918469,27.766350879758917,14.740977448900026,8.71412726189348,61.32881654646728,19.519069370209465,6.241581625799284,12.310382897093149,16.536900509497258,9.876755780136108,63.49855502287615,68.33298215211381,2.86996187767636,69.45100481062829,5.736780097437162,1.644370619852424,35.277671358376566,7.585408993136582,5.988900759492651,7.487750188204245,7.866729976709621,7.7532829849257325,4.475627008803258,40.99852528117063,6.449224786137989,7.9923145648014895,15.986286562308905,2.6801549449637605,48.50607479532381,11.104471155992371,13.50586057335542,7.638327504696036,89.76424520522886,71.52810632259678,9.720639821200507,14.578271543787992,57.101976521623214,31.479081359204272,9.958219690346425,62.83887909986271,4.8413556570699825,29.444749554414756,22.148147263887054,17.874309030019674
10,10.402932213519307,37.49199803072224,22.35310481608407,4.187090734683096,41.77084783365322,39.18862494170824,13.895566209510704,29.2160314173899,24.277903746445347,48.16803128188975,21.660954798692373,17.448141715407644,44.582941192693866,23.454695186182846,9.730899967445879,14.006901762524123,31.83728910262201,10.86762382784417,2.169213479320831,15.840887221663536,8.95337673945744,10.646655954988262,2.7512044320534415,19.404767655760764,6.723809320162275,9.74214542961559,1.55376642418517,19.109385695533902,2.486665936764581,67.6678386848777,6.41096331073922,0.2508354495683136,7.876780453528397,5.494093074577677,28.25062637699591,28.57400085033271,40.14050701963885,9.993451661968948,39.21964087816639,24.900799732558966,11.419820878412338,45.614731440159346,13.221723401397668,37.93111409120078,53.17468723169915,8.44652076840481,24.759490255731862,20.1168937112257,0.8930890423640108,0.971948505556071,20.84165476034677,29.837773292306338,4.98790669106458,21.79504238774132,19.23992871927973,30.397717652145218,19.45080677720189,26.881970779499795,67.40575267913097,14.789177784307697,2.3498201618071732,9.81354664160716,0.014258252277670636,17.429452696093705,15.383478529605341,4.918045250589103,93.45887455948167,31.965307293578988,5.653851423387238,4.7871149328506135,59.86345713397891,8.6869859476069,2.150905946023755,58.6570178738984,1.3554033683158195,25.162344868473326,43.21133896137114,29.777919739336028,3.6270340057775172,15.26690612090269,3.8184678316829945,0.18115329459666896,50.986726863758435,1.2187618254407937,33.05770366088427,9.00911043069425,19.133996484700646,24.231796748708476,13.942659856165633,32.42619360400799,30.569593971251393,9.960173568861052,27.675094119882388,18.038866092165975,10.051699631981876,29.458016167078128,29.81320926684286,11.749741439990942,48.541211970800646,10.633507501577895
11,2.1648692300995265,22.498990728073707,57.00931317727837,24.247309964846934,5.025356862131275,13.280572633006642,4.7875977231708475,11.608975240258957,23.448294555703427,5.258390246549851,15.16650494050225,1.9262311444605587,13.131229108649734,11.770074004163064,15.705501748390759,44.4421389622085,4.185066354858748,13.810942027493795,43.42002065962073,8.628136624216154,52.73487750135372,30.674118018072676,12.054478933991874,1.3615301643388307,18.937408701056597,4.30120571061525,30.035738498429907,46.40817277253305,9.986676731834336,0.7975726559507734,26.772602863831537,14.394783428531298,46.58804028502027,21.941269158565262,63.71091622813377,12.800916357418515,18.842304509573296,17.011116754281915,25.17371964966658,1.4041409045468072,17.66817811858752,16.674004527299687,78.29519880602999,11.023710296168531,0.2967918740162645,55.42067990788446,0.2520453846094597,7.712284320446855,15.689179588529228,39.13900483984352,6.970594580770069,16.47761144071893,6.894358031955051,19.745473951613505,40.781128020955606,16.197379202162594,11.034064209516089,5.844374719434256,2.3267173902576417,38.9159759636739,1.963999113772985,0.549524289961937,12.24290020247554,1.2170952191791287,7.776537061052494,26.768448556870624,15.823181800617874,28.053344440298815,7.76270065430856,9.2360724872984,15.62449709665853,0.35209454212400715,31.593454409774452,37.7316615998691,0.13585002802727786,24.689205281302904,3.7813623953565525,41.52826583646744,14.949312371964325,14.803590996763972,68.76979334937735,18.035160200257224,52.63148759276102,6.7844311295189925,15.860597633301012,10.306739723226855,12.324825546411944,4.29585847625151,1.898468620606394,13.869246720623636,22.81751271109958,9.68111087749736,34.78181249030361,6.699742294231072,3.6836396927242276,21.958765633342736,1.7689608195592825,72.83593107421731,37.57002209726217,25.786421379254023
