k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.8601509527404213,0.8029840720056647,0.7646898340822743,0.8934727703766767,0.8284395397457506,0.540577775291206,0.8748854395384155,0.7466093662516922,0.6653507103819171,0.5742889293557745,0.6843308512830901,0.7649916627454384,0.8900168326586954,0.7671738239057395,0.5613402001727965,0.5086793803629248,0.9235438868099906,0.4482002977766957,0.4938722179939983,0.8491933912857206,0.9631674968853526,0.615390729951992,0.6075896251438332,0.690550593691065,0.8379620365821696,0.4391262852527882,0.47816284642037066,0.7112622195084779,0.879186350263552,0.6235447070221166,0.9211365972523431,0.5778945946923459,0.7640204335020837,0.7376216130574116,0.5950955713415262,0.7307479811750853,0.7098846489126192,0.7295063165628557,0.8779983486499645,0.7090232734524808,0.7074414158512125,0.9334481567326105,0.7232332016630227,0.5634513462240798,0.6858260586702387,0.40063619483034574,0.723562008621367,0.7636750266959764,0.6640696144667161,0.4122154998327543,0.6170649106017188,0.675212515712184,0.8156653479935522,0.669687563573147,0.7254275107543172,0.947862279333709,0.7720790584967272,0.7942722725601898,0.8492771640714807,0.7397629169428149,0.6862142518123093,0.7335748496171863,0.5219200335186494,0.6518037660780909,0.8077318426489677,0.9833390385043863,0.9709978278464897,0.5098616632070367,0.7878334141838087,0.8525900564098271,0.484256422350294,0.599112530508471,0.9691968712989314,0.758328084849619,0.9625332839189309,0.9014429194951149,0.6910681567767448,0.655149794485114,0.7295148886804176,0.8678739353993472,0.787219196006615,0.7668036350445215,0.6221490406997744,0.4671125775520977,0.7047023272613722,0.6875785503048901,0.7087369445282689,0.7778394689021333,0.9578837789420711,0.7692201324562697,0.9155876018595425,0.6268961324414716,0.4204728650048315,0.7415320953733395,0.7283127421659061,0.674955623825342,0.49050284795138455,0.7574844526998038,0.7161793671485541,0.9193240865060512
3,0.8594955565768734,0.5504434850105877,0.6457847505350293,0.5228388001633804,0.5454454825304477,0.5963798432279629,0.5369615334738553,0.39232221537966894,0.7790035682535907,0.7188919020927107,0.6834598827982519,0.6443741338482007,0.5537325816398981,0.6823405205593076,0.681187114375738,0.7526329512584371,0.5594297245849635,0.8110057476552264,0.7316274689047815,0.6217929698192042,0.5929387295219205,0.6377310827700255,0.5975497545251885,0.6400939403310024,0.770291706696938,0.5808718723413109,0.47638893557658724,0.6258489923849906,0.45280885392126424,0.5093881836817199,0.4570384304188566,0.5371445242696355,0.8740011299367395,0.8286792917718131,0.4222466555903187,0.7701571205411611,0.5828045230038482,0.4467307551997186,0.8544612609016953,0.6385492303784888,0.5849842472992427,0.684770310180361,0.6183828401989833,0.8270007524894403,0.25503951388887547,0.5177540969662998,0.6957269070489915,0.6265405213940884,0.7369683109572707,0.6573752734565315,0.7572394920870538,0.595023340551979,0.4771670529973363,0.3953616014178363,0.5998816000784999,0.5728323599182924,0.6318314455765028,0.4966996836857934,0.5995689214597781,0.6557459730669419,0.659602982822078,0.8351299402885991,0.6706266813593429,0.3743980896210237,0.8220340341882864,0.6901073018080279,0.47990809780186827,0.7665194054077609,0.7007223858435905,0.47558856355819334,0.28777705870137404,0.5455441467689233,0.4025587366325617,0.6704314599072538,0.48835461893048693,0.6391090683366112,0.7569436757706479,0.13442662147057538,0.6386608828771376,0.37270128181417683,0.8054876782220288,0.7698741411450467,0.4825771347873157,0.7210070883004206,0.5948372298554575,0.7338642581679171,0.8894104830602235,0.7557165333974989,0.4153177153581007,0.6616081499035512,0.19704652428930913,0.835158594748515,0.4354907124555265,0.5288832104323646,0.47552164374467,0.6592934417072202,0.3756416566595193,0.455511932960856,0.7312305557310557,0.8080707790494884
4,0.441202710729798,0.4066192338939313,0.6135068466118307,0.6040678294891529,0.24548040327791054,0.5391613310924493,0.392381448370674,0.7857812044321841,0.6634401675445074,0.4658051480391976,0.451097537459321,0.7771193437142092,0.4837387521054277,0.44793406098067823,0.7769584890446605,0.5972967487649845,0.5550705953872594,0.5211751880977751,0.32305036128404563,0.49737071742999817,0.644694063473406,0.6627015293949052,0.39084700571317055,0.37727193999566144,0.41649922013585594,0.6165606828070931,0.4754102128540669,0.7791290624636198,0.5924675194090725,0.3949260892782587,0.5543411901486726,0.4087128427024742,0.5955866977405713,0.7150419519705968,0.30828685220695806,0.5204688652423994,0.5562164175711335,0.5291163072825626,0.4626609298778602,0.597307794414845,0.5808227625003548,0.31997057902787096,0.6990202568671664,0.6604342998773185,0.6775085743842033,0.3750060246228709,0.33095543485752854,0.22874242256425337,0.5528287946955779,0.6688999140515941,0.26096004831208486,0.5861771908676734,0.6718075672376682,0.28798405683143924,0.2107452208621552,0.448446974474773,0.6658176691703342,0.2641198533342496,0.6156370529414492,0.5704157006565537,0.4312838023339266,0.624302900212929,0.8302369227019181,0.5333947159333532,0.7689033966748006,0.46632060388746566,0.6662337934417846,0.43846064894271586,0.5176266090751611,0.6759109933785621,0.7033085877440464,0.5309929811749952,0.6644532013056206,0.8799729887036463,0.685012478916918,0.461953744528124,0.7057002821457607,0.6736379022851469,0.25927547822311614,0.4217261222066493,0.3301751106924373,0.4912557769542101,0.38530051336442384,0.6475837953393369,0.7044563966895943,0.49773798769172894,0.4053143986985568,0.553430398955767,0.5552450871408828,0.39795353351968277,0.6294404787661563,0.6563288143150025,0.6628469933158139,0.8776641589494584,0.44097261562141454,0.6404004763339965,0.7212917833156433,0.44784285616696895,0.3177834263433993,0.3319475932445123
5,0.28957833270358324,0.22919446995677373,0.43014586582391523,0.5086531962389403,0.5859582388903851,0.20337422046232012,0.4095360920719079,0.1779773687020072,0.5061437095573381,0.5383941628230982,0.50897457746655,0.5810203650224506,0.6154322485958612,0.5885212406858182,0.4616450778315867,0.6091458304038515,0.5647764682726132,0.37902258573055236,0.37646297240244886,0.08750407288307072,0.46485300781967576,0.48627456346986453,0.057948665296050805,0.5849095574866414,0.4027680928819277,0.5062308839888424,0.6982623721220347,0.2671387798621673,0.4435185506639092,0.3791718864102025,0.7175013404065875,0.15317158539387643,0.49598302099391145,0.4225218556145198,0.07714412714221575,0.82156270477918,0.5004280153837201,0.48515482821409295,0.33442529012856825,0.5060332306848392,0.5107211251554844,0.37441636004384715,0.47350600619054095,0.5137167503064425,0.40622667426058445,0.27349107769879755,0.3674958629311297,0.18375861284549355,0.2631381819162526,0.24477910972243377,0.6658599697716239,0.36405605526479057,0.34896653440457603,0.6114932354658627,0.4337265092649314,0.49261357178972853,0.5454392596885844,0.3442526309114379,0.9119696764444676,0.7243558061331314,0.5890782189544883,0.8409015887909674,0.5319657786777916,0.2417895867823725,0.15499261193509595,0.4745714258540499,0.6443934157814789,0.6561375116176278,0.7069828649417195,0.25603638486806846,0.4339030255569377,0.24540587697429317,0.39804510383506,0.3426807497531943,0.2246930400456777,0.23320007309844215,0.7247428195700385,0.41129299768034366,0.28416438616020245,0.7159596514892705,0.5811426150963717,0.22507233645889846,0.5676289033852173,0.4555079581671002,0.6417005373660452,0.24804796696492526,0.37688872249583516,0.6327767203137311,0.22311762201779417,0.8424101543411902,0.5952622867366124,0.626597303578047,0.15000770314125944,0.4083754404243889,0.46774205269027,0.24192731028038306,0.628979536202267,0.29758047925991815,0.5472088802551336,0.4691494340828303
6,0.44077833326404103,0.6211379712745838,0.3248735219234955,0.41458212534037064,0.31854092707967074,0.49465978949912526,0.5281137227188093,0.572447020041483,0.24291261203570658,0.6235675691249534,0.3200663757831256,0.29470698129327055,0.4464309104392259,0.3578020791063462,0.14295205083684204,0.4507912225024516,0.2547005168532802,0.4504867186278231,0.40218129818514214,0.17466815660491797,0.5212935058271772,0.4004310315456332,0.600259987553192,0.21021730768382252,0.04828667475011883,0.3964757598473292,0.5198354255835584,0.6425409824462283,0.4505813159070966,0.5436687209845653,0.39285947222524786,0.3881167086429991,0.7456052286496198,0.7395229208551115,0.33828033305545546,0.3171781483165108,0.7840448032321403,0.5897003335263276,0.1188721042449179,0.21733836188195932,0.20772148256529588,0.21033131261470184,0.3231868319432737,0.6188721464691413,0.48941169604232515,0.5297954533209108,0.725274113647022,0.3363958690934068,0.5012637096953891,0.24764388611178223,0.22788864841934364,0.339541162138274,0.3717449123183293,0.07811121735302962,0.25522111828945127,0.5912078105790777,0.30208673367220384,0.007364855874593124,0.3936832183769112,0.04334562866457681,0.852981603680007,0.5613368923692933,0.47074024653738367,0.5572943507987074,0.39146132976350034,0.5345481812938015,0.188981360199717,0.36192065747116575,0.6879690504343551,0.3813855933858905,0.31911303344790287,0.21484588879508504,0.49812150033711367,0.46494964909242653,0.20278934845027585,0.6798697904502402,0.5345933848550972,0.4732410812005309,0.515874653469394,0.3997320681076486,0.5475016736198343,0.21058678671488662,0.48048937172800765,0.32593206858335055,0.7970019738314765,0.18128478923534963,0.30857781113798455,0.5750238658076744,0.20983381446117877,0.5062108555620365,0.5307459496067257,0.47057253789596853,0.10662462784156634,0.30504232155778355,0.4367263672879663,0.3326033595573594,0.5289393578781036,0.19107864996698098,0.253847712318522,0.6318839699531341
7,0.49623608257030827,0.5014406473990527,0.508082302861978,0.5994776537305069,0.4624162492338738,0.11308062955541509,0.2514774319387578,0.43215445204387437,0.14378811925599333,0.5565747183108467,0.09026897412849022,0.5498377673722852,0.18067820911946186,0.4101420429886332,0.539661272626494,0.2115771780871729,0.528759452683884,0.35757253545820245,0.20722563771127178,0.22815291290068385,0.41878966931427697,0.7479248916469121,0.33673211345641074,0.06525785203186141,0.2600428353710803,0.24445419523645384,0.24805339221533496,0.5548920902147702,0.0070450401146420205,0.7367936777482423,0.46545880178460686,0.26556626943849526,0.42597628424042844,0.4585008261920218,0.06641475046373113,0.5624612397814318,0.26496136914155044,0.5144604926211076,0.02268892819665136,0.270956872258334,0.002717393896771725,0.00896413928184403,0.023074576317004603,0.2793017088778674,0.197713667766937,0.05974166480112586,0.3156203970075364,0.7189250819751712,0.5467478562539696,0.27497247957913573,0.2704533216810511,0.18847698412594516,0.3749801777972712,0.11584849341394143,0.3934885962912049,0.39362213879580277,0.22266960015031145,0.3186506501750913,0.25635694005955423,0.18508479337580752,0.37165154095830744,0.23605623217826444,0.357789965217138,0.6101325516655075,0.4568319593522576,0.009657940820374522,0.3537905553293784,0.531556943629401,0.10465096035803434,0.4730477155510605,0.12390286496632519,0.3459460989634551,0.4067969101411214,0.40099181671362516,0.3332021633369957,0.48119812334072365,0.20964350767510154,0.20972018833779937,0.6014084515805609,0.19403260964676883,0.36370004190527216,0.015198135263015389,0.20917208772356655,0.24809038850838272,0.2456504933956859,0.5194902209950436,0.19138597293682125,0.442858541761341,0.5479783523382142,0.3413535878231553,0.0359455675256517,0.5401982164179497,0.3807868406614425,0.22764504382308248,0.2839489796552017,0.3562339876937054,0.4694342469368026,0.33075603711660695,0.11832990399551147,0.21401450613700845
8,0.4999344966304262,0.2856712337054492,0.15143136931570322,0.29970724753118794,0.4895857217125159,0.38499988877521574,0.12060013779146672,0.02507204451054501,0.5805047710147958,0.253699594273453,0.24311962939266307,0.456413557474561,0.14969159210126293,0.5207968364719868,0.2841077215418206,0.26766684906184923,0.5657586018866299,0.22664730783305886,0.7421584901275702,0.4680942706804282,0.4225266226290266,0.6080368867935451,0.27868409386497384,0.44848960445685904,0.2919637173191536,0.09900083636891621,0.0388389267477145,0.5013666678855958,0.3400525457316095,0.28433716517736907,0.20359824260214832,0.6264876286039347,0.45388108221512313,0.44701384036241854,0.13022031719557936,0.39451615346363345,0.10255960264653785,0.3977195201369831,0.3663357606893496,0.21549870442108332,0.324774919702673,0.3184121550715212,0.28942016868329135,0.21732947577641681,0.5309660478679517,0.0628547311541976,0.3176042147304803,0.3215475690268905,0.3723560673030475,0.41446555292917453,0.2267837712095515,0.28350273054489805,0.28874295457938826,0.24319847725754518,0.3313236999463868,0.031510328149198075,0.35441088732605186,0.240536335312604,0.520561391942924,0.4392922878724006,0.5804161830344619,0.37430979917441054,0.38688319619503764,0.2497496581108538,0.13805138036386122,0.4793257341405003,0.00523803873792561,0.20812082821825828,0.3522851810515183,0.34287171271436034,0.5041578178383189,0.49666652073534445,0.3628691475706066,0.2575554775085642,0.3709176281064177,0.07223452714805212,0.3080390161761589,0.5576905912460801,0.48643235013738295,0.3200472206558447,0.36824995993211296,0.3643470253247507,0.29899124847992997,0.1821373653334577,0.45415288735959614,0.0038979025282355195,0.2866763768125279,0.28259057139421384,0.33905485546206415,0.15586371351022943,0.15067301654545528,0.20175136081423894,0.05036079061377963,0.4928763463962097,0.06093412605450177,0.23026798212674826,0.3475149108126041,0.4721464959309123,0.462134284436017,0.35613118725419723
9,0.2813934330126636,0.12778552823860023,0.1905792409067244,0.3509183591796844,0.14655461942043546,0.02174208139591005,0.2483731080405701,0.49906397859856555,0.07912392758342823,0.0292943322011614,0.4263988616176979,0.05253484320653656,0.3150453349451968,0.5250120366375304,0.39432901412490895,0.003775708998362881,0.6077003502673552,0.20039558432669147,0.18897193620606,0.27700549219684845,0.2883994057454615,0.21965429373242285,0.12336814902262705,0.22098114973543914,0.36592371997132933,0.2898761827360653,0.23119841444925782,0.6176433097023193,0.061711066248373525,0.23086545636289424,0.26682847344811833,0.5350652050586643,0.2945800000658151,0.44096057377885256,0.19178021558662128,0.0446055637672933,0.15595375351985896,0.39323747993097635,0.3599461599891779,0.32402206110723564,0.17579910567942592,0.11016275581361501,0.3804644224793511,0.018400204257549513,0.21240354466814426,0.40762707459408565,0.12508548527879504,0.11483069520312217,0.402110007579084,0.1892531916149911,0.38581998545530327,0.006513339272241181,0.19185435616100888,0.24022586086661935,0.28635571276400684,0.004081147436949761,0.13447917855117686,0.10859602744723285,0.3826075678324621,0.47432620147977356,0.2467766934248743,0.26974762341100367,0.26027944976097195,0.17292528996750167,0.11837413982495071,0.32045282232269456,0.1646665697394385,0.12498898814048842,0.36518678632358104,0.034771300815137796,0.34656423426472305,0.2652258933876289,0.1819951912619886,0.2277954482500687,0.06008351787816313,0.21188989772027744,0.3116827598496601,0.37110093873936334,0.27317275249411477,0.20591079249375488,0.21641125612097623,0.340022096970237,0.4547481872776733,0.5496379875167134,0.1708594714390661,0.13975520920689943,0.13852090622932,0.3628499658274874,0.04936559536294527,0.08626900270377902,0.5162235759062955,0.14498912473346104,0.15381213640086955,0.33187241928280453,0.41388472318013103,0.04641900675767152,0.2555376003799752,0.07567143664430986,0.18913709900338704,0.4092524649214968
10,0.26051343899198176,0.08106659557644169,0.19329112224859724,0.3626916173574489,0.20320853024657637,0.28067563267567597,0.210652696623146,0.13362559709087218,0.33431274664073385,0.03129030395053234,0.2562045068157981,0.2149649518588942,0.030617509225111084,0.39668269735025175,0.14454805001300408,0.027625769860357696,0.36777063757534634,0.31188292766028336,0.06692579448893898,0.01546957443950192,0.2807029147480281,0.3223541251767619,0.20651862799061027,0.37204432938360643,0.10698199585519708,0.37580408999962456,0.15310483484046167,0.28012858101978366,0.12166204263513647,0.10533473599895371,0.2641296710181652,0.21261821675080217,0.5026344603131208,0.29122492696442426,0.16080857918178593,0.27842705297648607,0.24300958796921956,0.2904570347838409,0.17607576719216012,0.29236500231500884,0.1934061691721588,0.06371731848349982,0.41024964809336073,0.1207876018421159,0.18642492627274654,0.26152622128546665,0.10610288619368846,0.14115000683662848,0.3891419812434951,0.32682808196405577,0.35948972772266596,0.16591311745309545,0.1919286237632738,0.27137256207676397,0.3262161748129141,0.03971207310280267,0.2636175642445916,0.32366429739810654,0.1438186897170748,0.057498702703780324,0.3143492839996609,0.06638672100252263,0.33322729187833855,0.20487491809115455,0.2607879553575785,0.28745528736503545,0.05842575233342984,0.03952905565306186,0.18622093822401853,0.06288927787260445,0.04248165143709737,0.32315491212640357,0.3511357909729945,0.03255522040789871,0.2886276138490692,0.3063451274828509,0.3171768818133608,0.28620764214851957,0.027953643358836877,0.33104015338603,0.34095901712310783,0.20984529377242334,0.22126099696537316,0.13893499459191694,0.3916261693008336,0.26869823752451416,0.2968403247702339,0.3858566925484145,0.4056503318418798,0.29718504813750957,0.02513494308309172,0.30722838436128597,0.2997181571893597,0.3054309854842734,0.3126386472770317,0.10908917625248704,0.22830612561145736,0.2788311975392931,0.3653515876068246,0.13900532078799088
11,0.19338539110741826,0.4625595727799524,0.26971695622250413,0.0270817114640034,0.3151133094500035,0.31887170206737836,0.35461245595663704,0.29984883811488183,0.20204153606388664,0.20545145594895853,0.12465415885367559,0.31242706626080907,0.1438921087154278,0.3082478353924445,0.3054808994487844,0.3092255923877194,0.13528147694340487,0.1571264706082085,0.03529623912999269,0.06603755640912645,0.30936287672270857,0.11161159306572954,0.3440240328439973,0.20687943129046937,0.08155790524203033,0.08831392857866949,0.15195555836119068,0.3723569385300909,0.3518325550412502,0.3887620422815653,0.2649297277682682,0.10707915671423907,0.15882634286331687,0.09973188000923938,0.031486215656735705,0.18476796387378946,0.2806413911913791,0.3738966450367954,0.26044405127433934,0.03386174168050582,0.2826877918608053,0.2912749872513135,0.053371565089243234,0.0009797710283571126,0.23813808566731165,0.25499520039992685,0.2961386102362813,0.17428543227594218,0.2619880844227148,0.29587105330265473,0.26207137810747405,0.24855505446686676,0.24536342495560304,0.1173990522426942,0.04212349090734224,0.15470239707263989,0.4308643296785658,0.04788758143617278,0.03331350627856289,0.33172292093147626,0.025936147265744225,0.1568650545323611,0.1614868855805749,0.060459863610383024,0.3290065395049694,0.2827839542175882,0.2783721276808717,0.3021930931726525,0.27895356902405644,0.11533262221789242,0.09690213472959652,0.4995758277625775,0.15971285674578573,0.18551630502132155,0.26894359845365223,0.23328643426444218,0.1803583273943583,0.058508334716414145,0.22792953672875238,0.005477489922378842,0.013287949018956469,0.14160606700043643,0.16993393862089123,0.4558399906331895,0.10467566406566275,0.19959322709290905,0.10109004336811567,0.2947237639126147,0.31483596148921555,0.028118136358663004,0.17049138668839658,0.006377683795246947,0.3476001254241863,0.2287956039510013,0.3015184523080112,0.22903369501223125,0.27721640173507556,0.09378618024433727,0.1920976013153285,0.1742593440371587
