k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.8431446608116486,0.6954451810904051,0.4492252144547737,0.46134761822962644,0.7968302173981232,0.8927940901621102,0.5176223209584527,0.5677376028998571,0.6497935486300386,0.6466914290186143,0.6915926671986515,0.826956552311465,0.7532927223235082,0.6942923764701163,0.5706283890547206,0.6950722148879193,0.7956093791765566,0.8238322544401833,0.6263191842618689,0.8131271749655835,0.805366758196566,0.6440233285266567,0.772538794445178,0.9131346732761164,0.6791456196088155,0.9264624885182676,0.5840313351434065,0.8766774002401125,0.8118256570199747,0.9566981635439361,0.8720032452245009,0.6837804773567653,0.7563875810891597,0.7439606639694456,0.7514966269705874,0.8943868399742283,0.77337350381847,0.616761530656732,0.638204587104056,0.7395993038827838,0.7081839334040864,0.7223721550200686,0.4396852274712939,0.9427673079478853,0.8662076443167259,0.7787048343595905,0.7113288611897588,0.9428687949934369,0.7743145743590829,0.7341961232656753,0.5776812146649177,0.9762704301897097,0.8382127204776221,0.6930497495245649,0.73294624708625,0.7216917463731288,0.7054830561894647,0.6369224984221598,0.5227623431059487,0.9810233026171988,0.7129255260227627,0.8726004919464346,0.7191721663778184,0.6927769947057794,0.8331269233783659,0.4898846723532293,0.7873095106858998,0.6576421494437519,0.6943766538013882,0.6906078311698913,0.7053415553013993,0.7371072784390695,0.8255845746817819,0.7439859254426823,0.9546388328064611,0.6650757815513995,0.8040394286540589,0.7332118684925977,0.7468098915475349,0.8165051639333043,0.6968797102988502,0.4868896204922579,0.6522922359725489,0.8263667811652029,0.42143945924371695,0.764194000674514,0.9003533781297578,0.7321975787817061,0.6282096058572167,0.5752522660489396,0.4370704922076387,0.48264966621291305,0.7479716879580685,0.7007538118811115,0.4926301529443804,0.5597353841769749,0.9103911767385675,0.9350912536451784,0.8009928257771328,0.6666337477594417
3,0.7465241830619381,0.8335700464786102,0.7596246800792313,0.42583448862354845,0.7045187004959721,0.8202254366134488,0.7493583245045201,0.709346917498704,0.8954437275470082,0.733684340270891,0.8177151533700164,0.7691132423860735,0.4014855481927513,0.5191664172131856,0.5837655152879733,0.6612888115737452,0.6061523255072172,0.5379682525955611,0.7610902957592475,0.5031972024910929,0.5463504993844237,0.7717972028184074,0.8589955749192753,0.8587736748647545,0.7368146412842104,0.729883119443695,0.7124451905715863,0.7446794433060098,0.5139123093928132,0.7153311044523202,0.7757427835768054,0.43188567465987426,0.7618559213033125,0.5525940289472698,0.7420722069487908,0.36646257922662717,0.46857087431483224,0.4227261148331537,0.8660465093118925,0.5998739156653647,0.9341914625251733,0.7018165999186824,0.6145664401602652,0.8974325920137192,0.817469823126897,0.8503073739752909,0.434877612278487,0.7348464873111473,0.309785516512197,0.5376382150706325,0.4239120842660006,0.6202567325009508,0.8312256342136025,0.6785143932799848,0.4848840843760598,0.7579476019415246,0.8652776014449975,0.7661434980182215,0.8869254862451922,0.6930539542899592,0.5927477110393652,0.5688299462638595,0.4084093508360258,0.7795360672616075,0.8899521543097164,0.6564062962601391,0.8785361357431603,0.6504298478803148,0.602202028760048,0.7734570477573521,0.90771760649178,0.7011166653627958,0.5139157956157314,0.7474275251496655,0.6978251395083817,0.39451638466054706,0.7208169219494468,0.3985741369269533,0.862713929170111,0.5942479736391465,0.8041273335833875,0.37117637913823587,0.5297291819572746,0.6780266675422766,0.3911351405363551,0.9124814838344489,0.9181313117095553,0.7202914242811298,0.6227951146202053,0.6135153158125736,0.46278738442175094,0.5049254512098245,0.7049493827747233,0.7215751265618501,0.8709687921522552,0.8258374809975679,0.7290091330478704,0.6536493671459451,0.9181036545423448,0.5281190676966617
4,0.57856023034308,0.5660224991436481,0.6834630176935031,0.6787660933167843,0.46530743508646677,0.6830108540227984,0.42143382455829914,0.7666673356261708,0.6325161106891642,0.5564558807609625,0.6008977133131661,0.4933227526889732,0.7897428365982386,0.6330900411579226,0.38628733740600196,0.5710972686240097,0.4449146530026953,0.7215128013840976,0.337120953749364,0.5138762820775737,0.3102470294222788,0.32238095859201854,0.6263446828559911,0.3948704209110412,0.8559422209561062,0.44393719238968066,0.5879425209032911,0.6917666075464995,0.28319817405408476,0.5556585140082814,0.5798161060351692,0.5019922648812886,0.5410509160238915,0.6992782427405595,0.6839961737615768,0.5777230254467425,0.6508258999131296,0.5128520865701153,0.2919403195471777,0.407282045579903,0.828148616186866,0.630892838372721,0.4948308576999848,0.2845752706449114,0.5238528341442079,0.4415879814589595,0.8144793519188944,0.5462009484535384,0.6025608494612337,0.45768900764152487,0.4928020264470232,0.683943489235294,0.4773955975688473,0.5997284962840719,0.47374182445105995,0.5062766124068661,0.8376752451817252,0.7702331196292846,0.15947669211647875,0.10297186555301141,0.6385102699521341,0.3294558946492768,0.659568905148657,0.5201834144538229,0.37051646875609423,0.7693254150623295,0.5209867969600511,0.35899961501986344,0.6809547324289351,0.7610581647168608,0.9292970462043653,0.7956340236327966,0.7059935959582199,0.8311471841062562,0.6730544450531174,0.6813890465314201,0.6524915763842674,0.26951086964413506,0.661689635834745,0.49760991826664647,0.6395748181920164,0.6049137791111002,0.4915920882541033,0.21801865055302572,0.5737228253257031,0.8141727493326743,0.6211705008150161,0.6695421700787256,0.805495994431245,0.31133343531955937,0.6221011422021232,0.3596422475213237,0.6399437594889056,0.47963574084297544,0.525708160296842,0.6106917828319669,0.538933038442228,0.6898528220132454,0.5271635579364822,0.4793379215166296
5,0.5499717796546629,0.5349413001737129,0.30098967765638585,0.13688572659933906,0.5270443803592104,0.6225419131297721,0.24493730078226617,0.43376882013045603,0.4645991112407578,0.7455062504656629,0.4943261366143846,0.4452437394751665,0.36397399483858006,0.6977882752299214,0.47781014489420626,0.6886292794598285,0.286230571790147,0.39835026127490547,0.26444558021527165,0.30269616295142865,0.3209656133416088,0.44089598226106186,0.6501012899665105,0.29015707727320184,0.3402888900820433,0.4571849580289391,0.5677930248588106,0.4360188010887478,0.2633796479058117,0.368506905416351,0.4973177635799023,0.36843359692205,0.35926672405329985,0.4697726239128909,0.4849724832288237,0.47208473400857087,0.6850689542721653,0.6232304255751143,0.5836046181244738,0.5145752667017452,0.46540376976424436,0.2961759909743171,0.011805566364570752,0.6249433656820401,0.35421910886570274,0.24848879567028126,0.6131367069626439,0.5341484414629869,0.3939683898091545,0.6036466063128556,0.5424199635565123,0.34118304655513587,0.22767932313434436,0.3450993910224991,0.48406331707712213,0.6006435248298074,0.4186119683018694,0.40143083330246965,0.4159753502492167,0.4693111804813803,0.07887439536984275,0.6525444303484103,0.4822497239840333,0.4823451759201124,0.4217292087188985,0.4099350243692975,0.31039824105390934,0.4673547033962264,0.25796080291608336,0.08957957175806519,0.500462087777171,0.39445124585048896,0.37196249506314505,0.11673112243719774,0.3687459276991787,0.34035278729983587,0.5210202689460046,0.6882565645014473,0.45168355376889013,0.3030042921195617,0.49569099908017433,0.6211183860803151,0.5798421186899669,0.3341938173958203,0.33532387259459573,0.26683203535759115,0.011367280252634338,0.4411821483810806,0.4528300570157583,0.7400981149390522,0.4543618952811832,0.4554815570763028,0.22764755109072787,0.3577672419334348,0.1433854765763427,0.17299025502528842,0.38747505022138984,0.5323115527428259,0.29514047557081435,0.3277938133864283
6,0.4812004371362557,0.17951989893528697,0.584787453509792,0.8403489470897336,0.5404581741226022,0.7194624881718796,0.6186567132337215,0.5160681478291698,0.7315466880329934,0.25857629697975626,0.37420825436011473,0.4037774047812773,0.7402695471903367,0.4325033484974765,0.4993075912583037,0.38484845367932907,0.4214404040749704,0.4333093450539087,0.032776781492999785,0.34258469489444465,0.420265268748538,0.6389839758051179,0.5306424588201285,0.5705422886501956,0.2032543350946816,0.20122303549582132,0.5502771097765786,0.5650192284460827,0.48424076227679913,0.7217972958813901,0.17754308478595215,0.35804961848189776,0.049557594372820035,0.34602759699048624,0.1654746796183333,0.36253376702399487,0.31081411564571515,0.20149442960633013,0.2586614254606848,0.4782335048116423,0.18672252034154302,0.5173260495767253,0.3843953530389289,0.30883788528600586,0.05612181664931337,0.703450467264102,0.41556836058216007,0.43775603677015273,0.30199053039148915,0.5294458956741782,0.4855675917551422,0.4579228254054001,0.615607330221691,0.47085301401511426,0.4841992300319743,0.41604391392901574,0.25891479891503166,0.17110432175029455,0.5132512682700995,0.3601503551863521,0.393743078819768,0.5840735979895962,0.43587025450508277,0.4409296298912806,0.4919889071412604,0.2782493523465598,0.3584965934027402,0.45648068739230074,0.07043111254113943,0.40709813200248923,0.4795242435458362,0.33108503880499995,0.44855848897667994,0.4307695514361456,0.305427269428334,0.45116199744043406,0.5526003875632389,0.31812369264731744,0.4120447396744358,0.45454577431352683,0.6221870076694158,0.43978102185257506,0.3223009778524092,0.3528565468677777,0.3955921610037141,0.4207625196534033,0.2993235192095125,0.04522499556288695,0.5265231287149083,0.20604005482492638,0.44200148938189787,0.2971319592239322,0.5807297485594273,0.5231292266777477,0.12583092672800933,0.44155126978477743,0.668848624311767,0.5885022932834476,0.21590353820512176,0.1876293848690559
7,0.4761205398505117,0.2608344746364897,0.49165428486686813,0.5147949309215556,0.4736539263082803,0.28059334976099315,0.575759807845138,0.021189499454116856,0.4563717812946987,0.3540604572044367,0.13917970724975648,0.3480452519723167,0.6022843314386495,0.42345154756445647,0.06283452204537487,0.31096511858633713,0.5023915572059383,0.5104995997345131,0.3468845633388963,0.4537336030206929,0.4130277033761983,0.5301612600995871,0.2732712648699327,0.2214602607501982,0.3186417729434726,0.43849819267578316,0.29903810836436095,0.535693875383786,0.28446214282314297,0.42298461656684605,0.4168260083737332,0.5496937995038431,0.48153544186881836,0.5798530329820288,0.3035191059883563,0.5343102089915843,0.2712909894425467,0.22969105684975633,0.6978488153797158,0.18891058642451486,0.2760599860351729,0.6061309757431659,0.14669302605906465,0.6621592305883641,0.217980028816656,0.5613957192121448,0.13439518440813947,0.3723754682514949,0.39206063034131344,0.37296854609005625,0.24659050696730656,0.401064673460656,0.3928156882131495,0.2636274385030335,0.08965313419766008,0.3635309110211038,0.25356314444915873,0.5291514041861308,0.43568560281529645,0.4143773767148127,0.32874430483730155,0.5704540013733436,0.5183989850132165,0.1380492789109109,0.31983606629158046,0.42703738857668205,0.41062808744521173,0.26859360234828844,0.5583993496221593,0.5047530455873043,0.40629755448444604,0.33355659808459615,0.48408009651901474,0.33894518217614344,0.21191883399893008,0.39572707005502994,0.23901964969579237,0.4855085924962289,0.5256058962987162,0.3649848602614173,0.3876313793418681,0.6241339197185436,0.2909957396634466,0.2746614824567345,0.4182029846492049,0.5755787636203368,0.44947597199234035,0.37886465815288217,0.28412480329940326,0.2808649982417275,0.029430660247880436,0.34877025612497914,0.3263525998125536,0.5570572972596556,0.33439099620426316,0.31685286489984177,0.16717350217531612,0.5993364469963669,0.45457921166464244,0.27137218713897227
8,0.18805954641884792,0.1304581834221621,0.10780504398745427,0.39555606962046397,0.4089355326615367,0.5442906379544986,0.28123054198452957,0.5122011317621948,0.203150396070921,0.28808934476249537,0.36196918494938957,0.2972164076801034,0.378693631254134,0.33894355191800796,0.1379569905981053,0.10105178925933012,0.17679121375939655,0.36808865139911895,0.32896833882145615,0.287852060974051,0.15910905038833267,0.09086200387793497,0.45422264599786544,0.3605114003781462,0.22523529126879882,0.39233476816794055,0.040594264887842124,0.5239824616588658,0.24955402830129547,0.44737550540550175,0.22275691415197918,0.2589743928506585,0.5313990190809116,0.3068314059273166,0.3254183750756866,0.37066376767465603,0.14594840697000433,0.49850960233882957,0.44819259299088643,0.44825800909650326,0.26791679763884446,0.41185668853064383,0.2617570530205,0.2741555517586133,0.06921539146243949,0.05113811529882728,0.1523467256049682,0.3567809640175251,0.394776430050066,0.22443418565181927,0.3502159509282695,0.3752330987296839,0.023970056746754564,0.07257066755759412,0.06501078008971184,0.22897685225675124,0.2935576586967722,0.24379674974331567,0.3995144939515014,0.4680523522529467,0.48037234884503566,0.4784414746343193,0.5793636844776802,0.1719658509926063,0.3738772418319807,0.2604047857001195,0.26096740326833967,0.1096503601097536,0.4634416033856228,0.33691854479906636,0.07037954419741421,0.17989531948085868,0.31730080609566147,0.3265505907736108,0.059813911267151854,0.12816480448299017,0.3872209631984207,0.26008402126305874,0.4163169949389207,0.38381558988413933,0.43195684311820914,0.28473621548897077,0.5098803605136039,0.2432744525129058,0.0956010118021331,0.647330213160614,0.5577438790380365,0.37293443943270443,0.4389510876690593,0.05478585174780748,0.195128270862424,0.4872814431604162,0.22317444514112073,0.17042905637415995,0.2467357941501217,0.41619681002155695,0.3570243154032755,0.5101362776347163,0.31204816654722634,0.3201112183158671
9,0.3124708770778094,0.3023002896783147,0.1742579090874039,0.4539841686710858,0.6492194268851413,0.38114271832083835,0.09873762876666337,0.3527060170765054,0.47749918892680165,0.21555567402996445,0.3344135315819594,0.022736975651294067,0.48902618814009025,0.209071417378478,0.26448926902648906,0.08934519270798336,0.31622339519059606,0.015485929517720876,0.05670030528174119,0.366069914396715,0.0734784599720062,0.051619655495628636,0.0023794458826907894,0.19413474923710128,0.23950914754371033,0.45081214854202645,0.38959231832313157,0.2661681951472541,0.38300998212016946,0.2951416882121479,0.48024461790280326,0.23849383466598095,0.021231400593773042,0.3148615937382724,0.18773103053785656,0.49392884901879464,0.4151526007298749,0.24844864286097135,0.3211215533696662,0.17835324556524468,0.25555934090796295,0.231568047693004,0.5547600943817401,0.2850332053885408,0.5114455936120916,0.16596133926587786,0.6520490066021937,0.1208934159023215,0.009040416818971497,0.3036974162502655,0.11797820439517115,0.13249459306163003,0.4139902812045201,0.4341775131137129,0.11158964785830028,0.29706311047992673,0.22997481676814402,0.2512132750703706,0.36331300484035733,0.3884705789958789,0.1602857609208055,0.4579538352162432,0.2092442689231121,0.1606655034824087,0.5270246529656557,0.4669810505400098,0.3597711902245635,0.4076835204911732,0.41946588989516975,0.3052453432253561,0.10129718686270839,0.3296224710929133,0.1405733979806939,0.08799327114368238,0.3488519178357128,0.3584576471685862,0.3269581350216949,0.15767597389066546,0.1111591358455647,0.38478450146528687,0.25170382672988034,0.4021713969991175,0.3459609404669658,0.22122978936297355,0.40680707373760494,0.22216578120433916,0.1834705082636361,0.2827802940970646,0.030682377654591475,0.2528410412362083,0.5015881161356273,0.13748455580107533,0.02295839592993154,0.09547806551355609,0.49760952936148894,0.21850725401325088,0.11359125981054397,0.6242622018163506,0.40559592367737063,0.05136095259635043
10,0.20242825821795785,0.16012006870883078,0.44535076245797867,0.5325931260621559,0.38021420205381284,0.5056670576877185,0.4299959311738464,0.32308716279924765,0.41386203904018104,0.2746584920365567,0.31509417427195774,0.3427080419914279,0.21015834058996574,0.3372139743536987,0.4005196640300378,0.2686828652932308,0.20363462414659028,0.01598456022403205,0.11786007862635828,0.22564383833596313,0.47771888662780737,0.11778332107919787,0.2567097034447988,0.2557895243521502,0.24607203784243425,0.22870243814735292,0.11146348241540904,0.22336199935367018,0.1910647603569453,0.43648980266187065,0.29036780251406324,0.025637320036685063,0.1240890408728339,0.294067421212894,0.11105657442862782,0.19410095243881131,0.07555285918201637,0.11889419870546802,0.48615313303085794,0.17251357465412331,0.3400882829376224,0.06633163601035952,0.13947925417201656,0.408071832498333,0.2224414771749127,0.23522772750826249,0.16706632009477063,0.025952733271089046,0.12822280264585484,0.48338575788740434,0.011312744064693625,0.20774977282717377,0.1973594297435668,0.1926028012729737,0.3698919101118162,0.1778334573732,0.16619544236611528,0.1929720170110698,0.07556125514989598,0.24531119552250047,0.23308918056291938,0.3476646431292356,0.17610569939555254,0.34634347092119677,0.4089052449884547,0.2548682897842225,0.04822052290087764,0.18350088062504621,0.013495847931051519,0.21824339014144156,0.4495933837575812,0.3009777125764832,0.28864573270513616,0.38948434560965883,0.3555246228987252,0.6073530127549662,0.07686233749171212,0.004585211268513856,0.21956990606629878,0.33277212988714766,0.06519740481831882,0.29708355982357715,0.09958642133341356,0.24943789449910792,0.22308267061214238,0.29690529884793215,0.3907164981454445,0.0978380948228963,0.42332423879541237,0.255769012908057,0.3245008750688101,0.07472660848214696,0.22338014618734137,0.2354387312129942,0.3117776909245613,0.25852570088714466,0.2087372239224663,0.15896349687447797,0.12460516476948191,0.37233602954376
11,0.24127643614696892,0.05788333222439257,0.1496434080342538,0.3064805225911411,0.048187299994016386,0.09036876828280882,0.16585608779744243,0.07549035392132963,0.04037583633387842,0.49821867445916335,0.20342004343785158,0.29565436631215225,0.1260215500201236,0.09376794619924755,0.27788863119518437,0.09943313477666438,0.1329112801308111,0.1989525742289423,0.5247340148996775,0.4109570903571018,0.05594315333375999,0.11207270915006917,0.11602976583486946,0.24267647992842156,0.28791479397844255,0.32019453655483443,0.31248056523117385,0.022448924006791438,0.16818744906605176,0.02166819388604946,0.11664777699521511,0.24674449386244557,0.1342876992493408,0.22149947446495255,0.5093765864648032,0.0560751362461368,0.4057348828624576,0.28267472215663947,0.11621936281554979,0.13835036396412104,0.05298097819875047,0.13422766671279984,0.16447380260757072,0.2215931087438674,0.1484714250958281,0.2517958086657589,0.335554028034175,0.23038975655589478,0.15782110877664102,0.14291452205114652,0.24739667867564807,0.2670063832158249,0.22529502893009223,0.22973308140168436,0.12860201036624852,0.10736596389182251,0.3212082966858236,0.04496368027312181,0.19975729342844728,0.35552613989896686,0.06456209881232133,0.3375122749505852,0.37945692630713146,0.0922085944422032,0.16901395025936983,0.14087741033037005,0.2595270137960275,0.3868568370955052,0.4243900172610705,0.4902325486387147,0.2668847714912622,0.10295980545392669,0.2570323950631679,0.32392321921598566,0.317012886473913,0.03688008280502131,0.2722945695948774,0.2663327727358915,0.17898289131924439,0.06508694977160334,0.2177600915789798,0.14382831225992598,0.22149798109117458,0.27923282513126435,0.04380571778224418,0.4894718512264584,0.4503015409113703,0.337751947571019,0.22607451552159719,0.2809954363507866,0.222677625723266,0.2520241504361709,0.25565793996070096,0.23073519306436074,0.0858164863547527,0.2531527152312424,0.2483939307901808,0.29084966307007365,0.3448933642137073,0.41460758492772887
