k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.9411893425658574,0.8020616712762616,0.7546507780744793,0.6221985028374075,0.9141470986403942,0.664939606357428,0.558855723483398,0.8061264490393687,0.7406351601289809,0.9596827951810261,0.8952599906132057,0.7569762839586801,0.7450099024760988,0.46397646749769983,0.6310421309773786,0.697647622741904,0.8689815558927685,0.7989277470820464,0.944252452479574,0.8398024846083035,0.7141366669730455,0.835432058877547,0.762265051453714,0.8732222140183288,0.8051327771945306,0.816179685513142,0.8766911885708728,0.8395544655281635,0.96952946772558,0.6817000647717766,0.6820779156459329,0.7421925612517709,0.7876351047897778,0.44228979902610543,0.6726842100242456,0.7186463336234338,0.8142547565921116,0.6855770115495694,0.6589748781742728,0.6780702963352767,0.7575531601636879,0.8175822382008155,0.576982344420775,0.8561862690405819,0.6965100474075414,0.6082236696739238,0.7187311424457266,0.4388910113180393,0.7330184849246705,0.9571556695667701,0.7543766777413794,0.5200518422951486,0.7945228616705551,0.7116229075333276,0.5942610256295446,0.6655005411133383,0.9421669088750603,0.4922260879051681,0.7295048442566336,0.5315868518498511,0.5397723599812043,0.8847289563072307,0.7912893574559513,0.8356035642353307,0.7321484441676844,0.41656756888786717,0.8841530063300885,0.7223145610822139,0.9458936614036464,0.8679869518105757,0.7389797998810845,0.7151181087149447,0.5701457082983457,0.6732172628194362,0.8670837862463178,0.7065172706253872,0.8746227436443992,0.9483958583840514,0.5066133747262027,0.5239313208910337,0.6418572445700478,0.7405398017420495,0.734217655586562,0.7190798292492494,0.9211099417321142,0.9104856977128535,0.7166405623303487,0.8164042917220844,0.5165821109205646,0.8309320964980007,0.7793263185698607,0.7032469815136284,0.8415744520584577,0.833829472850449,0.7028693611891645,0.6829770191362025,0.7258091912348955,0.8633048067229512,0.9705356576592632,0.8152199483782994
3,0.6352349267155322,0.9180130496876419,0.7808868457703202,0.699928150340829,0.5782631234356868,0.6634942044046652,0.5498231131836366,0.6715597897821076,0.4829755050222405,0.5135017996740463,0.8182552742753646,0.8223915533572717,0.47808595711807944,0.7817317270507895,0.7720437613257003,0.5097686310111995,0.6070903183583917,0.6330889105094725,0.8026868703792227,0.5867257612223153,0.4654940058712014,0.5980902914293866,0.8135174817699536,0.7117137801177897,0.41958976788181057,0.5966832461334919,0.6523340307293186,0.4992014753389944,0.7705821084471238,0.7963905886901048,0.45563116730486075,0.6228426623397821,0.44768756826624845,0.6837415421431573,0.6600230429700735,0.4990163684330622,0.6907006026432887,0.5796188626389889,0.7322255285105234,0.590331052041646,0.6228666464402592,0.703592345464006,0.4490645657127216,0.916129620386921,0.7926950528826123,0.6413508136733014,0.41589296206313375,0.9671362115777569,0.22475872822652554,0.5812187457601616,0.5118417974873595,0.9728049363626301,0.673094695284535,0.5134964721724955,0.25116905082006524,0.46215383156950773,0.4435444520572096,0.7259732583734124,0.6619306864831902,0.5193270060668528,0.811748213765305,0.8177554564703522,0.7297891879359542,0.478261995588817,0.6251841123733755,0.8482408066413412,0.6470887251561808,0.663820188232774,0.7523869185113335,0.7300232317339743,0.48815423457176377,0.8326558335427976,0.773534866668332,0.5704971425168238,0.4094762332814307,0.5137047181351692,0.744195255664029,0.7582996513146293,0.8982639474379837,0.7309303857539213,0.6729404556625749,0.7811879170185284,0.7892938713147373,0.9137887662424733,0.8086880283171247,0.633938050528458,0.8797434711655188,0.6758823832835831,0.6008666978780615,0.39140506340130465,0.6986029977197499,0.6114667549986897,0.7215941867120561,0.46954338361877357,0.6734621167993387,0.6091835716588465,0.49937529515975254,0.7256928104395498,0.6916090696547703,0.6476417651425505
4,0.4348856423675076,0.44027078394226926,0.5098992845417755,0.4721591400205195,0.5010896788828012,0.6524043200386207,0.7855949361217827,0.7163617715804248,0.22216415588652527,0.5156010157971935,0.795268245295458,0.6795423250609568,0.6666854413205325,0.5855867847215085,0.7293792294496808,0.8700221197224148,0.22216183308626225,0.859839473694914,0.5218858912303518,0.821550744180568,0.7748795660160521,0.7957704100282763,0.49953084501597966,0.702196519777198,0.63456555740019,0.8727840874636653,0.4457909927355125,0.5334117116667706,0.6494961478661032,0.7068780305946782,0.6790234878810859,0.4707274916702926,0.8600823498861772,0.6141232609228796,0.5568037594006712,0.7651310672714342,0.7866241647555824,0.6110668327050903,0.46406134608986793,0.7026477651918208,0.60017343882303,0.6616655400062654,0.649800243934476,0.8225412221421953,0.5570405493464218,0.6725438280356606,0.6811726942113412,0.653035231975527,0.32643587659885775,0.639645864827501,0.5214210718558463,0.6963285615417804,0.7283839996899346,0.4839250363489408,0.8105765944009105,0.5294139575828911,0.6895537878619642,0.45224684220369027,0.5387668069457434,0.6418394980878013,0.4805640804259379,0.9042077706604319,0.4472566542750096,0.3985929562709797,0.7089092814667767,0.8385264105831172,0.6060090294676076,0.4011544351480283,0.41811697062629904,0.39226708029299684,0.7686646184106054,0.37009378319807174,0.6011048069174878,0.5793792833665214,0.5206648025619848,0.8607842323575912,0.5333787892940891,0.3464384169515349,0.7815803779756303,0.7712622619255252,0.493821129865309,0.6152895138144272,0.6694793554057856,0.49873091423752325,0.7077646016321149,0.6508318712963009,0.3592617738509507,0.4557266987400639,0.5739611578858687,0.7289140525797245,0.37323222365018627,0.6393010172075487,0.6977725172045669,0.5333102266295587,0.6800237314570335,0.7960767131971338,0.3084401674070467,0.8908055640804393,0.4661191801897686,0.8347783418358987
5,0.8217126197451915,0.501838643072952,0.522710980134669,0.7708720142551744,0.41238795085478963,0.6048990493871957,0.14481399532523076,0.5908664154683225,0.6917186124063865,0.6286968825827512,0.28435109870513875,0.3835312005807989,0.33644641832360433,0.5956435523650839,0.6178220595536369,0.4728189712927565,0.6123135922234888,0.17584705694460812,0.531961613619479,0.42110689493903253,0.5738372165921292,0.7320602584375242,0.7072551911016928,0.7375415239995118,0.6656960822241419,0.4266372474705913,0.6054471143635718,0.5382947775212812,0.3497558099379867,0.6731446131043843,0.6766917000358914,0.5804714060702342,0.662298370444117,0.579704560621012,0.7320339163688199,0.619185015334633,0.5447602215617459,0.7574468469410286,0.48512782581174096,0.4367653709246174,0.23026614105743204,0.6016666446066395,0.5328314907695493,0.19350399500295468,0.47776449554903133,0.6439001158743585,0.5812733091612274,0.25167181655537385,0.7560946447450441,0.6662586218226075,0.6549164636146854,0.6956747064117507,0.5497201382114687,0.44836542663734447,0.6792022193163302,0.10401147384030474,0.6382866565873079,0.50019507842467,0.6958545831095038,0.39263420466532994,0.5071619119175207,0.6030893429760639,0.7293114412849074,0.46803629908565425,0.6112968157811489,0.603793234322873,0.27084246072602136,0.7356542862842427,0.2769195492745744,0.7672395762013732,0.6285990725571668,0.9164757429709411,0.6007690260953468,0.5818331098588126,0.3983189483833991,0.15748281814643483,0.16849409759686795,0.6465169110530842,0.7016296198013314,0.38092341453390477,0.4089536536976772,0.8504888868718892,0.47124455290742584,0.5573452839315709,0.5705534283349916,0.7179901227809337,0.7789332617841005,0.3233789315300656,0.6816376051114358,0.245625100131025,0.8331012454883067,0.6746408101520032,0.5900224415810734,0.2790320496762825,0.5235026195889201,0.38397780851047536,0.7317108348898806,0.6044791558639652,0.48687595843889653,0.4779804960275701
6,0.6042803488053843,0.6764916475457565,0.5609969440452117,0.4955009565200713,0.5884307829068257,0.7697947301664294,0.6660930995828764,0.6311876361139166,0.49453114144354726,0.46417537986577073,0.607483954283514,0.5321514158923628,0.21532089974215984,0.5457950056946168,0.7220947192752138,0.2796439437283502,0.8770256442600024,0.3702856317311559,0.5602690875135086,0.11629525345012426,0.43446775620534517,0.5198619525775576,0.5624755408564117,0.5491398093237606,0.1949233649424107,0.6606105006560339,0.5950325709791712,0.9147156748567631,0.6197950007861404,0.6994322383980409,0.8423524010116721,0.3002813938993527,0.5806555916381186,0.49781791142047793,0.6050460268925002,0.3912913635849151,0.7369962324582777,0.2920374619119013,0.5884053455399902,0.5676597322564889,0.6596508912854628,0.7369529506189789,0.02155748858033757,0.7556602847987437,0.628130365491164,0.49256758832645464,0.4848047798081394,0.6377974043685349,0.2421013946187912,0.5098290868545954,0.6494461090276418,0.5736843928570505,0.09544126332895053,0.20841624592433505,0.565261079746502,0.5753559036911522,0.611729493346163,0.7217768895405687,0.6066167775599616,0.6608903748340691,0.6350582758958201,0.5471686724317523,0.0796635066802941,0.27185880347002844,0.5849525061415467,0.10681190124047901,0.5011728899247152,0.06629786472209853,0.736565176577507,0.7000916211214119,0.5459728115039622,0.31350034706192376,0.6335987063764847,0.4791685641033875,0.008877336738356334,0.30815892827565816,0.647242668736978,0.5746518873256623,0.3899829850916996,0.5059209990863429,0.5100774506438503,0.6262549829993287,0.3759037706475089,0.5373031218718494,0.2612476909370688,0.6831492281523622,0.38449416341877496,0.41878810604620165,0.69220032088914,0.5259741020014865,0.6588095340692385,0.7627800411770838,0.24552378648427997,0.4116581593616533,0.5081050420948945,0.1953132317815638,0.5266942826112803,0.28891097051394365,0.11136014027297292,0.3533112520117172
7,0.36747087495692377,0.561112661518752,0.3802936096926952,0.6560314030166189,0.3737501970756084,0.29846228363156857,0.3416237276712337,0.37996921625552926,0.3152635655289855,0.6323132326969212,0.3059078944362512,0.122455774801971,0.27207455583261897,0.6648976391251459,0.6239119995032676,0.518498005539859,0.4130968938259866,0.5042571689402313,0.3153573739340725,0.4084030244209159,0.19143399489832502,0.3121761303158128,0.01760344228248578,0.5217131994361879,0.47844820442819946,0.2849388446563652,0.1933840472495738,0.22713935696299636,0.4944263317763141,0.6046789394253984,0.34423227551695557,0.5475501557328512,0.5006495668669881,0.23686941286018526,0.4915985682994293,0.5283445198688748,0.3568554157026077,0.4809693158005941,0.4012495475546809,0.22660889650825544,0.5220198195057671,0.7648922370154451,0.5781235151347582,0.2180972543215487,0.5540532144865915,0.05166120302026622,0.3655085703818505,0.4209568701306732,0.5063209332052687,0.5096526910834465,0.1966083000954012,0.48306723720269495,0.1296015165941774,0.4114060541889528,0.7975758556836887,0.5651777213502184,0.578780130364211,0.5491359869276122,0.5368097852709214,0.2284654369567407,0.48142785608806316,0.4738748916306851,0.1937209116078048,0.560321458166025,0.6764140884931122,0.26931884340460355,0.5298072937954805,0.45817644405838176,0.5827643913591306,0.35597271100738315,0.24176391135667752,0.3843030521563783,0.5828791415295044,0.18186036700558916,0.5682484724120247,0.4498864625657669,0.13695990642589506,0.6782511612225288,0.5664870655015768,0.4802407307599229,0.4532182811796701,0.4331384205297619,0.26628737342669884,0.19121008847783894,0.7737234477265853,0.42812953282718413,0.5308350570205091,0.7387604653396307,0.4646711842762091,0.4326073452778023,0.6349183554952771,0.5882056714581219,0.31390949654339473,0.3117217883506398,0.7993808077526331,0.307143069860087,0.6054394771106717,0.3307984166829048,0.4732255070768244,0.6514647500047641
8,0.21226181565931268,0.4546809332152171,0.7602346395733782,0.2289923176301507,0.5077402464751113,0.3092571442143476,0.1545413064516339,0.29048752374249354,0.007454170994295017,0.39494158564302795,0.504419069878842,0.349780344244657,0.1783362876654131,0.7260188784119398,0.12849731737613557,0.612602541463974,0.3191791389261982,0.3779814980878884,0.11819102497747136,0.40123530531501483,0.42373316973381325,0.5853574724726491,0.2691328684913341,0.39046099647717003,0.4345715954699778,0.29981621036112727,0.3117863264430931,0.2434418428152958,0.47153093475867824,0.40176410029259757,0.39008510647614236,0.4360529607870154,0.25786677423896265,0.5659501732485899,0.41108126797906896,0.23247857408164696,0.5912977685451105,0.5310088906542801,0.5721157477736448,0.677683519624531,0.4869304015161028,0.5492993261284399,0.23564245414254403,0.6021976933784872,0.42470609798929315,0.6747779796993386,0.5408364694169108,0.24578410996314037,0.35986860987958,0.4869408105572879,0.4399496576555737,0.7118827029907213,0.3935940789482919,0.6583875977867859,0.263245479155656,0.2649170154754603,0.29016583969731846,0.29334595667693164,0.3101228334369259,0.3603788560798906,0.5444062698836051,0.3524392735111841,0.30540809846976846,0.5246190971585136,0.46680652779708476,0.23278116125989545,0.5787522167330177,0.7452618562402504,0.3366692477483456,0.3136875526428968,0.08412907328683517,0.19174519931740974,0.2888118041357062,0.324366243317436,0.631751743028534,0.4522175808215103,0.5531068043009382,0.25177055034840734,0.2500900425452608,0.36660425569168065,0.227464732910442,0.3787214702957121,0.5380596084866327,0.5048488080982648,0.31871433227721546,0.6543495234068704,0.4561474124035372,0.3014508027573092,0.3441006755177848,0.6373016500036075,0.0839918011350762,0.4245884565796334,0.622234948716997,0.6767705836829239,0.2647879517253927,0.3292493273892837,0.41426961202944623,0.6380162484727221,0.17148545097106727,0.5245669556475487
9,0.30172701848802186,0.49003012982703475,0.3118677973187418,0.6192557206422661,0.21745488565143978,0.48835677423731727,0.28512205355582965,0.4456481399326564,0.6270593023922318,0.48094278492120934,0.24133086471871856,0.6207383321145753,0.4272835188816303,0.2810989944555534,0.6286952329521945,0.5247747992538878,0.5266297717230558,0.13217736195597318,0.29341153265850417,0.3453144467689796,0.6620008254755847,0.29975840763919226,0.3356491944152842,0.2413264283607901,0.43214563374851567,0.278594533581622,0.3924051382887458,0.4564145504965724,0.030112721524861108,0.3370393191215456,0.42102719375498354,0.5735316777509594,0.24459235796626588,0.29247892156795663,0.053902559271711725,0.3975757540796492,0.44724720981436616,0.23281591391704348,0.36327809292988844,0.3309600178598412,0.4970317305187604,0.08192359726170706,0.5967555492942377,0.040036946722565636,0.3268768783474656,0.4409166270091477,0.4360133765412758,0.25106434730896776,0.659057169879363,0.3644908898513747,0.23968261764627385,0.15478874814666865,0.28363090689392134,0.309762434748747,0.08051018673651855,0.28859660483906646,0.5529624885846827,0.20404223253612086,0.4196340794711495,0.4663577456514554,0.3276289178706667,0.03807968415812246,0.4147193270052504,0.48197376465920694,0.308900230945541,0.2301443769806304,0.4618029568414376,0.0626084235925849,0.289989742181026,0.5289060554285692,0.1337566371430432,0.5367552273744447,0.40982523851442654,0.575060676596487,0.4162589963009439,0.31013846984976146,0.5754710950084033,0.6269265463237723,0.0035885018538124314,0.3985008254557172,0.22097513566889826,0.4390031757863775,0.22953434361264136,0.36059960516737277,0.407126349225581,0.7452227410782626,0.39769449327421746,0.34114329565351165,0.4713642902921015,0.34031739640317227,0.45082035419392263,0.33838877410595514,0.3161387082133915,0.32403139372012646,0.042633487270735904,0.33359560417043754,0.3395620214296875,0.3204301720303637,0.5863929497749811,0.5199417873476997
10,0.13522299186796716,0.21760091716894414,0.6140468325860574,0.37284526993339506,0.4755522122971664,0.00503542232269627,0.3250520200197231,0.40335076452464436,0.2669603962021331,0.5205473074664997,0.4839352798948764,0.2094852180278859,0.009303947923715361,0.33399387638607014,0.0682844059671005,0.31582890465818925,0.5707791901926798,0.6030693608340718,0.3044536469485343,0.2853666297434627,0.16701457440872147,0.3759913482663746,0.24183362092521543,0.47923665220485223,0.3725782399161903,0.3906138591180036,0.4105756505081306,0.610658406639238,0.4725222419606566,0.2120827169534305,0.3461046277040719,0.0853432535158214,0.4487636898841374,0.4803170291542336,0.48103529041184667,0.14178141657470666,0.61969772547001,0.3172545612549186,0.24553044417567227,0.33519008321255417,0.34811637838666165,0.5322105922087907,0.29982450458325105,0.2069822634799915,0.3382985791711677,0.28016360473157254,0.20522628759659622,0.6206444885883535,0.292129197319294,0.1808910972026876,0.18913518769330917,0.1689124346281009,0.4711061932319036,0.46298153626492144,0.5256637601138987,0.3396972980500792,0.3723666891342028,0.14169958464965204,0.699701781164559,0.32354511366593974,0.38005369992006677,0.4158495785891696,0.2571348229571202,0.19012974891146928,0.39414662352953445,0.41822755607506124,0.23084992244512126,0.27316448142983507,0.49638961512895485,0.3027591709668498,0.2922209725941971,0.3897215771121534,0.20874575624981984,0.22690676400800847,0.10290412551793415,0.27844256557124414,0.4583804628143914,0.08033312911879531,0.3753633895884596,0.5073377503048575,0.2585919147365445,0.5972465837105431,0.2616463608608429,0.19585078233640485,0.3832894730143733,0.5729892134486521,0.18935793886256458,0.40632861417111577,0.425466152626198,0.29197365453529045,0.26772927332666685,0.5554198664852146,0.3546782611534024,0.49677352507565986,0.5493868750456159,0.23114334067837006,0.07100395479997634,0.19561468316600816,0.501191464648773,0.43292786440670505
11,0.3182246764181671,0.3466454151531253,0.3521404842785807,0.30258831497491057,0.24473985783612184,0.06684695163423404,0.18277064553730127,0.5001570355300498,0.49742500291262104,0.2691597920216008,0.499948404155775,0.3533935758439073,0.1389293769708576,0.17556136627136887,0.057472680888400185,0.44764768047487014,0.47722135635858154,0.3624186575899605,0.3572087234244714,0.42882415980466937,0.39752446810297626,0.4666441790643452,0.32437947150719104,0.6172911009801612,0.43233238901961035,0.298527120345486,0.4030975111853975,0.039596174720189836,0.23751605658722297,0.18123130785993546,0.16752161198377225,0.31092810452718034,0.2889858887601471,0.18706858566858964,0.4079845114366263,0.17518305869167994,0.22089721980329924,0.3795593755346416,0.4334848712125283,0.3464229195946291,0.40938471425815093,0.21577986319757858,0.4923177611766394,0.5493146309300421,0.4828175917265902,0.32391975776022053,0.2516798504659744,0.20355686166307874,0.3889785434843318,0.4629008143268132,0.0910137484248339,0.2857801881430051,0.5792358489514128,0.2981715979022599,0.18535393105280074,0.39452827922080225,0.3484559583048541,0.25614530016449955,0.13113202736882035,0.47198740781075477,0.12440075430674513,0.11984046038828189,0.48511135922917026,0.21998069036577927,0.3976077059298049,0.2765446923078986,0.222558984074679,0.5118112243526874,0.23388334754713813,0.4482009753259687,0.6571074325238231,0.15918399352544532,0.34213876275908606,0.09932343378986963,0.2019827126678917,0.23262516960524504,0.4459700764722576,0.15171430516717466,0.032967313835757794,0.22516022054886653,0.45995553620909835,0.24514314637774248,0.4373933456857442,0.48242150116334415,0.3337931863693384,0.3228655845502354,0.26191507560354366,0.22903679094300322,0.11195756356623332,0.3157441591484731,0.11669143839499718,0.38083428464251534,0.19001655224788916,0.39322447786372705,0.3943472372558894,0.37310127783029245,0.44275288593088913,0.033575881879014835,0.050934047450962194,0.38264922084668984
