k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.29896957663424617,0.25052166936619036,0.8020356502576719,0.9708907257446949,0.9888224848073887,0.9715150673919251,0.025037573009955683,0.6344571057529564,0.9988905838975253,0.9985347467025438,0.8276356351048383,0.21982826452584203,0.5791638278655842,0.8224634346256272,0.5108520030938467,0.9569018623846192,0.09234427824585878,0.9233731953812007,0.9989774762112802,0.9675116724595663,0.7760032302049669,0.7010139361503729,0.6292768181437602,0.797062214065975,0.9616912881465239,0.9988367653028374,0.9872046675907559,0.3509735872853351,0.3917770115741107,0.2966962034312348,0.537939247714281,0.9954880877643235,0.5745276168609363,0.8901967535120942,0.6676305520380952,0.7916650854027785,0.8490938821084583,0.007865510272929033,0.9559259346590706,0.29386062417926295,0.9892274369503835,0.5258814208955853,0.5810613957615847,0.6823903224880455,0.7482926441996012,0.9991420586954295,0.9899883479225511,0.9798298615425506,0.7662188715402469,0.9991411301577009,0.9812938573931727,0.548837835526109,0.8982917095217386,0.8834835671406043,0.9798796606021212,0.4222564314964916,0.832758580438422,0.9200628188413298,0.8131563273216146,0.2741914967710193,0.9983822501233425,0.9980502907675202,0.9490930051301225,0.33243366437294475,0.8832221704092701,0.6019513044510398,0.7969586678082121,0.9989195964084171,0.9947713318027824,0.995332535757491,0.9983344080035688,0.9847901459119972,0.5998813463405281,0.8829495665832351,0.5681993808379424,0.8268443748031209,0.8217285221290727,0.48837907440064066,0.8444518474063912,0.1703294986457653,0.9914052651330002,0.8558050539990453,0.908678075092842,0.9991417936832134,0.29291457009339994,0.8821384304777419,0.9902925229177896,0.930405609081811,0.8317287841384984,0.09970516172089516,0.5792111139519471,0.7657510722965541,0.9982937507040811,0.6416346194429903,0.6670813396647279,0.9621154478954529,0.9415768538105659,0.9943647119250463,0.16906781683300576,0.1308468562071352
3,0.1568583239440029,0.9702590887438391,0.8969490872284025,0.0965042499781632,0.9642928384317367,0.8457088081054946,0.0639820061458014,0.5527258371759791,0.4699109819813705,0.35527968498777573,0.012458243022437143,0.6058470275686094,0.7604304582204363,0.6182255710101037,0.7613691872863804,0.3502313359668907,0.8656919920892088,0.10017340614850201,0.9523197768376934,0.7495295731759072,0.8486357528966406,0.7141180076572722,0.1246595351842188,0.5382605551816457,0.14017190880645225,0.2545303833345829,0.1064235957269295,0.9906948762187947,0.9348961739779594,0.936010429623436,0.9852432483393408,0.9657125389123932,0.028125512868498737,0.7022042159195442,0.8275683186308023,0.8400268871853765,0.05131932800708494,0.6319679449837032,0.8610444041610871,0.9902378601849416,0.2918038103839794,0.9944916455559843,0.9511458043700916,0.8779329663828872,0.9975597087210871,0.3691112135162622,0.7023112347670357,0.9947550424747316,0.41460956026085083,0.06924513924282172,0.7442108288787663,0.27929295564601775,0.7346681797733081,0.2563618437586831,0.3458003112213649,0.6676095477342536,0.9546625907764404,0.9652991892910374,0.8130965553852527,0.6736630633269418,0.9019435480300041,0.13447412335758213,0.37673001839959985,0.753514519516993,0.587199889931796,0.5902215099778647,0.17614527015593806,0.9080467414555133,0.8999678652541288,0.9618361978636818,0.3103718857178419,0.9132925956640419,0.9454212045313269,0.9948331774999409,0.7703897089048615,0.5432635645230409,0.4103075059698842,0.9971405999172608,0.8206627487893324,0.6624152281952691,0.8130591134669063,0.8438716295281993,0.33694282316577495,0.6118381784149255,0.9803344366506892,0.9023036024789237,0.5418205872289878,0.12391531172447579,0.9988850239768359,0.2747805006633006,0.9990078321427746,0.2905580873431486,0.09911292851486952,0.7862624387107863,0.7951634181764726,0.9967462107736258,0.8335770136809101,0.6523792788188401,0.6500298094795084,0.6616365887196063
4,0.31618147111489403,0.9562277947492921,0.4183629684111452,0.31517818002597964,0.7745580400843711,0.9453757887068925,0.9409496772195988,0.8546176515003632,0.9782402896973142,0.001682223251760151,0.9391128157952446,0.9419911345912593,0.9557515493147685,0.3926473060785254,0.650856816986571,0.8270369276281361,0.6601816503517057,0.9761911234691707,0.9949918403149103,0.8990491522711304,0.15248719189294768,0.1935329046987989,0.35265278315640414,0.06962031966197757,0.1832920646452325,0.4820809627444933,0.1349688927420155,0.6822849086102443,0.4496461302638508,0.9730285813047466,1.049180350224269,0.8609586864258818,0.7215325715559381,0.24465435821329096,0.974995513303605,0.24258083674296516,0.820110725639918,0.5177964575485006,0.4358420241384757,0.7937054784232329,0.8582267767418414,0.972387198247458,0.155706034167169,0.3538659796425385,0.6541621083620472,0.06517046359751766,0.5451398120442885,0.7525908293420585,0.2243624978949632,0.8820425378421239,0.995212482743137,0.9578662232552326,0.013458039394622201,0.14586226062269558,1.9671347793286653,0.7692116320199559,0.7110772197628403,0.037839235308537056,0.6825828057901049,0.9931158700631859,0.9531496392646509,0.7024642511361128,0.41823761806485216,0.024707078980276798,0.4586945424462714,0.18739238140155778,0.8529228711401184,0.5504065539148026,0.9230237365407012,0.6603983422764301,0.05833685455615267,0.9961321521337457,0.32484592754312935,1.2151912798279616,0.846403347852149,0.8776170390342795,0.13400457688617173,0.1431014910440891,0.8623917948015634,0.9908730872729289,1.162220752494357,0.09676552850912168,0.9864774275114535,0.41052574191414093,0.8111141992846822,0.6442012336801212,0.8742966396717047,0.8724793948725578,0.6302332565649236,0.964088565580176,0.032001188088141674,0.07334333078780986,0.699428505948722,0.683820048682657,0.627378297227706,0.8433373450913144,0.6645172503173948,0.09092760804289246,0.9583170367959006,0.46476339143479095
5,0.44884578991161894,0.3978102161081769,0.5654291828465985,0.2962766376407041,0.5130901973533262,0.5629543707601785,0.9837000140085445,0.3334656004397256,0.9918522446127412,0.012516456781932028,0.41632597727599485,0.54904120123706,0.05739451090321812,1.1170556284499327,0.7442462080220711,0.7229099566865412,0.5430584684890005,0.6352697087249395,0.5460177752940729,0.7493250169503876,0.5535254218895105,0.7194411785763772,0.9302006819616124,0.652892080436932,0.17276667722370131,0.9094071787876967,0.0685851280990919,0.521644151744993,0.8752212360854746,0.38420598782205406,0.797214680593409,0.8287956266319684,0.3489818796671482,0.5383591165257429,0.602855715973476,0.12008398515956076,0.003929668422192112,0.4496050111804437,0.20339410512571376,0.26421403473569316,0.44614615304957006,0.1998683393947206,0.4551774643034976,0.5701339539834184,0.4961526031664729,0.5289319498761942,0.010395211676497484,0.8738357895301482,0.36239042552547085,0.8380232199541137,0.05700545216307351,0.6174222217190684,0.8293988432185957,0.7922344710069739,0.24850516280494317,0.16653051519412687,0.622974499263272,0.6776665956126823,0.8047248984090996,0.42016348329888964,0.639255490786551,0.858419493487119,0.5206107513426284,0.9735666576817736,0.12639159710920822,0.06577452114655502,0.3482414453451991,0.541584114117133,0.5911463830142838,0.9451851881592266,0.10011952519914757,0.5429426200942977,0.8579386793216202,1.2736686411808207,0.4754096313414885,0.36903367679373567,0.9069058863376136,0.969267423772344,0.8398697865363155,1.0117626098388754,0.7485184430278946,0.5539909716057387,0.4716562105864608,0.9415537929009409,0.8479852963397205,0.20122866582559262,0.8814280163736973,0.6861921291619237,0.17992181750695746,0.27919370509102404,0.4067641721867714,0.32096606122999316,0.9333147490260045,0.34613208655321526,0.9298428075963099,0.9939731738386325,0.06753622004222337,0.846092115970064,0.4495330872610914,0.43899590656190735
6,0.9518799640374453,0.13041989113759578,1.608200980416938,0.02150281976137436,0.8025173690921691,0.39475170266256443,0.25794644059916105,0.38420544460029504,0.8163599831588371,0.5319591157133009,0.5864169617137978,0.8477450553482835,0.2370048046928528,0.6948887961938086,0.31669696654330903,0.7297044664980923,0.5126878035869342,0.33559919977297237,0.9298659849670803,0.9377152115096263,0.8182378885862929,0.6582440512396489,0.42218257410403937,0.194637475444687,0.3552038287752023,0.8240434854464074,0.08915741877386496,0.9258776908231943,0.4222122438531746,0.01359738761496121,0.6832053565514391,0.19542882493723046,0.3309942311474392,0.5910346445338113,0.8749277784728015,0.7853123043697785,0.7114360514530271,0.44104525769835723,0.7074927212058928,0.26232289425441013,0.7173403539336591,0.025573595872336652,0.5472224981005214,0.12110353692258058,0.39224723143725515,0.5773276716160902,0.06460374862639529,0.44187928309998026,0.48154225121229355,0.3174506696157501,0.1287832200495227,0.6142654629197406,0.043035970996929906,0.9655466714128969,0.9115732030701048,0.562266322805488,0.7944355831836717,0.8575547214557055,0.19680755133756267,0.9242732678955904,0.49918661739716186,0.2773260516945468,0.054481844367604504,0.11927835473360626,0.5391403072650343,0.7944345886811381,0.08647835650907676,0.0038716022272057282,0.4693634650571281,0.010543514882912275,0.7623063706644696,0.898801856580956,0.22102620026764974,0.8399058189952816,0.35843552796752476,0.5850847900255114,0.20176630709817012,0.03417771680218451,0.5532779155389995,0.7948929954829715,0.3830935848446517,0.00043402400511893813,0.6303237771323722,0.09405863781317625,0.34756188447086256,0.8733624234803676,0.2693100652734952,0.1766932330100226,0.1172447916932915,0.3208829766020016,0.833919211026634,0.14803112049927025,0.6358845157045407,0.16546193261177777,0.4223069934405337,0.48368195757870736,0.5981760261551814,0.19161230602241863,0.6869409436957135,0.64823745047436
7,0.1454207038759754,0.7032004457671841,0.16944558436444423,0.5539058127944306,0.0553921027960218,0.7747078412647145,0.9816887025977737,0.8786783134708008,0.11184202019556588,0.7725343122130826,0.09066285527540274,0.11425251133083836,0.6457190932589714,0.2799171332518773,0.7644756063424982,0.7967089845130154,0.9068732632398673,0.07160676233993257,0.6666038975799982,0.0425462374782446,0.18741620355818656,0.5708975509614784,0.6858284045430969,0.86671768582813,0.7345396744976505,0.7676718926327168,0.17985821005290092,0.5603093667203711,0.4146722390723083,0.2376029718382906,0.2625198051924209,0.28066937576228557,0.05416958674288441,0.3553753103482844,0.7438620515935319,0.05447782745907637,0.21788282939548065,0.28277633512452893,0.38195059496518535,0.4426793478422846,0.914691974290579,0.5487569643455504,0.49091763901651375,0.6865216065782033,0.5860824453259956,0.9622409934509747,0.8227840084705326,0.30912975647838836,0.09161398550691091,0.20490935117916687,0.7313791417335943,0.159997242274023,0.1320011435961893,0.7372515347164723,0.3508034620994067,0.7419387376067588,0.1658373608134338,0.0399611207399575,0.5725880801301706,0.04622832659146181,0.23161990092315055,0.9482860252431634,0.6623454269337976,0.15016740115416494,0.4810601116949379,0.0938844342222167,0.11422586275666857,0.697219678181328,0.05935359400272189,0.3843128770061517,0.8934247690194927,0.7148415901619622,0.2657172441378346,0.20211170194478123,0.02673623271581338,0.002006734706409996,0.40313760826374434,0.5925736103230387,0.4690797123089476,0.8318926146159262,0.17969095337922747,0.3764779035889818,0.4704167289708623,1.4065202615467522,0.3326647303118544,0.1541764774700528,1.0513182867744653,0.32392169117611846,0.465907065067241,0.329593274324528,0.5035580195233518,0.7529309974358805,0.1939849849209314,0.2536085292687156,0.3352792633476347,0.19253088860769796,0.1642465943067325,0.22079778580551135,0.7404800070429753,0.5748217140892615
8,0.4569967653577125,0.30890019932147106,0.2420182584147217,0.6511158196144142,0.4168933240291124,0.16338646197963103,0.576592796235156,0.7678063689097436,0.6623980954723974,0.5727668553864392,0.28376831933858515,0.11337160794030376,0.3195049354109025,0.32242283813927763,0.04591315637899951,0.05154021036218792,0.5397497575675125,0.07343161054747926,0.7746110984326373,0.023047656423891505,0.26564125146394635,0.8492847156634364,0.5800241309692553,0.8706589521963297,0.15768354307781918,0.20220340041388263,0.8860221488051153,0.7942953121906857,0.27539747459956954,0.5975176784171468,0.7013243109449916,0.5426743480030168,0.004278995368099503,0.13952848672216223,0.3784401581766992,0.34883201198606206,0.4610239925089845,0.8801964525417345,0.15668268265680718,0.6632714252499698,0.4445705779536382,0.4198796258506601,0.5651343016055268,0.6316349546788641,0.6203310933657613,0.16263035316260588,0.0852299838255055,0.5207684637304577,0.07578891667628551,0.3161142470459025,0.4186829313121414,0.07979501655739818,0.37500220643269877,0.710089686253641,0.5970470803578618,0.7594076813053401,0.06978342948294669,0.11589762594112019,0.19666435790447256,0.11713424490559854,0.6600722625699372,0.15841944473543768,0.5080145360010226,0.5260018104128665,0.46844229328391673,0.7689496240304345,0.05312980933117517,0.2201050496616771,0.19816962518654402,0.12860599386976723,0.38506108440492426,0.09008320339136988,0.033719786124791096,0.11198740002198404,0.6717898146110297,0.7123646249632967,0.10077983791875622,0.4307743045531809,0.7675507813432244,0.23126267017932178,0.25795556991595125,0.40412060475094,0.37447569417025584,0.11078911801176528,0.5849456374173783,0.10119833893954189,0.32097064288859145,0.43735283469902475,0.5845950652375154,0.8615406137515096,0.2491396459483548,0.8124724990686,0.06726819331825018,0.4205846545222669,0.578830280550183,0.03988561074483743,0.0044345994679045875,0.07731088113164031,0.24202503976885437,0.3908640358297938
9,0.18855170122501486,0.30609994021186004,0.4054146881153289,0.47510450328963827,0.44378074330261297,0.27272706467956964,0.60149903205885,0.2799358329614303,1.386818164694113,0.2314211646748363,0.7242456202481811,0.7460571229288488,0.8209402822881364,0.06179065529837113,0.3248722770138124,0.580467296435816,0.10648850737300597,0.3315487573640109,0.48952239598902325,0.16726945218636402,0.07045545075725634,0.3287400857907614,0.27088545883203197,0.10758464973974002,0.12985193177113152,0.3255641776093179,0.45540641683056415,0.39580190028266937,0.4586136779205733,0.919879436550825,0.12284172255436543,0.4787992721017771,0.3066595358140467,0.1006983080784889,0.5359797502688748,0.6839844178955268,0.30240464293931346,0.3638135451142912,0.4927485276649832,0.07136445113089884,1.0968431894043662,0.058003874407802636,0.3583373503863725,0.9258137719073916,0.08830052831346125,0.20978365846654978,0.30204053181376445,0.5593607793221348,0.33393195458181735,0.8257705402087978,0.03138781074303809,0.6741739709019758,0.679662545124645,0.40606533816294743,0.258842401586056,0.28729915895503455,0.641957020261652,0.0820180594792903,0.3361782363445881,0.560745486984079,0.03766203123252976,0.4371025743941348,0.13997450896328,0.43626767932198396,0.17754209857235326,0.8196073880932656,0.9000039313516305,0.8282051534109007,0.8035316869058022,0.6762303666467201,0.7011360232969592,0.5569833143586906,0.705893497620433,0.3927968888661052,0.21457446627260457,0.26827016824521177,0.09523650411975626,0.41141825272331767,0.39916702958642625,0.24867597121256768,0.019888571999652438,0.5070238925201833,0.6813569172987692,0.27315510090956985,0.21180494942278993,0.13368508293266168,0.38485105758245297,0.7096091466595109,0.946310574929403,0.6938149621130241,0.3501337504665558,0.5574891093659058,0.3563369696034099,0.1866198890374975,0.8757146897364572,0.6001414856919287,0.47772588809999184,0.12615805212368625,0.8339883240050991,0.8900850814868408
10,0.27131374855100177,0.6909277648573127,0.18727143144501923,0.10566491923850618,0.4567493514035834,0.9171415215611483,0.5743964161565787,0.32137643815805095,0.7951803508772455,0.5028181560152172,0.2676333150416387,1.06100462274388,0.8376351387325296,0.5257079450407263,0.30328398106938237,0.9374574748720228,0.31601493554983606,0.5221387473101968,0.37342287383288486,0.5308204255645975,0.2536297482340095,0.17765337690489846,0.22157634636269985,0.16457959046137038,0.5916762588842396,0.7076388228434627,0.3749281920576589,0.1429685922570818,0.22306457536609048,0.3612016340692139,0.36098541568558584,0.582993592433026,0.7203961785615463,0.1457072582422131,0.38248954367345234,0.4321487648158071,0.4641343763732594,0.21724066712877832,0.05026641117991859,0.21012023539898306,0.6420252121901979,0.730312612004847,0.4611166939514275,0.02675599999435807,0.26458648703356813,0.22951180781388336,0.07501072225353433,0.17076142352387058,0.4367333616952589,0.3615085854324097,0.2731145758117062,0.2123424561597238,0.08182567687356146,0.6432436022908975,1.042156208283413,0.23145458392864482,0.013504882545016805,0.7345526064626855,0.8395155006229786,0.5084008047974373,0.2407500701855847,0.3379152232901089,0.15865103467354835,0.6738822299952185,0.7036466264514669,0.491023942659361,0.8950598502606926,0.3536482675680397,0.5211487247041493,0.802947927437784,0.31117381424484036,0.6218613514487265,0.3691132423368798,0.4703971003912495,0.09839866364071703,0.22716270957143148,0.40490807058943534,0.35837381319805184,0.3814908814034338,0.6826004578989042,0.47440076477098214,0.24731296164117178,0.035639722021992615,0.1302918758780649,0.14789492328453258,0.26474645489770454,0.021131435791155395,0.09926005642022395,0.6698689512989953,0.23203988185549163,0.04179608249943345,0.5448802713578105,0.17290376165462784,0.6329897966522615,0.009541531313414398,0.5886737205475608,0.21003656995448505,0.22649275962303594,0.920063417465798,0.41373714811676165
11,0.1304227433416043,0.20136476199192455,0.36161722167464316,0.4474807407966874,0.15577677490621644,0.2749004383589624,0.09009685005386947,0.17000373871350494,0.008990099219381875,0.522027000594462,0.7931354275018774,0.37664753951534014,0.06436086966343879,0.6772030497185999,0.6309072119431994,0.16897680288918604,0.1944593392405669,0.5873716226824852,0.34021087748556866,0.2257938957014094,0.2280893923403402,0.05563811227953397,0.019759416773403427,0.03962475444469993,0.6122880384314364,0.19465215972815053,0.18815235283030418,0.08635777989740334,0.3144905855817757,0.17753289929384952,0.4333130612057321,0.516532683753917,0.29132398341884214,0.0722390935693571,0.28847392733789645,0.09919722362575212,0.3975599947402886,0.009345984707043176,0.2813163691544287,0.12676730153857663,0.7030247545758384,0.3763604809574129,0.35222824534582087,0.5036397457998278,0.440880828454573,0.33146982531344893,0.09642019747455866,0.5842793068619617,0.31063533980601443,0.48334466490653427,0.04684480138162139,0.3102743951988477,0.3977024235577771,0.7631931202206563,0.07126705245586196,0.6931749807927496,0.14486760413905075,0.38339592908067033,0.26954841231936566,0.645666306821187,0.4608480363161329,0.29829571139595823,0.1037996825545211,0.042446995882170935,0.5626256812201613,0.7659361595703352,0.14289859299278285,0.6620574377924588,0.44639812969449855,0.21065199468025142,0.3714281187997204,0.3380002624648011,0.4989887929691743,0.5162973432337217,0.35350708896693883,0.15184425062169637,0.23296684355213593,0.12834850868453396,0.00017769164545189398,0.3354520293087915,0.04463641162861243,0.4597087969916823,0.3213807014569374,0.05209123116983516,0.40073941682398606,0.14623689537971296,0.33052820159800866,0.8184380103099114,0.37715679749629816,0.7339240377414469,0.31798381248950336,0.15534351659570012,0.29351005290548926,0.1467369461160113,0.319370227079637,0.32438130277079946,0.07866536248502454,0.49613300249461023,0.03320364619231686,0.02848214236547264
