k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.2134881040051636,0.7709539576363291,0.9990751992802367,0.9949699208864724,0.47136745344597664,0.25251096056631805,0.9538973979466098,0.9805625012281876,0.9749994798991097,0.6072101335275141,0.9989815688167387,0.6481239302931505,0.8199686071823605,0.9690117987771537,0.9987489287041164,0.9228019529519169,0.4827012049353101,0.9991403381267152,0.6295623306258431,0.39717325626989086,0.6739091748515065,0.9420070592875058,0.3921510272695773,0.7428224151503995,0.9988413840012451,0.9429019712559323,0.4982555792038925,0.3739037161567422,0.08092812598857002,0.07995888442070909,0.19880898368351396,0.9551971758818587,0.9835071457166558,0.8554729541544132,0.650761050679423,0.10310260623774381,0.4380674264673716,0.4766324372048879,0.5197349265043902,0.9750166492188123,0.9071465091686524,0.6687435861071409,0.8716283973176936,0.6767082585308195,0.9781901518650793,0.8623171908137695,0.4506529055365005,0.44967455546197643,0.26991259971639225,0.22822154129269867,0.9920750727840404,0.33474574583293937,0.8170186956056407,0.5608783645643363,0.1715124075634875,0.9867308517972057,0.8038369988161541,0.9632443790707657,0.9943564616570123,0.5582600015340127,0.6598371326493058,0.18141075945165608,0.946268598330837,0.9415733178482022,0.8187721075637933,0.9991400680023641,0.8754962188699416,0.9448316642741061,0.9765574486554414,0.9479318630445804,0.956570438467584,0.9887461641530018,0.48664049041632895,0.9024569897496701,0.6659400603199757,0.9829659857805012,0.9387744477408603,0.9524398591434905,0.9097498783272522,2.3380792928715888,0.926536860978011,0.9574709497817412,0.9679538433193909,0.4552194920176057,0.9976503448910009,0.8056984913815437,0.9079912580559099,0.8567552553805203,0.9931329842132345,0.9430005449056607,0.9458242485709975,0.9955040255671191,0.8002740148528699,0.9889177819551451,0.9982011595047153,0.5867137407567429,0.6460821778980899,0.028810798526893944,0.9504819414938359,0.9917800284326516
3,0.7488079396591253,0.845059586786658,0.2586170060955084,0.867868105123499,0.5585830160036738,0.7154657991952459,0.9451124867053601,0.9042542845252413,0.4453518432270137,0.9844152434305142,0.9805807139338958,0.9778834468343507,0.3379378948228442,0.04154167747346693,0.0933393914143743,0.9860684024100586,0.8980040570397977,0.9783295850575262,0.36859575802979117,0.31099149270124093,0.6604769141961371,0.6178148725926489,0.4011133798858675,0.6435728017685312,0.9881576363147256,0.5961633188715291,0.0874076119935332,0.3008935451750965,1.0882010156539095,0.852750167207176,0.4203976999623539,0.4219070540504116,0.7457543009044382,0.3049521552361001,0.8557280505631719,0.8987401542021369,0.8896353213239643,0.760619973091153,0.8577645241798804,0.8794159205285573,0.05716107021774519,0.8999718977581341,0.34827055468304224,0.022276360290912844,0.22684827437297772,0.5254018321752509,0.9898929704353505,0.6850635167602501,0.9943764885327678,0.9378338220460676,0.9544766008055425,0.735155152008204,0.14868257445148414,0.39157888305480126,0.9715591777389665,0.7356596929459993,0.9569365297276814,0.5802159359075134,0.8824850909159275,0.0642548852811684,0.6954440688949866,0.9034037084300015,0.8713994748322256,0.38343262179310833,0.542773317318185,0.14851773452018735,0.8395020513038915,0.27304670485806304,0.6979129154228547,0.13142143551085483,0.776947752369324,0.6607823085668192,0.9513247695985257,0.40897751135329397,0.3301140125601332,0.6298180137847713,0.46452567086051555,0.7720077817819422,0.7488457782430544,0.0030786280759942386,0.3038187095338468,0.5887684777647666,0.39046463818157917,0.7831611076004525,0.8220864392786282,0.739594171984774,0.6028225999681884,0.4839318891818044,0.8809061922859992,0.10958918115466243,0.8031450330858674,0.9341466531633995,0.6627358225494573,0.8798503745905988,0.16782004908221104,0.657424763572264,0.4412772578473644,0.0982847768131685,0.5174156127597629,0.9900944538115236
4,0.4447811799479473,0.9013133875311279,0.5472344322561633,0.9458629405590944,0.9529391683591522,0.5397024402634392,0.4137747360471564,0.7611614775162046,0.008934213090323162,0.9081458281421152,0.24733904509285698,0.2438075427320392,0.6507160423498859,0.7806654693690852,0.42011810632080815,0.5159932526847165,0.8569161886544924,0.44659450902121045,0.9595112884621332,0.795658043775082,0.6230489895941305,0.8751390219668478,0.6605885579188702,0.5747101035772879,0.06741805894597497,0.07791589516751263,0.14356644404781038,0.5965248690604052,0.8873797573480655,0.3900701872677359,0.2035712590659502,0.11681895622305749,0.6693415346780711,0.6099045508717278,0.03561322281979484,0.782171473840366,0.7833614369472561,0.3960009927752546,0.7782256837783825,0.09672867970852961,0.5087714175264608,0.2813161189934007,0.5269921192069045,0.8229258143231151,0.19916955809111458,0.031368568354100956,0.40944789535380743,0.8359671831731574,1.7067135434046903,0.8213166393021172,0.5727555766890201,0.18335543333280713,0.020826844764115893,0.3851147078618594,0.17413487732922095,0.39845510030482045,0.780270502474476,0.23748271467788773,0.9902762565317836,0.9847100684542163,0.12453069320062371,0.7720002525779543,0.24073618737872682,0.2564449304991868,0.0774756907499421,0.3046657491163772,0.635471087567645,0.4143102620889856,0.7051729911664688,0.7141217742168171,0.680244489542464,0.4874474652230524,0.3915692287020104,0.5709006973706714,0.06334575914434715,0.7093990753095621,0.7958731924847078,0.7540573177306931,0.9655637790325668,0.21154384836218376,0.02124039898139829,0.09363258972349264,0.6394903073628913,0.817260420483372,0.06147114576472035,0.6169333549253961,0.520452454834299,0.12110822179706127,0.7322115970326664,0.6478718152288676,0.5965571168058298,0.8049444338323137,0.25376938520909786,0.6757940225437,0.6794159420328616,0.8999325955131634,0.5682698282606525,0.1711497639027113,0.3243121311076297,0.8995450935100621
5,0.43617398625852,0.573654789099994,0.17732244321524826,0.18283419636145148,0.5430121257636286,0.018248347808292098,0.46406889442153665,0.6707954217928076,0.5200696538197735,0.8876925949922074,0.43217849691038035,0.15636597020344056,0.43219880566369706,0.7540365572089913,0.3468656339460304,0.8420870266569833,0.28051131903168447,0.20415361241542462,0.5867661235925252,0.479288698982975,0.12188157677865163,0.687922322393232,0.8294737930157596,0.8411821769620343,0.3258307203871308,0.12219564541810113,0.7314674028712287,0.25354336244076436,0.6796502637166311,0.647833937584064,0.04941978019188431,0.30157224685335193,0.40785736741218104,0.10772445082403082,0.04300678794001156,0.6255033790003346,0.5386906590655015,0.07542997688543052,0.6145399911875387,0.5147049392565706,0.8480456689971309,0.9086689942355272,0.9879026384332916,1.7213436667605868,0.7324271938555433,0.38559654876538785,0.3042264437309762,0.6357490176122027,1.5179317592666823,0.45832498773186325,0.4403511107530651,0.5470023737342182,0.42807394299547463,0.8195777827466983,0.85969662952322,0.4413411669411994,0.07238290582919626,1.595602283923398,0.5943686486952177,0.19233171351261413,0.8785678024938962,0.8209688976510234,0.50358762403457,0.6055314203286551,0.35698284372968425,0.751359146467528,0.25360885998867344,0.5404037811768758,0.29173567293369784,0.8906499929596453,0.19601891780670966,0.6293375988495,0.6538009686616325,0.10856483175781895,0.15923358632007,0.5551789819832763,0.8922856767235284,0.5095937823880223,0.009477500854272014,0.48817951822706374,0.10883882099800468,0.27113120989390316,0.8460184298529225,0.5899693701848797,0.9760511209500735,0.39243297019282286,0.16196212272769683,0.15572883523417713,0.48959229741824917,0.027664224874331067,0.9388171656090103,0.1310439912261705,0.9678352507768557,0.3622528816457866,0.6770840449510493,0.8397228510239312,0.22284773185929296,0.8124968607300884,1.6513777234272857,0.948511688758919
6,0.7351450051677155,0.7825421826734273,0.6398245341188673,0.24956332639496748,0.8251398884080066,0.8526767452293136,0.584531164252883,0.26854351524141584,0.10764977068216108,0.617812762775728,0.7998238028083351,0.36745718877075484,0.7696428359705361,0.973983910976472,0.7670490520575206,0.91634459293288,0.544439985674116,0.5835445328766934,0.2483541768383326,0.7181679743151661,1.0988758480579484,0.7111044409792711,0.4008917815593649,0.15321370666204737,0.4111472477618523,0.15231886386558657,0.3729445650217156,0.18146579038828436,0.7497743104226324,0.25380662685413924,0.3852206815125466,0.8977998771854201,0.8181094214025919,0.24533140622026361,0.6830853823278331,0.5767790811112418,0.5963030444085583,0.7195588689431257,0.3107460732990628,1.1497537575432424,0.9000531841116162,0.22620087119613697,0.12694923624227838,0.855264294269857,0.9801595563275508,0.021209904180223837,0.1341846516164531,0.7994946744238054,0.9026604728843021,0.9405979169564396,0.7703922664086544,0.023608578381282275,0.150461786988072,0.7720642601442415,0.4750421468060054,0.47972101280367097,1.442814288118178,0.08109268034363049,0.4409953930245699,0.16898923937492372,1.381117024778717,0.07862061218305838,1.043020205948459,0.619459574965552,0.14973241793001024,0.4755789988117063,0.12085887009926854,0.5164095434720775,0.778853631667332,0.8686812901675833,0.430930372509579,0.019027164049123857,0.5394292312659718,0.43061377149087476,0.12199700456166862,0.35476784973875086,0.5744850285711359,0.21307861755916568,0.6625149051989967,0.0671943289121697,0.7018389828190723,0.8734101669625108,0.09645440631977942,0.3961854202573125,0.1267011205957247,0.5932706864771431,0.4672948120416265,0.24529684379998662,0.026126345792267136,0.8487355436191428,0.0427140351938754,0.8966406548780901,0.26869455647451645,0.9279382295066455,0.17639559316162423,0.8207173867914834,0.30544730814649745,0.598029490429609,0.5611126624971996,0.18832813929487258
7,0.2979814940352692,0.6911589370650607,0.246735734806508,0.14727682966163402,0.74100429438684,0.39178713673363585,0.12931672458529697,0.7460019925496657,0.4193951113962301,0.6334697590883016,0.9109010611191446,0.5005062739698443,0.4824755733829511,0.7624729814637338,0.5467858689063674,0.32453584018101134,0.5221074388782923,0.19262541848539994,0.08745924661863591,0.5295282857947075,0.8509789744821992,0.3622598656205276,0.5758428653033545,0.9271315348215434,0.5676488104730243,0.3740536820601861,0.025891656796513285,0.6460890035468339,0.1113773623154738,0.00973198562112576,0.061794005547688435,0.30170778940386755,0.7022201282231735,0.17445365785138955,0.18095490878503384,0.4556012544635164,0.7479892105719657,0.5141583131600815,0.24128664866215777,0.5400929975905051,0.1684344664862809,0.37753682319779713,0.6499817662144396,0.2678201348476058,0.5601772143850827,0.3849182057525422,0.07461279268756393,0.24493821238411506,0.6026089180795235,0.5851938700334376,0.334081620311808,0.789043435986624,1.2790279981339268,0.30074816228691736,0.7176033906168582,0.5371007909022663,0.1234144365904859,0.03974406937502173,0.6797322316185535,0.7433094328046761,0.43654328680511434,0.8547648922112603,0.7458987489174735,0.3742085887904494,0.5716839699306053,0.02549255279763385,0.7242680821703367,0.8563894386281388,0.11808378001579567,0.38343067473553627,0.1199650520360993,0.2862777653503219,0.293067582050778,0.42106028563900466,0.5481158801824979,0.3839088412332954,0.0702827613226622,0.24907649718815272,0.0811857441844781,0.5614514775474787,0.72496436311457,0.05749685459474718,1.2876300375438685,0.4019357074303508,0.7293310565963664,0.4626096600954681,0.6184179005149222,0.1655293386580381,0.5777382659242253,0.6932645364497165,0.3691174754654041,0.2974378927126752,0.6395999075305313,0.4224633548021989,0.5238539170072776,0.5339761170115018,0.7645662811097426,0.3643348518854751,0.19967542762662882,0.3739572215955551
8,0.5731995545567947,0.9458253125202282,0.4394911278655802,0.06642132625724706,0.45317151937883415,0.302372368212501,0.10526860476323696,0.8367303462999287,0.21268943553216657,0.7503436904892187,0.3464984614048001,0.8655433902203522,0.0314415882207677,0.28683313741062966,0.4924159484622307,1.3758441983977678,0.5781951808393613,0.44516198668978624,0.39035404926064055,0.6616456598013445,0.7766355676619285,0.12998074841559215,0.2156882304421267,0.7255206481597665,0.6423629805112422,0.5346520770540932,0.8001043806367019,0.30808332123015125,0.5935442002841222,0.0786763552893901,0.5996613238261069,0.5258967486101602,0.682782294246014,0.8292732562216742,0.21750048613812556,0.5781518944418615,0.46206538237747496,0.4149510029849238,0.08302557941308275,0.825306043343459,0.009273535713793857,0.5266961182914138,0.6465452716444117,0.33943342964376333,0.7310508418917145,0.9275554293077617,0.27585045003597264,0.19986202862576774,0.06261550087417911,0.6265601471287108,0.07834089824238277,0.24518335369647648,0.4347690558063223,0.736143688365434,0.485865390205904,0.7155388688238629,0.16578920969998756,0.14878727618037013,0.42010962557707876,0.3925751951397698,0.06411468432958944,0.2921040707929754,0.17014020659064988,0.06933947064949164,0.7189691945078689,0.07941964061780415,0.4963834680264819,0.8665479301934766,0.11027154980583753,0.0013342161873710623,0.27138986002534105,0.06793746768307263,0.3255727937963776,0.4376674552956966,0.2759504726247852,0.25713812619537535,0.44572968904585486,0.5799720803099006,0.0012585073733761831,0.06464886205247655,0.08285082805002153,0.02298705777483967,0.15971818616818556,0.6902476941345064,0.34856590536097,0.7924520466888036,0.3539184598890719,0.34271292159141975,0.36927453010746913,0.8641542930105406,0.009933256504518595,0.8219821626715009,0.46458917764701557,0.17645919129969545,0.41459829037450735,0.31533708513791037,0.7607259810340676,0.16636702391557445,1.2806940288227806,0.6075755111595914
9,0.15906722419556052,0.3530644586592009,0.37137402471086745,0.13555050308288852,0.5962909807982221,0.2428281585031531,0.17381975017812445,0.376091995673552,0.5978594374980228,0.2981394865691227,0.13221945231385623,0.8127952502206954,0.8810741740040986,0.5634953079415503,0.3137467716983592,0.5105197251248189,0.021878511713886217,0.6528822818945779,0.6600669855435137,0.07100097295776253,0.5694790270619767,0.3072068909612693,0.8072055364301499,0.0003531528614089119,0.0028205734614733524,0.5013446861615736,0.12273293494012649,0.4972424853424495,0.35609951804462736,0.0212171582107461,0.48693571609843045,0.2540243607475443,0.799163575413948,0.5619363289829793,0.533501351450214,0.07281461124808475,0.38847714966605995,0.20264378711313125,0.4258837919384688,0.06718793332377304,0.46409751117316356,0.9158071153805389,0.4642935531154593,0.44317044346705714,0.2862881694002155,0.8490702060662412,0.013535129891135922,0.33834518280610393,0.26900772634405323,0.3137847102731417,0.8010914938010611,0.6609658158792269,0.7150043742068125,0.32941696632013373,0.2806804118842696,0.7009777988556377,0.12080833588417217,0.1988708781213,0.6626873437924831,0.5634417136508487,0.31646482483948146,0.3805785494362238,0.06822547827922398,0.29433262808344096,0.3637140714342695,0.11873808628575366,0.16966109301703391,0.3343789106325925,0.5185490136673137,0.12689417243552814,0.6840861002231202,0.7124691428655537,0.5399690602895584,0.15317872948701128,0.6177855647287385,0.010867500117099471,0.5247304452037285,0.605375254909658,0.02924618843689708,0.5288979969438092,0.7903472309500846,0.46836943021505895,0.18199533120134226,0.295985565539699,0.45098885049096915,0.7130382422852743,0.3635993279230323,0.6488945522719534,0.8367134126091533,0.14184683730656322,0.08886080978958699,0.07467251053643831,0.5882530560695621,0.41339195255921346,0.5405824327460722,0.6194280253306231,0.27043949819149615,0.27235233266276326,0.5618096824562954,0.07329291846183417
10,0.11393329323595403,0.6910782182087787,0.5658128901772759,0.052259792946866224,0.2772339349992037,0.41373975014568365,1.0037203042309368,0.6953790730481615,0.41921320553223373,0.4718808963023915,0.2532265241531656,0.635201526288082,0.5289686739802619,0.06947287348851328,0.33334660394815463,0.6460904785401527,0.8671725087018849,0.1558526006511909,0.78660766023418,0.1277474856582278,0.6708423078292753,0.4896874812467622,0.1543369206259877,0.34267359478856885,0.2976126978730509,0.2580476217208789,0.8056220934620247,0.5753564732422751,0.6712167413624623,0.36031984164546094,0.6038736061479639,0.17361510029440286,0.0903715078231917,0.43155701589771855,0.45713700415327074,0.17346583286797101,0.7463405024107217,0.04592172484985402,0.28904745796342013,0.06030463804921471,0.922965844861675,0.5228881443828686,0.24595110246894814,0.4682673828517756,0.3495040175239087,1.069470444993343,0.041054432851817424,0.42230826617580197,0.5397743556009349,0.09646101004796725,0.1236418561996826,0.2888888390402682,0.13439071980706685,0.24294264241539365,0.0027813875895585927,0.6620308481805255,0.8667563643670371,0.17429575024116073,0.851359715029684,0.38432707726933324,0.5742110186196937,0.6646487912005339,0.547516829792123,0.29105535769390967,0.21820052130015144,0.12231335749470107,0.3308548718008666,0.6826007657267804,0.06942739176818558,0.47955132658707544,0.28627808137535093,0.3300306547735332,0.23152721577364233,0.0808862698506344,0.4008077202309044,0.13772240485976983,0.12808238321868748,0.2732069480629943,0.40019923084502795,0.47953605545301325,0.5597758878093373,0.004800304077345441,0.6145182987577302,0.899642976634244,0.23044293956931283,0.02338024136323913,0.026689031234869542,0.5876917492894296,0.3685482074713601,0.673052765828432,0.13557558812587323,0.6064965864545221,0.1236647147505352,0.7445937695055713,0.07071969602959505,0.040322685955042736,0.44104259714443683,0.48545933413152553,0.3981149765253771,0.06665151080407572
11,0.42835581593673555,0.13165996740702268,0.09946700283579224,0.630173591630919,0.0830267621372669,0.19075009414513056,0.738917044216258,0.7759475806163938,0.3005947024654284,0.6742393936063911,0.33933749532176205,0.31769167869136894,0.16873058180366007,0.03274423044640706,0.9220620387442096,0.8052595995908858,0.0590173118526065,0.5429822396293541,0.20709403897376344,0.6848386283976381,0.11121930311803419,0.268227348775782,0.14139870759886408,0.6483115529373449,0.8301199245752807,0.3880582521124578,0.16623947038857922,0.32556157276277786,0.2757936708456107,0.3256364050678242,0.10303684869284213,0.11448134367426088,0.021918797799087786,0.07470953222365528,0.6594990851801297,0.7556221523976858,0.010868571144105221,0.10086213284120094,0.006991643454554497,0.07962680160290336,0.12274839279050265,0.07941941907559014,0.028975896326709938,0.10300755573146159,0.40086126603113814,0.2852572671457111,0.31598766837509906,0.244940900464778,0.8214610258955313,0.25054698821285637,0.6984077666718957,0.10165806598067362,0.41846400796950123,0.2453811708125545,0.48665247805496525,0.8532545087717215,0.1632581273385063,0.16586001558716967,0.5252745770056961,0.3090848961064874,0.44530374880213,0.22512762466546632,0.10239697569163808,0.24422890245296458,0.12743312226939163,0.5703335821617086,0.2855622606542376,0.492229513726139,0.7378240820128141,0.2561087101081556,0.213841349476514,0.6184136546153729,0.62603939598046,0.3403563244698832,0.002438743713709668,0.9829540993039461,0.14366312714324647,0.23502628692262229,0.043614950797378205,0.11295827359620647,0.29890859285080973,0.0942490850850205,0.23300029317588355,0.03165273311098549,0.19215204875830805,0.2049120736325043,0.4613423927512036,0.24898740882588122,0.3963166982369709,0.36333142892253745,0.26006976462765774,0.6619547576839109,0.5706917265002263,0.33109063363166924,0.49531453914102075,0.7321652589026545,0.09672525373646534,0.4531433948388166,0.29762026493761984,0.17553261074189874
