k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2,0.3898143318486036,0.6079986365935771,0.9048817604826285,0.4722060243618579,0.1630806125800266,0.10249672755271844,0.9773125672670225,0.8841714336124743,0.6673143271307673,0.7720358444470796,0.8740052171327243,0.6221405420207677,0.9059246739874766,0.9989199576815754,0.7534964950801009,0.9987655444939385,0.9645766482329272,0.7372114034882884,0.6275543873630294,0.5455385386730456,0.766617345386245,0.40283500817030815,0.897203906319734,0.9518320661571614,0.9857889319014317,0.7560911170829567,0.9336764973425782,0.1224989244099568,0.9824294980862059,0.31220914278090417,0.9975661133345242,0.3426939718841403,0.9973205044244985,0.9888895856372973,0.9990969926383607,0.3722184431723323,0.02029172623435338,0.9904691889668118,0.9970978217346047,0.9748235615917795,0.32898556194953343,0.8941299658556181,0.10459979353770987,0.4592594053453172,0.9982719708146452,0.9953163846909462,0.7209889280910267,0.9758654716777015,0.8802419577670207,0.764636871105334,0.6906601525347921,0.9889770367261056,0.997915823763908,0.8021239350762968,0.7688491043737146,0.9875636678163733,0.06800079972383499,0.8079210907109748,0.9802930295875187,0.9805172461534659,0.9971100286943445,0.8578792084168998,0.7283291551003417,0.8649523277641713,0.5752884802325574,0.9087020180498984,0.9732405890771192,0.9831868551215085,0.6468183931253164,0.9955762026942774,0.8740640691435495,0.7582982120455738,0.12672755452698548,0.9843392887801801,0.5319646916828449,0.5625933114391117,0.9713225266750606,0.24671497302143575,0.20264642097679253,0.9915700684469096,0.9528639739160574,0.9598751813739707,0.902665404585898,0.6893374446452535,0.8127943302908858,0.32144158307520865,0.22797721098090995,0.7767640791522972,0.7019388361284412,0.9598368813151987,0.6273273950603623,0.7579657937689277,0.5113327177099194,0.3510410074495809,0.4275779159061419,0.9982041980180489,0.5972297837971073,0.9731966257670764,0.7917611999535563,0.7739621582417363
3,0.45158972962220245,0.16807075738360777,0.015239768461186687,0.9884363069850929,0.8949794205625703,0.11229026734707226,0.9543204711020317,0.5996075236009667,0.9672297935770522,0.18050652055266425,0.2604242005191013,0.06313833584700435,0.9211151274015256,0.5685588417826293,0.45733685735258,0.7061345784722721,0.332993048098962,0.7713886734015951,0.6593164574512242,0.6546208801690271,0.07037803663796716,0.2958106601373691,0.44047426744636664,0.1738552312704691,0.3466950189804251,0.8506435335544191,0.09209376666243119,0.8287663638270549,0.9592473098962816,0.9991409101498862,0.7742843420855062,0.15771946540630033,0.35560046222067365,0.3204356218976907,0.2911163233692027,0.799147955024282,0.09813635629420914,0.9989852375487385,0.7426442414797564,0.516669791262913,0.6164907446006476,0.9080087199814945,0.9748219188494908,0.5240104145835853,0.07533722305655455,0.6864884719270161,0.8670645786353578,0.635488548160259,0.9732624268243201,0.9186430964642893,0.6954307414340417,0.5796946313049591,0.5406736290038656,0.7105005100831934,0.7132253746519581,0.6594509314649417,0.6682757154532141,0.9923594301682759,0.8721280413892836,0.9922981641699781,0.7522800064878982,0.917705018934817,0.20508084734316,0.18679179431044246,0.10957570867230304,0.9365795618850314,0.47507654678479094,0.8837553870139953,0.35727107121595236,0.5948231143439267,0.8424258076486197,0.06229093134181696,0.986353214362032,0.06035426142417477,0.013000927691643849,0.415292399085062,0.5475523532155029,0.3604366694968957,0.329955883219341,0.10670186488799938,0.050620462211384165,0.7796442480608441,0.7638466149601502,0.8213498617735616,0.110608088345438,0.9298884275938242,0.400337170296869,0.6800668511861898,0.3156054655105833,0.883437406120822,0.730944944606613,0.449454352908667,0.8439620634534847,0.841371152229563,0.14753192552254824,0.5902271887751107,0.9515147475071439,0.9959580955193228,0.9682252765495906,0.1404155158143694
4,0.8345127273231785,0.7100026810041957,0.6054818003517646,0.6210201500917656,0.9009665661689388,0.9199150643108105,0.6357476589734932,0.3480640109434522,0.43189604577535423,0.5727625861339051,1.1572437204022568,0.8686468194100456,0.8194031612070086,0.9682163317740187,0.2557860975224848,0.9326372928015518,0.9641683316798112,0.4797074270976347,0.4316743036321762,0.1828999355655736,0.7306464972353851,0.8790671899716038,0.30638138232792034,0.7434969461042292,0.7517499524321243,0.5704299502018588,0.10322861825148677,0.8144131678736936,0.25404669069826835,0.1304484058498252,0.37277819905052767,0.4838712530920355,0.3098090704456893,0.9156476910490801,0.8342391998909794,0.0516594873999523,0.9671220178657792,0.30101469696654115,0.47397630738502605,0.7650598149544825,0.26352590802638964,0.66826643564548,0.37081652147043975,0.5734384075768784,0.9893542982033672,0.8498025402288458,0.0087479023260848,0.8289430861439699,0.3851685748106263,0.6251132203388077,0.04123475736691895,0.9038783625559799,0.5386080473464411,0.9801146364659123,0.5785909176875901,0.3209446518548711,0.47370413182872595,0.8938403218312871,0.9803340960511281,0.6017506141551711,0.22398984139314815,0.6892554589637796,0.2095541204391902,0.9879911087257369,0.8922630861607792,0.29514326542753433,0.13321618838940275,0.8333092433158505,0.9961722549326174,0.842841502553433,0.9731139532737897,0.5762711290302533,0.8944788887610061,0.035440446891708666,0.3869377314098412,0.630908225692427,0.49426375285460533,0.6874571360406196,0.28516073637363815,0.8898059753721044,0.9958633498766336,0.06663649838062025,0.7504886383827212,0.06636257105480436,0.7753654493106303,0.9021297848215919,0.9822549159943511,0.8130248877410902,0.4236560042688782,0.47563262269748674,0.32108677252540185,0.20449814392138266,0.19474781498971705,0.9050649250173739,0.5038585240518973,0.6398316489086404,0.25070604525162254,0.2786141641273202,0.8119006744145809,0.8243727816748772
5,0.6100510094498028,0.7345265554073306,0.5105575852705861,0.21059917114858484,0.9128075576261685,0.432815805899201,0.9899659355589349,0.9966143762310663,0.05841288493188679,0.7333115758062205,0.8086144181541076,0.28971302498061136,0.43784553036599483,0.84669267194142,0.6563843123469162,0.5485630606700047,0.054266441863884296,0.03894542832890524,0.07934861168816165,0.3499789950751102,0.3922078624860368,0.19935137608398557,0.17206354256354173,0.2352503916434805,0.8175400623269671,0.09847042473000511,0.9026394975161885,0.2134342171440069,0.6478623335440576,0.8225926000875758,0.3539827187351752,0.4566059684533056,0.15970265993383448,0.34782210702006966,0.9171018336119235,0.26881706832752417,0.946742179979793,0.5214310697026354,0.6720795624136893,0.47303593392346377,0.20118995047792376,0.7900452285808667,0.008724778195275507,0.44191557689334915,0.48278114058115573,0.19819582330830787,0.8091128701617665,0.890767246144686,0.2190193005635137,0.21858479581165102,0.9476162954379256,0.18189584420543392,0.046038163454398706,0.7316064378752217,0.010193066151315655,0.27148512707302963,0.792708834643685,0.45356973758422703,0.7747171009950906,0.4088540038166264,0.3001706060136,0.8428803581339075,1.0181598777806355,0.05911166439217519,0.3574434711406579,0.132061562452348,0.5909005889533261,0.9025107983052296,0.09182013380091014,0.0745099286156572,0.1412496482869121,0.8289723620723148,0.3377319004567808,0.6845355859058184,0.5031016606672583,0.9644743633399822,0.2797243229705767,1.1336667762424124,0.6576091000683355,0.5669050328183892,0.705949858501178,0.5378203019050334,0.1825847437762902,0.6605514887828532,0.5344919613336339,0.9437734529824046,0.10155368829715394,0.2620950574079898,0.31013950274362934,0.5644360611792716,0.17471753168895165,0.20379162063631084,0.5230901854054812,0.1500865614818654,0.3024389228037929,0.7302888664516396,0.2664952696625922,0.8536293606121266,0.6589459436789571,0.23576249176945796
6,0.993637544227924,0.9225598634768374,0.4290325649295186,0.5386704424908412,0.6607159448161344,0.35671424420234743,1.0372210548247347,0.5620150562073669,0.11118190397626071,0.9583629699639309,0.17517395593759644,0.007610036341856308,0.951338217596107,0.4865506562274877,0.8963439104663316,0.4710488923762789,0.31886281564628227,0.8690171971378362,0.6787173854916947,0.6012150412122375,0.3188475852503795,0.6696440154665262,0.336522737062972,0.27216454504653753,0.711022813515968,0.7957077753242264,0.0669308137841752,0.25075173071677237,0.43750401458267074,0.22074674646703563,0.7614591968628082,0.2946752802635124,0.19588183403476134,0.6229452216546776,0.5847545439157285,0.38814212291722594,0.7090441968020732,0.18626458778051225,0.7635593847948283,0.05378233879922689,0.038961608910414114,0.3497385348220554,0.19945972389870348,0.743877595753248,0.17845156260168915,0.2431700636539077,0.795589011732696,0.6696784317095984,0.4198540812208469,0.25626534984726845,0.3438796027081248,0.7491128240497229,0.8419609846711491,0.04386017586781543,0.5887315411973983,0.22757191575098346,0.0515260131540245,0.7899104034855677,0.17479711330090852,0.1644582485056023,0.7956671756269498,0.9869589406188167,0.37683415676608045,0.8164738523860873,0.7725257486660062,0.21590595669646695,0.19196093232688405,0.2557206282897405,0.8531714430746,0.7723349588140943,0.9943621950985921,0.619933290219852,0.780384133666767,0.7402247587752151,0.07973906639792938,0.1413321498682487,0.7258541614077807,0.44899235466247234,0.8528483638108397,0.15288065193940703,0.38799215306891943,0.6932181035423333,0.3888776568122221,0.6199162781649583,0.9280391320437065,0.31537968742351485,0.1442841986052723,0.23499844260054048,0.5081057435101398,0.627155420304543,0.773634346560832,0.6262814829517356,0.6065124740309665,0.5344331531844451,0.13776526795238864,0.08982590295599269,0.15174992765396933,0.13295519110955545,0.21806215340802337,0.040823807469966944
7,0.2836353839783875,0.2838171315713742,0.6073586671825364,0.39392401305035085,0.3948536083106977,0.9456795273294557,0.27192808333159846,0.16980291786428636,0.6030622835657025,0.7149372584113145,0.6423715261311833,0.7835214362985938,0.30503927736500125,0.515493889201271,0.49656485801254746,0.5323902543279605,0.041964362362343355,0.8434561160137581,0.7905007254389242,0.5083861567111183,0.35908204532431776,0.5553635099330577,0.3639026946474745,0.3802351668280839,0.7324498253871853,0.10374524008113684,0.6411323288375712,0.8476423111587976,0.8082943132147784,0.7748482453757877,0.2225714644876624,0.41655018607799454,0.7668253507384553,0.227096098691417,0.22260441584370472,0.3843640676637028,0.4835118332776106,0.4132428826436252,0.7405705481213949,0.6043538872345475,0.2089651632268612,0.05472327799734267,0.6547654697829959,0.8474306115719169,0.9812283598358533,0.6226753315140532,0.357762191539424,0.30037989831763645,0.9473409781195561,0.5203953959544988,0.6175267938045201,0.2470299142164638,0.45324836443215943,0.909554884913576,0.5702995108651716,0.5660471796935704,0.746596386215197,1.1912230053756705,0.13966709848177516,0.203082976551336,0.32973830480168287,0.7913398899888271,0.8812213548488221,0.22788615735645124,0.1679993755434981,0.7343528179786584,0.06428019156007214,0.5772256216702377,0.1465006069382857,0.6318661957811644,0.06846470656477588,0.6972844546937278,0.2655418056151775,0.7539356844765026,0.7629321033743103,0.28778611430599477,0.31294640586271083,0.15669302358981674,0.41474260464224777,0.8823214643921763,0.4697756697637345,0.35714993486725,0.264804312886846,0.5394851669536126,1.0083858738238574,0.25421967192137107,0.041879796422170656,0.3485384676352684,0.5005701386735153,0.7124586275646059,0.2535901598053818,0.39122121138436095,0.1402095504848453,0.37432528234981355,0.5678961883875098,0.7643385630485835,0.3853480958982478,0.8327421210238961,0.18899804296389489,0.03790281960945685
8,0.016114928793143024,0.14082932682452198,0.7278321916032418,0.5976314169671868,0.28365829040378787,0.410750995224177,0.5535326605623483,0.336956139358108,0.06239554633353106,0.007614065668729797,0.6844432259722311,0.6415465827638109,0.4189838892125015,0.6423497299316798,0.3476987365803925,0.1651035605641893,0.10036789820842595,0.7355688601064932,0.8719978729246447,0.42921897503416717,0.5182194426468951,0.2219040214024709,0.38709694540260564,0.19306517692941094,0.6174779763827879,0.35749977956702605,0.036487393637847365,0.524348851477904,0.03024046739395425,0.8312177506337661,0.7820073501723306,0.9520840832922253,0.6625583499008301,0.7884641708188149,0.15892348189916528,0.009456953402976254,0.6845729871309352,0.5268150598821464,0.30478070074961183,0.27875510591293007,0.44705459879600995,0.3802614133593356,0.586154346241174,0.16048724974555284,0.05482445876892106,0.5279446384821842,0.10987447256233285,0.605461032193956,0.22991402180468867,0.4659285980617578,0.30551945139435155,0.507540131879852,0.08024271010014195,0.261361661927098,0.5267045039987986,0.6714501274617257,0.10233958184841674,0.2891667776184712,0.04103763425841933,1.1518320724592956,0.39212656688897707,0.48632603825184795,1.4476427773584728,0.2247509287146725,0.30104749618182747,0.7159903348562509,1.0552860084494409,0.5644243243675795,0.40730241214252794,0.11097232773332921,0.7655786377523571,0.5029530298917759,1.0853555402539619,0.6384462760147713,0.6028580119729758,0.6576390943166515,0.2344588556907543,0.5894115162324667,0.0559316253445894,0.170496578569315,0.5521817055255912,0.23679903778857336,0.6545673839918388,0.5325702891597686,0.6613391163317663,0.6520933130007559,0.37045162927842545,1.288246003486953,0.2936137814363404,0.5016955413055133,0.22136077147464217,0.5407703477552501,0.90005858401329,0.3851481809664843,0.6959579683151702,0.21613859527338586,0.27119989642484366,0.4516272165058717,0.3723908159121485,0.2611464199753071
9,0.3056560496131533,0.11935858239307162,0.7082263454134201,0.15675530779548008,0.1314325630222537,0.08937044669461969,0.26447632997347315,0.4166039535328372,0.5570286682542993,0.14675427228377447,0.09283276171173793,0.35862765747414826,0.7593400871939338,0.45470264532637583,0.4240286088465477,1.0347549508002083,0.5078046940551171,0.32865288984514973,1.0243963389600141,0.07744059228345168,0.44908217462596234,0.19583215367749407,0.430283318878663,1.0837576079091646,0.16004993996238814,0.28075096820087797,0.7122651683238916,0.5111973434185109,0.8136033763365945,0.11761696079991735,0.08373317535154712,0.5480026328843572,0.3515481665000375,0.4017413304414571,0.5246410670795436,0.6450254162574698,0.3254924810411083,0.08567580890958015,0.05108492459606784,1.3266155903487955,0.06020870432650938,0.01734662694207656,0.5898304223156623,0.8618817941748013,0.7570246163607348,0.4930075399574314,0.677693236018595,0.7597024796334525,0.9642211103714551,0.13109046815761483,0.07413760680025838,0.8619423840892388,0.0005658254383743566,0.5533622965418832,0.42331413568968634,0.2673621939569961,0.11889507767533969,0.5806945347882808,0.0668795270330339,0.30861473772830206,0.2149939107159261,0.6508625376086772,0.06621985118665985,1.025703542300818,0.10489479440343619,0.4193359170887552,0.11190863028416986,0.5641863021820155,0.14011261690199506,1.0931396852285973,0.020457608890496193,0.43322568928847216,0.07929101069856281,0.11852755664564674,0.22793937879136172,0.012319727543558479,0.10893438748773343,0.37756669099450324,0.5499907793057661,0.6775261441521945,0.08808664112299591,0.4590346619929857,0.13134017726045366,0.12019304713722612,0.42685616160901085,0.2729423510362623,0.756028427424712,0.47045808139873313,0.8190541675802159,0.3438826064432329,0.4530224238011029,0.07780387468167049,0.0561768459334826,0.5527315163815703,0.06674693924943653,0.4611976779445408,0.6381922581209989,0.24253230380680435,0.31103558189815206,0.564762022417011
10,0.10074454111317188,0.7038820183447123,0.12150563379183144,0.47667721411154984,0.962642858668465,0.17930147591471246,0.016139446973124638,0.3079376591320242,0.39845833293606436,0.29812982649267994,0.5567281468656735,0.8121776373873022,0.08972529175232635,0.22785904194424222,0.7080611158337584,0.1017391040079676,0.7052408626616216,0.03027216410360678,0.29099512453080933,0.2507088642813393,0.42440409540947654,0.541513465575501,0.6719447289187483,0.38659037863828205,1.400208509372296,0.5690019355722643,0.13475830803475208,0.23534468386019292,0.2052842690882004,0.6644603564909819,0.23294213389905138,0.35482068507977915,0.402416094060318,0.0011571802745722337,1.0018578153181084,0.7700026709079719,0.1455973385305781,0.3838461408394873,0.5773057769065763,0.8121174077811364,0.6613670056428571,1.0898665099742557,0.3497715633662777,0.3683925832603352,0.5862666130517713,0.5634340974667081,0.19247541773235055,0.7179825025738418,0.6404352998967215,0.3152566983288916,0.791652328974412,0.04871289979286875,0.17652288413889372,0.7676027904099085,0.6249066039993085,0.2841655030489282,0.03300646513692862,0.5204771753744806,0.5262156988895823,0.42157588465907014,0.07041334699004631,0.5952074813377479,1.1538192023189766,0.6001587443064407,0.1597766467208892,1.0220627532329827,0.28163815585173424,0.22718019391299227,0.24929212885598684,0.12477871921586736,0.6005401319247714,0.00448329699794936,0.23095896104598368,0.7555934144522458,0.3521128245418259,0.036241890483796446,0.27680521832182925,0.2592900514745158,0.3763096069807349,0.17214044344218182,0.6867161289660497,0.2650063223385821,0.9132816293431512,0.1374566443363422,0.06399851287359515,0.2584363587845373,0.7746403523870906,0.09751618302402498,0.36765596557496893,0.1665887899600833,0.3552783234309902,0.5236896245979761,0.17131284917440204,0.6392492320303041,0.05843490693570674,0.3321421288954247,0.6531555146558287,0.7679485412037674,0.6762680892469666,0.23900511193290497
11,0.15347427103301836,0.18075882492459372,0.8347550459791075,0.4034887371964726,0.7805297045826548,0.22274157971864939,0.4158496154198179,0.09737477278856588,0.5197133782076714,0.4243818621071044,0.20067513270430393,0.39496595655400835,1.1198033861593517,0.4197890199924841,0.07940054731614932,0.2605658055608977,0.2864726941987945,0.12652540360926023,0.6138850568248759,0.14378575334728438,0.11204385171385145,0.004563559152764629,0.5921783926135289,0.10549232093960859,0.4671916300355061,0.45091752643107474,0.8117738860771866,1.109473434252279,0.416647119075261,0.08539880571434089,0.7282775804857038,0.04445958474988698,0.6535504819960396,0.42241931604550653,0.5409288530528142,0.15049031179307393,0.31450036618874,0.19607663588102642,0.01807369242485457,0.09462443765326478,0.6749380760587075,0.5100352859633639,0.730858873453569,0.08904615294688423,0.43080038141480415,0.09300924077058759,0.6916952201199449,0.18884884108456523,0.39582964554439526,0.5237071432733186,0.34918862889072666,0.6972358609966739,0.8076990562682431,0.5811547726399444,0.05306879425027544,0.39428736423315147,0.6675893977596249,0.14073487301337984,0.5779860813475528,0.05819621757310367,0.10900930061193881,0.6204287767173846,0.41075574466167486,0.38550368795627676,0.4472466998633249,0.641394984883829,0.44167864706302207,0.6980332603742676,0.8471720812308665,0.35731599291139693,0.21341642069343814,0.16896300353325988,0.015950246323895634,0.5582628072092358,0.3503981617412102,0.7712291332941766,0.1552086458795312,0.11082228422524443,0.03909494310897288,0.6286945477453045,0.15617765584331478,0.5981814833645815,0.24329296640413545,0.32978763325709615,0.48121103566616796,0.13822442302303362,0.15726753938078275,0.1216000867054099,0.5727136486058769,0.5443939473575972,0.6814140708507015,1.059300202343052,0.4966465071323647,0.5407365050013675,0.0015408745922604883,0.2597226303588078,0.40090282720381376,1.04377860114087,0.22643463992659463,0.1468846695146353
